gisco_id,name,registered,turnout,invalid,blank,A-HSP,Fokus,OIP,SIP,DA,DP,HDZ-HSLS-HDS-HNS,HSP-HB,JD,MOST-HS-HKS,Možemo!,RF,Ričard,SD-IDS-PGS-HL,SDP-Centar-HSS-DOSIP-NS-R-GLAS,SRP,UZ-SU-BUZ,IDS-PGS-UNIJA-ISU-NS-R,SDP-Centar-HSS-DOSIP,Crnogorac,Jeckov,Milaković,Pupovac,Šimpraga,AS,DP-PIP-DHSS,HSGO,MDS,Simunić,NPS,Horvat [Franjo Horvat],Kajtazi,Kralj,Bilek,Komak,AP,NS-R-PGS-IDS-UNIJA,SD-HL,DP-PIP-DHSS-ZL,Hodžić [Armin Hodžić],Prljaskaj,Šoipi,Tabaković,DP-PIP-BLOK,HB,PHR,Rogina,HDZ,Bilo,MOST,Dussich,Radin,HSP,SHZ,Jankovics
HR_00116,Bedekovcina,6212,3873,118,0,6,20,21,41,0,0,1031,9,0,99,286,19,0,0,1708,0,72,0,0,0,0,0,0,0,0,222,5,4,178,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00124,Bednja,3265,1756,58,0,3,7,18,18,0,0,950,4,0,65,52,7,0,0,387,0,28,0,0,0,0,0,0,0,0,61,4,4,10,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00132,Beli Manastir,6947,3873,116,0,6,19,23,48,0,1,1467,22,0,137,233,28,0,43,880,0,94,0,1,32,114,19,142,120,0,258,0,0,0,0,0,127,1,1,0,0,0,0,0,0,1,2,0,1,0,11,0,0,0,0,0,0,0,0,162
HR_00159,Belica,2498,1462,39,0,0,6,5,11,0,0,282,6,0,29,46,4,0,0,392,0,13,0,0,0,0,0,0,0,0,43,1,7,3,574,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00167,Belisce,7967,4548,127,0,11,30,55,61,0,0,1523,33,0,319,284,21,0,55,1086,0,140,0,0,1,1,0,1,0,0,620,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,0,0,0,0,0,3
HR_00175,Benkovac,12017,4883,144,0,17,11,56,44,0,636,2425,108,16,342,71,7,150,18,492,0,50,0,0,29,81,76,110,102,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,20,9,0
HR_00183,Berek,965,585,16,0,9,14,3,15,0,0,297,2,0,37,25,1,0,13,91,0,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00191,Beretinec,1796,1115,51,0,7,8,10,13,0,0,350,4,0,55,53,1,0,0,427,0,15,0,0,0,0,0,0,0,0,79,0,4,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00205,Bibinje,3367,2070,53,0,7,5,27,7,0,217,1066,49,2,260,40,4,72,10,183,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,1,0
HR_00213,Bilje,3630,2717,80,0,7,42,26,25,0,0,915,11,0,116,127,14,0,21,428,0,49,0,0,1,5,1,4,4,0,207,0,0,0,0,0,5,2,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,628
