gisco_id,name,registered,turnout,invalid,blank,FORO DE CIUDADANOS,PARTIDO POPULAR,UNIÓN PROGRESO Y DEMOCRACIA,MOVIMIENTO CORRIENTE ROJA,SALAMANCA-ZAMORA-LEÓN PREPAL,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PARTIDO DA TERRA,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,PARTIDO SOCIALISTA OBRERO ESPAÑOL,CIUDADANOS LIBRES UNIDOS,PARTIDO DE LA LIBERTAD INDIVIDUAL,COALICIÓN POR EUROPA,INICIATIVA FEMINISTA,EXTREMADURA UNIDA,FALANGE ESPAÑOLA DE LAS J.O.N.S.,PARTIDO HUMANISTA,ESCAÑOS EN BLANCO,"PARTIDO X, PARTIDO DEL FUTURO",PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,PARTIDO ANDALUCISTA,DEMOCRACIA NACIONAL,MOVIMIENTO SOCIAL REPUBLICANO,"MOVIMIENTO DE RENOVACIÓN DEMOCRÁTICA CIUDADANA, MOVIMIENTO RED",LA ESPAÑA EN MARCHA,PODEMOS,IMPULSO SOCIAL,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,LOS PUEBLOS DECIDEN,ALTERNATIVA REPUBLICANA,VOX,EXTREMEÑOS POR EUROPA COALICIÓN ELECTORAL IPEX PREX CREX,"POR LA REPÚBLICA, POR LA RUPTURA CON LA UNIÓN EUROPEA",AGRUPACIÓN DE ELECTORES RECORTES CERO,ESQUERRA REPUBLICANA - LA IZQUIERDA POR EL DERECHO A DECIDIR,EQUO-PUM+J-PARTICIPA,AGRUPACIÓN DE ELECTORES D.E.R.,IZQUIERDA UNIDA LOS VERDES CONVOCATORIA POR ANDALUCÍA: LA IZQUIERDA PLURAL,PIRATAS DE ANDALUCÍA - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,PARTIDO REGIONALISTA POR ANDALUCÍA ORIENTAL - PROYECTO EUROPA,ESQUERRA REPUBLICANA - L'ESQUERRA PEL DRET A DECIDIR - A CUCHA POR O DREITO A DECIDIR - LA IZQUIERDA POR EL DERECHO A DECIDIR,CHA-EQUO,PUYALÓN DE CUCHAS - OS PUEBLOS DECIDEN,IZQUIERDA UNIDA DE ARAGÓN: LA IZQUIERDA PLURAL,PIRATAS DE ARAGÓN - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,BLOQUE ARAGONÉS - PROYECTO EUROPA,PROYECTO EUROPA,CONFEDERACIÓN PIRATA-EUROPEAN PIRATES,ESQUERRA REPUBLICANA - LA ESQUEIRDA POL DERECHU A DECIDIR - LA IZQUIERDA POR EL DERECHO A DECIDIR,EQUO-PUM+J,ANDECHA ASTUR- LOS PUEBLOS DECIDEN,IZQUIERDA UNIDA DE ASTURIAS - IZQUIERDA XUNIDA D'ASTURIES: LA IZQUIERDA PLURAL,ESQUERRA REPUBLICANA - L'ESQUERRA PEL DRET A DECIDIR,EQUO-COMPROMÍS-PUM+J,ELS POBLES DECIDEIXEN,ESQUERRA UNIDA DE LES ILLES BALEARS: L'ESQUERRA PLURAL,"PER LA REPÚBLICA, PER LA RUPTURA AMB LA UNIÓ EUROPEA",PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL / PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL,PODEMOS-PODEM,ALTERNATIVA NACIONALISTA CANARIA - UNIDAD DEL PUEBLO - LOS PUEBLOS DECIDEN,COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO - COALICIÓN POR EUROPA,IZQUIERDA UNIDA CANARIA - LOS VERDES: LA IZQUIERDA PLURAL,IZQUIERDA UNIDA DE CANTABRIA: LA IZQUIERDA PLURAL,EQUO-PCAS-PUM+J,IZQUIERDA UNIDA DE CASTILLA-LA MANCHA - LOS VERDES: LA IZQUIERDA PLURAL,IZQUIERDA UNIDA DE CASTILLA Y LEÓN: LA IZQUIERDA PLURAL,PARTIT DELS SOCIALISTES DE CATALUNYA,ESQUERRA REPUBLICANA - NOVA ESQUERRA CATALANA - CATALUNYA SÍ - L'ESQUERRA PEL DRET A DECIDIR,EQUO-COMPROMÍS-SIEX-PUM+J-PARTICIPA,CIUTADANS - PARTIDO DE LA CIUDADANÍA,CONVERGÈNCIA I UNIÓ - COALICIÓ PER EUROPA,INICIATIVA PER CATALUNYA VERDS - ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA PLURAL,PIRATES DE CATALUNYA - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,ESCONS EN BLANC ESCAÑOS EN BLANCO,PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL,EQUO-SÍEX-PUM+J,IZQUIERDA UNIDA - VERDES - COMPROMISO POR EXTREMADURA: LA IZQUIERDA PLURAL,PIRATAS DE EXTREMADURA - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,ESQUERRA REPUBLICANA - A ESQUERDA POLO DEREITO A DECIDIR,BLOQUE NACIONALISTA GALEGO - OS POBOS DECIDEN,COMPROMISO POR GALICIA - COALICIÓN POR EUROPA,ALTERNATIVA GALEGA DE ESQUERDA EN EUROPA: A ESQUERDA PLURAL,PIRATAS DE GALICIA - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,ESCANOS EN BRANCO ESCAÑOS EN BLANCO,PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL,EQUO-PUM+J-PCAS,IZQUIERDA UNIDA - LOS VERDES: LA IZQUIERDA PLURAL,PIRATAS DE MADRID - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,ESQUERRA REPUBLICANA - EZKERRA ERABAKITZEKO ESKUBIDEAREN ALDE - LA IZQUIERDA POR EL DERECHO A DECIDIR,EUSKAL HERRIA BILDU - HERRIEK ERABAKI,EUZKO ALDERDI JELTZALEA - PARTIDO NACIONALISTA VASCO - COALICIÓN POR EUROPA - EUROPARAKO KOALIZIOA,IZQUIERDA - EZKERRA: LA IZQUIERDA PLURAL - EZKER ANITZA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL / ANIMALIEKIKO TRATU TXARREN AURKAKO ALDERDI ANIMALISTA,PODEMOS-AHAL DUGU,EZKER ANITZA - IZQUIERDA UNIDA - IRATZARRI - EKI: LA IZQUIERDA PLURAL,AULKI ZURIAK ESCAÑOS EN BLANCO,"POR LA REPÚBLICA, POR LA RUPTURA CON LA UNIÓN EUROPEA ERREPUBLIKAREN ALDE, ""UNIÓN EUROPEA"" APURTU",IZQUIERDA UNIDA - VERDES DE LA REGIÓN DE MURCIA: LA IZQUIERDA PLURAL,EUROPEAN PIRATES - CONFEDERACIÓN PIRATA - PIRATAS DE LA RIOJA,COALICIÓ COMPROMÍS,ESQUERRA UNIDA PAÍS VALENCIÀ - ELS VERDS: L'ESQUERRA PLURAL,PIRATAS DE LA COMUNIDAD VALENCIANA - CONFEDERACIÓN PIRATA - EUROPEAN PIRATES,VALENCIANS PER EUROPA - PROYECTE EUROPA,EQUO-CABALLAS
ES_04001,Abla,1110,565,14,15,0,162,20,0,0,3,0,10,278,0,0,1,0,0,0,0,2,1,0,5,0,0,0,1,18,0,0,0,0,0,0,0,0,2,0,1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1072,508,9,8,0,125,18,1,0,5,0,3,268,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,12,0,0,0,0,3,0,0,2,0,3,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04003,Adra,17411,6240,108,130,6,2646,258,3,1,31,0,65,2252,4,0,1,6,2,3,3,26,18,12,21,5,2,24,7,163,1,2,1,3,36,2,1,2,1,37,3,344,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04004,Albanchez,529,288,5,8,0,54,13,0,0,0,0,2,170,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04005,Alboloduy,585,323,5,2,0,133,11,0,0,0,0,5,141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,4,0,0,2,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7519,3110,60,84,4,1115,139,4,0,6,2,42,1254,0,0,1,4,0,4,1,13,10,1,14,0,1,22,0,148,0,0,2,0,16,0,0,0,1,24,2,132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04007,Alcolea,767,355,9,5,0,74,7,0,0,0,0,5,206,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,515,322,7,7,0,175,9,1,0,0,0,2,99,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,145,89,1,1,0,34,5,0,0,0,0,0,26,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,580,356,9,5,1,62,11,0,0,3,0,0,241,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04011,Alhama de Almería,2849,1717,24,56,1,499,72,0,0,8,0,13,772,2,3,1,1,0,1,1,1,3,0,14,0,0,15,1,48,1,1,0,0,4,0,0,1,0,4,5,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04012,Alicún,206,140,4,1,0,45,8,0,0,1,0,2,70,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04013,Almería,140516,56700,650,1607,71,18588,4507,10,7,598,21,2411,14336,63,21,27,49,6,55,28,311,347,62,424,125,24,436,50,4516,25,37,61,39,805,9,35,57,17,977,95,5046,94,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04014,Almócita,155,108,4,1,0,16,3,0,0,1,0,0,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04015,Alsodux,124,80,0,2,0,22,1,0,0,0,0,2,36,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
