gisco_id,name,registered,turnout,invalid,blank,I.Fem,CEUS,PSOE,ALTER,CXE,AR,Contigo,ADÑ,PACMA,SAIn,PCTE,FAC,PH,AxSÍ,PACT,MIEL,IzqEsp,PUM+J,MCR,Cs,JxCAT,Vox,IGRE,Volt,CV-EC,PP,Recortes Cero-LV-GVE,CEX-CREX-PR,CPE,PCPE-PCPC,Podemos-IU,Pirates,PCTC,PCTG,ELAK
ES_11033,San Roque,22096,12243,150,187,16,1,5526,6,3,4,11,2,219,7,15,5,5,50,11,1,8,5,11,1563,9,925,4,25,27,2340,35,4,9,33,1013,13,0,0,0
ES_11034,Setenil de las Bodegas,2337,1750,49,64,4,0,976,0,1,3,0,0,5,0,0,0,0,76,0,0,0,0,0,218,0,55,0,1,1,197,2,1,1,1,94,1,0,0,0
ES_11035,Tarifa,13982,8295,191,168,25,2,3470,9,4,5,0,1,139,3,5,7,3,163,15,2,3,28,1,806,11,544,10,28,38,1685,23,7,4,10,878,7,0,0,0
ES_11036,Torre Alháquime,688,430,11,10,1,0,292,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,11,0,7,0,0,0,71,1,0,0,1,19,0,0,0,0
ES_11037,Trebujena,5646,4544,101,40,3,0,1613,0,0,6,0,0,28,0,8,2,2,1,2,2,3,0,0,140,0,41,0,3,2,276,2,1,1,23,2244,0,0,0,0
ES_11038,Ubrique,13613,9337,181,120,16,1,4021,14,8,6,3,2,131,1,12,8,4,217,4,0,3,4,0,1324,5,588,2,27,7,2041,9,3,12,8,550,5,0,0,0
ES_11039,Vejer de la Frontera,10123,6294,90,96,4,1,2551,2,14,3,2,0,76,1,6,5,6,38,4,0,4,1,1,504,5,186,9,16,27,2196,20,11,3,8,400,4,0,0,0
ES_11040,Villaluenga del Rosario,396,355,9,4,0,0,243,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,35,0,5,0,1,0,40,0,0,0,0,13,0,0,0,0
ES_11041,Villamartín,9858,6037,191,93,2,3,2371,5,0,1,6,2,79,4,2,5,0,420,5,6,5,4,2,924,4,311,4,22,10,1049,5,1,3,9,480,9,0,0,0
ES_11042,Zahara,1157,841,17,17,0,0,462,0,0,0,0,0,10,1,0,0,1,0,1,0,0,0,0,73,0,36,1,0,0,199,1,0,0,0,22,0,0,0,0
ES_11901,Benalup,5718,4000,63,102,5,1,2108,1,1,3,2,2,36,0,3,0,2,123,2,3,10,0,2,363,4,115,0,4,0,683,4,2,3,2,348,3,0,0,0
ES_11902,San José del Valle,3660,2484,50,49,7,0,1409,0,0,0,1,0,11,0,2,2,0,5,0,2,0,3,0,247,0,124,0,1,5,411,76,1,4,4,67,3,0,0,0
ES_11903,San Martín del Tesorillo,1821,1312,32,47,5,4,560,0,2,3,1,0,30,0,1,1,2,7,0,1,0,0,2,143,1,62,1,1,5,221,5,0,3,2,169,1,0,0,0
ES_14001,Adamuz,3466,2879,64,43,1,1,1433,0,1,1,0,2,22,1,9,5,0,1,0,1,2,2,0,215,0,119,0,1,7,603,3,0,9,7,326,0,0,0,0
ES_14002,Aguilar de la Frontera,10869,7534,205,148,14,1,3613,2,1,4,2,3,73,1,33,4,1,17,3,5,10,6,9,673,1,201,3,7,1,1039,7,1,5,173,1268,0,0,0,0
ES_14003,Alcaracejos,1250,966,39,9,0,0,537,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,81,0,27,0,3,0,231,1,0,0,0,33,0,0,0,0
ES_14004,Almedinilla,1990,1516,10,19,3,0,782,1,0,0,1,0,8,0,1,0,0,3,1,0,2,0,1,152,1,76,1,0,3,383,0,0,1,0,67,0,0,0,0
ES_14005,Almodóvar del Río,6339,3851,167,86,7,1,1347,0,1,1,2,2,44,0,6,1,1,5,1,0,9,2,2,312,1,138,3,5,4,505,4,0,3,17,1174,0,0,0,0
ES_14006,Añora,1325,1163,25,9,1,0,386,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,97,0,59,2,1,2,470,0,0,1,1,107,0,0,0,0
ES_14007,Baena,15129,9982,208,122,24,1,3958,1,30,4,15,4,108,4,27,2,14,37,9,2,25,14,3,1678,3,561,5,25,10,1990,18,14,13,22,1023,8,0,0,0
