gisco_id,name,registered,turnout,invalid,blank,I.Fem,CEUS,PSOE,ALTER,CXE,AR,Contigo,ADÑ,PACMA,SAIn,PCTE,FAC,PH,AxSÍ,PACT,MIEL,IzqEsp,PUM+J,MCR,Cs,JxCAT,Vox,IGRE,Volt,CV-EC,PP,Recortes Cero-LV-GVE,CEX-CREX-PR,CPE,PCPE-PCPC,Podemos-IU,Pirates,PCTC,PCTG,ELAK
ES_04046,Fondón,854,700,12,7,0,0,329,1,0,0,0,0,7,1,0,1,0,5,0,0,1,1,0,50,1,34,0,1,0,211,0,0,0,2,35,1,0,0,0
ES_04047,Gádor,2292,1890,31,10,1,0,739,1,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,101,0,80,0,5,1,848,2,0,0,0,52,1,0,0,0
ES_04048,"Gallardos, Los",1746,1241,20,15,0,1,473,0,0,0,0,0,7,0,1,0,0,0,2,2,0,0,3,278,0,103,0,2,3,236,3,1,0,1,88,2,0,0,0
ES_04049,Garrucha,5794,4008,57,32,3,1,1768,1,0,4,0,0,33,2,4,2,4,5,0,0,1,6,1,459,6,284,1,3,12,1071,5,2,3,0,238,0,0,0,0
ES_04050,Gergal,764,592,4,7,0,0,267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71,1,55,0,0,1,156,0,0,0,0,29,0,0,0,0
ES_04051,Huécija,406,382,3,1,1,0,174,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,59,0,15,0,0,0,111,0,0,0,0,12,0,0,0,0
ES_04052,Huércal de Almería,12779,7487,82,98,9,0,2532,6,4,7,2,23,114,4,6,3,5,10,8,0,3,1,3,1047,3,976,0,14,15,1798,3,0,2,8,698,3,0,0,0
ES_04053,Huércal-Overa,12885,9157,190,87,12,5,3383,0,1,2,2,2,87,3,12,4,0,9,0,3,5,5,3,1111,1,573,2,12,11,3292,3,1,6,2,327,1,0,0,0
ES_04054,Illar,370,322,5,2,0,0,120,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,21,0,20,0,3,1,120,0,0,0,1,17,0,0,0,0
ES_04055,Instinción,373,331,1,4,0,0,196,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,1,84,0,0,2,0,15,0,0,0,0
ES_04056,Laroya,180,157,1,1,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,7,1,0,4,82,1,0,1,0,9,0,0,0,0
ES_04057,Laujar de Andarax,1263,962,14,16,2,0,364,0,4,1,0,0,5,0,0,1,0,2,0,0,0,0,0,116,0,61,0,3,0,337,2,0,0,1,31,2,0,0,0
