gisco_id,name,registered,turnout,invalid,blank,IzqEsp,CEUS,FO,AR,PSOE,Andalucistas,IE,Vox,PP,EB,CRT,Podemos,PFAC,PCTE,PCPE-PCPC,Sumar,PACMA,Cree en Europa,PMR,SALF,F,Existe,Cs,FE-JONS,SAE,JUEX,PH,Volt,Recortes Cero,Junts UE,PREx-CREx,GLG,Piratas/Rebeldes,PREPAL,PCTC,PMR-RV-VN
ES_04001,Abla,1005,514,2,2,1,0,2,0,201,1,2,60,192,0,0,14,0,0,0,12,6,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1015,488,6,3,0,0,0,0,184,0,0,67,179,0,0,6,0,0,0,13,6,0,0,19,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0
ES_04003,Adra,17869,7821,53,46,5,0,20,2,1671,14,11,1387,3723,2,1,107,6,0,2,98,43,2,0,571,2,1,24,7,2,1,3,11,1,0,2,1,1,1,0,0
ES_04004,Albanchez,390,226,4,2,0,0,0,1,83,1,0,24,90,0,0,4,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ES_04005,Alboloduy,498,307,2,1,1,0,2,0,95,1,0,37,145,0,0,4,0,0,0,5,1,0,0,8,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7222,2951,19,13,1,0,2,3,827,3,4,312,1454,3,1,42,0,0,0,40,5,1,3,179,0,1,20,2,1,0,0,13,0,0,0,1,1,0,0,0
ES_04007,Alcolea,696,334,7,1,1,0,0,1,116,0,1,31,139,0,0,9,0,1,0,8,0,0,0,16,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,469,293,1,0,0,0,1,1,64,1,0,33,168,0,0,4,0,0,0,0,1,0,0,14,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,106,56,0,0,0,0,0,0,10,0,0,7,32,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,604,368,5,1,0,0,0,0,163,0,1,14,159,0,0,4,0,0,0,4,0,2,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ES_04011,Alhama de Almería,2877,1503,22,11,0,2,8,1,657,2,0,129,464,0,0,22,0,0,2,42,8,0,0,115,0,2,6,0,1,0,1,6,1,0,0,1,0,0,0,0
ES_04012,Alicún,185,135,2,3,0,0,0,0,54,0,0,13,55,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ES_04013,Almería,146614,67050,299,437,132,18,248,64,17933,135,111,9000,28029,75,17,1598,104,44,24,2701,507,25,15,4674,20,49,507,34,31,3,12,99,53,10,3,7,25,7,0,0
ES_04014,Almócita,182,131,2,2,0,0,1,3,63,1,0,9,29,0,0,4,1,0,0,11,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04015,Alsodux,126,75,1,0,0,0,0,0,40,0,1,6,16,0,0,6,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ES_04016,Antas,2200,1049,10,8,0,0,4,0,293,1,0,175,450,0,0,19,2,0,0,14,1,0,0,61,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0
ES_04017,Arboleas,1302,552,4,3,1,0,2,1,165,0,0,99,228,0,0,7,0,0,0,4,3,0,0,26,0,0,4,1,1,0,0,3,0,0,0,0,0,0,0,0
ES_04018,Armuña de Almanzora,282,157,2,1,0,0,0,0,53,2,0,15,69,0,0,4,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ES_04019,Bacares,227,134,0,1,0,0,0,0,73,0,0,7,41,0,0,2,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04020,Bayárcal,253,141,1,0,0,0,0,0,25,0,0,16,95,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04021,Bayarque,173,101,2,0,0,0,0,0,32,0,0,6,50,0,0,2,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04022,Bédar,401,192,1,4,0,0,1,0,79,0,0,36,57,0,0,1,0,0,0,4,1,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ES_04023,Beires,145,87,1,0,0,0,0,0,22,0,0,16,43,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04024,Benahadux,3485,1713,12,15,1,0,10,2,481,2,3,324,620,1,0,22,2,2,0,47,10,2,1,148,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,0
ES_04026,Benitagla,59,41,0,0,0,0,1,0,8,0,0,10,16,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04027,Benizalón,208,93,0,0,0,0,0,1,20,0,0,14,48,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04028,Bentarique,199,142,4,2,0,0,0,0,82,0,0,6,34,0,0,2,0,0,0,4,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04029,Berja,9018,3819,30,37,4,2,12,1,1136,3,4,577,1639,2,0,40,1,1,3,69,18,0,0,212,0,0,13,0,4,1,1,6,2,1,0,0,0,0,0,0
ES_04030,Canjáyar,986,510,3,5,0,0,3,0,204,1,0,56,195,0,0,6,1,0,1,6,3,0,0,22,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
ES_04031,Cantoria,2282,1256,4,8,1,0,4,0,606,0,0,101,420,0,0,8,0,0,1,19,4,0,0,72,2,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0
ES_04032,Carboneras,5972,2333,14,16,2,0,6,4,774,3,0,289,892,0,0,70,2,2,1,48,8,1,0,162,0,2,29,1,0,0,1,3,2,1,0,0,0,0,0,0
ES_04033,Castro de Filabres,103,59,0,0,0,0,0,0,34,0,0,2,20,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04034,Cóbdar,169,70,0,0,0,0,0,0,15,1,0,5,45,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ES_04035,Cuevas del Almanzora,8791,4068,19,29,1,0,18,2,1376,6,4,578,1700,0,0,50,1,3,3,71,10,0,2,169,0,2,9,6,2,0,0,5,0,0,1,1,0,0,0,0
ES_04036,Chercos,255,132,0,0,0,0,2,0,50,0,1,26,40,0,0,2,0,0,0,1,2,0,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ES_04037,Chirivel,1188,629,20,5,1,0,0,0,256,1,0,82,209,0,0,2,0,1,1,21,1,0,0,20,0,0,3,0,2,0,0,3,1,0,0,0,0,0,0,0
ES_04038,Dalías,3130,1437,18,21,3,1,2,5,479,6,0,147,576,1,0,28,0,1,1,51,8,1,0,74,1,0,5,1,2,0,1,4,0,0,0,0,0,0,0,0
ES_04041,Enix,439,234,1,0,0,0,1,0,45,0,0,35,125,0,0,3,0,0,0,7,3,0,0,11,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04043,Felix,643,391,1,0,0,0,1,0,108,1,0,58,176,0,0,5,0,0,0,10,0,0,0,27,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ES_04044,Fines,1677,774,6,3,0,2,3,0,245,3,0,89,324,0,0,5,2,0,2,19,0,0,0,62,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0
ES_04045,Fiñana,1672,1029,17,2,0,0,1,2,428,2,0,265,238,0,0,9,0,0,1,19,3,0,1,34,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0
ES_04046,Fondón,977,511,2,9,0,0,3,0,172,2,0,52,213,2,0,9,1,1,0,14,4,0,0,21,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0
ES_04047,Gádor,2299,1244,16,7,1,0,1,0,414,1,1,152,534,0,0,13,0,0,0,20,4,0,0,64,0,0,5,1,0,1,2,4,0,0,0,2,1,0,0,0
ES_04048,"Gallardos, Los",1590,680,5,5,2,0,0,1,216,0,1,106,253,1,0,22,0,0,0,18,2,0,0,35,0,0,3,0,3,3,0,2,0,0,0,1,1,0,0,0
ES_04049,Garrucha,6157,2410,23,21,1,0,7,2,745,8,0,326,990,3,0,56,2,0,1,43,14,1,0,140,1,3,14,0,0,0,2,4,0,0,1,1,1,0,0,0
ES_04050,Gergal,769,324,0,0,0,0,0,2,136,2,1,43,115,0,0,4,0,0,2,3,2,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ES_04051,Huécija,438,309,1,5,0,0,1,0,89,0,0,35,146,2,0,4,0,1,0,5,2,1,0,11,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0
ES_04052,Huércal de Almería,13906,5995,33,48,6,0,39,2,1416,8,12,1092,2158,8,1,117,6,3,2,276,43,1,0,633,2,4,50,2,1,0,1,16,9,1,0,2,3,0,0,0
ES_04053,Huércal-Overa,13032,6302,64,36,4,1,26,4,1601,10,3,778,3235,5,0,61,5,2,0,80,18,1,3,318,2,3,24,4,3,1,0,4,1,1,0,0,2,2,0,0
ES_04054,Illar,370,227,2,1,0,0,0,0,80,0,0,33,100,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
ES_04055,Instinción,385,260,3,1,0,0,1,0,119,0,0,13,102,0,1,2,0,0,0,5,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04056,Laroya,167,89,2,0,0,0,1,0,15,0,1,12,44,1,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ES_04057,Laujar de Andarax,1309,690,8,3,0,0,1,1,201,1,0,71,348,2,0,6,0,0,0,27,3,0,0,14,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04058,Líjar,324,147,0,0,0,0,1,0,62,0,0,20,44,0,0,4,0,0,0,6,3,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
ES_04059,Lubrín,949,478,5,2,1,0,0,0,239,1,0,34,171,0,0,3,1,0,0,2,1,0,0,13,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0
ES_04060,Lucainena de las Torres,506,259,2,0,0,0,0,0,53,0,9,26,138,0,0,4,0,0,0,2,1,0,0,19,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0
ES_04061,Lúcar,634,311,2,4,1,0,0,0,108,1,0,51,106,0,1,3,1,0,0,9,3,0,0,13,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
ES_04062,Macael,4356,2173,17,12,3,0,5,0,756,5,0,229,984,2,0,25,1,0,0,28,4,0,0,89,1,0,6,2,0,1,1,1,0,0,0,0,1,0,0,0
ES_04063,María,992,536,10,4,0,0,1,0,124,0,0,81,263,0,0,5,0,0,0,9,4,0,0,24,0,0,1,0,1,0,1,3,3,0,0,2,0,0,0,0
ES_04064,Mojácar,3462,1580,9,4,5,0,1,5,422,3,2,159,757,2,0,46,1,2,0,42,7,0,0,100,0,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0
ES_04065,Nacimiento,360,228,1,5,0,0,0,0,123,0,0,27,47,0,0,4,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04066,Níjar,14055,5678,22,37,5,0,19,14,1422,3,5,1005,2425,1,1,85,8,6,3,135,29,1,1,404,1,0,13,1,5,1,1,20,1,2,0,0,1,1,0,0
ES_04067,Ohanes,494,252,6,0,0,0,0,0,124,0,0,17,93,0,0,1,0,0,0,4,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ES_04068,Olula de Castro,163,106,1,1,0,0,0,0,29,0,0,15,47,0,0,0,0,0,0,5,1,0,0,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0
ES_04069,Olula del Río,4801,2334,13,25,0,0,4,5,738,5,5,312,993,1,1,22,1,1,0,56,6,0,0,123,0,0,20,0,1,0,0,2,0,0,0,0,0,0,0,0
ES_04070,Oria,1490,708,5,5,0,1,0,2,191,0,0,116,328,0,0,12,0,0,0,11,2,0,0,24,0,3,4,1,1,0,0,0,0,0,0,1,1,0,0,0
ES_04071,Padules,378,252,3,3,0,0,0,0,142,0,0,16,75,0,0,2,0,0,1,2,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04072,Partaloa,366,180,3,2,0,0,0,0,48,0,0,25,85,0,0,2,0,0,0,5,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04073,Paterna del Río,347,178,1,1,0,0,1,0,61,0,0,25,76,0,0,1,0,0,0,3,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ES_04074,Pechina,3136,1239,9,7,1,0,8,1,377,0,0,225,420,1,1,23,3,1,1,49,10,0,0,91,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0
ES_04075,Pulpí,6518,2808,39,22,2,2,5,0,827,4,4,365,1302,1,0,40,1,5,2,42,7,1,2,95,0,2,16,3,2,0,0,9,0,1,2,2,3,0,0,0
ES_04076,Purchena,1155,605,11,4,0,0,5,2,273,2,0,61,202,0,0,9,2,0,0,10,1,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04077,Rágol,269,205,1,3,0,0,0,0,43,0,0,15,138,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ES_04078,Rioja,1200,481,2,1,0,0,2,0,120,0,1,73,146,0,0,6,0,0,1,77,3,0,0,47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04079,Roquetas de Mar,61541,26163,108,154,40,9,91,31,5665,46,48,4165,11285,17,13,468,22,18,7,826,193,4,4,2614,6,18,181,10,6,3,7,63,15,1,2,3,14,6,0,0
ES_04080,Santa Cruz de Marchena,221,109,1,0,0,0,1,0,39,0,0,17,48,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04081,Santa Fe de Mondújar,394,214,2,0,0,0,0,0,112,0,0,30,51,0,0,3,0,0,0,0,2,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04082,Senés,267,130,0,1,0,0,0,0,34,0,1,19,62,0,0,4,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04083,Serón,1711,946,9,3,0,0,0,0,437,4,4,61,359,0,0,14,0,0,1,18,4,1,0,27,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
ES_04084,Sierro,325,167,1,1,0,0,0,0,61,0,0,14,68,0,0,0,0,0,0,5,0,0,0,12,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
ES_04085,Somontín,424,262,4,4,0,0,2,0,109,0,0,29,102,0,0,3,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ES_04086,Sorbas,1666,804,4,5,1,0,1,0,202,0,0,109,416,0,0,3,1,0,0,9,3,0,0,37,0,1,6,2,0,0,0,3,0,0,0,1,0,0,0,0
ES_04087,Suflí,168,86,2,0,0,0,0,0,33,0,0,18,23,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04088,Tabernas,2645,1094,14,10,1,0,3,1,445,1,0,160,370,0,0,19,0,1,1,9,1,0,0,48,0,1,1,1,0,0,0,5,2,0,0,0,0,0,0,0
ES_04089,Taberno,651,348,3,3,0,1,0,0,84,0,0,50,179,0,0,3,0,1,1,6,2,0,0,9,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0
ES_04090,Tahal,308,178,0,0,0,0,2,0,86,0,0,19,53,0,0,0,1,0,0,4,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04091,Terque,290,194,4,2,0,0,0,0,103,1,0,7,61,0,0,2,0,0,0,2,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04092,Tíjola,2780,1455,9,3,0,0,1,0,421,3,0,186,684,0,0,16,1,0,1,28,9,0,0,83,0,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0
ES_04093,Turre,2041,811,8,5,1,0,3,0,256,2,0,102,326,0,1,18,0,0,0,26,4,0,0,49,1,0,1,1,2,0,0,4,0,1,0,0,0,0,0,0
ES_04094,Turrillas,224,133,1,0,0,0,0,0,10,0,0,15,102,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04095,Uleila del Campo,648,266,1,0,0,0,0,0,91,0,0,49,95,0,0,6,0,0,0,7,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04096,Urrácal,274,179,0,5,0,0,1,0,57,0,0,15,88,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04097,Velefique,241,142,0,0,0,0,0,0,59,0,0,16,61,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04098,Vélez-Blanco,1487,833,11,3,2,0,1,0,242,1,0,95,412,0,0,14,0,0,0,7,2,1,0,27,0,0,4,1,6,0,1,3,0,0,0,0,0,0,0,0
ES_04099,Vélez-Rubio,4788,2596,33,13,2,0,5,1,727,1,0,397,1164,3,0,28,2,1,3,42,3,2,1,140,0,5,14,0,4,0,0,3,0,0,0,2,0,0,0,0
ES_04100,Vera,11033,3873,13,23,3,0,12,10,951,15,8,542,1707,11,0,78,2,0,0,95,33,1,0,327,2,6,14,0,0,0,2,9,0,6,1,1,0,1,0,0
ES_04101,Viator,4561,1912,29,16,5,0,6,4,634,1,9,332,595,1,0,26,0,1,1,35,10,0,0,175,1,0,14,5,1,0,3,7,0,1,0,0,0,0,0,0
ES_04102,Vícar,15139,6456,31,46,2,1,23,3,1568,7,11,1358,2592,4,1,78,1,0,0,117,26,0,0,533,1,3,18,2,3,0,0,15,1,1,3,0,7,0,0,0
ES_04103,Zurgena,1487,734,8,4,2,0,2,0,152,1,0,110,413,0,0,9,0,2,0,5,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04901,"Tres Villas, Las",497,235,1,2,0,0,0,0,99,0,1,33,83,0,0,3,0,1,0,1,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04902,"Ejido, El",48535,21054,91,156,22,7,72,11,3934,47,22,4573,9399,20,2,285,16,15,9,401,94,5,1,1617,3,5,117,8,49,1,5,50,2,3,1,1,9,1,0,0
ES_04903,"Mojonera, La",4173,1881,9,17,1,0,4,0,285,0,1,368,1044,1,0,7,1,0,1,10,7,1,1,101,1,0,3,2,1,0,0,8,1,3,1,1,0,1,0,0
ES_04904,Balanegra,1969,1025,6,7,0,0,0,0,171,0,2,223,495,0,0,5,0,0,0,6,4,0,0,102,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
ES_11001,Alcalá de los Gazules,4398,1700,29,20,0,0,2,1,723,7,2,198,527,0,1,27,0,0,0,77,4,2,0,51,2,0,14,0,2,1,0,4,1,0,0,2,3,0,0,0
ES_11002,Alcalá del Valle,4138,2109,23,5,4,0,2,0,1028,1,0,51,166,0,0,71,1,0,2,714,1,0,1,36,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
ES_11003,Algar,1192,470,3,7,0,0,1,0,125,0,0,50,238,0,0,1,1,1,0,13,3,0,0,23,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
ES_11004,Algeciras,91632,34378,231,285,63,9,127,23,9341,242,50,5444,12566,25,9,729,42,21,11,1203,371,19,19,3144,7,11,252,18,9,7,15,57,8,3,2,5,9,1,0,0
ES_11005,Algodonales,4497,1840,31,14,4,0,4,3,829,8,0,127,591,1,0,33,0,1,1,75,4,0,0,97,1,1,7,0,0,0,1,3,0,0,0,2,1,1,0,0
ES_11006,Arcos de la Frontera,25248,8559,62,66,20,2,21,7,3068,51,26,814,3174,11,2,159,12,3,7,272,28,7,1,635,5,6,65,2,2,4,3,12,1,3,0,4,4,0,0,0
ES_11007,Barbate,18465,6041,59,65,8,4,18,3,1982,81,5,657,2144,12,3,165,4,5,8,322,68,0,3,335,2,1,41,3,2,1,5,19,0,4,3,5,2,2,0,0
ES_11008,"Barrios, Los",18829,7218,93,64,6,0,20,4,2153,93,6,1014,2403,2,2,175,11,10,3,307,69,6,2,672,3,6,44,5,4,3,2,16,3,2,3,5,7,0,0,0
ES_11009,Benaocaz,652,305,7,1,4,0,3,0,92,1,1,11,133,2,0,7,1,2,1,11,1,0,1,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_11010,Bornos,6249,2110,26,17,2,0,2,0,771,23,0,167,718,3,0,42,2,3,3,176,8,4,0,123,2,0,7,0,4,0,1,2,1,0,1,0,2,0,0,0
ES_11011,"Bosque, El",1797,775,15,5,2,0,5,4,198,25,0,53,352,0,1,22,2,1,0,39,5,0,0,42,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ES_11012,Cádiz,94319,45624,295,345,158,18,163,118,16390,463,45,3015,16554,40,24,1701,148,37,22,2940,635,25,5,1739,30,36,435,17,22,5,37,50,52,5,5,7,32,11,0,0
ES_11013,Castellar de la Frontera,2336,903,32,20,0,0,5,0,380,2,1,103,266,0,0,21,1,0,0,24,15,0,0,26,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0
ES_11014,Conil de la Frontera,18389,6808,57,59,19,4,22,20,2040,132,9,572,2293,4,3,260,12,9,10,683,36,3,1,461,3,6,38,3,1,1,5,18,7,2,5,4,4,2,0,0
ES_11015,Chiclana de la Frontera,69739,25685,128,249,53,12,75,49,7223,193,41,3100,9741,26,11,857,40,22,15,1171,274,7,4,2048,11,5,181,17,13,3,16,57,5,4,4,7,14,9,0,0
ES_11016,Chipiona,15919,5847,40,57,9,0,16,1,1465,40,6,861,2170,7,1,127,7,9,10,408,50,5,2,462,1,3,46,2,8,1,1,22,4,0,0,2,4,0,0,0
ES_11017,Espera,3157,1067,9,20,0,0,0,0,423,3,0,56,330,1,1,79,0,2,1,58,3,0,0,72,2,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0
ES_11018,"Gastor, El",1412,728,11,6,0,0,1,0,282,1,0,84,270,1,0,15,1,0,0,10,6,0,0,34,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0
ES_11019,Grazalema,1722,863,37,7,2,0,6,0,327,7,0,62,311,0,0,10,0,0,1,33,8,0,0,35,2,1,10,0,0,0,0,0,0,0,2,1,1,0,0,0
ES_11020,Jerez de la Frontera,170757,72436,395,675,142,16,225,66,21697,745,92,7960,28142,66,38,2045,122,62,46,3418,651,47,59,4688,25,52,633,40,50,10,34,109,18,12,5,15,29,7,0,0
ES_11021,Jimena de la Frontera,4898,1941,38,28,10,1,3,1,748,19,1,180,626,2,1,56,1,2,5,70,9,0,1,111,1,0,14,0,1,2,2,1,3,1,0,0,3,0,0,0
ES_11022,"Línea de la Concepción, La",49581,15168,80,135,30,4,60,15,4568,223,13,2022,5498,13,2,274,13,8,6,477,179,7,2,1172,9,193,92,6,4,3,5,27,2,1,1,4,19,1,0,0
ES_11023,Medina-Sidonia,9537,3668,68,40,11,0,9,7,1584,15,1,312,1126,0,1,64,1,0,6,214,23,1,0,157,0,3,14,0,2,0,0,7,1,0,0,0,0,1,0,0
ES_11024,Olvera,6359,2707,37,18,9,1,8,2,967,10,1,259,1048,2,0,66,3,5,0,151,9,3,1,79,0,0,22,0,3,0,1,1,1,0,0,0,0,0,0,0
ES_11025,Paterna de Rivera,4499,1534,18,30,1,0,8,0,822,16,0,95,395,2,0,26,0,1,1,35,4,1,0,66,0,2,8,0,0,0,0,0,2,0,0,0,0,1,0,0
ES_11026,Prado del Rey,4769,2256,42,5,0,2,4,1,638,24,3,249,962,4,2,27,3,7,1,75,10,3,1,159,2,5,12,0,1,0,3,7,3,0,0,1,0,0,0,0
ES_11027,"Puerto de Santa María, El",71207,28202,116,199,79,8,86,36,7708,202,24,3210,11437,28,8,922,45,30,21,1569,255,15,5,1842,6,5,235,7,9,1,10,50,14,0,1,3,12,4,0,0
ES_11028,Puerto Real,34026,14025,101,136,56,2,61,31,6197,277,12,858,2833,16,9,765,29,19,6,1508,170,7,2,742,6,4,95,3,10,1,12,24,11,3,2,2,14,1,0,0
ES_11029,Puerto Serrano,5548,1102,12,15,6,0,3,0,341,3,0,206,292,2,1,41,3,2,1,97,7,1,0,56,0,1,2,0,1,1,0,6,0,1,0,0,1,0,0,0
ES_11030,Rota,23666,10119,112,82,25,5,29,19,2576,113,7,1098,4349,10,3,222,18,11,3,485,105,6,1,711,2,3,78,7,3,0,3,15,3,2,1,2,7,3,0,0
ES_11031,San Fernando,76882,32284,174,261,78,9,103,84,9918,470,74,3849,11577,29,11,914,60,34,17,1326,342,23,5,2302,12,20,303,16,9,6,19,51,15,143,6,6,15,3,0,0
ES_11032,Sanlúcar de Barrameda,55986,18097,108,179,54,11,57,18,5450,157,14,1966,6697,18,8,483,13,26,45,1238,146,7,11,1156,10,2,124,8,12,0,7,47,7,2,1,4,11,0,0,0
ES_11033,San Roque,23227,8955,72,83,17,5,37,8,3028,61,8,1124,3170,3,1,170,9,7,7,255,82,1,1,673,5,22,55,3,5,1,7,16,6,1,1,4,7,0,0,0
ES_11034,Setenil de las Bodegas,2236,832,17,4,2,0,0,2,386,5,0,65,285,0,0,5,0,1,0,18,3,0,0,28,1,0,3,0,3,0,1,2,0,0,0,1,0,0,0,0
ES_11035,Tarifa,14218,5186,37,71,10,6,8,3,1680,60,9,504,1978,3,4,109,8,1,0,205,45,1,2,363,3,13,20,3,3,1,2,19,2,2,2,2,4,3,0,0
ES_11036,Torre Alháquime,675,261,6,5,0,0,0,0,111,1,0,10,107,0,0,5,0,1,1,5,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ES_11037,Trebujena,5698,3087,58,17,7,0,3,6,855,9,0,70,332,0,0,150,1,5,6,1501,9,0,0,47,1,1,5,0,1,0,0,1,1,0,0,0,1,0,0,0
ES_11038,Ubrique,13327,6913,102,40,12,0,27,4,1914,89,11,519,3375,3,1,112,13,3,5,171,57,2,0,361,5,4,46,0,2,2,4,14,5,1,3,1,3,2,0,0
ES_11039,Vejer de la Frontera,10334,3846,34,48,7,5,8,2,1370,21,3,334,1584,3,0,91,4,3,1,120,18,2,1,120,2,3,27,3,3,1,4,9,1,0,0,10,1,3,0,0
ES_11040,Villaluenga del Rosario,392,258,8,6,1,0,1,1,117,0,0,18,74,0,0,0,0,0,1,6,4,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ES_11041,Villamartín,10036,3852,48,38,4,0,11,2,1219,46,3,384,1576,1,1,87,2,2,5,105,13,2,2,234,2,1,17,1,11,1,3,16,3,1,1,3,2,5,0,0
ES_11042,Zahara,1161,560,13,4,0,1,1,1,216,2,0,61,209,0,0,7,1,0,0,15,2,0,0,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
