gisco_id,name,registered,turnout,invalid,blank,IzqEsp,CEUS,FO,AR,PSOE,Andalucistas,IE,Vox,PP,EB,CRT,Podemos,PFAC,PCTE,PCPE-PCPC,Sumar,PACMA,Cree en Europa,PMR,SALF,F,Existe,Cs,FE-JONS,SAE,JUEX,PH,Volt,Recortes Cero,Junts UE,PREx-CREx,GLG,Piratas/Rebeldes,PREPAL,PCTC,PMR-RV-VN
ES_17029,Boadella i les Escaules,205,105,2,0,0,0,0,29,8,0,0,9,8,2,0,4,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,38,0,0,0,0,0,0
ES_17030,Cabanes,680,294,4,2,0,0,1,57,46,0,1,16,24,0,0,9,1,0,0,9,4,0,0,10,0,0,0,0,0,1,0,0,0,108,0,0,1,0,0,0
ES_17031,Cabanelles,180,62,2,7,0,0,0,9,5,0,0,4,5,0,0,5,0,0,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ES_17032,Cadaqués,1986,645,9,2,2,0,0,103,164,1,1,8,40,0,0,14,1,0,0,27,4,0,0,8,0,0,2,0,0,3,0,0,0,252,0,0,3,0,1,0
ES_17033,Caldes de Malavella,6205,2214,11,7,2,3,9,385,470,1,11,141,212,6,3,72,2,0,1,83,42,0,1,79,2,3,6,0,0,2,2,1,0,651,0,0,3,0,3,0
ES_17034,Calonge i Sant Antoni,8265,3255,18,21,0,2,14,483,798,2,5,213,365,7,0,86,16,0,0,87,45,1,1,72,0,5,5,1,3,2,1,1,0,985,3,2,7,0,4,0
ES_17035,Camós,579,307,3,2,0,0,0,70,35,0,1,13,8,0,0,15,0,0,2,11,6,0,0,1,0,0,2,0,0,0,0,0,0,135,1,0,2,0,0,0
ES_17036,Campdevànol,2628,1085,6,12,2,0,5,212,286,0,1,43,68,0,0,29,3,0,0,47,18,0,2,20,1,3,5,0,1,0,0,1,1,313,0,2,2,1,1,0
ES_17037,Campelles,130,70,0,1,0,0,0,12,11,0,0,6,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
ES_17038,Campllong,411,209,1,4,0,0,1,48,20,0,1,13,6,0,0,5,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
ES_17039,Camprodon,1838,810,12,13,0,1,2,126,184,0,0,37,50,2,1,26,3,0,0,20,13,0,1,8,0,3,3,0,0,0,0,1,0,296,1,0,6,0,1,0
ES_17040,Canet dAdri,568,272,1,1,1,0,0,43,35,0,2,8,14,0,0,7,0,0,0,11,1,0,0,1,0,0,1,0,0,3,0,0,0,139,0,0,4,0,0,0
ES_17041,Cantallops,236,121,5,5,0,0,0,37,26,0,0,0,13,1,0,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
ES_17042,Capmany,479,200,1,3,0,0,0,34,34,0,0,9,12,0,0,13,0,0,0,5,1,0,0,8,0,0,1,0,0,0,0,0,0,79,0,0,0,0,0,0
ES_17043,Queralbs,182,101,0,0,0,0,0,16,22,0,0,1,3,1,0,5,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,43,0,0,0,0,1,0
ES_17044,Cassà de la Selva,7340,2966,22,27,0,0,6,582,530,2,7,138,207,6,2,72,4,0,2,53,35,0,0,39,0,0,6,3,0,3,0,2,2,1198,0,1,12,0,5,0
ES_17046,Castellfollit de la Roca,731,319,4,3,0,0,0,79,64,0,1,6,14,0,0,12,1,0,0,4,2,0,0,1,0,0,0,0,0,0,0,1,0,125,0,0,2,0,0,0
ES_17047,Castelló dEmpúries,5782,1904,22,10,1,4,2,288,418,0,4,184,310,2,0,66,3,0,1,35,28,1,1,65,1,0,5,1,1,0,0,7,0,435,0,2,6,0,1,0
ES_17048,"Castell d'Aro, Platja d'Aro i s'Agaró",7580,2778,18,11,1,2,5,277,772,1,3,214,453,0,1,55,4,0,3,49,33,0,3,85,0,0,16,0,5,1,1,3,1,754,0,0,3,0,4,0
ES_17049,Celrà,3549,1586,17,10,1,2,3,338,310,1,4,50,72,4,1,88,4,0,5,67,46,0,3,21,0,0,4,0,1,0,0,0,0,519,0,0,7,0,8,0
ES_17050,Cervià de Ter,727,369,3,3,0,0,0,81,51,0,0,8,22,1,0,8,1,0,1,6,5,0,0,0,0,0,1,0,0,0,0,0,0,176,0,0,1,0,1,0
ES_17051,Cistella,236,119,0,0,0,0,0,21,14,0,0,9,12,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,52,0,0,0,0,0,0
ES_17052,Siurana,135,55,0,0,0,0,1,10,8,0,0,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
ES_17054,Colera,393,196,1,0,0,0,0,26,52,0,0,7,26,0,0,9,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
ES_17055,Colomers,165,105,0,0,0,0,0,24,15,0,0,1,5,0,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,2,0
ES_17056,Cornellà del Terri,1778,824,2,6,1,0,2,168,120,0,1,19,57,1,0,19,2,0,0,23,7,2,1,7,0,1,1,0,1,1,1,0,0,379,0,0,2,0,0,0
ES_17057,Corçà,1000,465,3,2,0,0,1,100,97,1,4,14,23,1,0,13,1,0,0,18,3,0,1,1,0,0,4,0,0,0,0,1,0,174,0,0,3,0,0,0
ES_17058,Crespià,183,100,0,1,0,0,0,14,12,1,0,2,9,0,0,10,0,0,0,5,4,0,0,0,0,0,2,0,0,0,0,0,1,39,0,0,0,0,0,0
ES_17060,Darnius,405,172,1,5,0,0,0,34,40,1,1,7,23,0,0,6,1,0,0,2,1,0,1,2,0,0,0,0,0,1,0,0,0,44,0,0,2,0,0,0
ES_17061,Das,208,84,0,0,0,0,1,27,7,0,0,4,7,0,0,1,0,0,0,4,3,0,2,1,0,0,0,1,0,0,1,0,0,25,0,0,0,0,0,0
ES_17062,"Escala, L",6634,2425,16,14,5,2,3,356,573,0,6,160,243,3,0,77,5,0,0,76,25,0,2,40,1,3,5,1,1,3,0,1,0,795,0,0,6,0,3,0
ES_17063,Espinelves,202,99,1,0,0,0,1,36,8,0,0,0,0,1,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0
ES_17064,Espolla,322,168,1,3,0,0,3,35,45,0,0,0,15,0,0,7,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,51,0,0,1,0,1,0
ES_17065,Esponellà,322,158,1,5,1,0,0,58,14,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,1,0,0
ES_17066,Figueres,27850,9342,73,65,42,10,43,1044,2484,2,18,958,1380,17,5,258,18,0,9,217,112,2,12,285,2,6,39,1,4,4,3,10,4,2163,2,4,25,6,15,0
ES_17067,Flaçà,730,369,3,2,0,0,2,82,53,0,1,13,16,3,0,12,1,0,1,6,4,0,0,3,0,0,0,0,0,0,0,0,0,164,0,0,2,0,1,0
ES_17068,Foixà,245,123,1,1,0,0,0,16,17,0,0,4,11,0,0,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,61,0,0,0,0,0,0
ES_17069,Fontanals de Cerdanya,425,202,6,4,0,3,0,26,21,0,0,13,40,0,0,4,0,0,1,5,4,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0,2,0,0,0
ES_17070,Fontanilles,130,58,0,0,1,0,0,8,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,1,0
ES_17071,Fontcoberta,1165,572,10,6,0,0,0,125,79,0,7,12,20,0,0,7,1,0,0,11,7,0,3,5,0,1,1,0,0,0,0,0,0,275,0,1,0,0,1,0
ES_17073,Fornells de la Selva,2086,1072,8,13,0,1,0,181,134,0,1,36,100,0,0,28,2,0,0,17,19,0,1,11,0,0,1,0,0,0,0,0,0,512,0,0,6,1,0,0
ES_17074,Fortià,580,242,3,0,0,0,0,47,52,0,0,17,24,1,0,5,0,0,1,6,2,0,0,8,0,0,2,0,0,0,0,0,0,72,0,0,1,0,1,0
ES_17075,Garrigàs,362,191,0,8,0,0,0,44,25,0,1,9,15,1,0,4,0,0,0,13,4,0,0,10,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0
ES_17076,Garrigoles,135,72,0,0,0,0,0,17,5,0,2,0,2,1,0,6,0,0,0,9,1,0,0,5,0,0,0,0,0,0,0,0,0,22,0,0,1,0,1,0
ES_17077,Garriguella,659,306,3,7,0,0,0,70,60,0,0,7,19,0,0,7,0,0,1,12,3,0,2,2,0,0,0,0,0,0,0,1,0,112,0,0,0,0,0,0
ES_17078,Ger,388,184,2,3,0,2,1,35,15,0,2,3,14,2,0,4,0,0,1,5,4,0,0,0,0,2,0,0,0,1,0,0,0,88,0,0,0,0,0,0
ES_17079,Girona,69844,30036,190,224,42,27,70,4226,6883,12,52,1554,3165,50,27,1248,70,0,19,980,416,10,37,573,2,15,113,15,5,17,6,49,14,9727,1,10,140,7,40,0
ES_17080,Gombrèn,154,83,0,2,0,0,0,28,13,0,0,3,4,0,0,5,1,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,18,0,0,2,0,0,0
ES_17081,Gualta,287,135,1,2,0,0,0,28,27,0,1,4,7,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
ES_17082,Guils de Cerdanya,467,203,4,4,0,1,1,31,21,0,0,21,24,0,0,4,1,0,0,6,5,0,0,7,0,0,0,0,0,0,0,0,0,69,0,0,3,1,0,0
ES_17083,Hostalric,3152,1242,3,6,2,1,6,239,313,0,1,71,100,2,0,57,2,0,0,46,17,0,0,30,0,0,4,0,1,1,0,0,0,337,0,0,3,0,0,0
ES_17084,Isòvol,259,132,1,1,0,0,0,27,20,0,0,4,15,0,0,4,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
ES_17085,Jafre,306,177,2,3,0,0,1,45,23,0,1,1,5,0,1,5,0,0,0,7,2,0,1,2,1,0,3,0,0,0,0,0,0,73,0,0,1,0,0,0
ES_17086,"Jonquera, La",1765,645,7,6,1,0,1,94,183,3,0,67,130,1,0,13,0,0,2,15,7,0,0,23,0,2,6,0,0,0,0,0,0,81,0,1,1,0,1,0
ES_17087,Juià,238,127,0,1,0,0,0,30,23,0,0,3,4,0,0,4,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,1,0
ES_17088,Lladó,607,278,1,5,0,0,5,76,37,0,0,11,9,0,0,19,3,0,0,13,1,0,1,2,0,0,2,0,0,0,0,0,0,91,0,0,2,0,0,0
ES_17089,Llagostera,6397,2220,9,15,0,6,9,414,487,0,8,103,180,2,0,81,3,0,6,53,27,0,1,45,0,0,6,1,0,0,0,5,0,750,0,0,7,0,2,0
ES_17090,Llambilles,573,276,1,2,0,0,0,64,25,0,0,7,19,0,0,6,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,144,0,0,0,0,0,0
ES_17091,Llanars,404,178,5,6,0,0,1,27,24,0,0,3,8,0,0,4,0,0,0,1,3,0,0,1,0,0,1,1,0,1,0,0,0,90,0,0,1,0,1,0
ES_17092,Llançà,3751,1458,11,16,0,0,4,269,346,0,5,82,125,0,0,35,2,0,3,50,27,0,5,43,0,0,5,0,0,0,1,4,1,413,0,1,5,0,5,0
ES_17093,Llers,956,402,5,8,3,0,0,76,67,0,2,16,42,1,1,11,0,0,0,8,7,0,0,15,0,0,1,0,1,0,1,0,0,134,0,0,2,0,1,0
ES_17094,Llívia,1159,393,2,3,0,0,0,72,56,0,0,20,53,1,0,6,1,0,0,16,5,0,1,5,0,0,0,1,0,0,0,0,0,150,0,0,0,1,0,0
ES_17095,Lloret de Mar,22663,7262,40,65,7,4,28,727,2368,1,26,709,1140,5,1,188,13,0,11,196,91,5,5,247,3,3,62,9,5,10,3,14,4,1233,3,4,18,4,10,0
ES_17096,"Llosses, Les",156,58,0,0,0,1,0,11,4,0,0,0,2,0,1,5,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,1,2,22,0,0,2,0,0,0
ES_17097,Madremanya,208,115,0,4,0,1,0,31,14,0,3,0,7,0,0,9,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,35,0,0,2,0,0,0
ES_17098,Maià de Montcal,335,154,0,2,1,0,0,30,29,0,0,3,3,1,0,7,0,0,2,6,0,0,0,6,0,0,0,0,1,1,0,0,0,59,0,0,3,0,0,0
ES_17099,Meranges,94,57,1,1,0,0,0,5,9,0,1,5,3,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,21,0,0,1,0,1,0
ES_17100,Masarac,202,97,1,3,0,0,0,12,18,0,0,7,9,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,0
ES_17101,Massanes,620,204,2,0,0,0,0,37,58,0,0,17,15,0,0,8,4,0,0,7,10,0,0,4,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
ES_17102,Maçanet de Cabrenys,592,251,4,4,0,0,3,56,53,0,0,8,9,1,0,8,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,98,0,0,1,0,0,0
ES_17103,Maçanet de la Selva,5660,1850,7,5,0,0,2,256,533,0,2,130,198,2,0,54,2,0,11,74,32,0,2,81,0,2,5,4,0,1,0,2,2,423,0,3,10,0,7,0
ES_17105,Mieres,272,99,1,2,0,0,0,24,10,0,1,6,9,1,0,13,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
ES_17106,Mollet de Peralada,156,79,0,0,0,0,0,12,16,0,0,5,3,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0
ES_17107,Molló,289,144,3,6,0,0,0,13,15,0,0,8,8,0,0,3,1,0,0,6,1,0,0,3,0,0,1,0,0,0,0,2,0,74,0,0,0,0,0,0
ES_17109,Montagut i Oix,765,296,3,4,0,0,1,58,51,0,0,4,6,0,2,14,0,0,1,20,3,0,0,6,0,0,1,1,0,0,0,1,0,118,0,0,0,0,2,0
ES_17110,Mont-ras,1339,588,3,5,0,3,2,78,154,1,0,64,62,0,0,6,2,0,0,18,3,0,1,20,0,0,0,0,2,0,0,0,0,164,0,0,0,0,0,0
ES_17111,Navata,1023,474,5,7,1,4,0,83,53,0,0,30,27,0,1,15,5,0,0,17,9,0,1,14,0,0,1,0,0,2,0,0,1,194,0,0,3,0,1,0
ES_17112,Ogassa,187,107,3,1,1,0,0,21,14,0,0,5,6,0,1,4,0,0,0,3,0,0,0,4,0,1,1,0,1,1,0,0,0,39,0,0,1,0,0,0
ES_17114,Olot,24168,9265,76,75,2,10,17,1586,2185,1,16,490,594,8,5,273,14,0,12,233,90,1,14,112,3,5,21,2,0,5,5,11,2,3346,0,5,27,6,13,0
ES_17115,Ordis,293,154,2,1,0,0,0,36,20,0,0,6,5,2,0,4,0,0,0,6,4,0,1,2,0,0,0,0,0,0,0,0,0,57,0,0,6,0,2,0
