gisco_id,name,registered,turnout,invalid,blank,INICIATIVA FEMINISTA,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,PARTIDO SOCIALISTA DE ANDALUCÍA,FALANGE ESPAÑOLA DE LAS JONS,IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL,PARTIDO POPULAR,EXTREMADURA UNIDA,CENTRO DEMOCRÁTICO LIBERAL,UNIO VALENCIANA,PARTIDO FAMILIA Y VIDA,UNIÓN CENTRISTA LIBERAL,PARTIT REPUBLICÀ CATALÀ,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,UNIÓN PROGRESO Y DEMOCRACIA,ALTERNATIVA ESPAÑOLA,FALANGE AUTÉNTICA,POR UN MUNDO MÁS JUSTO,SALAMANCA-ZAMORA-LEÓN,CENTRO DEMOCRÁTICO Y SOCIAL,LIBERTAS-CIUDADANOS DE ESPAÑA,LOS VERDES-GRUPO VERDE EUROPEO,FRENTE NACIONAL,PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,PARTIDO SOCIALISTA OBRERO ESPAÑOL,MOVIMIENTO SOCIAL REPUBLICANO,UNIDÁ NACIONALISTA ASTURIANA,INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS,DEMOCRACIA NACIONAL,UNIFICACIÓN COMUNISTA DE ESPAÑA,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA,ANDECHA ASTUR,PARTIDO HUMANISTA,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA: LA IZQUIERDA,LOS VERDES-(EUROPA DE LOS PUEBLOS-VERDES),PARTIDO ANDALUCISTA-COALICIÓN POR EUROPA,COALICIÓN POR EUROPA,CHUNTA ARAGONESISTA (EUROPA DE LOS PUEBLOS-VERDES),IZQUIERDA UNIDA DE ARAGÓN: LA IZQUIERDA,EUROPA DE LOS PUEBLOS-VERDES,IZQUIERDA UNIDA DE ASTURIAS-BLOQUE POR ASTURIES: LA IZQUIERDA,ELS VERDS-GRUP VERD EUROPEU-LOS VERDES-GRUPO VERDE EUROPEO,ESQUERRA REPUBLICANA-ENTESA (EUROPA DELS POBLES-VERDS),ESQUERRA UNIDA DE LES ILLES BALEARS-VERDS: L'ESQUERRA,INICIATIVA INTERNACIONALISTA - LA SOLIDARITAT ENTRE ELS POBLES,REVOLTA GLOBAL-ESQUERRA ANTICAPITALISTA,UNIÓ MALLORQUINA-UNIÓ MENORQUINA-COALICIÓ PER EUROPA,COALICIÓN CANARIA-COALICIÓN POR EUROPA,IZQUIERDA UNIDA CANARIA: LA IZQUIERDA,IZQUIERDA UNIDA: LA IZQUIERDA,CONVERGÈNCIA I UNIÓ-COALICIÓ PER EUROPA,ELS VERDS-GRUP VERD EUROPEU,ESQUERRA REPUBLICANA DE CATALUNYA-(EUROPA DELS POBLES-VERDS),INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA,PARTIT DELS SOCIALISTES DE CATALUNYA PSC,BLOQUE NACIONALISTA GALEGO (EUROPA DOS POBOS-VERDES),ESQUERDA ANTICAPITALISTA-IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL,ESQUERDA UNIDA-IZQUIERDA UNIDA: A ESQUERDA,INICIATIVA INTERNACIONALISTA - A SOLIDARIEDADE ENTRE OS POBOS,OS VERDES-GRUPO VERDE EUROPEO,IZQUIERDA UNIDA COMUNIDAD DE MADRID: LA IZQUIERDA,BERDEAK-EUROPAR TALDE BERDEA-LOS VERDES-GRUPO VERDE EUROPEO,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO-COALICIÓN POR EUROPA-EUROPARAKO KOALIZIOA,EZKER ANTIKAPITALISTA-IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL,INDEPENDENTISTAK ETA EZKERTIARRAK-EUROPA DE LOS PUEBLOS-VERDES,INIZIATIBA INTERNAZIONALISTA - HERRIEN ELKARTASUNA,IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA: LA IZQUIERDA,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA-EUSKAL KOMUNISTAK,EZKER BATUA-BERDEAK: EZKERRA,IZQUIERDA UNIDA DE LA REGIÓN DE MURCIA: LA IZQUIERDA,BLOC NACIONALISTA VALENCIÀ-COALICIÓ PER EUROPA,ESQUERRA ANTICAPITALISTA-REVOLTA GLOBAL,ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ-ELS VERDS (EUROPA DELS POBLES-VERDS),ESQUERRA UNIDA DEL PAÍS VALENCIÀ: L'ESQUERRA
ES_24117,Pozuelo del Páramo,481,290,2,1,1,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24118,Prado de la Guzpeña,125,82,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24119,Priaranza del Bierzo,777,330,1,6,0,0,0,0,0,156,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24120,Prioro,383,191,1,1,0,0,0,0,0,144,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24121,Puebla de Lillo,634,362,0,7,0,0,0,0,0,153,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24122,Puente de Domingo Flórez,1482,656,2,8,1,0,2,0,0,329,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24123,Quintana del Castillo,870,428,2,5,0,0,0,1,0,200,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24124,Quintana del Marco,423,209,1,2,0,0,0,0,0,109,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24125,Quintana y Congosto,595,294,3,2,0,0,0,0,0,158,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,118,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24127,Regueras de Arriba,326,202,2,4,0,0,0,0,0,123,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24129,Reyero,125,74,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24130,Riaño,467,244,0,2,0,0,0,0,1,144,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,83,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24131,Riego de la Vega,869,423,1,7,0,1,1,0,2,261,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24132,Riello,704,283,3,2,0,0,0,0,2,147,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24133,Rioseco de Tapia,407,227,0,4,0,0,0,1,0,136,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24134,"Robla, La",3826,1821,12,25,1,0,0,1,0,635,1,0,0,1,1,0,2,20,1,0,0,8,0,2,2,1,0,1029,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24136,Roperuelos del Páramo,628,289,3,4,0,0,0,1,0,170,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24137,Sabero,1299,696,2,6,0,0,0,0,0,238,0,0,0,0,0,1,3,6,0,0,0,0,0,0,2,0,0,401,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24139,Sahagún,2390,1231,9,13,0,0,0,2,0,676,0,1,0,0,0,0,0,18,0,0,0,1,1,0,3,0,5,484,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24141,San Adrián del Valle,116,79,2,2,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24142,San Andrés del Rabanedo,24457,11042,99,210,13,3,1,7,5,3945,0,1,1,3,1,1,8,396,8,3,8,49,8,6,52,4,34,5814,4,2,8,11,2,3,1,4,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24143,Sancedo,526,276,0,3,0,0,0,0,0,123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24144,San Cristóbal de la Polantera,829,458,3,8,0,0,0,0,0,257,0,0,0,0,0,0,1,4,0,0,0,2,0,0,2,0,0,169,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24145,San Emiliano,684,257,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,143,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_24146,San Esteban de Nogales,292,194,2,0,0,0,0,0,1,133,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
