gisco_id,name,registered,turnout,invalid,blank,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvos socialdemokratų partija,Partija Tvarka ir teisingumas,Darbo partija,Lietuvos lenkų rinkimų akcija,Lietuvos Respublikos liberalų sąjūdis,Liberalų ir centro sąjunga,Lietuvos centro partija,Krikščionių konservatorių socialinė sąjunga,"""FRONTO"" PARTIJA",Lietuvos valstiečių liaudininkų sąjunga,Pilietinės demokratijos partija,Žemaičių partija,Tautos prisikėlimo partija,Tautinė partija LIETUVOS KELIAS
LT_7994,Trakų seniūnija,29236,6127,160,0,913,795,534,695,1893,170,306,137,147,157,60,40,42,61,17
LT_1081,Ukmergės,35774,7478,199,0,1713,1775,895,958,28,396,203,233,398,214,196,100,48,97,25
LT_8274,Utenos seniūnija,39505,7796,195,0,2423,1932,780,637,22,437,202,280,329,199,102,125,36,81,16
LT_3808,Varėnos seniūnija,23716,4997,136,0,1008,1298,470,445,37,377,143,560,177,130,63,64,31,49,9
LT_0439,Vilkaviškio,38461,7384,187,0,1752,2733,876,543,16,205,97,218,214,206,103,77,34,97,26
LT_LTZZIE,Ireland,3827,1563,34,0,338,298,198,134,9,171,107,59,19,25,12,45,43,57,14
LT_LTZZAR,Argentina,96,28,0,0,19,6,0,0,0,1,0,0,1,0,0,1,0,0,0
LT_LTZZAM,Armenia,9,8,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZAT,Austria,121,79,1,0,37,9,2,2,0,15,8,2,0,0,1,1,1,0,0
LT_LTZZAZ,Azerbaijan,22,11,0,0,1,1,1,1,1,0,1,4,0,0,0,1,0,0,0
LT_LTZZBE,Belgium,810,591,2,0,307,86,6,6,6,115,31,7,4,0,5,9,6,1,0
LT_LTZZBR,Brazil,64,48,0,0,34,1,0,1,0,4,2,1,1,0,0,4,0,0,0
LT_LTZZBG,Bulgaria,35,11,1,0,4,1,0,0,0,1,1,0,2,0,1,0,0,0,0
LT_LTZZCZ,Czech Republic,84,50,0,0,13,10,8,1,1,12,1,0,1,0,0,0,1,1,1
LT_LTZZDK,Denmark,591,167,15,0,52,25,5,6,0,35,16,5,2,0,0,3,2,1,0
LT_LTZZEG,Egypt,16,11,0,0,0,0,0,1,1,2,2,2,1,0,0,1,1,0,0
LT_LTZZEE,Estonia,172,123,5,0,22,19,23,10,0,6,9,13,5,3,2,1,3,2,0
LT_LTZZGR,Greece,79,22,0,0,8,5,0,0,0,0,3,2,1,0,1,1,1,0,0
LT_LTZZGE,Georgia,73,48,1,0,16,5,0,0,1,10,4,2,2,0,1,3,3,0,0
LT_LTZZIT,Italy,130,92,0,0,61,4,1,1,1,2,14,4,0,0,0,3,1,0,0
LT_LTZZIL,Israel,206,101,4,0,30,15,14,4,1,10,7,7,1,1,5,1,0,0,1
LT_LTZZJP,Japan,60,43,0,0,20,5,2,2,0,11,2,0,0,0,0,0,1,0,0
LT_LTZZKZ,Kazakhstan,105,22,1,0,7,5,3,4,0,1,1,0,0,0,0,0,0,0,0
LT_LTZZCO,Kolumbijos Respublikai,118,61,0,0,23,11,6,1,0,8,0,0,0,2,5,0,2,0,3
LT_LTZZCN,China,39,24,1,0,8,3,1,0,0,8,3,0,0,0,0,0,0,0,0
LT_LTZZLV,Latvia,1032,445,17,0,80,71,84,73,13,24,15,9,12,5,14,0,16,10,2
LT_LTZZMD,Moldova,61,36,0,0,7,5,3,3,1,8,4,1,1,1,1,0,0,0,1
LT_LTZZNL,Netherlands,212,71,0,0,25,11,3,2,0,19,8,1,0,1,0,1,0,0,0
LT_LTZZNO,Norway,462,117,0,0,53,17,6,4,0,18,8,4,4,1,0,0,2,0,0
LT_LTZZPT,Portugal,68,45,0,0,12,8,4,1,0,11,7,0,0,0,0,0,0,2,0
LT_LTZZFR,France,233,136,4,0,62,18,1,1,0,20,16,7,3,1,0,2,1,0,0
LT_LTZZRO,Romania,21,8,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
LT_LTZZSI,Slovenia,18,14,0,0,5,3,0,0,1,1,2,1,0,0,0,1,0,0,0
LT_LTZZFI,Finland,111,72,1,0,25,11,1,1,1,17,8,1,2,1,1,0,1,1,0
LT_LTZZSE,Sweden,306,167,0,0,61,31,8,4,0,31,19,6,1,1,2,2,0,1,0
LT_LTZZCH,Switzerland,187,115,1,0,56,18,3,1,1,14,7,4,3,1,3,2,1,0,0
LT_LTZZTR,Turkey,49,35,0,0,13,6,1,0,0,4,8,2,0,0,1,0,0,0,0
LT_LTZZUA,Ukraine,301,149,5,0,25,23,27,15,11,8,8,5,5,2,6,1,4,2,2
LT_LTZZUY,Urugvajaus,8,8,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
LT_LTZZHU,Hungary,47,29,1,0,14,4,0,0,0,7,2,0,1,0,0,0,0,0,0
LT_LTZZIN,India,8,4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
LT_LTZZAU,Australia,220,153,4,0,102,10,5,1,0,10,12,0,2,0,1,4,2,0,0
LT_LTZZBY,Belarus,482,218,12,0,18,46,66,29,19,7,6,2,2,3,2,4,1,1,0
LT_LTZZES,Spain,308,175,0,0,56,24,10,6,3,29,22,11,4,3,3,2,2,0,0
LT_LTZZUS,United States,2470,1375,31,0,874,119,53,6,6,105,56,15,38,7,5,29,10,14,7
LT_LTZZGB,United Kingdom,3109,945,12,0,359,124,51,48,11,149,81,18,11,10,9,21,12,25,4
LT_LTZZCA,Canada,385,182,7,0,140,7,2,1,0,12,1,2,4,0,0,0,3,3,0
LT_LTZZPL,Poland,576,109,2,0,35,9,4,1,28,12,6,3,4,0,0,0,1,3,1
LT_LTZZRU,Russia,1615,522,19,0,93,83,115,68,12,36,8,7,12,4,17,11,25,8,4
LT_LTZZDE,Germany,584,443,13,0,168,72,19,7,4,83,30,11,10,3,8,5,4,6,0
LT_3000,Visagino savivaldybė,20972,2023,44,0,90,203,712,190,155,51,363,45,22,42,50,21,9,16,10
LT_4330,Zarasų seniūnija,17297,4438,130,0,723,1047,662,652,136,217,88,143,155,136,227,41,18,56,7
