gisco_id,name,registered,turnout,invalid,blank,Maldeikienė,Radžvilas,TTS,DP,LLS,LVŽS,LSDP,LRLS,LŽP,LCP,TS-LKD,LSDDP,Paksas,Lemiamas šuolis,LLRA,SLVE
LT_32,Akmenės rajono savivaldybė,17813,9032,571,0,334,202,222,856,80,1730,2348,446,240,344,858,248,378,59,48,68
LT_11,Alytaus miesto savivaldybė,46111,23663,1622,0,1357,693,391,1576,227,3125,4730,1083,425,1918,3912,550,584,942,100,428
LT_33,Alytaus rajono savivaldybė,24127,12368,769,0,519,258,237,1002,104,2267,1990,432,364,935,2295,317,380,262,37,200
LT_0934,Alnykščių,22799,11947,726,0,476,378,192,1246,126,1963,2249,609,284,524,2297,315,314,90,43,115
LT_12,Birštono savivaldybė,4049,2448,151,0,111,87,63,96,22,194,684,105,37,128,432,236,46,32,7,17
LT_36,Biržų rajono savivaldybė,22398,11574,682,0,521,479,247,1313,109,1876,2406,472,252,579,1550,382,429,82,44,151
LT_15,Druskininkų savivaldybė,18137,10065,693,0,670,298,217,724,127,1338,1852,436,288,554,1793,295,361,118,129,172
LT_42,Elektrėnų savivaldybė,20343,10348,573,0,618,214,202,1172,215,1492,1530,898,229,589,1404,254,474,105,233,146
LT_45,Ignalinos rajono savivaldybė,14482,8085,448,0,322,142,165,957,82,1903,1577,230,190,252,901,208,350,59,199,100
LT_46,Jonavos rajono savivaldybė,35954,16667,975,0,950,412,287,1912,216,2245,3632,987,327,732,2215,641,532,119,232,253
LT_47,Joniškio rajono savivaldybė,19495,9456,543,0,382,210,209,1118,119,1693,2015,695,211,459,949,265,423,55,24,86
LT_94,Jurbarko rajono savivaldybė,23721,11441,820,0,540,284,454,1084,128,1600,1994,630,242,765,1957,321,281,97,22,222
LT_49,Kaišiadorių rajono savivaldybė,25687,12859,762,0,743,362,217,1112,173,2145,2282,683,394,684,2136,363,282,245,60,216
LT_48,Kalvarijos savivaldybė,9017,3924,251,0,135,72,336,448,48,632,665,200,109,196,528,88,121,35,7,53
LT_19,Kauno miesto savivaldybė,246750,141296,8312,0,11343,6086,2636,8230,1573,15925,19118,10161,2993,8034,36488,2594,2806,2054,968,1975
LT_52,Kauno rajono savivaldybė,79533,45210,2488,0,3095,1375,815,2940,526,5322,8678,2877,992,2629,10300,1055,862,501,166,589
LT_58,Kazlų Rūdos savivaldybė,9931,4938,408,0,227,131,115,419,66,738,956,230,140,307,764,115,167,55,16,84
LT_54,Kelmės rajono savivaldybė,24681,11690,614,0,407,213,248,1057,151,2478,2876,513,312,552,1191,349,445,93,33,158
LT_21,Klaipėdos miesto savivaldybė,127208,64653,3921,0,4286,2436,1900,5383,731,6425,6704,6214,1173,3806,10562,1024,3592,702,4942,852
LT_55,Klaipėdos rajono savivaldybė,47493,25107,1735,0,1594,1087,910,2135,344,3362,3250,2294,600,1487,3911,499,1046,248,272,333
LT_56,Kretingos rajono savivaldybė,32391,17050,1288,0,933,593,714,1969,190,2496,2528,861,398,1072,2637,370,632,131,34,204
LT_57,Kupiškio rajono savivaldybė,15462,7931,514,0,324,153,141,794,80,1486,1596,264,195,390,1456,190,177,53,30,88
LT_53,Kėdainių rajono savivaldybė,41661,21537,1224,0,1058,463,305,5454,153,3412,2896,1035,520,875,2700,502,437,170,126,207
LT_59,Lazdijų rajono savivaldybė,17721,9141,711,0,368,174,345,802,84,1634,1730,307,299,442,1529,195,272,88,39,122
LT_18,Marijampolės savivaldybė,47584,23366,1460,0,1176,654,393,1683,160,4069,5273,877,615,1317,3974,554,584,232,58,287
LT_61,Mažeikių rajono savivaldybė,45208,21935,1182,0,1265,521,1787,1968,170,3823,3663,843,472,1346,2574,492,1191,193,142,303
LT_62,Molėtų rajono savivaldybė,17129,8912,481,0,493,271,164,949,165,1274,1436,338,328,431,1772,287,270,70,73,110
LT_23,Neringos savivaldybė,4328,2839,126,0,197,114,44,99,87,187,411,462,51,103,777,42,71,23,20,25
LT_63,Pagėgių savivaldybė,7402,3324,292,0,127,35,520,353,18,469,612,105,68,144,319,72,119,24,10,37
LT_65,Pakruojo rajono savivaldybė,17295,8570,408,0,259,152,184,784,126,1402,3072,270,199,291,778,226,272,45,28,74
LT_25,Palangos miesto savivaldybė,15547,9448,665,0,653,508,272,541,156,973,1278,688,212,527,2080,206,318,133,95,143
LT_27,Panevėžio miesto savivaldybė,78005,43038,2488,0,2911,1743,920,3848,570,4995,7293,2855,715,2682,8670,951,1184,428,209,576
