gisco_id,name,registered,turnout,invalid,blank,LKDP-ŽP,DP,LVŽS,LSDP,LLRA,LS,LŽP,TS-LKD,LP,NS,KS,LIT,LRP,TTS,DSVL
LT_63,Pagėgių savivaldybė,6464,1629,40,0,41,56,224,471,4,171,17,148,46,18,24,12,127,140,90
LT_65,Pakruojo rajono savivaldybė,15671,4655,107,0,111,110,546,1881,13,190,96,470,124,79,55,65,364,282,162
LT_25,Palangos miesto savivaldybė,16851,6217,95,0,334,47,603,782,45,345,264,1851,404,311,87,82,283,330,354
LT_27,Panevėžio miesto savivaldybė,72103,18547,418,0,676,181,1855,3713,40,1054,557,4392,1005,736,289,199,1167,960,1305
LT_66,Panevėžio rajono savivaldybė,31258,8266,156,0,269,195,1138,1960,27,345,239,1543,379,209,131,57,522,530,566
LT_LTZZ99,Pasaulio lietuvių,45816,27483,1106,0,794,208,1146,2677,194,1819,1461,7720,5510,728,431,415,1145,980,1149
LT_67,Pasvalio rajono savivaldybė,19427,5759,138,0,197,136,561,1705,27,127,110,936,203,164,101,62,419,465,408
LT_68,Plungės rajono savivaldybė,28016,6739,163,0,414,88,980,1554,13,383,203,958,274,205,121,56,319,629,379
LT_69,Prienų rajono savivaldybė,21906,5927,118,0,153,150,534,2009,22,163,143,879,225,193,104,48,495,404,287
LT_71,Radviliškio rajono savivaldybė,29011,7288,168,0,285,190,946,2094,25,282,246,895,244,231,120,73,552,525,412
LT_72,Raseinių rajono savivaldybė,26176,7030,143,0,223,381,930,2060,20,175,139,973,217,112,106,47,583,636,285
LT_74,Rietavo savivaldybė,6165,1675,38,0,66,44,170,461,5,105,49,218,55,36,16,19,113,167,113
LT_73,Rokiškio rajono savivaldybė,24080,6730,136,0,197,216,708,2123,23,250,171,1103,273,170,100,70,393,440,357
LT_75,Skuodo rajono savivaldybė,13980,3325,103,0,129,83,465,806,7,110,68,425,98,83,60,27,255,403,203
LT_77,Tauragės rajono savivaldybė,32096,7348,154,0,259,67,1105,1784,17,584,163,1163,293,158,109,55,552,577,308
LT_78,Telšių rajono savivaldybė,33666,8110,183,0,302,941,1075,1704,26,242,194,1019,323,201,137,94,608,561,500
LT_79,Trakų rajono savivaldybė,28305,8127,173,0,240,170,442,1171,1542,1101,205,1117,497,272,82,101,304,325,385
LT_81,Ukmergės rajono savivaldybė,28980,7987,140,0,249,189,781,1597,35,233,197,1275,355,298,97,105,1227,541,668
LT_82,Utenos rajono savivaldybė,32296,8884,188,0,323,93,678,2175,24,368,315,1785,467,282,128,96,617,689,656
LT_38,Varėnos rajono savivaldybė,18635,5673,125,0,113,129,306,1450,56,328,163,1052,324,193,78,128,259,498,471
LT_39,Vilkaviškio rajono savivaldybė,29626,7390,196,0,235,175,737,2642,58,212,186,857,255,184,117,85,423,613,415
LT_13,Vilniaus miesto savivaldybė,440333,146566,1518,0,3682,1049,5582,12998,10820,9067,8831,44032,22484,7968,1268,2606,3821,3125,7715
LT_41,Vilniaus rajono savivaldybė,88614,29370,399,0,644,363,806,2646,11987,1220,844,4532,2023,722,231,344,999,558,1052
LT_30,Visagino savivaldybė,15508,2418,36,0,106,106,415,329,534,159,50,146,105,23,48,71,101,88,101
LT_43,Zarasų rajono savivaldybė,13288,3725,67,0,124,128,373,939,138,190,87,568,177,94,31,43,363,227,176
LT_84,Šakių rajono savivaldybė,22682,6339,144,0,218,85,1103,1690,14,168,197,1101,226,147,110,55,288,505,288
LT_85,Šalčininkų rajono savivaldybė,25080,11245,295,0,114,149,116,384,9276,55,52,148,148,51,31,47,143,133,103
LT_29,Šiaulių miesto savivaldybė,79747,20799,434,0,993,164,3232,3847,73,1133,676,3596,1183,746,327,179,1309,1346,1561
LT_91,Šiaulių rajono savivaldybė,35475,8657,168,0,350,153,2112,1795,15,346,241,1096,366,257,128,65,530,517,518
LT_87,Šilalės rajono savivaldybė,18336,4766,127,0,115,75,528,1092,13,139,98,1021,161,78,59,94,232,677,257
LT_88,Šilutės rajono savivaldybė,32732,7861,239,0,262,144,890,1929,30,283,179,1188,299,208,117,99,528,611,855
LT_89,Širvintų rajono savivaldybė,13286,4864,114,0,97,45,257,477,155,100,93,547,203,132,30,35,2201,181,197
LT_86,Švenčionių rajono savivaldybė,19443,5175,155,0,152,227,416,993,789,143,146,562,229,107,49,443,271,298,195
