gisco_id,name,registered,turnout,invalid,blank,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvos socialdemokratų partija,Lietuvos Respublikos liberalų sąjūdis,Partija Tvarka ir teisingumas,Darbo partija,Lenkų rinkimų akcijos ir Rusų aljanso koalicija „Valdemaro Tomaševskio blokas“,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos žaliųjų partija,Tautininkų sąjunga,Liberalų ir centro sąjunga
LT_LTZZIT,Italy,257,199,8,0,83,25,46,1,4,5,9,11,2,5
LT_LTZZIL,Israel,97,73,1,0,26,12,12,9,2,1,2,4,1,3
LT_LTZZJP,Japan,154,118,1,0,65,7,26,1,0,1,6,9,1,1
LT_LTZZKZ,Kazakhstan,83,66,0,0,24,12,20,2,2,0,1,2,1,2
LT_LTZZCN,China,98,35,0,0,10,2,13,0,0,1,1,5,0,3
LT_LTZZLV,Latvia,249,167,4,0,45,20,48,25,6,4,3,4,2,6
LT_LTZZMD,Moldova,30,18,1,0,2,0,3,2,4,1,0,2,3,0
LT_LTZZNL,Netherlands,630,461,6,0,146,42,182,14,12,5,9,27,8,10
LT_LTZZNO,Norway,1172,1023,24,0,241,121,369,67,31,14,41,47,37,31
LT_LTZZPT,Portugal,80,61,0,0,15,7,30,2,0,0,0,2,2,3
LT_LTZZFR,France,382,336,5,0,114,43,111,5,3,2,8,27,10,8
LT_LTZZRO,Romania,24,24,0,0,11,1,8,0,0,0,1,2,0,1
LT_LTZZSI,Slovenia,24,17,0,0,4,6,6,0,0,0,1,0,0,0
LT_LTZZFI,Finland,147,125,0,0,46,13,46,1,2,0,5,3,4,5
LT_LTZZSE,Sweden,496,406,1,0,151,41,132,17,7,0,17,26,3,11
LT_LTZZCH,Switzerland,303,246,1,0,97,36,72,1,1,4,7,21,0,6
LT_LTZZTR,Turkey,79,53,0,0,7,14,21,2,2,0,1,0,1,5
LT_LTZZUA,Ukraine,199,166,4,0,42,28,41,16,16,6,4,7,0,2
LT_LTZZHU,Hungary,47,33,1,0,14,3,14,0,0,0,0,1,0,0
LT_LTZZIN,India,10,8,0,0,4,0,4,0,0,0,0,0,0,0
LT_LTZZBR,Brazil,56,31,4,0,15,3,4,1,0,0,1,1,0,2
LT_LTZZBY,Belarus,261,199,5,0,25,45,24,33,27,27,1,1,6,5
LT_LTZZES,Spain,256,189,3,0,62,28,61,5,5,1,3,16,3,2
LT_LTZZUS,United States,1832,1425,27,0,714,134,272,42,19,7,48,48,84,30
LT_LTZZGB,United Kingdom,4346,3197,65,0,904,332,1109,194,132,37,128,120,98,78
LT_LTZZCA,Canada,189,144,6,0,84,13,25,0,3,0,3,5,4,1
LT_LTZZPL,Poland,243,186,5,0,55,13,40,9,1,38,3,2,12,8
LT_LTZZRU,Russia,824,600,12,0,105,113,68,115,68,50,13,33,14,9
LT_LTZZDE,Germany,1072,845,18,0,282,99,230,38,37,8,33,56,27,17
LT_3000,Visagino savivaldybė,18263,6776,200,0,191,410,236,1991,843,2164,80,35,39,587
LT_4330,Zarasų seniūnija,16154,7585,397,0,965,1532,608,1349,1437,395,566,199,79,58
