gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,ÖVR
SE_2582,Boden,21995,19028,9,129,2903,694,769,537,8779,1254,688,2770,374,122
SE_2523,Gällivare,14828,12193,3,82,1311,213,174,273,6117,1407,503,1843,197,70
SE_2583,Haparanda,6177,4348,3,22,573,363,76,118,2175,209,126,582,69,32
SE_2510,Jokkmokk,4064,3321,1,24,299,80,105,44,1597,320,312,421,95,23
SE_2514,Kalix,12984,11073,0,94,1267,520,268,231,6113,692,449,1262,144,33
SE_2584,Kiruna,17933,15121,4,153,1540,441,339,508,7090,1738,779,1976,413,140
SE_2580,Luleå,59392,52046,26,338,8226,2380,2281,1664,23092,3856,3431,4567,1568,617
SE_2521,Pajala,5016,4056,0,32,383,133,63,212,1859,722,92,457,80,23
SE_2581,Piteå,33137,29413,9,201,3389,1449,855,1024,15655,2340,1351,2218,774,148
SE_2560,Älvsbyn,6412,5446,0,30,441,330,144,171,2895,500,117,692,83,43
SE_2513,Överkalix,2812,2402,2,18,194,211,42,27,1250,250,52,310,35,11
SE_2518,Övertorneå,3416,2749,0,16,291,302,59,98,1289,275,76,301,31,11
SE_1260,Bjuv,10602,8591,4,117,1425,269,221,188,3425,296,312,2173,84,77
SE_1272,Bromölla,9465,8119,1,89,1231,242,238,170,3041,364,335,2282,84,42
SE_1231,Burlöv,12077,9738,0,77,2038,291,476,178,3548,418,588,1863,178,83
SE_1278,Båstad,11702,10169,1,82,3497,1018,619,544,1835,217,635,1492,169,60
SE_1285,Eslöv,23964,20231,8,237,3999,1334,871,462,6556,745,1147,4290,400,182
SE_1283,Helsingborg,101934,84283,20,781,22803,2812,4384,2859,24663,3422,5612,14555,1606,766
SE_1293,Hässleholm,38871,33072,13,426,6204,1980,1255,1674,9754,1011,2260,7653,578,264
SE_1284,Höganäs,19372,16997,4,147,5709,892,1073,906,3706,497,1065,2488,351,159
SE_1266,Hörby,11469,9636,1,132,1848,853,383,347,2367,259,458,2604,184,200
