gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,d,FRP,Kustkult,SF,BRP,AfS,CSIS,DD,DP,EAP,KLP,KrVP,Lpo,MED,NYREF,PV,SKP,SkåP,TRP,ViS
SE_0114,Upplands-Väsby,31505,16325,28.0,106,3121,1390,606,1548,3569,1073,1706,2785,91,121,0.0,1.0,0.0,0.0,0.0,65.0,1.0,7.0,10.0,0.0,5.0,7.0,2.0,25.0,2.0,11.0,6.0,0.0,0.0,39.0
SE_0115,Vallentuna,23794,14469,24.0,78,3375,1800,793,1251,2353,536,1787,2136,76,96,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,11.0,0.0,3.0,1.0,0.0,43.0,0.0,15.0,0.0,0.0,0.0,6.0
SE_0117,Österåker,31925,19103,42.0,112,4610,2171,970,1854,3306,736,2250,2696,95,103,0.0,0.0,0.0,0.0,0.0,68.0,0.0,11.0,7.0,0.0,3.0,2.0,3.0,27.0,0.0,19.0,6.0,0.0,0.0,12.0
SE_0120,Värmdö,31978,19297,51.0,105,4226,2196,839,1469,3442,983,2763,2795,108,106,0.0,0.0,0.0,0.0,1.0,91.0,0.0,5.0,45.0,0.0,0.0,8.0,4.0,30.0,0.0,24.0,1.0,0.0,0.0,5.0
SE_0123,Järfälla,54359,29395,51.0,182,5950,2527,1381,2482,6844,1851,3425,3999,157,178,0.0,2.0,0.0,0.0,0.0,149.0,0.0,14.0,12.0,0.0,7.0,18.0,3.0,75.0,2.0,39.0,24.0,0.0,0.0,23.0
SE_0125,Ekerö,19721,13122,22.0,74,3138,1735,685,1323,1885,458,1761,1775,74,58,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,33.0,0.0,14.0,1.0,0.0,0.0,6.0
SE_0126,Huddinge,74036,40230,83.0,227,7921,3928,1731,2853,8582,2608,5534,5646,351,259,0.0,3.0,0.0,0.0,0.0,223.0,0.0,10.0,31.0,0.0,4.0,35.0,3.0,103.0,0.0,51.0,9.0,0.0,0.0,35.0
SE_0127,Botkyrka,59492,26098,66.0,157,3850,1854,859,2500,6948,2088,2883,4140,202,187,0.0,3.0,0.0,0.0,0.0,129.0,0.0,8.0,8.0,0.0,5.0,49.0,0.0,69.0,4.0,34.0,30.0,0.0,0.0,25.0
SE_0128,Salem,11580,6778,17.0,39,1427,700,341,646,1427,276,786,955,39,33,0.0,1.0,0.0,0.0,0.0,26.0,0.0,2.0,14.0,0.0,2.0,8.0,4.0,18.0,0.0,10.0,1.0,0.0,0.0,6.0
SE_0136,Haninge,60903,30512,50.0,232,5685,2502,1043,2264,7057,1988,3046,5759,206,260,0.0,6.0,0.0,0.0,0.0,219.0,0.0,7.0,23.0,0.0,8.0,10.0,2.0,59.0,0.0,34.0,8.0,0.0,0.0,44.0
SE_0138,Tyresö,34285,21095,48.0,115,4700,1992,1018,1551,4396,952,2973,2867,122,125,0.0,0.0,0.0,0.0,0.0,111.0,0.0,4.0,29.0,1.0,0.0,7.0,1.0,37.0,0.0,20.0,3.0,0.0,0.0,23.0
SE_0139,Upplands-Bro,19413,10050,16.0,70,1883,845,423,1080,2181,550,892,1861,46,76,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,3.0,0.0,3.0,30.0,2.0,14.0,0.0,8.0,1.0,0.0,0.0,8.0
SE_0140,Nykvarn,7785,4295,8.0,28,979,428,116,304,868,96,432,956,13,26,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0160,Täby,51815,35077,33.0,149,11199,4741,2628,3674,4190,763,3582,3463,119,198,0.0,1.0,0.0,0.0,0.0,147.0,0.0,3.0,12.0,0.0,8.0,16.0,1.0,101.0,0.0,26.0,7.0,0.0,0.0,16.0
SE_0162,Danderyd,24204,17808,34.0,51,6762,2261,1568,2290,1207,280,1610,1439,59,73,0.0,0.0,0.0,0.0,0.0,69.0,0.0,2.0,11.0,0.0,1.0,9.0,1.0,58.0,0.0,11.0,0.0,0.0,0.0,12.0
SE_0163,Sollentuna,50151,31719,48.0,122,7693,4102,2210,2917,5529,1469,3831,3110,155,207,0.0,3.0,0.0,0.0,0.0,135.0,2.0,21.0,7.0,1.0,8.0,16.0,3.0,66.0,0.0,27.0,15.0,0.0,0.0,22.0
SE_0180,Stockholm,715242,450813,858.0,1798,82430,48755,29782,27815,82400,47671,78437,36452,6067,3082,1.0,38.0,0.0,15.0,3.0,2056.0,1.0,104.0,584.0,10.0,98.0,149.0,22.0,1008.0,14.0,752.0,142.0,0.0,0.0,269.0
SE_0181,Södertälje,64122,26292,58.0,205,3915,2251,833,2685,6249,1725,3265,4313,207,203,0.0,1.0,0.0,0.0,0.0,131.0,0.0,4.0,11.0,5.0,3.0,101.0,3.0,33.0,4.0,45.0,9.0,0.0,0.0,33.0
SE_0182,Nacka,73394,48348,81.0,188,11738,6572,3178,3892,7595,2339,7451,4266,310,228,0.0,2.0,0.0,0.0,0.0,204.0,0.0,12.0,41.0,1.0,10.0,19.0,3.0,115.0,1.0,55.0,4.0,0.0,0.0,43.0
SE_0183,Sundbyberg,36103,19674,38.0,109,3475,2223,1069,1294,4032,1810,3010,2066,169,170,0.0,0.0,0.0,0.0,0.0,97.0,0.0,5.0,18.0,0.0,2.0,11.0,1.0,33.0,0.0,26.0,8.0,0.0,0.0,8.0
SE_0184,Solna,59219,36116,76.0,160,7010,4230,2207,2476,7120,2711,5485,3522,367,328,0.0,0.0,0.0,0.0,0.0,159.0,0.0,14.0,58.0,0.0,10.0,18.0,2.0,93.0,0.0,44.0,11.0,0.0,0.0,15.0
SE_0186,Lidingö,34909,23987,22.0,64,7673,3355,2018,2588,2375,635,2657,2203,98,108,0.0,0.0,0.0,0.0,0.0,94.0,0.0,3.0,8.0,0.0,4.0,6.0,1.0,42.0,0.0,27.0,2.0,0.0,0.0,4.0
SE_0187,Vaxholm,8893,5911,9.0,22,1509,915,330,550,764,211,840,672,31,22,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_0188,Norrtälje,48282,25161,49.0,220,4150,2933,1005,2099,5540,1324,2552,4633,153,129,0.0,1.0,0.0,0.0,0.0,161.0,0.0,22.0,8.0,0.0,5.0,6.0,82.0,27.0,0.0,26.0,2.0,0.0,0.0,34.0
SE_0191,Sigtuna,31494,14761,42.0,89,2853,1326,598,1628,2973,738,1379,2717,94,94,0.0,1.0,0.0,1.0,0.0,94.0,3.0,6.0,25.0,0.0,11.0,17.0,3.0,39.0,0.0,5.0,8.0,0.0,0.0,17.0
SE_0192,Nynäshamn,20737,10861,26.0,82,1682,870,322,937,2663,607,1181,2253,71,49,0.0,1.0,0.0,0.0,0.0,68.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,16.0,0.0,17.0,2.0,0.0,0.0,8.0
SE_0643,Habo,24039,13706,40.0,123,2627,1379,418,1691,2628,506,1194,2862,49,57,0.0,1.0,0.0,0.0,0.0,76.0,0.0,4.0,3.0,0.0,1.0,9.0,4.0,25.0,0.0,9.0,0.0,0.0,0.0,0.0
SE_0319,Älvkarleby,6982,3447,9.0,28,388,208,56,196,1240,206,233,821,13,22,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
SE_0330,Knivsta,12761,7929,10.0,45,1418,1084,346,925,1338,340,1105,1145,50,57,0.0,2.0,0.0,0.0,0.0,35.0,1.0,4.0,1.0,0.0,3.0,3.0,3.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0
SE_0331,Heby,10725,5369,11.0,58,607,833,84,573,1204,279,415,1161,30,43,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0
SE_0360,Tierp,15941,7998,17.0,87,878,1065,185,524,2251,477,679,1637,42,39,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,4.0,0.0,2.0,1.0,47.0,3.0,0.0,11.0,2.0,0.0,0.0,0.0
SE_0380,Uppsala,166831,105505,198.0,520,16230,12243,5552,8503,21581,8965,18663,9796,1099,791,0.0,4.0,0.0,0.0,0.0,483.0,4.0,40.0,32.0,1.0,30.0,72.0,265.0,142.0,0.0,223.0,68.0,0.0,0.0,0.0
SE_0381,Enköping,33044,16951,28.0,140,3326,2118,462,1613,3629,679,1511,3047,84,103,0.0,0.0,0.0,0.0,0.0,88.0,0.0,4.0,2.0,0.0,7.0,4.0,59.0,23.0,0.0,19.0,5.0,0.0,0.0,0.0
SE_0382,Östhammar,17327,8546,21.0,59,1273,1013,204,812,2276,373,693,1601,42,49,0.0,0.0,0.0,0.0,0.0,45.0,0.0,4.0,4.0,0.0,0.0,2.0,58.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_0428,Vingåker,6745,3544,10.0,43,442,310,69,258,1052,240,286,782,20,19,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0461,Gnesta,8388,4829,13.0,43,705,626,126,330,1079,310,651,762,93,35,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,11.0,1.0,0.0,0.0,0.0
SE_0480,Nyköping,42170,24062,49.0,175,4053,2533,721,2033,6680,1316,2564,3512,143,97,0.0,0.0,0.0,0.0,0.0,113.0,0.0,4.0,15.0,0.0,2.0,0.0,2.0,24.0,0.0,25.0,1.0,0.0,0.0,0.0
SE_0481,Oxelösund,8795,4609,9.0,44,622,253,113,308,1608,358,406,787,21,16,0.0,0.0,0.0,0.0,0.0,23.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0
SE_0482,Flen,11868,6250,20.0,36,824,693,144,445,1810,379,534,1258,24,21,0.0,2.0,0.0,0.0,0.0,35.0,0.0,1.0,2.0,0.0,2.0,7.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0
SE_0483,Katrineholm,25341,13024,29.0,92,1720,1333,327,920,4416,656,1297,2002,59,59,0.0,2.0,0.0,0.0,0.0,60.0,0.0,1.0,23.0,0.0,1.0,0.0,2.0,10.0,0.0,9.0,6.0,0.0,0.0,0.0
SE_0484,Eskilstuna,75415,35808,86.0,287,5978,3079,1119,2375,9986,2214,3178,6697,206,222,0.0,2.0,0.0,0.0,0.0,178.0,0.0,7.0,49.0,0.0,9.0,27.0,8.0,69.0,2.0,25.0,5.0,0.0,0.0,0.0
SE_0486,Strängnäs,26448,14689,24.0,130,3163,1600,556,1231,3008,666,1596,2466,58,73,0.0,0.0,0.0,0.0,0.0,71.0,1.0,7.0,3.0,0.0,4.0,3.0,6.0,14.0,0.0,8.0,1.0,0.0,0.0,0.0
SE_0488,Trosa,10008,5982,9.0,47,1347,643,191,517,1185,229,686,1022,29,28,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_0509,Ödeshög,4058,2195,2.0,15,300,288,38,379,450,74,176,412,20,8,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
SE_0512,Ydre,2932,1877,10.0,17,222,347,38,271,336,91,153,364,10,7,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0513,Kinda,7633,4037,12.0,28,512,571,82,442,908,233,404,764,23,14,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
SE_0560,Boxholm,4235,2188,3.0,19,269,252,28,179,736,93,132,433,9,16,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_0561,Åtvidaberg,9014,4856,8.0,63,664,587,115,404,1418,185,392,937,26,25,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_0562,Finspång,16511,8893,29.0,88,1161,764,216,736,2871,524,658,1647,53,33,0.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,23.0,0.0,0.0,1.0,6.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0
SE_0563,Valdemarsvik,6165,3136,6.0,21,479,404,56,315,816,136,177,666,11,11,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0
SE_0580,Linköping,121478,72513,113.0,450,13862,9683,3280,6085,15664,3644,9797,7879,446,720,0.0,0.0,0.0,0.0,0.0,354.0,0.0,35.0,106.0,0.0,41.0,20.0,20.0,159.0,3.0,134.0,10.0,0.0,8.0,0.0
SE_0581,Norrköping,104870,53727,148.0,361,9160,4837,1690,4685,12729,3482,5982,9326,376,345,0.0,0.0,0.0,0.0,0.0,267.0,0.0,15.0,105.0,0.0,9.0,15.0,14.0,74.0,0.0,75.0,26.0,0.0,6.0,0.0
SE_0582,Söderköping,11210,6301,12.0,49,1113,849,198,704,1185,299,592,1199,23,24,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0
SE_0583,Motala,32748,16349,35.0,159,2738,1596,456,1388,4453,854,1316,3106,71,71,0.0,0.0,0.0,0.0,0.0,69.0,0.0,2.0,5.0,0.0,2.0,1.0,2.0,7.0,0.0,17.0,1.0,0.0,0.0,0.0
SE_0584,Vadstena,6068,3516,5.0,41,709,436,86,390,801,166,361,464,20,11,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
SE_0586,Mjölby,20826,10740,43.0,110,1871,1280,280,892,2865,504,799,1903,47,53,0.0,0.0,0.0,0.0,0.0,52.0,0.0,5.0,9.0,0.0,0.0,1.0,0.0,12.0,0.0,13.0,1.0,0.0,0.0,0.0
SE_0604,Aneby,5065,2764,8.0,20,329,438,60,495,559,84,239,498,12,7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0617,Gnosjö,6888,3686,8.0,38,549,335,79,773,675,82,204,915,5,10,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_0642,Mullsjö,5448,3026,4.0,33,380,267,50,583,664,141,277,574,16,13,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_0662,Gislaved,21167,10792,21.0,124,1682,1486,260,1292,2508,299,698,2277,27,47,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0665,Vaggeryd,10166,5639,8.0,52,712,696,117,886,1374,203,445,1057,14,26,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
SE_0680,Jönköping,103925,58827,74.0,455,8893,7093,1825,8577,13697,2687,6627,7949,293,304,0.0,1.0,0.0,0.0,0.0,210.0,0.0,9.0,21.0,0.0,8.0,16.0,7.0,57.0,1.0,23.0,0.0,0.0,0.0,0.0
SE_0682,Nässjö,22359,11542,37.0,114,1452,1157,240,1605,2783,530,1080,2360,39,47,0.0,0.0,0.0,0.0,0.0,66.0,0.0,4.0,2.0,0.0,2.0,0.0,11.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_0683,Värnamo,25680,14274,28.0,128,2409,1806,292,2134,3045,408,1329,2501,41,62,0.0,0.0,0.0,1.0,0.0,42.0,0.0,3.0,2.0,0.0,0.0,30.0,5.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_0684,Sävsjö,8174,4328,7.0,37,600,441,64,1011,769,119,237,989,11,20,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_0685,Vetlanda,20398,10385,26.0,119,1416,1378,207,1623,2370,363,718,2045,31,36,0.0,1.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0
SE_0686,Eksjö,13020,7100,12.0,59,1022,1040,180,926,1549,319,673,1194,31,29,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0687,Tranås,14017,7674,19.0,73,1109,779,181,941,1921,328,770,1424,27,38,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,18.0,0.0,2.0,2.0,1.0,11.0,0.0,3.0,5.0,0.0,0.0,0.0
SE_0760,Uppvidinge,6728,3450,7.0,41,484,412,52,315,855,172,183,880,18,9,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_0761,Lessebo,5746,3000,3.0,47,320,269,45,233,1008,207,239,591,11,13,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
SE_0763,Tingsryd,9308,4676,9.0,39,567,598,62,597,1169,210,246,1100,13,19,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,17.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
SE_0764,Alvesta,14133,7228,22.0,77,1154,789,113,718,1742,332,525,1633,27,34,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
SE_0765,Älmhult,11735,6390,6.0,59,994,793,146,612,1650,253,571,1187,36,41,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,1.0,5.0,6.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0
SE_0767,Markaryd,7182,3490,3.0,37,378,224,50,617,760,100,168,1091,12,15,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_0780,Växjö,68486,39025,91.0,303,6990,4343,1181,3691,9886,2358,4435,5036,243,186,0.0,0.0,0.0,0.0,0.0,130.0,0.0,28.0,14.0,0.0,5.0,12.0,8.0,36.0,0.0,45.0,4.0,0.0,0.0,0.0
SE_0781,Ljungby,21148,11272,38.0,119,1710,1131,213,1360,2678,497,838,2487,40,57,0.0,0.0,0.0,0.0,0.0,52.0,0.0,4.0,1.0,0.0,8.0,7.0,5.0,14.0,0.0,12.0,1.0,0.0,0.0,0.0
SE_0821,Högsby,4101,2009,1.0,14,220,253,31,226,515,95,92,513,14,9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_0834,Torsås,5467,2886,7.0,23,340,391,44,287,644,123,185,798,5,11,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_0840,Mörbylånga,11532,8217,18.0,232,1234,1127,223,834,1815,368,809,1411,46,40,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0
SE_0860,Hultsfred,10303,4992,6.0,58,534,598,74,630,1457,232,262,1007,14,14,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,19.0,0.0,1.0,4.0,23.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
SE_0861,Mönsterås,10117,5080,12.0,44,513,704,93,507,1429,210,280,1182,26,18,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,18.0,0.0,0.0,2.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
SE_0862,Emmaboda,6956,3556,3.0,38,447,450,51,289,1082,185,215,732,16,19,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_0880,Kalmar,52344,29054,38.0,248,4653,3317,850,2670,7318,1547,3452,4297,171,162,0.0,0.0,0.0,0.0,0.0,223.0,0.0,4.0,8.0,0.0,3.0,1.0,2.0,42.0,0.0,47.0,1.0,0.0,0.0,0.0
SE_0881,Nybro,14916,7366,15.0,81,880,898,155,733,2096,357,434,1567,32,32,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,6.0,0.0,1.0,6.0,3.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0
SE_0882,Oskarshamn,20522,9923,10.0,107,1539,822,242,1092,2695,506,565,2158,42,55,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,3.0,0.0,1.0,0.0,7.0,13.0,0.0,10.0,1.0,0.0,0.0,0.0
SE_0883,Västervik,28823,14239,32.0,164,2075,1478,346,1336,4087,784,1157,2472,85,51,0.0,2.0,0.0,0.0,0.0,85.0,0.0,2.0,10.0,0.0,0.0,2.0,46.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_0884,Vimmerby,11882,5995,9.0,70,737,867,77,745,1572,292,428,1066,25,14,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,1.0,0.0,1.0,2.0,38.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0
SE_0885,Borgholm,8784,6060,9.0,175,934,977,128,665,1168,275,459,1177,31,28,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
SE_0980,Gotland,47284,25865,50.0,222,3155,4891,664,1554,6352,2076,3381,2833,365,164,0.0,0.0,0.0,0.0,0.0,71.0,0.0,4.0,18.0,0.0,3.0,0.0,12.0,18.0,0.0,29.0,3.0,0.0,0.0,0.0
SE_1060,Olofström,9989,4649,10.0,44,471,356,71,347,1499,241,268,1262,20,19,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_1080,Karlskrona,49983,27694,45.0,236,4586,2509,989,2395,7427,1347,2353,5188,134,247,0.0,0.0,0.0,0.0,0.0,89.0,0.0,7.0,8.0,0.0,3.0,10.0,3.0,64.0,0.0,53.0,0.0,1.0,0.0,0.0
SE_1081,Ronneby,21404,11052,17.0,111,1583,1001,259,882,2821,638,714,2802,38,75,0.0,0.0,0.0,0.0,0.0,50.0,0.0,18.0,6.0,0.0,0.0,0.0,13.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0
SE_1082,Karlshamn,24758,12617,16.0,128,1869,1021,324,965,3489,681,1103,2778,67,76,0.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_1083,Sölvesborg,13550,6913,7.0,61,1017,469,180,532,1956,256,371,1960,24,31,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0
SE_1214,Svalöv,10019,5166,14.0,53,623,627,134,391,1003,256,404,1498,68,34,0.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,12.0,0.0,7.0,1.0,0.0,0.0,0.0
SE_1230,Staffanstorp,17722,10847,5.0,86,2531,1104,620,913,2179,282,987,1945,50,54,0.0,0.0,0.0,0.0,0.0,41.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,21.0,0.0,12.0,1.0,7.0,0.0,0.0
SE_1231,Burlöv,12757,5661,10.0,43,930,411,240,344,1481,276,494,1270,51,41,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,8.0,10.0,1.0,0.0,0.0
SE_1233,Vellinge,27615,18065,19.0,69,6365,1673,1171,1993,1753,203,1091,3490,48,66,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,53.0,0.0,3.0,0.0,2.0,0.0,0.0
SE_1256,Östra Göinge,10290,4736,6.0,63,658,392,71,492,1129,151,249,1427,19,15,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,20.0,1.0,2.0,0.0,1.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0
SE_1257,Örkelljunga,7436,3750,16.0,56,473,281,68,653,646,101,187,1205,5,15,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_1260,Bjuv,10601,4607,11.0,58,510,208,85,392,1227,129,223,1707,12,25,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_1261,Kävlinge,22833,13581,18.0,110,3034,1385,704,1105,2612,320,1227,2856,44,63,0.0,0.0,0.0,0.0,0.0,52.0,0.0,8.0,5.0,0.0,2.0,0.0,2.0,24.0,0.0,6.0,0.0,4.0,0.0,0.0
SE_1262,Lomma,17873,12922,6.0,61,3761,1502,1057,1265,1986,249,1192,1675,43,33,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,29.0,0.0,4.0,2.0,2.0,0.0,0.0
SE_1263,Svedala,15551,10632,17.0,222,2049,784,379,957,2119,234,771,2918,42,55,0.0,0.0,0.0,0.0,0.0,47.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,24.0,0.0,2.0,1.0,3.0,1.0,0.0
SE_1264,Skurup,11681,6031,22.0,61,970,499,205,459,1176,269,412,1811,37,31,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,20.0,0.0,9.0,0.0,2.0,1.0,0.0
SE_1265,Sjöbo,14694,7543,14.0,83,1129,672,165,698,1206,234,469,2700,55,37,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,2.0,0.0,0.0,3.0,10.0,25.0,0.0,5.0,1.0,0.0,0.0,0.0
SE_1266,Hörby,11798,5977,16.0,58,755,729,183,512,952,245,393,2004,34,31,0.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,7.0,0.0,2.0,1.0,2.0,10.0,0.0,9.0,1.0,0.0,0.0,0.0
SE_1267,Höör,12488,6939,6.0,49,1035,694,248,601,1164,389,853,1701,65,41,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,34.0,0.0,11.0,0.0,2.0,2.0,0.0
