gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,d,FRP,Kustkult,SF,BRP,AfS,CSIS,DD,DP,EAP,KLP,KrVP,Lpo,MED,NYREF,PV,SKP,SkåP,TRP,ViS
SE_1883,Karlskoga,23122,11118,15.0,109,1503,795,308,915,3672,671,910,1951,59,63,0.0,0.0,0.0,1.0,0.0,69.0,0.0,12.0,42.0,0.0,0.0,2.0,5.0,10.0,0.0,5.0,1.0,0.0,0.0,0.0
SE_1884,Nora,8067,4254,4.0,49,509,443,124,361,1216,250,422,774,30,18,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_1885,Lindesberg,17723,8790,17.0,91,1067,925,191,704,2390,491,682,2032,46,29,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,9.0,0.0,0.0,0.0,62.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_1904,Skinnskatteberg,3416,1636,5.0,6,156,155,55,104,552,104,101,360,11,6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_1907,Surahammar,7461,3405,7.0,30,413,207,62,205,1169,247,176,835,11,17,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0
SE_1960,Kungsör,6237,3170,7.0,26,370,569,58,275,769,175,180,686,4,16,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_1961,Hallstahammar,11968,5370,10.0,46,686,438,123,328,1768,364,401,1083,20,46,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0
SE_1962,Norberg,4377,2058,6.0,19,229,173,44,153,661,200,136,386,11,11,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,5.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0
SE_1980,Västerås,112673,59147,76.0,368,12428,5811,2496,4628,14363,3251,5626,8921,321,363,0.0,0.0,0.0,0.0,0.0,271.0,0.0,6.0,16.0,0.0,3.0,27.0,15.0,89.0,1.0,53.0,14.0,0.0,0.0,0.0
SE_1981,Sala,17168,9045,23.0,77,1256,1287,224,727,2243,440,733,1823,62,61,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,19.0,0.0,8.0,1.0,0.0,0.0,0.0
SE_1982,Fagersta,9454,4046,7.0,27,515,253,105,270,1334,248,327,882,20,24,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
