gisco_id,name,registered,turnout,invalid,blank,S,C,KD,L,MP (1981),M,SD,V,FL,AfS,PNy,MED,KrVP,PP,KA,Liv,MoD,Swexit,SKP,MGMK,Yggdrasil,AK,Volt,OKP,DD,KAP,CHP,Enhet,BIP,KLP,FAB,Valsamverkanspartiet,KDP,Ö,EAP,Pax,Socialisterna,Enade,Företaget,Lpo,Kn,Globala partiet,AMO,Sympartiet,EP,FF,Kärlek,Origo,UT,FDP,NFFVN,IP,GV,WT,Bjornpartiet,KM,EVAA,FV,FRP,SI,Nix to the Six,SF,SL [Socialliberalerna],NSRP,MP [Majspartiet],FN,NyD,MS,SL [Sociallibertarianerna],DESAM,H,Naturistpartiet,SK,TRP,Fredspartiet,PFR,FW,Ändringspartiet Revolution,Vinningspartiet,SP,KSP,RD,UD,Löddebygden,FEL,Monisterna,TSS,HD,GD,SvP,Frihetsrörelsen,MDP,UP,KMA,HSKDV,SIS,NYREF,NTK,Rastliberalerna,SNOF
SE_1460,Bengtsfors,7051,3324,2,26,958,246,193,63,330,431,720,279,13,23,0,5,9,4,0,3,11,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_2326,Berg,5543,2443,12,20,654,313,95,23,283,329,373,293,16,16,0,1,0,5,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_2403,Bjurholm,1807,809,0,5,195,103,74,20,44,113,103,129,7,4,0,2,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1260,Bjuv,11253,4354,11,56,1236,147,162,115,236,669,1302,319,36,25,1,9,1,17,0,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_2582,Boden,22023,11011,21,64,4456,575,459,236,795,1470,1490,1180,103,37,0,16,21,35,4,9,17,10,5,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1443,Bollebygd,7376,4105,15,33,950,304,291,136,445,766,779,284,37,17,1,19,3,11,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SE_2183,Bollnäs,20722,9000,18,82,2885,880,418,236,839,1114,1423,925,30,69,0,19,4,16,8,13,13,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_0885,Borgholm,9012,5010,10,48,1080,521,354,153,626,951,811,362,18,15,0,10,4,10,1,1,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_2081,Borlänge,39338,18322,35,162,5796,1255,745,555,1952,2756,2713,1858,194,65,1,39,7,70,0,15,62,15,10,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1490,Borås,85557,44652,74,373,11863,2768,2752,1773,4895,8163,6536,4520,267,161,42,101,52,181,6,24,68,20,4,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_0127,Botkyrka,63140,26454,113,182,7496,1194,1460,835,2918,3580,3727,3946,229,130,169,78,74,118,17,35,69,17,32,0,0,0,5,5,1,2,0,1,0,1,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_0560,Boxholm,4280,2103,5,21,699,194,100,43,166,276,365,185,6,17,0,3,5,7,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1272,Bromölla,9728,3998,8,41,1201,147,190,111,253,577,1103,261,29,34,0,15,5,13,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_2305,Bräcke,4799,1952,0,28,652,181,74,23,144,225,336,238,19,17,0,3,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
