gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_1882,Askersund,9138,7750,3,119,1949,615,376,458,3002,352,377,443,10,34,0,12
SE_1862,Degerfors,7620,6563,1,68,898,264,204,295,3423,700,319,349,1,21,9,11
SE_1861,Hallsberg,11731,10110,1,154,2058,622,477,524,4463,585,484,663,18,49,0,12
SE_1863,Hällefors,5587,4621,3,62,812,215,165,114,2332,329,203,330,17,33,2,4
SE_1883,Karlskoga,23450,19760,7,186,4547,612,1036,937,9062,1037,1058,910,29,85,230,24
SE_1881,Kumla,15237,13187,1,164,3045,672,821,900,5354,543,610,943,25,95,2,12
SE_1860,Laxå,4623,3897,0,50,750,219,199,244,1887,198,115,212,0,17,0,6
SE_1814,Lekeberg,5579,4820,1,58,1179,615,208,422,1463,212,253,358,17,29,0,5
SE_1885,Lindesberg,17749,15009,5,159,3495,1183,741,718,5732,685,773,1368,33,96,4,17
SE_1864,Ljusnarsberg,3997,3219,1,48,615,175,102,113,1406,251,142,305,6,23,0,32
SE_1884,Nora,8073,6851,6,100,1631,417,433,371,2725,301,412,389,12,40,0,14
SE_1880,Örebro,102988,88805,32,985,22812,4198,6653,6139,29969,5118,7100,4866,313,527,7,86
SE_0560,Boxholm,4154,3625,0,62,720,323,131,182,1616,204,176,193,1,10,0,7
SE_0562,Finspång,16373,13953,7,186,3048,771,634,803,6042,839,800,723,33,52,1,14
SE_0513,Kinda,7642,6624,0,97,1634,864,326,435,2094,309,410,408,10,35,0,2
SE_0580,Linköping,111013,96878,37,997,29359,6084,8439,6098,26419,4522,8966,4323,347,942,270,75
SE_0586,Mjölby,20104,17244,11,211,4430,1161,1085,963,6440,862,980,823,17,100,149,12
SE_0583,Motala,32615,28049,12,299,6645,1285,1726,1274,11902,1520,1448,1580,40,118,145,55
SE_0581,Norrköping,98651,82716,43,942,24647,3806,4920,4249,26550,4625,6478,5000,322,596,424,114
SE_0582,Söderköping,11026,9460,1,123,3143,933,549,614,2450,396,663,470,36,40,27,15
SE_0584,Vadstena,5990,5272,3,72,1615,324,351,349,1708,204,341,259,15,24,3,4
SE_0563,Valdemarsvik,6352,5397,4,62,1396,635,223,278,1971,219,235,342,7,12,8,5
SE_0512,Ydre,2932,2602,1,33,656,410,132,289,723,74,126,149,1,7,0,1
SE_0561,Åtvidaberg,9006,7763,2,119,1924,630,369,392,3164,335,397,385,10,30,1,5
SE_0509,Ödeshög,4152,3548,2,64,924,335,132,431,1085,133,205,207,11,16,0,3
