gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_0882,Oskarshamn,20619,17458,4,239,4770,852,984,1261,6400,974,724,1074,36,130,2,8
SE_0834,Torsås,5509,4647,2,56,1163,667,167,277,1562,176,212,330,5,26,0,4
SE_0884,Vimmerby,12102,10231,3,168,2574,1252,395,633,3583,422,463,638,16,52,0,32
SE_0883,Västervik,29227,24471,4,330,6230,1770,1327,1133,9642,1229,1302,1246,99,142,0,17
SE_0764,Alvesta,14133,11858,4,145,3546,1316,549,635,3624,527,507,916,22,58,0,9
SE_0761,Lessebo,5949,5087,3,89,1204,375,218,151,2076,285,286,379,8,10,0,3
SE_0781,Ljungby,20989,17597,10,264,4833,2225,878,1237,5317,737,878,1058,44,105,0,11
SE_0767,Markaryd,7205,5946,0,86,1603,564,208,589,1945,166,209,540,1,31,0,4
SE_0763,Tingsryd,9621,7951,2,118,2378,1200,312,457,2303,274,297,569,10,26,0,5
SE_0760,Uppvidinge,6933,5768,1,92,1450,811,225,302,1852,286,211,514,6,14,0,4
SE_0780,Växjö,62151,53891,30,620,16799,3983,3806,3158,15327,2776,4116,2729,197,299,0,51
SE_0765,Älmhult,11800,9991,3,109,2949,1085,471,582,3111,329,540,719,22,64,1,6
SE_2506,Arjeplog,2523,2003,1,29,286,114,117,96,922,230,90,97,3,15,1,2
SE_2505,Arvidsjaur,5296,4454,2,41,589,319,182,88,2383,491,115,197,2,40,0,5
SE_2582,Boden,21748,18730,6,151,3880,677,876,597,9255,1476,783,846,41,107,2,33
SE_2523,Gällivare,14980,12078,8,70,1705,205,272,284,6702,1629,459,599,19,97,0,29
SE_2583,Haparanda,6237,4431,4,33,755,322,66,115,2655,191,103,165,5,16,0,1
SE_2510,Jokkmokk,4183,3391,3,37,455,128,169,65,1764,348,259,123,9,26,0,5
SE_2514,Kalix,13273,11208,3,103,1563,545,413,240,6583,713,590,394,9,35,4,13
