gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,AfS,CSIS,DD,DP,EAP,Enhet,FS,Gup,INI,KLP,KrVP,Lpo,MED,NMR,NS,NYREF,PP,RNP,FRP,SKP,SkåP,TRP,VL-S,ÖVR
SE_1472,Tibro,8224,7247,3,66,1168,596,398,694,2240,333,162,1516,13,18,0,6,0,0,3,0,0,0,0,2,3,11,7,0,0,5,0,0,0,0,0,0,1
SE_1473,Töreboda,6924,6021,1,80,1027,646,184,391,1812,275,119,1372,20,29,0,4,4,0,5,0,0,0,4,2,16,5,10,0,0,10,0,0,1,0,0,0,2
SE_1480,Göteborg,418425,352660,196,2636,69432,24893,25337,19283,83097,48946,24286,47040,2931,1291,0,375,435,4,213,0,0,59,112,202,20,867,121,0,1,591,0,0,65,0,2,0,42
SE_1481,Mölndal,49659,44321,21,354,9891,3541,3620,2761,10551,3351,2537,6960,208,163,0,34,60,0,27,0,0,2,17,18,0,101,13,0,0,73,0,0,3,0,1,0,1
SE_1482,Kungälv,33697,30519,6,249,6702,2624,1829,2327,7603,1875,1290,5616,114,81,0,20,7,0,23,0,0,0,11,10,14,61,27,0,0,15,0,0,0,0,0,0,5
SE_1484,Lysekil,11424,10000,2,110,1544,698,537,543,3201,652,425,2153,20,39,0,4,9,0,7,0,0,0,8,5,4,19,1,0,0,14,0,0,0,0,0,0,2
SE_1485,Uddevalla,41795,36311,15,319,6596,2373,1769,2547,10905,2430,1410,7411,144,131,0,23,22,0,19,0,0,3,4,50,19,68,12,0,0,30,0,0,0,0,0,0,3
SE_1486,Strömstad,8799,7387,1,58,1384,616,485,518,1923,411,323,1533,85,17,0,4,4,0,2,0,0,1,1,3,1,5,0,0,0,11,0,0,0,0,0,0,1
SE_1487,Vänersborg,29090,25537,9,254,4038,1854,1129,1697,7994,1733,899,5578,85,98,4,18,13,0,18,0,0,1,3,18,7,48,10,0,0,15,0,0,0,0,0,0,1
SE_1488,Trollhättan,42779,36978,18,340,6493,2238,1822,1857,13256,2538,1594,6364,114,136,0,29,16,0,23,0,0,0,4,1,2,73,14,0,0,30,0,0,2,0,0,0,3
SE_1489,Alingsås,30990,27820,19,223,5047,2696,1857,2369,7268,2149,1590,4221,116,83,0,29,13,0,19,0,0,4,3,6,5,41,7,0,0,43,0,0,3,0,0,0,2
SE_1490,Borås,81563,70485,32,528,14354,5077,3984,4629,20640,4905,2559,12840,239,219,0,44,35,0,51,0,0,0,17,51,21,96,19,0,0,120,0,0,1,1,0,0,2
SE_1491,Ulricehamn,18404,16257,10,146,3167,2081,821,1278,3982,891,520,3154,36,70,0,6,13,0,14,0,0,2,2,3,23,12,4,0,0,17,0,0,0,0,0,0,0
SE_1492,Åmål,9425,7994,1,80,1091,596,269,466,2762,533,242,1835,31,45,0,5,2,0,6,0,0,0,0,0,1,20,1,0,0,4,0,0,0,0,0,0,0
SE_1493,Mariestad,18967,16594,6,173,3266,1355,606,1200,5415,977,508,2887,49,72,0,13,0,0,4,0,0,0,0,4,9,19,8,0,0,14,0,0,0,0,0,0,3
SE_1494,Lidköping,30824,27587,12,265,4727,2431,1340,1978,9068,1742,979,4724,93,58,0,13,5,0,12,0,0,0,4,22,9,43,5,0,0,50,0,0,0,0,0,0,0
SE_1495,Skara,14109,12368,5,109,2370,1032,446,843,3726,731,444,2477,45,45,0,10,2,0,14,0,0,1,2,1,12,20,6,0,0,23,0,0,0,0,0,0,0
SE_1496,Skövde,42110,37044,27,357,7660,3226,2068,2947,10561,2064,1245,6210,182,130,0,38,39,0,23,0,0,1,4,20,26,103,20,0,0,86,0,0,0,0,0,0,1
SE_1497,Hjo,7094,6306,1,68,1162,613,252,600,1709,387,222,1216,31,18,0,2,0,0,6,0,0,0,0,0,6,5,0,0,0,7,0,0,0,0,0,0,0
SE_1498,Tidaholm,9803,8687,2,91,1162,634,295,598,3245,488,222,1848,17,26,0,5,2,0,9,0,0,0,1,0,15,10,0,0,0,11,0,0,0,0,0,0,1
SE_1499,Falköping,24387,21311,9,176,3545,2095,779,1922,6173,1251,648,4409,78,47,0,15,7,0,26,0,0,2,3,8,13,28,6,0,0,62,0,0,0,0,0,0,3
SE_1715,Kil,9195,8182,5,114,1296,823,368,469,2575,482,253,1716,19,22,0,6,0,0,2,0,0,0,1,0,7,19,0,0,0,2,0,0,0,0,0,0,0
SE_1730,Eda,5348,4405,2,72,622,448,121,321,1457,251,54,996,15,10,0,1,1,0,4,0,0,0,0,2,16,1,2,0,0,4,0,0,3,0,0,0,0
SE_1737,Torsby,9099,7616,4,103,1047,842,231,387,2664,490,139,1610,18,13,0,8,7,0,0,0,0,0,2,1,27,12,5,0,0,4,0,0,1,0,0,0,1
SE_1760,Storfors,3051,2656,3,31,281,219,75,140,1067,180,32,590,4,7,0,3,0,0,2,0,0,0,0,1,16,2,0,0,0,2,0,0,0,0,1,0,0
SE_1761,Hammarö,12072,10985,0,68,2182,959,720,717,3728,626,449,1437,29,21,0,5,4,0,8,0,0,0,1,0,3,15,3,0,0,9,0,0,0,0,0,0,0
SE_1762,Munkfors,2777,2364,0,24,195,190,68,92,1221,143,32,361,15,13,0,0,0,0,1,0,0,0,1,0,2,1,2,0,0,2,0,0,0,1,0,0,0
SE_1763,Forshaga,8666,7691,3,84,1009,599,212,470,2967,491,193,1556,24,47,0,8,0,0,4,0,0,0,4,5,1,8,0,0,0,2,0,0,0,0,0,0,0
SE_1764,Grums,6917,5949,5,66,750,411,128,273,2422,324,100,1365,18,42,0,6,2,0,3,0,0,0,2,0,13,9,4,0,0,4,0,0,0,0,0,0,0
SE_1765,Årjäng,6768,5698,0,67,777,561,196,902,1418,206,101,1411,10,17,0,4,2,0,0,0,0,0,3,2,7,3,1,0,0,5,0,0,0,0,0,0,0
SE_1766,Sunne,10235,8946,4,131,1551,1332,347,633,2524,425,225,1654,37,36,0,2,1,0,7,0,0,0,1,0,9,15,4,0,0,6,0,0,0,0,0,0,1
SE_1780,Karlstad,71826,63914,29,513,12363,5359,3585,4058,20097,4990,3068,8898,314,210,0,54,11,0,49,0,0,0,28,25,17,136,17,0,0,45,0,0,1,0,1,0,8
SE_1781,Kristinehamn,18721,16258,4,161,2567,1408,879,953,5483,1215,488,2889,43,50,0,15,21,0,12,0,0,0,1,4,10,26,2,0,0,22,0,0,0,0,0,0,0
SE_1782,Filipstad,7763,6489,2,93,767,312,153,267,2632,458,91,1636,10,22,0,1,1,0,4,0,0,0,0,0,24,5,4,0,0,5,0,0,0,0,0,0,0
SE_1783,Hagfors,9134,7681,2,72,705,598,177,343,3610,629,102,1369,18,18,0,3,6,0,2,0,0,0,2,1,7,6,7,0,0,1,0,1,2,0,0,0,0
SE_1784,Arvika,19979,17167,6,197,2566,1601,605,961,5765,1416,608,3145,157,42,0,16,2,0,7,0,0,0,1,3,29,18,4,0,0,8,0,0,7,0,0,0,0
SE_1785,Säffle,11622,10021,3,120,1541,1409,303,671,2739,453,198,2485,19,33,0,3,4,0,0,0,0,0,1,15,7,8,3,0,0,4,0,0,0,0,0,0,0
SE_1814,Lekeberg,5903,5362,1,64,830,698,160,460,1369,279,144,1264,15,22,0,3,4,0,16,0,0,0,1,7,8,9,1,0,0,0,0,0,0,0,0,0,3
SE_1860,Laxå,4263,3702,1,36,440,235,103,346,1300,253,60,885,17,12,0,1,1,0,1,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0
SE_1861,Hallsberg,11634,10309,5,100,1410,808,325,600,3763,669,264,2214,27,39,0,5,5,0,4,0,0,1,1,7,21,22,3,0,0,12,0,0,0,0,0,0,0
SE_1862,Degerfors,7436,6477,4,56,683,343,154,257,2827,653,152,1275,22,23,0,6,3,0,2,0,0,0,1,2,4,5,2,0,0,1,0,0,0,0,0,0,0
SE_1863,Hällefors,5160,4337,1,46,510,259,90,145,1704,385,79,1058,7,18,0,3,2,0,3,0,0,0,1,0,11,5,0,0,0,7,0,0,0,0,0,0,2
SE_1864,Ljusnarsberg,3622,3030,0,27,340,179,80,126,1015,209,57,936,10,14,0,1,1,0,3,0,0,0,0,0,13,5,5,0,0,4,0,0,2,0,0,0,0
SE_1880,Örebro,113130,99300,56,791,17616,7919,5565,7621,30988,8325,4692,14151,484,281,0,72,35,0,80,0,0,9,30,129,26,201,23,0,1,158,0,0,14,0,0,0,8
SE_1881,Kumla,15951,14129,7,168,2353,984,697,1113,4540,783,377,2940,50,36,0,4,7,0,6,0,0,0,3,9,4,14,1,0,0,27,0,0,0,0,0,0,0
SE_1882,Askersund,8916,7895,2,74,1286,718,238,528,2514,426,180,1821,16,16,0,6,3,0,8,0,0,0,0,0,38,9,5,0,0,6,0,0,0,0,0,0,0
SE_1883,Karlskoga,23097,20106,6,196,3578,1199,792,964,7469,1425,557,3650,44,90,0,14,12,0,10,0,0,0,0,9,7,21,9,0,0,46,0,0,1,0,0,0,2
SE_1884,Nora,8051,6994,1,69,1016,614,250,436,2334,439,234,1482,40,19,0,7,4,0,6,0,0,0,0,0,29,9,0,0,0,3,0,0,0,0,0,0,0
SE_1885,Lindesberg,17648,15459,8,169,2408,1298,434,924,4823,929,393,3823,47,52,0,10,6,0,16,0,0,0,1,10,53,32,12,0,0,8,0,0,0,0,0,0,1
SE_1904,Skinnskatteberg,3392,2895,3,26,307,191,140,113,1102,188,58,723,13,2,0,3,0,0,2,0,0,0,1,0,18,0,2,0,0,2,0,0,0,0,0,0,0
SE_1907,Surahammar,7407,6305,7,56,809,250,210,260,2272,511,119,1719,19,22,0,13,4,0,6,0,0,0,4,0,6,15,1,0,0,0,0,0,0,0,0,0,1
SE_1960,Kungsör,6167,5443,3,70,894,459,237,301,1688,314,112,1284,10,20,0,2,4,1,5,0,0,0,1,0,8,11,5,0,0,14,0,0,0,0,0,0,0
SE_1961,Hallstahammar,11855,10173,2,102,1478,532,402,511,3638,802,224,2340,24,32,0,12,4,0,17,0,0,1,2,0,6,16,3,0,0,17,0,0,0,0,0,0,2
SE_1962,Norberg,4386,3803,5,56,528,214,141,153,1366,357,94,809,15,22,0,3,2,0,10,0,0,0,0,1,9,7,4,0,0,6,0,0,0,0,0,0,1
SE_1980,Västerås,111495,96863,55,752,21314,6070,6557,5928,27963,6863,3267,16814,352,252,0,76,37,0,82,0,0,5,18,67,39,199,49,0,4,57,0,0,12,0,0,0,7
SE_1981,Sala,17160,15135,7,167,2400,1761,608,903,4384,939,394,3326,66,53,0,9,5,2,13,0,0,0,5,4,29,29,3,0,0,23,0,0,1,0,0,0,1
SE_1982,Fagersta,9411,7933,11,96,1106,328,250,367,3083,622,179,1798,15,33,0,5,0,0,7,0,0,0,2,2,15,3,6,0,0,3,0,0,0,0,0,0,1
SE_1983,Köping,19264,16554,11,148,2562,1105,546,960,5674,1054,368,3923,32,68,0,19,5,0,9,0,0,2,0,1,15,17,7,0,0,19,0,0,0,1,0,0,3
