gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),JL,SD,ÖVR
SE_1401,Härryda,22314,9419,14,191,1618,290,1534,469,1914,1104,639,1532,54,60
SE_1293,Hässleholm,37535,12915,36,395,2124,1365,794,997,3003,1151,624,1862,504,60
SE_1284,Höganäs,17888,7141,9,180,2321,287,756,387,1431,354,332,940,135,9
SE_0821,Högsby,4667,1402,0,37,183,224,49,112,462,114,43,163,5,10
SE_1266,Hörby,10777,3384,6,134,530,586,193,188,669,151,163,536,136,92
SE_1267,Höör,10681,3509,4,82,750,297,290,168,676,217,255,521,189,60
SE_2510,Jokkmokk,4435,1494,3,24,105,35,39,29,383,576,99,185,3,13
SE_0123,Järfälla,45075,18687,15,424,4054,368,2340,1084,4335,1760,1044,2991,164,108
SE_0680,Jönköping,91438,34548,59,989,5275,1868,2750,5741,7399,3478,1563,4793,193,440
SE_2514,Kalix,13710,4821,6,61,462,316,128,109,1784,1157,166,534,13,85
SE_0880,Kalmar,47414,16704,24,493,2878,1321,1304,990,4600,1633,944,2372,65,80
SE_1446,Karlsborg,5476,1985,1,55,291,219,125,114,575,173,89,329,8,6
SE_1082,Karlshamn,24438,7455,15,278,1161,510,551,350,2153,1022,482,791,92,50
SE_1883,Karlskoga,23783,7907,9,177,1135,220,477,327,2681,901,282,1571,75,52
SE_1080,Karlskrona,47394,16665,30,515,2970,1167,1473,968,4320,1516,810,2192,552,152
SE_1780,Karlstad,64605,25116,49,606,4192,1349,2314,1309,6786,2862,1632,3577,272,168
SE_0483,Katrineholm,24637,8656,21,256,1276,656,669,384,2856,771,634,996,60,77
SE_1715,Kil,8881,2892,3,85,400,302,188,198,789,329,155,365,44,34
SE_0513,Kinda,7621,2726,4,100,394,536,123,189,560,281,155,350,13,21
SE_2584,Kiruna,17840,5081,9,90,372,133,108,122,1267,2028,174,621,23,134
SE_1276,Klippan,12131,3380,4,170,729,243,200,205,856,246,177,349,90,111
SE_0330,Knivsta,9128,3732,7,99,785,245,462,243,645,271,247,676,28,24
SE_2282,Kramfors,16417,5831,12,141,425,719,158,202,1998,930,313,765,38,130
SE_1290,Kristianstad,57942,19655,48,694,4060,1290,1851,947,4905,1601,1019,2762,445,33
SE_1781,Kristinehamn,18858,6407,4,171,931,447,499,292,1848,792,339,958,72,54
SE_2309,Krokom,10624,4086,2,88,286,781,123,99,882,647,292,733,12,141
SE_1881,Kumla,14396,5344,3,152,544,383,308,497,1787,528,243,797,74,28
SE_1384,Kungsbacka,50007,20806,23,407,5366,1136,3372,1132,3206,1662,972,3404,83,43
SE_1960,Kungsör,6222,2234,2,81,294,325,125,92,574,238,106,394,0,3
SE_1482,Kungälv,28678,14070,19,582,2076,963,1591,825,3265,1713,746,2084,87,119
SE_1261,Kävlinge,19078,6481,11,189,1470,360,614,178,1776,329,270,839,433,12
SE_1983,Köping,18819,6231,5,230,820,507,336,311,1821,866,220,1048,17,50
SE_1381,Laholm,17599,6020,13,238,1065,1028,359,253,1166,414,287,966,107,124
SE_1282,Landskrona,28793,9053,22,312,1904,228,817,272,2912,586,387,1044,539,30
SE_1860,Laxå,4895,1683,1,67,146,88,79,140,593,224,59,241,38,7
SE_1814,Lekeberg,5413,2014,1,41,233,310,95,191,428,172,92,392,39,20
SE_2029,Leksand,12110,4606,5,115,628,381,231,475,969,595,249,926,8,24
SE_1441,Lerum,25865,11391,15,260,2036,353,1754,747,2228,1460,788,1604,109,37
SE_0761,Lessebo,6148,2002,2,79,220,150,100,56,691,342,88,261,11,2
SE_0186,Lidingö,31209,16056,9,199,6938,290,2957,795,1564,665,608,1921,78,32
SE_1494,Lidköping,28647,10786,21,283,1637,937,717,868,2863,1477,513,1383,52,35
SE_1462,Lilla Edet,9470,3040,10,85,260,278,193,113,869,527,158,427,35,85
SE_1885,Lindesberg,17879,6346,4,196,720,638,314,279,1855,626,335,1243,75,61
SE_0580,Linköping,105584,43651,60,1414,7561,3254,4902,2922,9234,4423,2950,6332,273,326
SE_0781,Ljungby,20643,7070,8,263,893,934,360,584,1691,764,310,1121,91,51
SE_2161,Ljusdal,15463,4590,5,114,369,370,230,136,909,684,309,891,17,556
SE_1864,Ljusnarsberg,4255,1360,0,50,120,98,43,48,472,192,50,240,34,13
SE_1262,Lomma,13941,6444,5,179,2087,188,941,260,1367,223,219,831,139,5
SE_2085,Ludvika,20519,7322,8,198,768,214,367,263,2491,1296,336,1296,35,50
SE_2580,Luleå,55956,21537,42,408,3032,950,1069,663,6138,5093,956,2917,52,217
SE_1281,Lund,78436,36065,42,845,7117,1241,6493,1604,7359,3914,3159,3808,365,118
SE_2481,Lycksele,9871,3665,11,56,199,172,200,312,722,1599,79,275,14,26
SE_1484,Lysekil,11566,3931,17,98,468,142,420,130,1250,481,205,682,26,12
SE_1280,Malmö,202132,69870,156,1861,15302,1010,7929,2079,19330,7259,4321,7897,2452,274
SE_2023,Malung,8324,2582,4,78,341,232,170,102,782,378,112,359,11,13
SE_2418,Malå,2740,901,4,18,58,37,53,33,235,394,14,44,0,11
SE_1493,Mariestad,18340,6566,6,187,983,375,481,415,1726,971,353,1025,31,13
SE_1463,Mark,24990,9498,20,268,1073,1063,624,568,2595,1080,500,1550,75,82
SE_0767,Markaryd,7384,2235,5,84,250,274,93,221,616,159,77,345,67,44
SE_1461,Mellerud,7400,2413,3,76,308,425,106,163,500,287,133,369,20,23
SE_0586,Mjölby,19441,6838,5,258,1008,849,354,387,1817,712,298,1109,20,21
SE_2062,Mora,15750,4844,8,152,529,288,254,557,991,594,285,1134,15,37
SE_0583,Motala,32069,10584,14,465,1518,840,686,543,2933,1157,567,1721,35,105
