gisco_id,name,registered,turnout,invalid,blank,C,L,KD,S,V,MP (1981),SD,ÖVR
SE_2282,Kramfors,14021,11729,14,165,962,182,536,4807,917,357,2529,161
SE_1290,Kristianstad,65373,54357,27,484,2498,2602,2955,13870,2409,1426,15485,830
SE_1781,Kristinehamn,18945,16089,12,187,945,730,800,5776,912,510,3690,166
SE_2309,Krokom,11366,9919,8,106,1051,195,594,3231,521,496,2084,109
SE_1881,Kumla,16456,14301,10,150,787,670,788,4700,602,362,3618,170
SE_1384,Kungsbacka,64298,58063,64,396,3809,3676,3705,12191,1752,2175,12993,598
SE_1960,Kungsör,6521,5536,4,76,283,200,325,1747,244,134,1580,59
SE_1482,Kungälv,36928,32669,24,305,2028,1639,2112,9098,1594,1389,7359,481
SE_1261,Kävlinge,23627,21226,16,180,1449,1098,975,5288,535,712,5640,177
SE_1983,Köping,19584,16133,23,154,780,440,1016,5191,1009,352,4656,172
SE_1381,Laholm,20080,17142,11,209,1247,662,1227,4250,516,468,5236,186
SE_1282,Landskrona,34011,27032,49,326,1002,1626,954,8286,1275,828,7308,755
SE_1860,Laxå,4312,3680,4,43,186,105,227,1253,173,77,1115,52
SE_1814,Lekeberg,6359,5679,1,80,533,211,451,1418,199,190,1540,91
SE_2029,Leksand,12738,11183,6,159,875,393,889,3287,567,468,2358,131
SE_1441,Lerum,31378,28165,27,257,1819,1751,1683,7495,1498,1756,5506,268
SE_0761,Lessebo,5962,5079,9,63,233,81,296,1822,336,124,1283,58
SE_0186,Lidingö,35877,31451,25,179,3245,3331,1637,5555,974,1714,3776,326
SE_1494,Lidköping,31517,27658,28,264,1758,1069,1797,9325,1356,1054,5866,323
SE_1462,Lilla Edet,10601,8796,11,101,423,219,473,2502,499,196,3064,157
SE_1885,Lindesberg,18038,15236,7,176,901,405,811,4544,767,489,4534,265
SE_0580,Linköping,124369,107261,82,915,8572,6328,5673,31997,6333,6722,16882,1540
SE_0781,Ljungby,21191,17856,29,223,985,432,1363,5098,660,445,4977,229
SE_2161,Ljusdal,14791,12244,13,188,958,363,672,3861,553,423,3156,132
SE_1864,Ljusnarsberg,3568,2890,4,41,86,50,118,934,155,55,992,65
SE_1262,Lomma,17944,16578,10,75,1401,1470,799,3826,363,751,2906,124
SE_2085,Ludvika,19610,16536,15,194,754,477,769,5749,1006,461,4589,222
SE_2580,Luleå,61094,53108,85,499,3096,1901,2779,20740,3776,2277,9125,582
SE_1281,Lund,93503,82009,79,614,7075,6857,2739,23034,7412,8949,10402,1180
SE_2481,Lycksele,9233,7668,9,104,396,216,776,3054,404,163,1374,61
SE_1484,Lysekil,11346,9755,23,103,439,421,502,3224,486,420,2431,140
SE_1280,Malmö,251172,193960,228,1687,10546,8706,5753,56789,23986,14386,31433,6133
SE_2023,Malung-Sälen,7983,6896,9,101,368,222,440,1777,279,128,2180,112
SE_2418,Malå,2259,1853,1,45,79,86,105,724,163,26,441,12
SE_1493,Mariestad,19407,16745,35,247,910,399,952,5625,750,521,3771,185
SE_1463,Mark,26700,22947,25,290,1713,722,1557,6909,1212,773,5627,386
SE_0767,Markaryd,7356,6035,4,62,236,108,574,1615,191,87,2136,98
SE_1461,Mellerud,6919,5842,4,72,427,134,391,1501,195,153,1866,106
SE_0586,Mjölby,21414,18590,14,198,1056,738,1114,5840,731,518,4496,176
SE_2062,Mora,16295,13901,21,129,976,393,893,4075,596,447,3982,184
SE_0583,Motala,33347,28449,26,319,1433,988,1547,9611,1245,762,6989,270
SE_0642,Mullsjö,5604,4968,6,59,280,156,612,1274,191,188,1326,71
SE_1430,Munkedal,8038,6733,6,97,403,163,529,1818,293,160,2121,100
SE_1762,Munkfors,2714,2281,1,30,125,55,99,991,115,47,560,26
SE_1481,Mölndal,51607,44723,30,406,3168,2825,2153,12496,3087,2728,7820,611
SE_0861,Mönsterås,10143,8854,8,93,549,230,702,2763,313,190,2678,104
SE_0840,Mörbylånga,12229,11060,8,91,836,383,820,3244,453,517,2492,84
SE_0182,Nacka,77440,67608,70,457,6991,5107,2672,16954,3554,4960,7944,856
SE_1884,Nora,8277,7126,5,90,424,261,396,2316,332,306,1814,130
SE_1962,Norberg,4352,3640,1,52,107,112,165,1324,276,104,925,62
SE_2132,Nordanstig,7393,6102,8,77,427,133,390,1902,373,175,1746,84
SE_2401,Nordmaling,5523,4659,7,47,426,122,282,1724,263,118,994,48
SE_0581,Norrköping,108530,89655,116,917,4509,3321,5389,26056,6068,3875,20093,1189
SE_0188,Norrtälje,51006,43380,36,440,2684,1804,2035,12505,1992,1733,10801,492
SE_2417,Norsjö,3048,2533,1,28,153,91,214,1034,160,30,461,26
SE_0881,Nybro,15131,12830,15,137,796,350,876,4148,596,278,3450,194
SE_0140,Nykvarn,8271,7352,4,72,387,323,384,1811,182,186,2090,50
SE_0480,Nyköping,43569,37367,33,366,2521,1422,1776,12623,1832,1734,7466,465
SE_0192,Nynäshamn,21526,17887,24,187,797,597,896,5557,921,709,4819,248
SE_0682,Nässjö,22963,19453,17,186,1193,617,1617,5773,777,586,5385,246
