party_id,name_native,name_english,abbreviation,coalition_members,other_names,individual_candidate,region,founded_year,dissolved_year,european_party,ep_group,colors,wikipedia_page,wikidata_id,party_facts_id,ideology
PPR,Patrioții Poporului Român,Patriots of the Romanian People,PPR,[],,,RO,2022.0,,[],[],"[""#155348""]",https://en.wikipedia.org/wiki/Patriots_of_the_Romanian_People,Q126934676,,radical right
PPU,Partidul Pensionarilor Uniți,United Pensioners' Party,PPU,[],,,RO,2000.0,,[],"[{""year_start"": null, ""year_end"": null, ""party_id"": ""EPP Group""}]",[],https://en.wikipedia.org/wiki/Partidul_Pensionarilor_Uniți,,,other
PR,Partidul România,Party of Romania,PR,[],,,RO,,,[],[],"[""#0080C7""]",,,5449.0,radical right
PRD,Partidul Romilor Democrați,Democratic Party of Roma,PRD,[],,,RO,,,[],[],[],,,,other
PRM,Partidul România Mare,Greater Romania Party,PRM,[],,,RO,1991.0,,[],"[{""year_start"": ""2004"", ""year_end"": ""2014"", ""party_id"": ""NI""}]","[""#0000FF"", ""#FFD700""]",https://ro.wikipedia.org/wiki/Partidul_Rom%C3%A2nia_Mare,Q828039,1305.0,radical right
PRO,PRO România,PRO Romania,PRO,[],,,RO,2018.0,,"[{""date_start"": ""2022"", ""date_end"": null, ""organization"": ""Party of European Socialists (PES)"", ""status"": ""member""}, {""date_start"": null, ""date_end"": ""2022"", ""organization"": ""European Democratic Party (EDP)"", ""status"": ""member""}]","[{""year_start"": ""2019"", ""year_end"": null, ""party_id"": ""Renew""}]","[""#0080C7""]",https://ro.wikipedia.org/wiki/Partidul_PRO_Rom%C3%A2nia,Q47454194,7359.0,"left or center-left, including non-radical greens"
Prodemo,Prodemo,Prodemo,Prodemo,[],,,RO,,,[],[],"[""#ED262B""]",,,,"center, center-right or moderate right"
PRR,Partidul Republican din România,Republican Party of Romania,PRR,[],,,RO,,,[],[],[],,,,radical right
PRU,Partidul România Unită,United Romania Party,PRU,[],,,RO,2015.0,2019.0,"[{""date_start"": null, ""date_end"": null, ""organization"": ""Alliance for Peace and Freedom (APF)"", ""status"": ""member""}]","[{""year_start"": null, ""year_end"": null, ""party_id"": ""PfE""}]","[""#00519E""]",https://ro.wikipedia.org/wiki/Partidul_Rom%C3%A2nia_Unit%C4%83,Q22261089,5854.0,radical right
PSD,Partidul Social Democrat,Social Democratic Party,PSD,[],,,RO,1990.0,,"[{""date_start"": null, ""date_end"": null, ""organization"": ""Party of European Socialists (PES)"", ""status"": ""member""}]","[{""year_start"": ""2004"", ""year_end"": null, ""party_id"": ""S&D""}]","[""#002B7F"", ""#FCD116"", ""#CE1126""]",https://ro.wikipedia.org/wiki/Partidul_Social_Democrat_(Rom%C3%A2nia),Q752435,120.0,"left or center-left, including non-radical greens"
PSD-PC,PSD-PC,PSD-PC,PSD-PC,"[""PSD"", ""PC""]",,,RO,,,[],[],"[""#DC4405""]",,,6153.0,"left or center-left, including non-radical greens"
PSD-UNPR-PC,PSD-UNPR-PC,PSD-UNPR-PC,PSD-UNPR-PC,"[""PSD"", ""UNPR"", ""PC""]",,,RO,,,[],[],"[""#ED262B""]",,,,"left or center-left, including non-radical greens"
PSDI,Partidul Social Democrat Independent,Independent Social Democratic Party,PSDI,[],,,RO,,,[],[],"[""#CA2A1C""]",,,,"left or center-left, including non-radical greens"
PSR,Partidul Socialist Român,Romanian Socialist Party,PSR,[],"[{""name_native"": ""Partidul Alternativa Socialistă"", ""abbreviation"": ""PAS""}, {""name_native"": ""Partidul Alianța Socialistă"", ""abbreviation"": ""PAS""}]",,RO,2003.0,,"[{""date_start"": ""2014"", ""date_end"": null, ""organization"": ""Party of the European Left (EL)"", ""status"": ""member""}]",[],[],https://ro.wikipedia.org/wiki/Partidul_Socialist_Rom%C3%A2n,Q1424442,,radical left
PUGD,Partidul Uniunea Geto-Dacilor,Party of the Union of Getae-Dacians,PUGD,[],,,RO,,,[],[],[],,,,other
Puiu-Barraud,Claudia Puiu-Barraud,Claudia Puiu-Barraud,Puiu-Barraud,[],,Y,RO,,,[],[],[],,,,other
Purea,Paul Purea,Paul Purea,Purea,[],,Y,RO,,,[],[],[],,,,unknown
PUSL,Partidul Puterii Umaniste (social-liberal),Social Liberal Humanist Party,PUSL,[],,,RO,2015.0,,[],"[{""year_start"": null, ""year_end"": null, ""party_id"": ""S&D""}]","[""#0066B6"", ""blue""]",https://ro.wikipedia.org/wiki/Partidul_Umanist_Social_Liberal,Q28836808,9547.0,"center, center-right or moderate right"
PV,Partidul Verde,Green Party,PV,[],,,RO,2005.0,,"[{""date_start"": ""1999"", ""date_end"": null, ""organization"": ""European Green Party (EGP)"", ""status"": ""member""}]","[{""year_start"": ""1999"", ""year_end"": null, ""party_id"": ""Greens/EFA""}]","[""Green"", ""Yellow""]",https://ro.wikipedia.org/wiki/Partidul_Verde_(Rom%C3%A2nia),Q929207,7033.0,"left or center-left, including non-radical greens"
PVN,Partidul Vrancea Noastră,Our Vrancea Party,PVN,[],,,RO,,,[],[],[],,,,"center, center-right or moderate right"
Radu,Darius-Constantin Radu,Darius-Constantin,Radu,[],,Y,RO,,,[],[],[],,,,unknown
Rădulescu [Nicu Rădulescu],Nicu Rădulescu,Nicu Rădulescu,Rădulescu,[],,Y,RO,,,[],[],[],,,,unknown
Rădulescu [Remi Rădulescu],Remi Rădulescu,Remi Rădulescu,Rădulescu,[],,Y,RO,,,[],[],"[""#009900""]",,,,unknown
Rădulescu [Romeo Rădulescu],Romeo Rădulescu,Romeo Rădulescu,Rădulescu,[],,Y,RO,,,[],[],"[""#1B7535""]",,,,unknown
Rădulescu [Virgil-Florin Rădulescu],Virgil-Florin Rădulescu,Virgil-Florin Rădulescu,Rădulescu,[],,Y,RO,,,[],[],[],,,,unknown
Raţiu,Raţiu Ovidiu-Ioan,Ovidiu-Ioan Raţiu,Raţiu,[],,Y,RO,,,[],[],[],https://en.wikipedia.org/wiki/Ion_Raţiu,Q4357755,,unknown
Re:start,Re:start România,Re:start Romania,Re:start,[],,,RO,,,[],[],[],,,,other
Renghea,Marin Renghea,Marin Renghea,Renghea,[],,Y,RO,,,[],[],[],,,,unknown
