gisco_id,name,registered,turnout,invalid,blank,KO,LR,TD,KON,NK,POLEXIT,PL!SP,PiS,RNP,BS,GSP
PL_1006201391205,Raczki,4508,1467,14,0,248,24,133,329,16,10,0,672,0,20,0
PL_1006201391206,Rutka-Tartak,1938,687,4,0,128,12,57,128,2,2,0,346,0,8,0
PL_1006201391207,Suwałki,6255,2214,11,0,672,49,210,410,6,5,0,836,0,14,0
PL_1006201391208,Szypliszki,3199,899,3,0,204,23,100,174,4,5,0,369,0,17,0
PL_1006201391209,Wiżajny,1815,583,1,0,111,15,62,114,2,5,0,265,0,8,0
PL_1006201381301,Wysokie Mazowieckie,7095,2855,20,0,730,24,287,436,13,6,0,1321,0,18,0
PL_1006201381302,Ciechanowiec,6778,2412,15,0,384,34,211,374,10,7,0,1355,0,22,0
PL_1006201381303,Czyżew,4924,1843,11,0,198,17,209,368,4,2,0,1026,0,8,0
PL_1006201381304,Klukowo,3294,1347,8,0,66,4,94,214,2,0,0,951,0,8,0
PL_1006201381305,Kobylin-Borzymy,2541,1052,6,0,48,6,32,292,2,1,0,636,0,29,0
PL_1006201381306,Kulesze Kościelne,2342,1059,5,0,24,12,51,289,0,2,0,645,0,31,0
PL_1006201381307,Nowe Piekuty,2994,1254,5,0,83,6,87,229,3,7,0,829,0,5,0
PL_1006201381308,Sokoły,4478,1739,17,0,117,22,135,329,2,1,0,1105,0,11,0
PL_1006201381309,Szepietowo,5226,1982,19,0,230,22,211,381,4,3,0,1088,0,24,0
PL_1006201381310,Wysokie Mazowieckie,4160,1587,12,0,101,8,201,358,2,3,0,887,0,15,0
PL_1006201381401,Zambrów,16404,5408,27,0,1157,86,923,664,7,17,0,2497,0,30,0
PL_1006201381402,Kołaki Kościelne,1822,810,4,0,40,4,56,152,1,1,0,548,0,4,0
PL_1006201381403,Rutki,4336,1527,16,0,150,18,164,232,5,5,0,925,0,12,0
PL_1006201381404,Szumowo,3722,1379,11,0,73,7,290,250,6,6,0,729,0,7,0
PL_1006201381405,Zambrów,7611,2635,34,0,329,16,401,495,5,5,0,1330,0,20,0
PL_1004221410101,Borzytuchom,2619,825,9,0,290,26,74,100,0,8,0,307,0,11,0
PL_1004221410102,Bytów,18495,7105,29,0,3052,188,665,575,0,19,0,2525,0,52,0
PL_1004221410103,Czarna Dąbrówka,4342,1520,13,0,508,24,66,128,0,3,0,760,0,18,0
PL_1004221410104,Kołczygłowy,3238,845,9,0,297,32,42,83,0,3,0,363,0,16,0
PL_1004221410105,Lipnica,4141,1677,10,0,383,26,64,142,0,4,0,1033,0,15,0
PL_1004221410106,Miastko,14150,4183,36,0,2119,122,182,319,0,14,0,1359,0,32,0
PL_1004221410107,Parchowo,2943,1248,11,0,362,24,66,139,0,3,0,638,0,5,0
PL_1004221410108,Studzienice,2935,1101,9,0,482,19,63,108,0,2,0,408,0,10,0
PL_1004221410109,Trzebielino,2778,821,11,0,384,15,46,86,0,2,0,262,0,15,0
PL_1004221410110,Tuchomie,3256,1018,3,0,353,18,52,141,0,6,0,420,0,25,0
PL_1004221720201,Chojnice,28919,11261,68,0,5880,272,445,999,0,26,0,3490,0,81,0
PL_1004221720202,Brusy,10723,4263,35,0,1175,78,207,496,0,19,0,2212,0,41,0
PL_1004221720203,Chojnice,14810,5269,38,0,2275,124,251,650,0,32,0,1843,0,56,0
PL_1004221720204,Czersk,16295,5184,33,0,1786,125,194,600,0,17,0,2384,0,45,0
PL_1004221720205,Konarzyny,1717,565,4,0,195,12,22,93,0,2,0,232,0,5,0
PL_1004221720301,Człuchów,10177,3964,25,0,2304,109,131,324,0,14,0,1027,0,30,0
PL_1004221720302,Czarne,7778,2422,45,0,1285,78,166,176,0,8,0,637,0,27,0
PL_1004221720303,Człuchów,8273,2336,31,0,918,58,115,325,0,10,0,848,0,31,0
PL_1004221720304,Debrzno,6629,1728,16,0,820,64,78,197,0,9,0,522,0,22,0
PL_1004221720305,Koczała,2488,711,9,0,373,11,30,59,0,3,0,218,0,8,0
PL_1004221720306,Przechlewo,4774,1427,18,0,683,41,81,144,0,12,0,430,0,18,0
PL_1004221720307,Rzeczenica,2795,788,7,0,308,24,39,100,0,3,0,297,0,10,0
PL_1004221400401,Pruszcz Gdański,22559,10290,53,0,5723,496,647,951,0,33,0,2258,0,129,0
PL_1004221400402,Cedry Wielkie,5279,1692,21,0,758,45,92,211,0,7,0,529,0,29,0
PL_1004221400403,Kolbudy,14350,6848,42,0,3992,296,352,666,0,25,0,1380,0,94,0
PL_1004221400404,Pruszcz Gdański,24130,10776,39,0,6068,441,684,1265,0,39,0,2088,0,151,0
PL_1004221400405,Przywidz,4692,1775,11,0,815,50,102,196,0,7,0,565,0,29,0
PL_1004221400406,Pszczółki,7912,3130,11,0,1344,98,388,377,0,12,0,862,0,38,0
PL_1004221400407,Suchy Dąb,3222,979,12,0,434,18,82,106,0,9,0,305,0,13,0
PL_1004221400408,Trąbki Wielkie,9023,2941,31,0,1279,89,238,398,0,10,0,859,0,37,0
PL_1004221400501,Chmielno,5788,2331,12,0,795,51,101,297,0,14,0,1013,0,48,0
PL_1004221400502,Kartuzy,24657,10176,48,0,4461,241,455,1163,0,34,0,3665,0,109,0
PL_1004221400503,Przodkowo,7661,3061,22,0,1098,99,157,455,0,23,0,1155,0,52,0
PL_1004221400504,Sierakowice,14176,5582,32,0,1403,65,173,790,0,16,0,3054,0,49,0
PL_1004221400505,Somonino,8149,2757,16,0,1036,68,113,332,0,2,0,1160,0,30,0
PL_1004221400506,Stężyca,8344,3364,15,0,1218,63,137,432,0,16,0,1437,0,46,0
PL_1004221400507,Sulęczyno,4366,1760,8,0,636,32,71,186,0,4,0,802,0,21,0
PL_1004221400508,Żukowo,32823,15124,54,0,7713,495,853,2025,0,28,0,3763,0,190,0
PL_1004221720601,Kościerzyna,17480,7211,26,0,3705,178,285,642,0,31,0,2295,0,49,0
PL_1004221720602,Dziemiany,3448,1462,8,0,434,29,73,220,0,3,0,676,0,19,0
PL_1004221720603,Karsin,4804,1780,15,0,637,40,84,223,0,7,0,760,0,13,0
PL_1004221720604,Kościerzyna,12053,4787,24,0,1860,116,212,588,0,25,0,1918,0,44,0
PL_1004221720605,Liniewo,3548,1273,14,0,442,35,57,184,0,2,0,528,0,11,0
PL_1004221720606,Lipusz,2841,1167,14,0,339,26,62,150,0,4,0,566,0,6,0
PL_1004221720607,Nowa Karczma,5352,1800,19,0,598,42,106,182,0,6,0,831,0,16,0
PL_1004221720608,Stara Kiszewa,5293,1826,12,0,631,40,80,224,0,11,0,812,0,16,0
PL_1004221420701,Kwidzyn,27723,10493,67,0,5546,439,381,964,0,41,0,2935,0,119,0
PL_1004221420702,Gardeja,6309,1425,25,0,443,61,52,223,0,8,0,603,0,10,0
PL_1004221420703,Kwidzyn,8575,2509,20,0,1025,99,117,352,0,10,0,853,0,33,0
PL_1004221420704,Prabuty,9799,2765,18,0,1101,95,107,330,0,10,0,1064,0,40,0
PL_1004221420705,Ryjewo,4228,1117,20,0,461,45,44,153,0,1,0,348,0,45,0
PL_1004221420706,Sadlinki,4494,1262,8,0,364,36,54,201,0,7,0,576,0,16,0
PL_1004221410801,Lębork,24926,10328,56,0,5441,286,511,862,0,41,0,3006,0,125,0
PL_1004221410802,Łeba,4057,2532,6,0,1531,94,82,133,0,2,0,666,0,18,0
PL_1004221410803,Cewice,5261,1740,17,0,654,49,97,203,0,3,0,694,0,22,0
PL_1004221410804,Nowa Wieś Lęborska,10232,3521,18,0,1537,102,182,402,0,11,0,1231,0,38,0
PL_1004221410805,Wicko,4444,1387,12,0,608,64,56,143,0,3,0,479,0,22,0
PL_1004221420901,Malbork,28151,10866,40,0,6052,489,410,931,0,30,0,2770,0,144,0
PL_1004221420903,Lichnowy,3277,844,11,0,299,30,45,113,0,7,0,325,0,14,0
PL_1004221420904,Malbork,3815,1214,5,0,610,64,77,153,0,1,0,292,0,12,0
PL_1004221420906,Miłoradz,2566,689,7,0,236,17,45,88,0,2,0,257,0,37,0
PL_1004221420907,Nowy Staw,5381,1446,20,0,599,41,81,150,0,8,0,517,0,30,0
PL_1004221420908,Stare Pole,3474,1078,4,0,494,43,58,113,0,7,0,336,0,23,0
PL_1004221401001,Krynica Morska,2719,2065,7,0,1200,65,69,109,0,3,0,596,0,16,0
PL_1004221401002,Nowy Dwór Gdański,13052,4198,18,0,2199,189,168,454,0,10,0,1123,0,37,0
PL_1004221401003,Ostaszewo,2352,762,6,0,278,26,38,91,0,1,0,314,0,8,0
PL_1004221401004,Stegna,8357,3363,21,0,1738,108,145,305,0,11,0,1004,0,31,0
PL_1004221401005,Sztutowo,3180,1326,8,0,726,73,58,122,0,11,0,315,0,13,0
PL_1004221401101,Hel,2959,1481,10,0,897,63,60,129,0,4,0,309,0,9,0
PL_1004221401102,Jastarnia,5381,3821,13,0,2185,113,125,272,0,17,0,1070,0,26,0
PL_1004221401103,Puck,8213,3527,18,0,2010,116,224,244,0,10,0,862,0,43,0
PL_1004221401104,Władysławowo,14994,8348,35,0,4528,273,540,689,0,21,0,2207,0,55,0
PL_1004221401105,Kosakowo,14276,7142,16,0,3893,314,612,825,0,18,0,1378,0,85,0
PL_1004221401106,Krokowa,9189,3635,36,0,1539,128,198,421,0,20,0,1252,0,41,0
PL_1004221401107,Puck,20723,7098,55,0,2687,155,557,911,0,21,0,2617,0,95,0
PL_1004221411201,Ustka,12337,6038,28,0,3392,228,228,342,0,20,0,1750,0,50,0
PL_1004221411202,Damnica,4338,1311,11,0,518,31,59,120,0,4,0,551,0,17,0
PL_1004221411203,Dębnica Kaszubska,7028,2019,22,0,829,40,88,163,0,11,0,839,0,27,0
PL_1004221411204,Główczyce,6480,1673,18,0,658,52,95,154,0,22,0,649,0,25,0
PL_1004221411205,Kępice,6368,1783,14,0,856,77,77,137,0,7,0,589,0,26,0
PL_1004221411206,Kobylnica,10104,3663,31,0,1926,111,166,357,0,8,0,1029,0,34,0
PL_1004221411207,Potęgowo,4925,1370,24,0,563,42,66,131,0,13,0,515,0,16,0
PL_1004221411208,Słupsk,13868,4950,34,0,2635,196,200,438,0,16,0,1393,0,37,0
PL_1004221411209,Smołdzino,2592,920,11,0,423,29,25,61,0,0,0,366,0,5,0
PL_1004221411210,Ustka,7543,3536,21,0,1775,102,129,318,0,18,0,1143,0,30,0
PL_1004221421301,Czarna Woda,2416,829,2,0,345,14,25,71,0,4,0,358,0,10,0
PL_1004221421302,Skórcz,2575,937,6,0,360,23,33,105,0,1,0,402,0,7,0
PL_1004221421303,Starogard Gdański,33929,12570,70,0,5673,378,563,1162,0,38,0,4519,0,166,0
PL_1004221421304,Bobowo,2392,704,5,0,167,25,46,106,0,5,0,334,0,16,0
PL_1004221421305,Kaliska,4162,1366,11,0,515,34,71,134,0,6,0,581,0,13,0
PL_1004221421306,Lubichowo,5206,1716,7,0,651,45,83,203,0,7,0,692,0,28,0
PL_1004221421307,Osieczna,2211,712,9,0,198,8,43,86,0,3,0,345,0,20,0
PL_1004221421308,Osiek,2046,825,7,0,369,26,47,64,0,2,0,300,0,10,0
PL_1004221421309,Skarszewy,10646,3484,32,0,1343,81,178,362,0,8,0,1402,0,78,0
PL_1004221421310,Skórcz,3366,967,6,0,227,13,45,157,0,2,0,507,0,10,0
PL_1004221421311,Smętowo Graniczne,3863,1164,10,0,327,29,78,168,0,9,0,525,0,18,0
PL_1004221421312,Starogard Gdański,12414,4629,33,0,1783,136,297,563,0,23,0,1730,0,64,0
PL_1004221421313,Zblewo,9040,2848,22,0,884,57,189,376,0,5,0,1274,0,41,0
PL_1004221421401,Tczew,41871,16884,85,0,8063,586,985,1596,0,49,0,5263,0,255,0
PL_1004221421402,Gniew,11362,3259,42,0,1209,117,213,344,0,14,0,1278,0,42,0
PL_1004221421403,Morzeszczyn,2672,711,8,0,195,17,57,102,0,2,0,315,0,15,0
PL_1004221421404,Pelplin,11746,3370,39,0,1271,68,228,350,0,13,0,1347,0,54,0
PL_1004221421405,Subkowy,4147,1294,11,0,442,49,99,172,0,5,0,491,0,25,0
PL_1004221421406,Tczew,11548,4334,45,0,1951,109,292,582,0,24,0,1262,0,69,0
PL_1004221401501,Reda,19188,8368,22,0,4444,365,541,869,0,32,0,1985,0,102,0
PL_1004221401502,Rumia,37578,18009,67,0,9482,828,1193,1893,0,45,0,4283,0,218,0
PL_1004221401503,Wejherowo,33419,13754,82,0,6889,502,780,1202,0,47,0,4072,0,180,0
PL_1004221401504,Choczewo,4139,1678,13,0,870,57,106,119,0,10,0,491,0,12,0
PL_1004221401505,Gniewino,5446,1655,20,0,690,41,107,196,0,6,0,578,0,17,0
PL_1004221401506,Linia,4840,1689,14,0,399,21,67,203,0,3,0,965,0,17,0
PL_1004221401507,Luzino,12521,4403,28,0,1356,123,232,626,0,16,0,1976,0,46,0
PL_1004221401508,Łęczyce,8856,2886,22,0,972,66,153,342,0,16,0,1276,0,39,0
PL_1004221401509,Szemud,15036,6137,29,0,2739,187,331,886,0,20,0,1869,0,74,0
PL_1004221401510,Wejherowo,20829,7968,43,0,3588,269,522,1029,0,24,0,2401,0,88,0
PL_1004221421601,Dzierzgoń,6797,1871,20,0,865,65,101,222,0,11,0,553,0,34,0
PL_1004221421602,Mikołajki Pomorskie,2622,637,7,0,215,18,34,72,0,5,0,272,0,14,0
PL_1004221421603,Stary Dzierzgoń,2960,652,5,0,271,19,25,70,0,4,0,248,0,10,0
PL_1004221421604,Stary Targ,4588,1130,15,0,325,35,66,115,0,11,0,543,0,20,0
PL_1004221421605,Sztum,14229,5017,47,0,2650,211,271,384,0,23,0,1349,0,82,0
PL_1001241500101,Będzin,40326,16107,80,0,7929,1238,641,1308,54,36,16,4648,39,114,0
PL_1001241500102,Czeladź,23341,9787,63,0,4938,674,405,849,46,17,15,2679,30,71,0
PL_1001241500103,Wojkowice,7541,2928,29,0,1569,170,142,232,15,5,8,734,9,15,0
PL_1001241500104,Bobrowniki,9820,4092,19,0,1908,262,199,405,16,7,7,1228,14,27,0
PL_1001241500105,Mierzęcice,6200,2297,7,0,901,153,112,251,7,3,4,830,7,22,0
PL_1001241500106,Psary,9839,4291,27,0,2032,309,229,399,21,9,5,1211,17,32,0
PL_1001241500107,Siewierz,10005,3922,16,0,1437,192,191,349,15,12,8,1656,14,31,0
PL_1001241500108,Sławków,5356,2305,21,0,911,128,86,256,14,16,4,836,11,22,0
PL_1001241440201,Szczyrk,4477,2158,4,0,716,71,120,210,16,5,1,1000,1,14,0
PL_1001241440202,Bestwina,9323,4037,21,0,1587,122,235,538,20,9,6,1473,3,23,0
PL_1001241440203,Buczkowice,8567,3577,24,0,1138,110,198,505,23,8,8,1540,3,20,0
PL_1001241440204,Czechowice-Dziedzice,33491,14564,95,0,5799,535,871,1672,54,26,8,5366,40,97,0
PL_1001241440205,Jasienica,18729,8189,52,0,3172,267,475,980,37,13,11,3121,16,45,0
PL_1001241440206,Jaworze,5816,2853,10,0,1541,126,177,273,7,8,7,676,5,23,0
PL_1001241440207,Kozy,10084,4586,17,0,1700,160,306,533,14,10,4,1798,8,33,0
PL_1001241440208,Porąbka,12192,4910,38,0,1542,134,258,581,25,12,2,2258,14,46,0
PL_1001241440209,Wilamowice,13716,5585,29,0,1592,167,311,677,34,10,8,2711,9,37,0
PL_1001241440210,Wilkowice,10522,4838,21,0,2105,144,310,479,18,17,5,1687,27,25,0
PL_1001241440301,Cieszyn,25409,10697,48,0,5052,626,580,1121,57,20,14,3060,41,77,0
PL_1001241440302,Ustroń,13927,6450,33,0,3257,250,363,526,25,16,13,1915,10,42,0
PL_1001241440303,Wisła,8729,3285,16,0,1968,140,205,398,11,14,2,495,14,22,0
PL_1001241440304,Brenna,9022,3606,14,0,1179,127,224,460,21,7,8,1536,8,22,0
PL_1001241440305,Chybie,7435,2718,14,0,802,62,126,388,15,9,0,1273,6,23,0
PL_1001241440306,Dębowiec,4445,1577,6,0,583,60,99,208,11,1,1,595,4,9,0
PL_1001241440307,Goleszów,10121,3913,26,0,1920,219,281,459,18,8,7,937,12,26,0
PL_1001241440308,Hażlach,8209,2959,18,0,976,131,177,392,16,5,5,1213,7,19,0
PL_1001241440309,Istebna,9178,3572,22,0,675,57,108,349,10,6,8,2310,4,23,0
PL_1001241440310,Skoczów,19807,7780,35,0,2904,305,458,1027,67,29,11,2858,29,56,0
PL_1001241440311,Strumień,10031,4040,28,0,1233,145,186,534,22,3,4,1850,15,20,0
PL_1001241440312,Zebrzydowice,9906,3638,19,0,1150,119,148,484,15,17,10,1650,8,18,0
PL_1001241460401,Blachownia,9945,3712,30,0,1497,218,244,356,23,12,3,1285,11,33,0
PL_1001241460402,Dąbrowa Zielona,3231,1075,8,0,228,50,96,99,2,1,3,583,1,4,0
PL_1001241460403,Janów,4855,1860,14,0,418,78,83,213,14,2,4,961,60,13,0
PL_1001241460404,Kamienica Polska,4399,1778,9,0,679,127,104,160,12,1,3,667,8,8,0
PL_1001241460405,Kłomnice,10622,3883,31,0,944,184,290,396,23,8,9,1955,9,34,0
PL_1001241460406,Koniecpol,7346,2518,18,0,589,107,118,213,18,7,9,1407,8,24,0
PL_1001241460407,Konopiska,8599,2919,16,0,1052,170,306,286,6,7,6,1043,7,20,0
PL_1001241460408,Kruszyna,3853,1336,9,0,246,77,79,185,7,6,6,708,3,10,0
PL_1001241460409,Lelów,3848,1447,6,0,216,42,84,181,3,4,4,877,20,10,0
PL_1001241460410,Mstów,8658,3359,18,0,833,124,218,321,26,3,4,1768,28,16,0
PL_1001241460411,Mykanów,11977,4806,26,0,1185,164,408,503,27,11,7,2430,10,35,0
PL_1001241460412,Olsztyn,6561,2593,14,0,902,120,154,221,19,4,3,1127,7,21,0
PL_1001241460413,Poczesna,9955,3879,24,0,1440,212,236,394,21,9,7,1500,10,26,0
PL_1001241460414,Przyrów,2962,1050,8,0,194,47,90,125,5,1,3,565,2,10,0
PL_1001241460415,Rędziny,7593,2863,28,0,802,149,175,305,15,2,9,1351,6,21,0
PL_1001241460416,Starcza,2354,845,3,0,257,60,83,55,4,7,2,367,0,7,0
PL_1001241470501,Knurów,27011,10320,57,0,4242,361,434,1032,58,26,10,3989,30,81,0
PL_1001241470502,Pyskowice,12961,4673,28,0,2158,191,239,500,9,16,15,1479,11,27,0
PL_1001241470503,Gierałtowice,9458,4028,14,0,1590,102,229,467,20,6,11,1549,13,27,0
PL_1001241470504,Pilchowice,9493,3721,23,0,1683,149,139,376,23,16,5,1271,10,26,0
PL_1001241470505,Rudziniec,8343,2949,37,0,1150,76,151,414,18,5,5,1050,5,38,0
PL_1001241470506,Sośnicowice,6803,2451,15,0,1253,64,106,278,9,4,9,685,9,19,0
PL_1001241470507,Toszek,7434,2334,14,0,825,47,134,311,27,7,7,937,7,18,0
PL_1001241470508,Wielowieś,4576,1402,12,0,419,31,71,242,17,8,2,565,11,24,0
PL_1001241460601,Kłobuck,15832,6084,24,0,1898,284,846,605,26,14,6,2326,11,43,0
PL_1001241460602,Krzepice,7140,2545,13,0,565,77,420,251,8,3,3,1186,2,17,0
PL_1001241460603,Lipie,4921,1709,14,0,297,44,282,166,11,3,3,875,1,13,0
PL_1001241460604,Miedźno,5995,2114,11,0,345,40,216,256,17,2,4,1205,4,14,0
PL_1001241460605,Opatów,5312,1616,7,0,273,50,305,227,10,2,1,725,6,10,0
PL_1001241460606,Panki,3990,1278,4,0,280,45,241,125,8,4,2,554,4,11,0
PL_1001241460607,Popów,4814,1542,17,0,330,49,242,142,11,1,3,725,7,15,0
PL_1001241460608,Przystajń,4681,1571,10,0,346,67,214,197,5,2,3,709,6,12,0
PL_1001241460609,Wręczyca Wielka,14167,4609,27,0,1126,184,768,488,22,16,8,1942,7,21,0
PL_1001241450701,Lubliniec,17979,7274,64,0,3038,234,385,800,33,20,20,2601,16,61,0
PL_1001241450702,Boronów,2674,929,8,0,263,16,58,100,8,3,2,463,2,6,0
PL_1001241450703,Ciasna,6406,1630,27,0,606,38,97,217,9,11,7,597,7,14,0
