gisco_id,name,registered,turnout,invalid,blank,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
PL_114300603,Chynów,7831,1383,52,0,44,32,85,425,36,21,116,215,357,0,0,0
PL_114300604,Goszczyn,2320,524,10,0,34,10,11,259,9,6,30,25,130,0,0,0
PL_114300605,Grójec,19889,4005,142,0,120,55,358,1182,126,97,254,1112,559,0,0,0
PL_114300606,Jasieniec,4288,738,33,0,30,5,46,275,13,17,44,77,198,0,0,0
PL_114300607,Mogielnica,7414,1312,51,0,37,13,39,652,29,16,91,162,222,0,0,0
PL_114300608,Nowe Miasto nad Pilicą,6961,1828,51,0,30,20,91,831,33,20,77,177,498,0,0,0
PL_114300609,Pniewy,3746,665,16,0,21,5,13,206,19,9,24,100,252,0,0,0
PL_114300611,Warka,15379,2952,97,0,74,59,149,1157,50,66,249,463,588,0,0,0
PL_114270701,Garbatka-Letnisko,4805,1000,38,0,17,21,56,444,33,30,76,235,50,0,0,0
PL_114270702,Głowaczów,6151,1067,40,0,55,31,46,513,19,23,100,111,129,0,0,0
PL_114270703,Gniewoszów,3323,501,28,0,32,16,23,167,7,13,55,45,115,0,0,0
PL_114270704,Grabów nad Pilicą,3162,537,21,0,16,7,23,275,12,8,34,66,75,0,0,0
PL_114270705,Kozienice,25360,5045,161,0,154,76,359,2206,148,146,374,1149,272,0,0,0
PL_114270706,Magnuszew,5576,872,30,0,41,7,45,366,22,14,53,125,169,0,0,0
PL_114270707,Sieciechów,3337,536,24,0,25,10,27,252,15,10,29,79,65,0,0,0
PL_114290801,Legionowo,41011,11812,247,0,282,177,956,3620,582,379,750,4169,584,0,0,66
PL_114290802,Jabłonna,12698,3725,63,0,66,67,262,1004,235,156,269,1431,128,0,0,44
PL_114290803,Nieporęt,10440,3295,89,0,102,68,257,902,160,127,224,1216,130,0,0,20
PL_114290804,Serock,10779,2380,55,0,76,30,222,664,177,99,164,760,120,0,0,13
PL_114290805,Wieliszew,9534,2334,64,0,87,28,199,631,124,113,158,731,180,0,0,19
PL_114270901,Chotcza,2054,265,7,0,7,7,13,100,1,3,14,40,73,0,0,0
PL_114270902,Ciepielów,4731,697,44,0,22,24,60,244,14,23,63,56,147,0,0,0
PL_114270903,Lipsko,9736,1530,40,0,38,33,179,522,33,31,116,275,263,0,0,0
PL_114270904,Rzeczniów,3798,572,33,0,12,10,35,241,7,10,45,44,135,0,0,0
PL_114270905,Sienno,5093,767,26,0,18,13,53,326,15,17,54,68,177,0,0,0
PL_114270906,Solec nad Wisłą,4490,658,21,0,12,8,113,177,21,14,50,93,149,0,0,0
PL_114261001,Huszlew,2383,424,7,0,9,2,15,197,5,12,22,19,136,0,0,0
PL_114261002,Łosice,9215,1807,47,0,36,20,100,713,34,32,152,233,440,0,0,0
PL_114261003,Olszanka,2519,544,14,0,19,12,9,231,5,13,34,27,180,0,0,0
PL_114261004,Platerów,4138,696,26,0,17,9,31,282,13,16,31,48,223,0,0,0
PL_114261005,Sarnaki,4221,792,23,0,12,11,36,315,13,21,64,98,199,0,0,0
PL_114261006,Stara Kornica,4033,700,20,0,21,9,24,298,7,14,45,41,221,0,0,0
PL_114261101,Maków Mazowiecki,8103,1574,39,0,35,22,183,526,25,110,121,342,171,0,0,0
PL_114261102,Czerwonka,2185,413,20,0,11,3,12,215,3,19,15,46,69,0,0,0
PL_114261103,Karniewo,4230,669,26,0,18,8,43,287,11,20,40,49,167,0,0,0
PL_114261104,Krasnosielc,5280,867,35,0,28,10,33,365,10,50,43,91,202,0,0,0
PL_114261105,Młynarze,1407,318,19,0,1,3,5,175,2,3,6,18,86,0,0,0
PL_114261106,Płoniawy-Bramura,4645,788,34,0,24,8,40,339,11,42,48,56,186,0,0,0
PL_114261107,Różan,3696,730,30,0,21,13,40,293,22,31,35,118,127,0,0,0
PL_114261108,Rzewnie,2219,424,10,0,14,2,19,196,7,23,17,46,90,0,0,0
PL_114261109,Sypniewo,2829,547,16,0,11,8,15,248,7,15,37,28,162,0,0,0
PL_114261110,Szelków,2998,585,24,0,20,15,34,213,13,21,24,54,167,0,0,0
PL_114291201,Mińsk Mazowiecki,30569,8458,240,0,178,157,708,2863,343,194,668,2496,611,0,0,0
PL_114291204,Cegłów,4949,1437,73,0,47,30,73,308,28,16,71,180,611,0,0,0
PL_114291205,Dębe Wielkie,7344,1339,41,0,39,35,58,563,34,43,107,287,132,0,0,0
