gisco_id,name,registered,turnout,invalid,blank,Smer-SD,KDŽP,ĽSNS,KOREKTÚRA,SNS,SR,OĽaNO,STAN,SP,STS,HĽ,MKDA-MKDSZ,DOPRAVA,KDH,SZ,MH,PD,SRK,SKS,SNJ,SMK-MKP,DOMA DOBRE,KSS-VZDOR,EDS,SaS,SĽS,NAJ,KÚ,PS-Spolu,DS,NK
SK_502324,Hronovce,1199,223,0,0,29,1,52,0,0,7,9,0,0,0,0,0,0,3,2,39,1,0,0,0,51,0,3,0,10,0,0,2,13,1,0
SK_502332,Hronske Klacany,1166,372,3,0,30,2,48,1,12,9,6,0,0,0,0,0,0,115,4,0,1,0,0,0,0,87,2,3,5,1,0,4,36,2,1
SK_502341,Hronske Kosihy,576,100,1,0,19,1,16,0,4,5,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,1,0,5,0,0,1,25,0,2
SK_502359,Ina,190,51,0,0,14,1,7,0,2,5,1,0,0,0,0,0,0,4,1,3,0,0,0,0,1,0,1,0,6,0,0,0,5,0,0
SK_502367,Ipelske Ulany,237,67,0,0,2,3,0,1,0,1,1,1,0,0,0,0,0,1,1,8,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0
SK_502375,Ipelsky Sokolec,701,115,2,0,6,1,3,0,1,1,4,1,0,0,0,5,0,1,1,28,0,0,0,0,52,0,0,0,3,0,0,5,1,0,0
SK_502383,Jablonovce,189,61,0,0,13,0,15,0,6,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,4,0,0,0,11,1,0
SK_556777,Jesenské (okres Levice),37,17,0,0,7,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
SK_502391,Jur nad Hronom,807,147,2,0,14,1,16,2,0,10,11,1,0,0,0,1,0,4,1,20,0,0,0,0,26,0,0,0,10,0,0,11,16,1,0
SK_502413,Kalna nad Hronom,1732,350,7,0,54,0,54,3,3,12,27,0,1,1,0,2,0,21,5,15,1,0,0,1,41,4,8,0,17,4,1,9,56,0,3
SK_502472,Ket,497,189,1,0,1,0,2,0,0,3,0,1,0,0,0,4,0,0,0,25,0,0,0,0,146,0,0,0,1,1,0,0,4,0,0
SK_502421,Kozarovce,1631,453,6,0,84,9,68,1,23,12,8,0,0,0,0,0,0,153,3,0,0,0,0,0,1,4,2,0,28,0,1,7,42,0,1
SK_502430,Krskany,657,127,4,0,18,5,12,2,4,3,4,0,0,0,1,0,0,46,0,0,2,0,0,0,0,0,0,0,13,0,0,0,12,0,1
SK_502448,Kubanovo,232,75,1,0,6,6,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,50,1,0,0,2,0,0,2,0,0,0
SK_502456,Kukucinov,489,45,2,0,22,0,3,0,1,2,1,0,1,0,0,1,0,0,1,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
SK_502464,Kuralany,430,108,3,0,50,5,5,0,6,2,0,0,1,0,0,0,0,17,2,0,0,0,0,0,0,3,0,0,3,0,0,0,10,0,1
SK_502031,Levice,27393,6269,90,0,931,50,678,65,201,228,358,11,20,7,8,13,9,371,45,142,16,3,2,18,396,86,32,8,723,30,3,173,1504,13,35
SK_502481,Lok,818,109,4,0,26,1,20,0,3,10,1,0,0,0,1,0,0,2,0,6,2,0,0,0,2,14,0,0,7,0,0,0,9,1,0
