gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_529435,Bratislava - mestská časť Čunovo,986,175,1,0,21,18,23,1,1,5,1,0,0,4,9,0,1,12,0,0,1,1,4,2,22,0,1,0,0,2,38,2,5
SK_529401,Bratislava - mestská časť Devín,1096,281,8,0,54,37,41,0,2,0,0,0,0,4,10,3,0,8,0,7,1,1,13,0,46,0,1,1,0,11,33,0,0
SK_529371,Bratislava - mestská časť Devínska Nová Ves,14578,2201,51,0,289,180,344,9,45,4,5,4,0,63,34,16,6,82,5,17,13,4,183,41,358,13,22,2,1,61,330,12,7
SK_529389,Bratislava - mestská časť Dúbravka,31185,5578,107,0,747,524,1265,13,83,24,3,13,4,206,60,27,11,193,6,41,24,4,322,70,602,22,63,22,1,174,880,29,38
SK_529443,Bratislava - mestská časť Jarovce,1551,340,14,0,69,25,43,1,2,2,1,0,0,4,5,3,4,24,0,3,1,0,4,8,36,0,2,1,1,6,73,4,4
SK_529397,Bratislava - mestská časť Karlova Ves,29588,6424,131,0,948,620,1094,8,93,41,1,8,1,243,55,52,19,287,17,38,34,3,456,103,857,19,72,9,1,179,990,14,31
SK_529419,Bratislava - mestská časť Lamač,6042,1521,32,0,172,180,336,2,21,9,2,3,0,40,13,5,2,51,14,30,8,3,126,17,142,0,18,5,0,68,204,7,11
SK_529346,Bratislava - mestská časť Nové Mesto,34948,7304,180,0,1060,646,1375,18,68,42,5,10,3,222,54,48,12,358,16,67,36,7,461,105,849,14,56,11,3,256,1207,42,73
SK_529460,Bratislava - mestská časť Petržalka,99176,15358,202,0,1921,1497,2828,40,232,115,11,33,7,644,248,119,40,661,32,109,132,19,1104,288,1960,44,161,39,13,474,2139,74,172
SK_529311,Bratislava - mestská časť Podunajské Biskupice,18868,2727,40,0,278,201,574,8,36,11,1,7,0,89,33,12,4,285,10,21,17,3,135,54,295,5,22,6,1,82,339,7,151
SK_529354,Bratislava - mestská časť Rača,18289,3403,69,0,459,348,793,9,55,22,1,2,0,138,25,18,9,100,10,21,24,5,211,37,394,6,48,7,1,129,437,14,11
SK_529494,Bratislava - mestská časť Rusovce,2792,510,7,0,75,29,69,0,6,3,0,0,0,7,3,6,1,39,4,4,5,0,21,3,66,1,1,7,0,22,110,15,6
SK_529320,Bratislava - mestská časť Ružinov,64743,12933,311,0,1840,1352,2680,16,167,86,11,22,5,302,133,64,29,559,27,125,64,10,662,172,1584,34,120,21,8,385,1981,47,116
SK_528595,Bratislava - mestská časť Staré Mesto,36114,9061,151,0,1662,933,1349,19,84,45,4,13,3,162,79,70,11,563,18,61,33,3,553,88,1149,39,86,17,9,182,1546,45,84
SK_529362,Bratislava - mestská časť Vajnory,4255,780,21,0,91,96,145,0,11,1,0,2,0,17,6,7,2,22,0,6,2,0,49,8,136,0,1,1,0,19,131,2,4
SK_529338,Bratislava - mestská časť Vrakuňa,16937,2249,61,0,245,176,487,7,41,14,1,2,1,94,21,8,2,106,3,20,13,4,124,46,276,9,28,12,5,81,319,5,38
SK_529427,Bratislava - mestská časť Záhorská Bystrica,3236,703,20,0,128,60,108,0,4,1,0,1,0,18,5,8,2,23,3,7,3,1,32,9,104,0,6,0,0,27,133,0,0
SK_507831,Borinka,579,120,4,0,17,13,8,0,2,0,0,0,0,6,1,0,0,7,0,0,0,0,18,0,18,3,0,0,0,4,18,0,1
SK_507890,Gajary,2429,140,1,0,9,9,40,2,4,0,0,1,0,10,1,0,0,1,0,4,1,0,15,1,7,0,2,0,0,17,12,3,0
SK_507954,Jablonové (okres Malacky),1018,91,1,0,9,8,29,1,1,2,0,0,0,2,2,0,0,1,0,11,2,0,1,0,14,1,0,0,0,5,1,0,0
SK_507962,Jakubov,1307,111,4,0,8,8,34,0,4,0,1,0,0,8,3,0,0,1,0,4,0,0,8,1,7,0,0,0,0,7,12,1,0
SK_508012,Kostoliste,1054,117,5,0,9,11,26,0,3,0,2,1,0,9,2,0,0,3,0,0,0,0,14,1,15,0,0,1,1,3,10,1,0
SK_508021,Kuchyna,1420,105,1,0,6,6,30,1,6,2,0,2,0,2,1,1,0,0,2,2,1,0,15,2,6,0,0,0,0,4,15,0,0
SK_508039,Lab,1279,161,6,0,19,10,40,1,6,1,0,0,0,4,1,1,0,4,0,0,1,0,20,2,19,2,1,0,0,3,20,0,0
SK_508055,Lozorno,2488,203,2,0,32,27,31,0,2,3,0,2,0,8,1,1,0,2,1,3,0,0,19,5,20,3,1,1,0,11,27,0,1
SK_508063,Malacky,15352,1669,37,0,141,151,378,1,57,14,3,1,0,101,15,15,2,15,4,12,8,0,212,39,180,1,22,1,2,35,208,13,1
SK_504556,Male Levare,968,72,6,0,6,6,18,1,3,0,0,0,0,3,5,0,1,3,0,0,0,0,4,2,4,0,0,0,0,2,6,2,0
SK_508080,Marianka,1291,218,2,0,54,20,29,1,0,1,1,0,0,5,2,2,0,9,0,2,0,0,18,1,24,0,1,0,0,3,43,0,0
SK_508161,Pernek,713,77,2,0,11,4,21,0,2,0,0,0,0,0,0,0,0,2,0,8,0,0,6,3,8,0,2,0,0,3,5,0,0
SK_504629,Plavecke Podhradie,550,85,4,0,7,12,8,2,5,0,0,0,0,1,1,0,0,1,0,1,0,0,8,3,8,0,1,0,0,10,13,0,0
SK_504637,Plavecky Mikulas,599,89,0,0,1,7,28,1,0,4,2,0,0,4,2,3,0,2,0,0,0,0,6,0,11,1,0,0,0,11,6,0,0
SK_508195,Plavecky Stvrtok,1906,189,1,0,24,18,32,0,6,0,1,1,0,7,3,0,0,1,9,5,0,2,18,2,23,1,2,0,0,7,25,1,0
SK_504769,Rohožník (okres Malacky),2839,179,3,0,11,13,31,1,3,0,1,0,0,4,5,0,1,2,0,3,0,0,49,5,15,0,1,1,1,11,14,2,2
SK_504858,Solosnica,1312,117,7,0,5,13,30,0,2,0,0,0,0,7,0,5,0,1,0,0,0,0,14,0,4,0,1,0,0,6,22,0,0
SK_504874,Studienka,1417,119,4,0,4,12,38,1,1,4,2,0,0,6,2,1,0,2,0,2,0,0,7,3,7,6,2,0,0,6,9,0,0
SK_508233,Stupava,8073,1153,23,0,156,145,202,6,17,8,2,4,0,43,10,2,1,37,1,5,8,0,71,16,171,3,15,0,0,30,172,3,2
SK_508241,Suchohrad,572,71,0,0,4,4,29,1,0,0,1,1,0,2,1,0,0,0,0,0,1,0,7,0,5,0,0,0,0,4,11,0,0
SK_504947,Velke Levare,2994,215,5,0,22,38,62,2,0,2,0,0,1,7,2,2,0,4,1,3,3,0,18,2,22,1,0,0,0,2,16,0,0
SK_508349,Vysoka pri Morave,1729,197,8,0,16,8,85,2,5,0,0,0,0,13,1,0,0,3,0,1,0,0,11,5,16,1,4,0,0,4,12,2,0
SK_500267,Záhorie (vojenský obvod),139,16,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,2,0,0
SK_508365,Zahorska Ves,1441,100,2,0,11,6,29,1,1,0,1,0,0,9,1,0,1,4,0,0,0,1,1,1,12,1,0,1,0,2,15,0,0
SK_504980,Zavod,2307,166,3,0,4,37,54,0,3,3,0,0,0,8,0,0,0,0,0,2,2,0,14,0,12,0,0,1,0,8,13,2,0
SK_508381,Zohor,2675,268,6,0,32,32,57,2,10,2,0,1,0,1,5,3,2,2,0,8,2,0,24,2,33,0,1,0,0,8,32,3,0
SK_507806,Bahon,1401,207,1,0,15,51,60,0,2,0,1,0,0,4,4,0,0,0,2,1,3,0,23,2,10,3,0,0,0,9,16,0,0
SK_507849,Budmerice,1942,266,13,0,28,33,63,2,1,4,0,1,2,7,6,0,0,2,0,1,0,0,55,2,17,0,1,0,0,7,21,0,0
SK_507857,Casta,1850,213,10,0,29,30,28,2,2,2,0,1,0,19,1,2,0,6,0,3,1,0,16,6,14,0,2,0,0,9,28,2,0
SK_507873,Doľany (okres Pezinok),873,107,2,0,5,15,20,1,0,4,0,2,0,5,5,0,0,5,0,0,1,0,15,2,8,0,1,0,0,3,13,0,0
SK_507881,Dubová (okres Pezinok),836,115,0,0,13,11,31,0,3,0,0,0,0,4,1,1,0,1,1,0,1,0,14,0,17,0,0,1,0,11,5,0,0
SK_507946,Jablonec,747,88,3,0,3,10,19,0,3,1,0,0,0,3,2,4,0,0,1,0,0,0,19,1,5,1,0,0,0,1,12,0,0
SK_508047,Limbach,1407,226,5,0,34,15,27,1,2,0,0,1,0,15,0,0,0,9,3,2,1,0,28,0,25,0,2,3,0,8,44,1,0
SK_508101,Modra,7582,1159,34,0,139,67,265,0,15,6,1,2,0,23,19,6,4,34,6,11,8,2,117,7,130,7,8,4,0,28,202,11,3
SK_508179,Pezinok,19316,2847,51,0,337,295,599,1,43,26,2,25,0,111,32,19,2,63,4,13,12,7,289,31,319,4,35,1,0,112,398,12,4
SK_508187,Píla (okres Pezinok),296,58,1,0,7,2,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,17,0,2,0,0,0,0,0,11,1,0
SK_508225,Slovensky Grob,2089,253,0,0,30,29,94,2,2,5,0,1,0,3,1,0,0,5,3,6,1,0,9,1,25,1,0,1,1,11,20,2,0
SK_507989,Svätý Jur,4487,725,19,0,78,64,127,2,7,12,0,2,0,9,3,2,1,21,2,11,4,0,73,19,83,1,3,0,0,34,144,2,2
SK_508250,Senkvice,3868,482,9,0,41,44,141,0,3,25,0,2,0,8,8,3,3,8,2,6,5,2,39,11,48,0,4,1,2,30,36,1,0
SK_508268,Stefanova,293,33,0,0,7,3,9,0,1,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0
SK_508306,Vinicne,1802,233,0,0,62,24,28,2,2,1,0,0,0,8,3,10,0,6,1,1,0,0,10,1,26,0,3,0,0,20,25,0,0
SK_508314,Vinosady,1009,139,3,0,23,15,29,0,0,0,0,1,0,1,1,0,2,3,1,0,1,0,15,1,14,1,0,0,0,10,17,1,0
SK_508322,Vistuk,1114,118,0,0,11,21,25,0,2,4,0,5,0,4,2,0,0,0,0,0,0,0,10,3,10,0,2,0,0,8,10,1,0
SK_507814,Bernolakovo,4826,753,26,0,68,79,151,1,15,4,3,4,0,23,2,8,3,22,1,4,5,0,105,6,79,4,8,1,2,27,94,5,3
SK_507822,Blatne,1348,204,4,0,9,59,68,0,0,2,1,0,0,4,1,0,0,0,0,1,1,0,10,0,12,0,2,0,0,11,18,1,0
SK_503681,Boldog,379,95,2,0,7,1,6,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,3,0,5,0,2,0,0,0,0,0,60
SK_507865,Cataj,940,160,2,0,12,11,71,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,17,1,12,0,1,0,0,5,20,1,1
SK_545333,Dunajska Luzna,4057,745,20,0,107,113,107,2,8,6,1,0,0,13,6,4,4,47,0,2,3,2,68,33,96,2,3,1,0,10,80,3,4
SK_507903,Hamuliakovo,1378,192,4,0,18,11,14,2,0,0,0,0,0,3,4,0,0,40,0,5,1,0,8,1,22,0,3,0,0,7,21,0,28
SK_503797,Hruba Borsa,451,72,0,0,3,2,10,0,4,0,0,0,1,5,2,0,4,10,0,0,1,0,5,1,1,0,0,0,0,2,10,0,11
SK_503801,Hruby Sur,647,124,2,0,7,8,3,0,0,0,0,0,3,0,0,0,0,32,0,0,0,0,6,1,10,0,0,0,0,0,6,0,46
SK_503819,Hurbanova Ves,237,46,0,0,0,1,19,0,0,0,0,0,0,2,0,0,0,5,0,0,1,1,1,3,5,0,0,0,0,0,6,0,2
SK_507911,Chorvatsky Grob,3570,643,11,0,117,59,67,0,9,1,1,4,0,22,8,3,1,25,0,1,2,0,49,18,120,1,4,0,1,11,107,0,1
SK_555487,Igram,450,73,0,0,3,35,7,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,7,2,3,0,1,0,0,0,9,0,0
SK_507938,Ivanka pri Dunaji,4946,920,11,0,133,128,184,6,15,7,0,1,0,26,12,4,0,20,1,10,10,1,88,26,82,2,16,5,0,25,104,2,1
SK_507997,Kalinkovo,1030,143,2,0,12,2,37,1,0,2,0,0,1,4,2,0,0,26,1,0,3,0,5,2,16,0,0,0,0,3,17,0,7
SK_555495,Kaplna,629,98,0,0,4,23,15,2,6,6,0,0,0,8,1,0,0,2,0,0,0,1,18,0,4,0,1,0,0,1,6,0,0
SK_503851,Kostolna pri Dunaji,457,105,1,0,4,16,7,0,0,0,0,0,0,2,0,1,0,21,0,0,0,0,5,1,3,0,1,0,0,1,0,1,41
SK_503894,Kralova pri Senci,1464,199,6,0,16,13,51,0,1,0,0,0,0,2,3,4,2,7,0,2,1,0,21,4,29,3,5,0,0,10,15,0,4
SK_508071,Malinovo,1941,327,0,0,42,11,29,3,0,0,1,0,0,10,1,5,0,69,1,0,2,0,19,2,34,0,1,0,0,4,35,3,55
SK_508098,Miloslavov,1551,379,11,0,45,43,57,0,5,1,0,1,0,4,5,2,0,9,2,3,1,3,44,2,52,0,2,0,1,43,40,1,2
SK_508110,Most pri Bratislave,2076,274,8,0,33,16,53,1,5,0,0,0,0,6,6,0,0,6,2,1,3,0,29,2,30,3,1,0,1,14,53,0,1
SK_508136,Nova Dedinka,1841,224,4,0,20,17,25,0,1,0,0,2,0,4,1,0,0,26,0,2,1,0,19,6,33,0,2,0,0,3,16,1,41
SK_582549,Nový Svet,71,33,0,0,0,0,17,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,5,1,0,0,3,0,0,0,1,0,0
SK_503983,Reca,1213,158,3,0,6,2,11,0,0,0,1,0,0,4,0,0,0,28,0,0,2,0,7,2,6,5,3,0,0,0,13,0,65
SK_508209,Rovinka,2183,323,13,0,38,39,44,0,2,1,0,2,0,6,7,1,0,20,0,1,1,2,16,7,48,0,0,0,0,21,52,1,1
SK_508217,Senec,14307,1974,38,0,173,258,269,1,28,4,6,5,1,78,18,4,2,138,4,11,7,3,160,30,157,2,10,3,0,45,143,17,359
SK_508276,Tomasov,2045,310,12,0,11,11,31,0,0,2,0,0,2,15,0,1,0,58,1,0,1,1,12,2,29,1,2,0,0,5,20,3,90
SK_508284,Turen,870,145,4,0,5,7,3,0,1,2,0,1,2,3,0,1,1,49,0,0,0,0,5,0,7,0,0,0,0,0,4,1,49
SK_508292,Velky Biel,1937,230,1,0,24,22,22,0,1,1,0,0,0,5,3,0,0,44,0,3,0,0,17,1,20,0,9,0,2,3,17,0,35
SK_508331,Vlky,361,90,3,0,1,0,3,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,1,1,3,0,2,0,0,3,2,0,40
SK_555509,Zálesie (okres Senec),1318,235,4,0,22,20,36,16,7,0,0,0,0,3,2,0,1,15,0,0,4,0,22,2,38,1,2,0,0,6,32,1,1
SK_501441,Bac,465,104,3,0,0,34,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,1,0,0,35
SK_501450,Baka,953,168,1,0,0,1,0,0,0,0,0,0,6,1,0,0,0,93,0,0,0,0,1,0,1,0,0,0,0,0,0,0,64
SK_501468,Balon,628,95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,54
SK_555517,Bellova Ves,213,29,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,3,0,0,0,0,1,2,0,0
SK_501484,Blahova,308,39,2,0,0,3,9,0,0,0,0,0,0,2,0,0,0,14,2,0,0,0,0,0,4,0,0,0,0,0,1,0,2
SK_501492,Blatna na Ostrove,739,95,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,2,0,1,0,1,0,0,2,4,3,36
SK_503461,Bodiky,257,41,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,12,0,0,0,0,0,1,2,0,1,0,0,0,3,0,17
SK_501506,Bohelov,298,50,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
SK_501514,Cakany,486,74,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,39,0,0,2,0,2,3,3,0,0,0,0,0,4,0,16
SK_580554,Cenkovce,874,191,3,0,1,0,5,0,0,0,0,0,3,0,1,0,0,100,0,0,0,0,0,1,1,0,0,0,1,1,2,0,72
SK_501531,Cilizska Radvan,990,148,5,0,5,0,3,0,0,0,0,0,1,1,1,2,0,60,0,0,1,0,0,0,2,0,1,0,0,0,0,0,66
SK_501549,Dobrohost,388,109,1,0,10,0,2,0,1,0,0,0,0,3,0,0,0,63,0,0,0,0,2,1,6,1,0,0,0,0,6,0,13
SK_501557,Dolny Bar,514,90,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
SK_501611,Dolny Stal,1631,274,4,0,0,1,0,0,0,0,0,0,3,4,0,0,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,160
SK_501433,Dunajska Streda,19132,2913,67,0,50,33,98,1,5,5,7,2,43,33,10,9,1,1201,3,8,8,6,31,7,57,1,5,2,0,14,59,2,1145
SK_555541,Dunajsky Klatov,486,50,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
SK_501573,Gabcikovo,4296,551,10,0,4,3,34,1,0,1,0,1,6,3,4,0,0,132,0,0,0,0,3,0,4,0,1,1,0,1,4,0,338
SK_501581,Holice,1634,360,9,0,4,1,4,0,0,1,0,1,1,0,0,1,0,163,1,0,0,0,0,0,6,0,0,1,0,1,1,0,165
SK_501590,Horna Poton,1638,221,8,0,5,0,7,0,0,0,0,0,1,0,0,0,0,120,0,0,0,0,3,1,3,0,0,0,0,2,0,1,70
SK_555568,Horne Myto,805,129,3,0,0,0,2,0,0,1,0,0,5,0,0,1,0,52,0,0,1,0,0,0,5,0,0,0,0,0,1,0,58
SK_501603,Horny Bar,1072,184,3,0,1,1,4,0,1,0,0,0,0,2,0,2,0,108,0,0,0,0,2,0,8,0,2,0,0,6,2,0,42
SK_501620,Hubice,480,83,0,0,9,0,8,0,0,0,0,0,0,3,0,0,0,35,0,0,0,0,0,1,3,0,0,0,0,0,3,0,21
SK_501638,Hviezdoslavov,687,107,3,0,8,7,13,1,4,0,0,0,0,6,2,1,1,7,0,0,1,4,9,0,15,0,0,0,0,7,15,1,2
SK_501654,Jahodna,1259,219,1,0,1,1,4,1,0,0,0,0,1,0,0,0,0,77,2,0,0,0,0,1,2,0,1,1,0,0,1,0,125
SK_501662,Janiky,746,161,3,0,4,1,1,0,5,0,0,0,1,0,0,0,0,102,0,0,0,0,0,0,3,1,1,0,0,0,3,0,36
SK_501671,Jurova,415,81,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,29
SK_501689,Klucovec,314,57,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26
SK_501697,Kostolne Kracany,1088,259,4,0,3,2,3,0,1,0,0,0,0,8,0,0,0,176,0,0,0,0,2,0,1,0,0,0,0,0,0,0,59
SK_501701,Kralovicove Kracany,857,143,2,0,1,0,7,0,0,0,0,0,1,1,0,1,0,81,0,0,0,0,3,0,3,0,0,0,0,0,3,0,40
SK_501719,Kutniky,1122,135,1,0,3,0,8,0,0,0,0,0,0,3,0,0,0,44,0,0,0,0,1,0,10,0,0,0,0,0,7,0,58
SK_501727,Kvetoslavov,866,165,8,0,18,5,13,0,4,0,1,1,1,5,1,0,2,32,0,1,0,0,12,1,18,0,0,0,0,8,22,2,10
SK_580597,Kyselica,127,38,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,1,1,0,22
SK_501735,Lehnice,2107,222,7,0,14,7,22,1,0,0,0,0,1,3,0,1,0,95,2,0,0,2,3,1,6,0,0,0,0,0,10,0,47
SK_501743,Luc na Ostrove,632,131,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38
SK_555606,Macov,234,36,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,2,3,2,0,0,0,0,0,3,0,8
SK_555649,Mad,448,136,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27
SK_555665,Male Dvorniky,888,197,1,0,2,0,2,0,0,0,0,0,2,1,0,0,0,120,0,0,0,0,0,3,3,1,0,0,0,2,0,0,60
SK_501760,Medvedov,464,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0,1,0,0,0,0,0,0,0,28
SK_501778,Mierovo,362,103,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33
SK_501786,Michal na Ostrove,742,120,2,0,1,2,6,0,0,0,0,0,0,0,0,1,1,82,0,0,1,0,0,0,2,0,0,0,0,2,0,0,20
SK_501930,Narad,541,130,0,0,2,1,2,0,0,0,0,0,5,0,0,0,0,45,0,0,0,0,3,0,3,0,0,0,2,0,2,0,65
SK_501808,Novy Zivot,1848,290,9,0,1,3,6,0,0,8,0,0,0,2,0,0,1,132,0,0,0,0,6,0,5,0,0,0,0,3,1,3,110
SK_501816,Ohrady,1031,126,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,69,1,0,0,0,2,0,2,0,0,0,0,0,0,0,50
SK_501824,Okoc,3135,420,5,0,4,3,2,1,0,0,0,0,8,10,0,0,0,148,0,1,1,0,0,0,3,0,0,0,0,0,2,2,230
SK_501832,Oldza,358,59,0,0,2,5,6,0,1,0,0,1,0,1,0,1,0,13,0,0,0,0,3,0,3,0,1,0,0,1,2,0,19
SK_501859,Orechova Poton,1434,212,5,0,0,2,4,0,0,0,0,0,0,2,0,0,0,124,0,0,0,0,1,0,2,0,1,0,0,0,3,0,68
SK_501867,Padan,733,99,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,1,0,1,0,0,0,0,0,26
SK_501883,Patas,647,80,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,1,2,1,0,0,0,0,0,0,0,45
SK_582522,Potônske Lúky,237,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,74
SK_555720,Povoda,743,105,1,0,0,0,9,0,0,0,0,0,0,5,0,0,0,49,0,0,2,0,1,0,8,0,0,0,0,0,0,0,30
SK_501891,Rohovce,920,189,4,0,3,1,2,0,0,1,0,0,2,1,0,0,0,83,0,0,1,0,7,3,4,0,0,0,0,1,4,0,72
SK_501875,Sap,454,96,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49
SK_501905,Samorin,10826,1588,53,0,68,36,99,1,8,0,2,1,10,31,8,1,1,574,2,1,3,1,31,10,86,2,9,0,0,21,60,1,468
SK_501913,Stvrtok na Ostrove,1447,175,9,0,5,2,6,0,0,0,0,0,1,1,1,1,0,74,0,1,2,0,0,1,5,0,0,0,0,0,3,0,63
SK_501921,Topolniky,2537,372,8,0,4,2,6,0,1,0,0,0,5,6,0,0,0,144,1,0,0,0,0,0,2,0,6,0,0,0,0,0,187
SK_555576,Trhova Hradska,1836,250,6,0,1,2,10,0,0,0,1,0,2,1,0,0,0,116,0,1,0,0,0,0,2,0,0,0,0,2,0,0,106
SK_501956,Trnávka (okres Dunajská Streda),395,62,4,0,0,2,4,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,6,0,1,0,0,0,0,0,2,0,24
SK_501964,Trstena na Ostrove,487,81,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,42
SK_501972,Velka Paka,709,86,1,0,3,0,5,0,1,0,0,0,3,1,1,0,0,28,0,1,0,1,4,0,6,1,1,0,0,3,2,0,24
SK_501981,Velke Blahovo,1202,146,4,0,0,0,6,0,0,0,0,0,0,1,0,1,0,57,1,0,0,0,2,1,5,0,0,0,0,4,3,0,61
SK_555673,Velke Dvorniky,883,100,2,0,0,1,2,0,0,0,0,0,2,2,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39
SK_501522,Velky Meder,7305,766,19,0,11,6,25,1,0,0,3,0,9,5,4,0,0,368,0,0,0,0,8,1,5,1,1,0,0,1,20,0,278
SK_555746,Vieska (okres Dunajská Streda),373,102,3,0,2,1,1,0,0,0,0,0,5,0,0,0,0,63,1,0,0,0,1,0,1,0,0,0,0,0,2,0,22
SK_501999,Vojka nad Dunajom,412,83,1,0,3,1,7,0,0,0,0,0,0,1,0,2,0,28,0,0,0,0,0,0,5,0,0,1,0,0,5,1,28
SK_502006,Vrakun,2197,333,4,0,2,3,7,0,0,0,18,0,2,1,0,1,0,131,0,0,0,0,7,1,1,0,0,0,0,0,4,1,150
SK_502014,Vydrany,1339,149,5,0,1,2,7,0,0,0,0,0,2,4,0,0,0,66,0,1,0,0,0,0,1,0,0,0,0,0,0,0,60
SK_502022,Zlate Klasy,2730,231,9,0,5,4,10,0,0,0,0,1,1,5,0,0,1,61,1,0,0,0,1,0,9,0,0,1,0,0,3,7,112
SK_503673,Abraham,908,153,5,0,8,55,37,2,1,0,0,0,0,7,4,0,0,2,1,1,1,0,2,4,9,0,0,0,0,5,7,1,1
SK_503690,Cierna Voda,1158,361,3,0,0,0,1,0,0,0,0,1,2,1,0,0,0,234,0,0,0,0,0,0,5,0,0,0,0,0,3,1,110
SK_503703,Cierny Brod,1320,118,2,0,1,0,0,0,0,0,0,0,3,1,1,0,0,55,1,1,0,0,0,0,1,0,0,0,0,1,5,0,46
SK_555789,Dolna Streda,1189,159,4,0,6,20,37,1,0,0,0,1,0,12,3,5,0,4,1,9,1,2,18,6,9,0,1,0,0,3,15,1,0
SK_503746,Dolne Saliby,1638,289,4,0,3,2,16,0,0,2,1,4,1,1,0,0,0,73,0,2,0,0,3,0,3,0,1,0,0,1,6,0,166
SK_503754,Dolny Chotar,320,42,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
SK_503665,Galanta,12708,1570,40,0,82,66,244,2,8,11,2,5,4,57,26,10,1,282,1,41,4,3,70,28,81,4,15,1,1,48,102,2,329
SK_503762,Gan,602,69,0,0,5,11,23,0,0,1,0,1,0,7,0,1,0,3,1,2,0,0,2,0,0,0,0,0,0,3,7,0,2
SK_503771,Horne Saliby,2654,339,8,0,4,0,29,0,0,0,0,2,0,3,1,1,1,72,1,11,0,0,4,1,9,1,2,0,0,7,5,1,176
