gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_598151,Košice - mestská časť Sever,16727,2916,73,0,303,352,510,10,41,18,1,62,10,77,26,16,4,134,4,25,12,5,323,50,273,21,32,4,1,116,284,10,119
SK_599883,Košice - mestská časť Sídlisko KVP,20677,2338,58,0,209,280,312,2,72,29,1,33,0,88,45,20,1,55,8,23,15,10,359,72,255,16,44,8,17,41,208,5,52
SK_599875,Košice - mestská časť Sídlisko Ťahanovce,18450,1755,68,0,165,153,247,3,39,22,3,27,3,91,39,21,2,52,4,9,6,2,257,69,201,9,18,5,3,34,151,2,50
SK_598186,Košice - mestská časť Staré Mesto,17890,3169,79,0,295,334,613,9,50,37,0,62,9,85,23,9,2,222,9,21,12,3,288,46,262,27,29,5,4,83,371,11,169
SK_599841,Košice - mestská časť Šaca,4101,303,7,0,31,28,90,0,9,1,1,4,1,12,3,5,0,8,5,1,2,0,30,11,18,1,8,0,1,4,18,2,2
SK_599786,Košice - mestská časť Šebastovce,537,89,3,0,6,15,23,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,11,3,2,0,2,0,3,3,12,0,0
SK_598127,Košice - mestská časť Ťahanovce,1676,224,12,0,15,63,29,0,1,10,0,5,0,4,1,0,0,3,1,5,1,0,19,3,13,1,1,0,0,3,33,1,0
SK_599913,Košice - mestská časť Vyšné Opátske,1588,274,8,0,29,37,46,0,2,1,0,6,1,14,2,4,0,10,4,2,0,1,32,3,23,2,0,0,4,12,28,0,3
SK_598224,Košice - mestská časť Západ,33202,4533,103,0,392,523,1092,5,99,37,2,51,3,191,42,25,6,170,14,28,14,13,472,81,374,20,52,6,15,132,434,10,127
SK_521141,Backovik,325,30,2,0,4,0,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,7,0,0
SK_521159,Baska,412,55,2,0,12,11,5,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,2,1,7,0,0,0,0,4,3,1,0
SK_521167,Belza,324,35,0,0,2,4,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,4,0,0,0,0,1,6,0,0
SK_521175,Beniakovce,512,69,0,0,9,6,4,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,18,0,4,0,1,0,1,2,18,1,0
SK_521183,Bidovce,1040,89,6,0,7,2,25,0,1,0,0,0,0,2,1,0,0,7,0,9,0,0,5,0,11,1,1,1,0,5,5,0,0
SK_521191,Blazice,440,48,3,0,2,6,13,1,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,9,1,1,0
SK_559831,Bociar,191,13,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
SK_521205,Bohdanovce,822,56,2,0,4,6,16,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,0,1,0,2,0,0,1,11,0,0
SK_521213,Boliarov,462,29,0,0,1,4,9,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,2,1,0,0,1,0,0,1,3,0,1
SK_521221,Budimir,895,143,4,0,14,10,49,0,1,0,0,3,0,3,1,1,0,2,0,0,0,2,24,4,7,0,3,0,4,2,9,0,0
