gisco_id,name,registered,turnout,invalid,blank,PATRIOT,MySlovensko,Demokrati,MSZ,SOSK,SOS,S.sk,SNS,Republika,SĽS,SRDCE-SNJ,ĽSNS,ZR,KSS,KÚ,Smer-SD,KDH,SaS,PS,Slovensko-ZĽ,Hlas-SD,Volt,SDKÚ-DS
SK_507962,Jakubov,1431,420,4,0,0,0,29,1,0,0,2,10,36,0,0,1,5,0,0,139,18,25,124,9,15,2,0
SK_508012,Kostoliste,1730,646,4,0,3,4,49,0,0,0,0,13,93,0,0,0,5,0,3,157,48,47,183,11,25,0,1
SK_508021,Kuchyna,1517,499,14,0,1,2,25,0,0,0,0,12,59,0,0,2,4,0,1,150,33,30,131,8,27,0,0
SK_508039,Lab,1670,741,8,0,4,0,49,1,1,0,5,18,109,0,0,1,6,0,4,147,34,50,262,17,24,1,0
SK_508055,Lozorno,2558,872,21,0,0,1,69,0,1,0,2,7,90,0,1,3,11,0,3,151,40,62,353,16,38,2,1
SK_508063,Malacky,14976,5319,90,0,2,10,264,2,2,0,7,88,682,0,2,27,49,9,33,1413,248,308,1720,71,286,4,2
SK_504556,Male Levare,1400,397,15,0,0,0,22,0,0,0,0,4,41,0,0,2,1,1,0,94,12,25,143,19,18,0,0
SK_508080,Marianka,1763,893,9,0,0,2,75,1,0,0,1,9,66,0,0,4,18,0,3,110,60,67,422,15,29,2,0
SK_508161,Pernek,757,256,8,0,2,0,16,0,0,0,0,1,29,0,0,1,2,0,0,65,6,14,85,2,24,1,0
SK_504629,Plavecke Podhradie,646,229,0,0,2,3,12,1,0,0,0,2,22,0,2,1,3,0,1,47,8,7,97,2,16,2,1
SK_504637,Plavecky Mikulas,621,259,6,0,0,0,8,0,0,0,0,2,51,0,0,3,1,0,0,74,10,11,66,4,23,0,0
SK_508195,Plavecky Stvrtok,2126,584,12,0,1,3,25,0,1,0,0,8,81,1,1,1,7,0,5,131,20,40,193,15,38,0,1
SK_504769,Rohožník (okres Malacky),2913,786,10,0,3,0,31,0,0,0,0,24,121,0,0,1,6,1,4,208,34,40,233,17,51,2,0
SK_504858,Solosnica,1393,484,8,0,0,1,30,0,0,0,1,12,52,0,0,5,6,0,2,128,28,30,132,7,38,3,1
SK_504874,Studienka,1474,495,7,0,1,0,17,0,0,0,0,10,82,1,0,0,2,1,2,129,18,24,147,23,30,1,0
SK_508233,Stupava,9466,4232,58,0,5,1,237,3,1,1,3,43,354,0,1,5,73,2,11,714,227,363,1880,70,175,4,1
SK_508241,Suchohrad,581,188,3,0,1,0,6,0,1,0,1,2,22,0,0,1,3,0,2,67,1,4,59,3,12,0,0
SK_504947,Velke Levare,3044,878,19,0,4,0,42,2,2,0,1,12,153,0,0,0,6,1,4,238,34,37,259,23,40,1,0
SK_508349,Vysoka pri Morave,1808,600,11,0,0,0,26,0,0,1,2,12,59,0,0,2,8,0,7,152,22,37,192,19,50,0,0
SK_500267,Záhorie (vojenský obvod),122,44,0,0,1,0,1,0,0,0,0,2,10,0,0,1,0,0,1,17,0,0,8,0,3,0,0
SK_508365,Zahorska Ves,1451,356,10,0,0,0,6,1,1,0,0,6,81,0,2,2,1,0,0,87,14,11,85,15,34,0,0
SK_504980,Zavod,2369,671,19,0,4,3,46,0,1,0,1,13,116,0,0,0,8,0,5,194,36,40,139,12,33,0,1
SK_508381,Zohor,2936,1064,28,0,0,0,57,0,1,0,0,20,116,1,1,3,13,2,4,205,82,72,394,19,45,1,0
SK_507806,Bahon,1466,590,7,0,4,0,36,1,0,0,0,11,89,1,0,4,7,1,4,117,65,33,171,10,27,1,1
SK_507849,Budmerice,1966,724,20,0,2,0,37,0,1,0,1,9,90,0,1,2,6,1,4,172,74,28,227,17,31,1,0
SK_507857,Casta,1942,774,10,0,0,1,32,0,0,0,2,11,111,0,0,3,9,0,6,187,55,47,256,13,29,2,0
SK_507873,Doľany (okres Pezinok),897,375,2,0,0,0,26,0,0,0,0,8,46,0,0,0,4,0,4,112,29,21,88,19,16,0,0
SK_507881,Dubová (okres Pezinok),932,392,6,0,0,0,15,0,1,0,0,10,63,0,1,1,2,0,2,108,35,21,101,4,21,1,0
SK_507946,Jablonec,828,260,6,0,0,0,15,0,0,0,0,3,43,0,0,1,3,0,3,72,18,10,71,6,9,0,0
SK_508047,Limbach,1827,906,6,0,4,1,59,0,0,0,2,11,51,0,0,1,8,0,2,147,61,75,420,11,45,1,1
SK_508101,Modra,7611,3334,61,0,6,2,184,1,3,0,4,53,337,1,1,4,55,27,6,672,126,218,1370,42,154,5,2
SK_508179,Pezinok,19331,8276,133,0,16,7,573,2,4,1,10,125,707,0,4,14,95,10,43,1614,463,561,3411,132,335,15,1
SK_508187,Píla (okres Pezinok),316,144,2,0,1,0,14,0,0,0,0,4,25,0,0,1,1,1,1,31,8,11,39,0,5,0,0
SK_508225,Slovensky Grob,4180,1802,27,0,0,0,104,0,0,0,1,21,170,2,2,9,16,1,6,384,66,145,711,28,108,1,0
SK_507989,Svätý Jur,4667,2104,33,0,2,0,123,3,1,0,3,34,231,0,2,10,19,4,5,395,129,168,838,15,83,6,0
SK_508250,Senkvice,4203,1816,33,0,1,3,93,0,0,0,3,40,230,2,0,7,30,8,15,503,68,78,576,27,93,4,2
SK_508268,Stefanova,325,131,2,0,0,0,8,0,0,0,0,4,13,0,0,0,1,0,2,37,12,6,41,2,2,0,1
SK_508306,Vinicne,2161,858,21,0,2,1,42,0,1,0,1,14,74,0,0,2,3,0,3,153,49,57,377,10,48,0,0
SK_508314,Vinosady,1270,532,10,0,1,1,39,0,0,0,0,10,69,0,0,1,8,0,2,117,20,27,206,7,14,0,0
SK_508322,Vistuk,1104,400,6,0,0,0,11,0,0,1,0,8,51,0,0,2,9,1,2,108,35,15,128,8,15,0,0
SK_507814,Bernolakovo,7545,3340,45,0,7,2,227,8,1,0,3,30,272,2,0,6,34,6,24,603,188,276,1429,58,114,4,1
SK_507822,Blatne,1405,570,8,0,6,0,26,0,0,0,1,10,63,0,0,0,4,1,0,155,61,38,152,6,39,0,0
SK_503681,Boldog,426,172,2,0,0,0,3,33,0,0,0,1,12,0,1,0,1,0,0,18,1,5,85,6,4,0,0
SK_507865,Cataj,968,436,4,0,1,0,25,1,0,0,3,8,62,0,0,0,8,3,1,121,15,21,121,10,30,1,1
SK_545333,Dunajska Luzna,5798,2747,55,0,6,1,155,19,4,1,1,31,249,0,1,7,22,4,10,443,172,252,1169,47,89,7,2
SK_507903,Hamuliakovo,2240,947,5,0,0,1,58,64,0,1,1,7,84,0,1,3,9,0,5,134,30,74,414,18,38,0,0
SK_503797,Hruba Borsa,1237,528,12,0,1,3,80,17,0,0,2,3,31,0,0,0,6,0,2,66,9,43,229,7,17,0,0
SK_503801,Hruby Sur,849,288,5,0,2,2,24,48,1,0,0,2,30,0,0,0,7,0,2,28,10,8,103,8,6,2,0
SK_503819,Hurbanova Ves,525,243,3,0,0,0,20,5,0,0,0,5,11,0,0,0,3,0,1,55,9,25,93,3,9,1,0
SK_507911,Chorvatsky Grob,5393,2779,58,0,5,3,200,3,0,0,0,18,194,0,1,5,23,0,15,347,124,314,1353,23,91,1,1
