gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,V,H,FrP,Dem,K,KSP,KP,MDG,Piratpartiet,PP,DLF,SP,NKP,FM,Folkelisten,StA
NO_1251,Vaksdal,3096,2478,16,20,896,123,11,204,210,91,464,332,1,24,0,1,50,6,8,0,0,1,0,0,0
NO_1252,Modalen,276,194,0,2,39,4,1,65,23,4,26,17,0,0,0,0,9,0,2,0,0,0,0,0,0
NO_1253,Osterøy,5528,4570,1,19,1080,137,33,355,408,169,1307,761,1,57,0,2,187,28,4,0,0,2,0,0,0
NO_1256,Meland,5104,4156,0,25,946,125,31,259,587,171,1156,634,0,49,0,3,134,7,4,0,0,0,0,0,0
NO_1259,Øygarden,3272,2686,1,14,559,57,6,40,340,57,881,595,0,67,0,4,37,7,5,0,0,0,2,0,0
NO_1260,Radøy,3553,2911,2,8,666,83,12,386,305,114,754,473,11,31,0,3,45,5,4,0,0,0,1,0,0
NO_1263,Lindås,10620,8665,6,40,1680,239,44,651,1383,355,2438,1430,5,122,0,10,176,26,15,0,0,5,0,0,0
NO_1264,Austrheim,1962,1633,1,4,387,28,1,85,168,66,557,279,2,17,0,1,20,6,4,0,0,0,3,0,0
NO_1265,Fedje,421,377,0,1,96,6,4,3,73,7,116,52,3,6,0,1,4,3,1,0,0,0,0,0,0
NO_1266,Masfjorden,1286,1064,1,3,252,36,3,151,122,38,248,172,1,11,0,1,19,2,0,0,0,0,1,0,0
NO_1401,Flora,8221,6290,0,28,1962,245,42,371,309,397,1744,949,3,52,0,11,135,14,0,0,0,0,0,0,0
NO_1411,Gulen,1719,1416,5,6,315,25,4,317,169,66,323,147,0,9,0,3,19,2,0,0,0,0,0,0,0
NO_1412,Solund,623,489,0,0,105,11,4,98,33,18,138,62,0,4,0,4,11,1,0,0,0,0,0,0,0
NO_1413,Hyllestad,1030,801,0,5,261,16,1,189,69,22,128,68,0,9,0,5,16,7,0,0,0,0,0,0,0
NO_1416,Høyanger,3110,2385,1,11,1039,64,52,360,122,59,366,228,0,13,0,9,45,5,0,0,0,0,0,0,0
NO_1417,Vik,2029,1571,1,10,418,39,5,576,83,43,207,140,3,14,0,0,21,1,0,0,0,0,0,0,0
NO_1418,Balestrand,951,753,0,5,169,42,13,165,103,45,110,63,1,16,0,3,10,3,0,0,0,0,0,0,0
NO_1419,Leikanger,1668,1388,0,2,481,83,10,358,63,80,188,82,0,6,0,3,28,2,0,0,0,0,0,0,0
NO_1420,Sogndal,5389,4342,4,18,1290,214,15,932,297,206,778,447,1,18,0,0,84,20,0,0,0,0,0,0,0
NO_1421,Aurland,1291,1000,0,6,318,33,8,178,23,54,216,92,0,5,0,1,60,0,0,0,0,0,0,0,0
NO_1422,Lærdal,1634,1292,0,5,401,59,10,389,22,58,198,118,2,0,0,2,21,2,0,0,0,0,0,0,0
NO_1424,Årdal,4126,3204,16,11,1985,67,9,289,42,62,401,258,3,14,0,0,31,5,0,0,0,0,0,0,0
NO_1426,Luster,3728,3003,0,10,1053,71,13,845,218,88,361,250,1,27,0,0,42,14,0,0,0,0,0,0,0
NO_1428,Askvoll,2296,1802,4,7,445,53,5,367,170,146,342,195,3,22,0,13,20,3,0,0,0,0,0,0,0
NO_1429,Fjaler,1972,1576,2,3,424,72,14,415,122,104,264,112,0,10,0,7,24,0,0,0,0,0,0,0,0
NO_1430,Gaular,2101,1718,4,4,387,48,6,500,214,47,312,136,0,25,0,2,24,5,0,0,0,0,0,0,0
NO_1431,Jølster,2149,1719,2,9,395,69,2,553,164,110,238,121,1,14,0,3,25,4,0,0,0,0,0,0,0
NO_1432,Førde,8830,7053,0,33,2183,387,56,999,631,448,1415,620,1,55,0,8,166,18,0,0,0,0,0,0,0
NO_1433,Naustdal,2028,1613,3,5,419,96,15,369,139,76,290,147,1,18,0,2,22,6,0,0,0,0,0,0,0
NO_1438,Bremanger,2767,2137,0,8,558,45,8,314,181,123,474,364,0,19,0,6,22,7,0,0,0,0,0,0,0
NO_1439,Vågsøy,4385,3363,7,11,669,71,38,261,297,270,993,655,3,39,0,7,23,8,0,0,0,0,0,0,0
NO_1441,Selje,2113,1623,1,4,225,19,6,211,233,99,347,401,6,29,0,4,30,4,0,0,0,0,0,0,0
NO_1443,Eid,4284,3375,2,19,333,90,14,1052,271,788,352,367,1,20,0,1,38,8,0,0,0,0,0,0,0
NO_1444,Hornindal,897,760,1,8,142,10,2,254,30,64,170,47,0,6,0,1,17,0,0,0,0,0,0,0,0
NO_1445,Gloppen,4203,3467,4,11,343,103,11,1515,680,284,243,163,1,43,0,1,47,7,0,0,0,0,0,0,0
NO_1449,Stryn,4736,3599,4,14,863,44,23,742,267,126,1037,376,1,28,0,4,51,5,0,0,0,0,0,0,0
NO_1502,Molde,19019,14877,2,44,3066,644,98,833,1308,1030,4792,2540,13,99,0,16,301,47,0,0,0,0,0,0,0
NO_1504,Ålesund,32320,24903,19,107,5696,536,107,533,2175,1292,7974,5592,14,261,0,17,361,112,0,0,0,0,0,0,0
NO_1505,Kristiansund,17755,13356,22,71,5367,314,119,337,315,1204,2401,2808,14,56,0,22,192,43,0,0,0,0,0,0,0
NO_1511,Vanylven,2574,1991,2,7,409,28,1,275,244,86,388,475,0,37,0,3,27,2,0,0,0,0,0,0,0
NO_1514,Sande (M. og R.),1819,1451,1,8,255,25,5,156,142,59,414,343,0,23,0,1,6,5,0,0,0,0,0,0,0
NO_1515,Herøy (M. og R.),6309,4874,3,8,831,63,9,154,701,153,1677,1112,2,106,0,8,27,12,0,0,0,0,0,0,0
NO_1516,Ulstein,5280,4263,5,15,784,68,10,177,584,230,1432,812,1,64,0,5,51,10,0,0,0,0,0,0,0
NO_1517,Hareid,3520,2780,1,9,520,83,14,145,277,139,721,763,6,39,0,7,33,14,0,0,0,0,0,0,0
NO_1519,Volda,6435,5172,3,29,1047,339,37,506,755,342,978,879,0,65,0,4,142,17,0,0,0,0,0,0,0
NO_1520,Ørsta,7745,5988,2,41,1404,203,12,726,557,281,1349,1204,2,62,0,2,77,25,0,0,0,0,0,0,0
NO_1523,Ørskog,1617,1290,0,9,311,23,6,157,106,59,329,251,0,8,0,0,18,4,0,0,0,0,0,0,0
NO_1524,Norddal,1228,943,0,3,185,29,10,290,69,33,158,125,1,15,0,1,19,2,0,0,0,0,0,0,0
NO_1525,Stranda,3214,2472,1,12,511,42,8,391,234,115,614,466,3,27,0,2,28,6,0,0,0,0,0,0,0
NO_1526,Stordal,687,499,0,2,109,3,2,82,39,12,154,80,1,7,0,0,4,2,0,0,0,0,0,0,0
NO_1528,Sykkylven,5441,4164,9,13,830,79,12,326,430,200,1198,925,1,61,0,8,46,13,0,0,0,0,0,0,0
NO_1529,Skodje,3049,2399,4,12,462,36,10,138,285,126,659,578,0,31,0,1,38,7,0,0,0,0,0,0,0
NO_1531,Sula,5879,4585,12,19,952,70,10,125,583,184,1245,1185,3,112,0,3,50,13,0,0,0,0,0,0,0
NO_1532,Giske,5213,4140,6,10,684,31,6,184,792,270,1193,803,2,84,0,3,46,16,0,0,0,0,0,0,0
NO_1534,Haram,6248,4828,1,20,1002,71,12,429,505,294,1393,940,6,70,0,9,42,14,0,0,0,0,0,0,0
NO_1535,Vestnes,4819,3647,2,9,673,77,6,527,274,192,958,793,7,54,0,11,46,9,0,0,0,0,0,0,0
NO_1539,Rauma,5552,4118,7,22,1034,143,24,542,338,175,910,796,2,23,0,4,64,12,0,0,0,0,0,0,0
NO_1543,Nesset,2327,1700,4,4,524,27,6,256,106,57,374,307,3,12,0,0,13,3,0,0,0,0,0,0,0
NO_1545,Midsund,1380,1068,0,4,159,11,3,103,81,64,407,210,0,12,0,1,8,1,0,0,0,0,0,0,0
NO_1546,Sandøy,905,708,0,4,173,12,0,32,68,55,251,89,0,8,0,3,7,2,0,0,0,0,0,0,0
NO_1547,Aukra,2357,1799,1,9,410,52,4,128,188,103,514,338,0,22,0,1,12,8,0,0,0,0,0,0,0
NO_1548,Fræna,7044,5249,3,17,1017,79,20,596,493,188,1473,1211,4,54,0,6,55,16,0,0,0,0,0,0,0
NO_1551,Eide,2473,1905,2,4,486,29,7,202,108,84,518,417,2,21,0,3,12,6,0,0,0,0,0,0,0
NO_1554,Averøy,4107,3134,14,10,927,63,11,274,222,254,618,677,0,16,0,6,22,10,0,0,0,0,0,0,0
NO_1557,Gjemnes,1898,1467,1,10,397,34,3,307,143,66,230,227,2,10,0,0,24,3,0,0,0,0,0,0,0
NO_1560,Tingvoll,2306,1785,4,9,571,49,8,332,120,107,258,258,0,15,0,1,37,7,0,0,0,0,0,0,0
NO_1563,Sunndal,5453,4268,3,10,2215,135,23,352,154,164,610,534,0,9,0,2,31,16,0,0,0,0,0,0,0
NO_1566,Surnadal,4589,3358,8,11,1260,54,13,939,127,56,456,353,1,13,0,5,42,9,0,0,0,0,0,0,0
NO_1567,Rindal,1598,1231,0,5,427,10,7,458,60,21,143,78,0,1,0,0,13,3,0,0,0,0,0,0,0
NO_1571,Halsa,1252,952,1,4,298,18,9,242,38,29,177,107,1,2,0,0,20,2,0,0,0,0,0,0,0
NO_1573,Smøla,1645,1263,6,9,440,24,1,147,49,111,248,180,0,27,0,2,7,3,0,0,0,0,0,0,0
NO_1576,Aure,2625,1998,3,11,612,28,9,348,116,130,380,290,3,8,0,2,42,5,0,0,0,0,0,0,0
NO_1601,Trondheim,131524,106728,187,446,38889,7572,1302,2695,3233,6690,25560,13225,136,231,60,70,4298,641,912,68,0,67,0,0,0
NO_1612,Hemne,3182,2382,2,3,1044,37,6,305,109,77,410,314,0,12,3,1,42,3,9,0,0,2,0,0,0
NO_1613,Snillfjord,768,594,0,3,186,11,3,155,48,16,79,71,0,1,3,2,7,0,6,0,0,0,0,0,0
NO_1617,Hitra,3027,2211,1,9,655,91,10,121,77,78,468,507,0,13,4,1,43,6,115,2,0,1,0,0,0
NO_1620,Frøya,2986,2096,0,10,838,82,6,75,74,121,429,376,2,10,0,5,29,9,20,0,0,0,0,0,0
NO_1621,Ørland,3944,2956,0,20,800,81,15,337,104,91,848,533,1,2,2,5,46,12,37,0,0,2,0,0,0
NO_1622,Agdenes,1323,1020,0,3,311,22,1,193,45,19,219,166,0,6,5,1,13,1,12,0,0,0,0,0,0
NO_1624,Rissa,4840,3680,3,13,1074,106,14,564,213,138,704,610,10,14,4,3,85,6,101,1,0,4,0,0,0
NO_1627,Bjugn,3565,2614,6,9,793,89,18,286,151,87,494,556,4,12,1,2,50,6,40,1,0,0,0,0,0
NO_1630,Åfjord,2552,1920,1,9,527,36,7,323,176,64,346,327,1,11,1,2,54,6,17,3,0,0,0,0,0
NO_1632,Roan,780,587,1,3,174,22,3,94,36,21,106,99,0,4,2,5,8,1,5,0,0,0,0,0,0
NO_1633,Osen,787,600,0,4,215,20,5,106,28,21,61,107,0,2,0,0,14,7,6,0,0,0,0,0,0
NO_1634,Oppdal,5052,3936,2,22,1308,114,7,634,257,183,827,452,2,16,5,2,63,4,13,2,0,1,0,0,0
NO_1635,Rennebu,1999,1540,0,6,486,43,4,338,199,80,199,140,0,4,2,0,29,1,3,0,0,0,0,0,0
NO_1636,Meldal,3039,2343,1,19,1073,39,7,424,84,64,298,236,4,9,8,4,23,8,18,5,0,0,0,0,0
NO_1638,Orkdal,8628,6556,7,29,2727,221,27,555,250,289,1141,1033,15,25,3,3,85,22,90,1,0,4,0,0,0
NO_1640,Røros,4339,3507,1,23,1552,234,76,405,52,151,594,272,0,2,1,1,79,18,19,0,0,4,0,0,0
NO_1644,Holtålen,1590,1322,0,3,499,47,7,471,14,15,127,107,2,2,1,1,11,2,10,0,0,0,0,0,0
NO_1648,Midtre Gauldal,4403,3402,0,14,1221,62,6,753,212,100,450,464,10,19,2,6,37,9,19,1,0,3,0,0,0
NO_1653,Melhus,11441,9193,8,46,3238,274,51,979,579,309,1849,1508,4,64,12,9,150,20,45,1,0,1,0,0,0
NO_1657,Skaun,5205,4189,0,19,1493,155,25,535,208,171,752,671,5,27,2,7,62,14,24,0,0,0,0,0,0
NO_1662,Klæbu,4152,3312,0,17,1143,177,14,186,141,163,742,560,8,10,4,2,88,17,18,2,0,3,0,0,0
NO_1663,Malvik,9250,7560,6,29,3014,339,37,312,219,401,1715,1148,4,24,2,7,187,37,41,5,0,4,0,0,0
NO_1664,Selbu,3084,2358,0,16,898,98,12,363,50,75,453,313,2,2,2,0,36,7,8,6,0,1,0,0,0
NO_1665,Tydal,689,541,1,2,193,20,4,142,3,36,59,76,0,0,0,0,1,0,2,0,0,0,0,0,0
NO_1702,Steinkjer,16229,12503,10,50,5426,358,67,2438,228,497,1710,1407,12,15,5,10,197,23,0,0,0,0,0,0,0
NO_1703,Namsos,9558,7159,1,30,3247,338,47,449,247,383,1172,1034,2,26,23,9,101,20,0,0,0,0,0,0,0
NO_1711,Meråker,1915,1373,1,2,589,63,11,200,24,72,175,210,0,2,0,2,15,5,0,0,0,0,0,0,0
NO_1714,Stjørdal,16445,12946,23,74,5154,400,82,1486,457,560,2494,1791,4,58,21,19,190,59,0,0,0,0,0,0,0
NO_1717,Frosta,1923,1530,3,11,489,36,6,339,93,78,264,164,2,8,2,0,16,8,0,0,0,0,0,0,0
NO_1718,Leksvik,2654,1999,0,5,637,58,7,350,115,81,370,341,2,9,0,1,16,2,0,0,0,0,0,0,0
NO_1719,Levanger,14093,11132,12,43,4659,459,54,1688,691,410,1523,1269,3,52,17,8,173,28,0,0,0,0,0,0,0
NO_1721,Verdal,10860,8254,12,46,3919,225,51,1192,171,220,1044,1191,2,16,9,4,85,21,0,0,0,0,0,0,0
NO_1724,Verran,1903,1420,7,6,586,20,2,202,50,121,178,222,1,4,2,0,12,1,0,0,0,0,0,0,0
NO_1725,Namdalseid,1311,1023,1,4,370,26,7,274,40,51,101,124,0,7,3,1,8,2,0,0,0,0,0,0,0
NO_1736,Snåsa,1682,1343,0,4,505,65,10,475,17,44,113,79,1,0,0,0,23,3,0,0,0,0,0,0,0
NO_1738,Lierne,1056,740,0,1,303,6,5,212,26,26,68,85,1,1,0,1,4,0,0,0,0,0,0,0,0
NO_1739,Røyrvik,379,320,2,2,143,7,0,72,15,15,28,26,0,5,0,0,3,0,0,0,0,0,0,0,0
NO_1740,Namsskogan,727,559,8,5,251,29,5,89,17,14,56,69,1,0,2,1,6,1,0,0,0,0,0,0,0
NO_1742,Grong,1799,1485,0,6,602,72,14,389,18,46,159,135,0,5,1,1,29,2,0,0,0,0,0,0,0
NO_1743,Høylandet,924,770,0,3,338,12,1,269,15,28,44,48,0,1,1,0,7,0,0,0,0,0,0,0,0
NO_1744,Overhalla,2718,2206,0,10,916,71,6,533,23,94,224,281,0,4,3,4,20,7,0,0,0,0,0,0,0
NO_1748,Fosnes,501,398,4,1,131,11,3,137,23,5,32,40,0,1,1,0,7,1,0,0,0,0,0,0,0
NO_1749,Flatanger,858,668,0,3,225,28,5,101,30,43,103,113,0,7,1,0,5,1,0,0,0,0,0,0,0
NO_1750,Vikna,3072,2282,2,8,822,59,6,254,105,133,402,399,1,39,5,7,24,8,0,0,0,0,0,0,0
NO_1751,Nærøy,3823,2706,0,15,931,90,13,528,135,99,383,444,0,17,1,7,21,7,0,0,0,0,0,0,0
NO_1755,Leka,452,355,2,1,107,14,1,145,1,11,26,39,1,0,1,3,1,1,0,0,0,0,0,0,0
NO_1756,Inderøy,5039,4106,3,13,1704,149,20,974,166,127,459,358,5,6,9,3,88,9,0,0,0,0,0,0,0
NO_1804,Bodø,36310,28796,39,145,8507,1632,566,901,1007,1166,7664,5743,24,109,0,56,777,135,74,0,8,21,0,77,0
NO_1805,Narvik,13728,10250,11,42,3701,433,182,266,355,317,2557,2036,3,30,0,13,168,37,29,0,1,7,0,20,0
NO_1811,Bindal,1225,1001,4,7,464,49,6,147,35,26,99,122,0,9,0,3,17,1,5,0,0,0,0,0,0
NO_1812,Sømna,1556,1201,0,4,398,42,13,319,63,29,129,166,0,6,0,3,17,3,2,0,0,0,0,3,0
NO_1813,Brønnøy,5811,4222,0,24,1640,194,49,403,111,150,807,669,2,32,0,14,79,13,6,0,1,1,0,3,0
NO_1815,Vega,974,773,0,1,299,50,12,137,20,33,92,93,0,1,0,8,16,1,6,0,2,1,0,0,0
NO_1816,Vevelstad,380,286,0,2,105,12,5,72,8,8,25,35,0,1,0,3,6,0,2,0,0,0,0,0,0
NO_1818,Herøy (Nordl.),1265,886,0,0,372,26,8,76,22,19,153,164,0,4,0,9,23,2,4,0,0,0,0,4,0
NO_1820,Alstahaug,5468,3924,7,24,1497,147,84,340,95,130,758,700,3,8,0,20,53,13,14,0,2,1,0,4,0
NO_1822,Leirfjord,1631,1204,2,4,433,81,12,204,35,26,157,203,0,5,0,5,29,0,1,0,2,0,0,1,0
NO_1824,Vefsn,10210,7575,16,44,2964,260,257,579,206,243,1290,1429,6,48,0,10,117,16,28,0,3,1,0,14,0
NO_1825,Grane,1134,862,0,2,394,13,8,173,16,5,100,123,0,5,0,1,12,2,4,0,1,1,0,0,0
NO_1826,Hattfjelldal,1096,875,2,3,295,28,9,330,18,8,63,97,1,4,0,1,8,1,3,0,1,0,0,0,0
NO_1827,Dønna,1083,789,1,1,297,47,12,151,32,8,93,105,0,3,0,19,13,2,1,0,1,1,0,1,0
NO_1828,Nesna,1315,1007,8,8,282,100,20,124,44,40,188,141,0,2,0,2,33,4,1,0,1,0,0,1,0
NO_1832,Hemnes,3522,2708,13,10,1026,149,39,350,70,73,439,415,0,12,0,2,51,13,4,0,20,4,0,8,0
NO_1833,Rana,19531,14756,16,80,6772,881,226,563,335,388,2676,2307,1,43,0,12,257,47,34,0,18,5,0,15,0
NO_1834,Lurøy,1443,1141,1,3,352,42,5,137,66,37,225,217,0,12,0,17,17,4,0,0,2,0,0,1,0
NO_1835,Træna,312,233,0,5,67,13,2,42,26,5,28,35,0,0,0,1,3,0,0,0,0,0,0,1,0
NO_1836,Rødøy,942,734,0,4,196,18,8,137,80,1,104,134,1,10,0,24,6,4,0,0,1,0,0,2,0
NO_1837,Meløy,4892,3492,1,16,1062,131,27,213,258,113,751,780,1,44,0,5,48,12,9,0,1,0,0,4,0
NO_1838,Gildeskål,1530,1167,4,8,365,50,12,104,66,40,202,248,0,16,0,1,34,3,2,0,1,0,0,3,0
NO_1839,Beiarn,898,673,5,6,266,24,6,135,26,8,88,88,0,3,0,0,12,0,0,0,0,0,0,0,0
NO_1840,Saltdal,3643,2791,14,26,1023,115,33,165,110,82,596,527,0,6,0,0,52,9,1,0,1,3,0,2,0
NO_1841,Fauske,7350,5537,9,31,2158,235,95,224,190,159,1178,1060,3,14,0,6,94,20,20,0,2,2,0,6,0
NO_1845,Sørfold,1534,1189,5,3,536,44,16,95,27,26,202,197,0,8,0,1,7,3,11,0,0,1,0,4,0
NO_1848,Steigen,1979,1457,1,6,433,76,52,196,66,55,186,273,0,13,0,4,33,1,52,0,0,0,0,4,0
NO_1849,Hamarøy,1368,1040,5,8,271,69,19,96,34,87,198,204,2,5,0,2,22,3,4,0,1,2,0,0,0
NO_1850,Tysfjord,1562,1214,2,4,407,58,8,69,83,40,234,259,1,9,0,0,29,3,4,0,0,0,0,0,0
NO_1851,Lødingen,1652,1325,6,6,376,81,9,75,30,81,313,289,1,4,0,2,34,2,3,0,0,2,0,5,0
NO_1852,Tjeldsund,1041,795,1,4,237,15,2,56,34,23,210,188,0,4,0,2,10,3,1,0,0,0,0,1,0
NO_1853,Evenes,1047,798,1,4,222,39,8,91,30,26,194,158,0,2,0,0,14,2,1,0,0,0,0,2,0
NO_1854,Ballangen,1986,1418,1,5,412,30,7,141,98,40,313,295,0,15,0,1,26,18,3,0,7,1,0,0,0
NO_1856,Røst,438,299,2,0,129,21,1,17,5,20,49,45,0,0,0,4,1,2,2,0,1,0,0,0,0
NO_1857,Værøy,521,366,0,3,99,18,2,27,33,9,60,87,0,13,0,3,4,1,0,0,0,0,0,4,0
NO_1859,Flakstad,1031,701,1,2,191,55,3,152,28,30,91,102,0,5,0,8,22,1,2,0,3,0,0,3,0
NO_1860,Vestvågøy,8014,5684,9,17,1540,335,54,526,386,235,1254,1052,3,84,0,20,117,6,11,0,1,1,0,16,0
NO_1865,Vågan,6671,4761,7,20,1481,307,111,241,120,293,1167,811,0,11,0,41,84,17,13,0,2,0,0,15,0
NO_1866,Hadsel,6042,4378,3,26,1522,246,63,258,134,324,729,893,0,16,0,4,88,15,15,0,1,1,0,14,0
NO_1867,Bø (Nordl.),2095,1523,3,10,480,73,6,146,45,79,250,362,1,16,0,7,22,1,8,0,1,0,0,3,0
NO_1868,Øksnes,3307,2284,7,18,699,145,16,155,124,89,418,494,2,23,0,27,29,3,10,0,1,0,0,6,0
NO_1870,Sortland,7383,5395,5,25,1628,361,76,325,202,211,1276,1063,4,24,0,18,105,16,19,0,3,1,0,8,0
NO_1871,Andøy,3755,2825,8,11,973,118,14,234,95,130,582,524,1,13,0,23,59,12,6,0,1,1,0,9,0
NO_1874,Moskenes,789,518,3,0,172,44,1,45,18,26,83,87,0,6,0,22,5,0,1,0,1,0,0,4,0
NO_1902,Tromsø,50737,39485,24,251,11875,3707,1142,1116,1429,2075,9410,6286,24,115,32,184,1290,240,0,0,0,34,0,0,0
NO_1903,Harstad,18218,13561,38,79,4284,537,144,664,422,519,3081,3274,4,37,13,28,297,55,0,0,0,6,0,0,0
NO_1911,Kvæfjord,2254,1631,1,6,461,108,23,196,53,96,284,343,0,6,4,5,33,5,0,0,0,1,0,0,0
NO_1913,Skånland,2247,1695,1,6,579,65,15,87,49,56,410,377,0,5,0,1,28,9,0,0,0,1,0,0,0
NO_1917,Ibestad,1142,838,0,4,256,20,6,95,25,27,188,192,0,11,2,4,3,1,0,0,0,0,0,0,0
NO_1919,Gratangen,844,608,0,1,214,23,3,89,24,9,94,127,0,4,0,3,15,0,0,0,0,1,0,0,0
NO_1920,Lavangen,780,625,2,7,236,9,1,97,32,5,114,108,0,0,0,0,5,1,0,0,0,1,0,0,0
NO_1922,Bardu,2934,2268,2,5,786,55,15,284,31,80,659,306,2,6,0,1,23,6,0,0,0,2,0,0,0
NO_1923,Salangen,1654,1237,0,7,413,78,15,180,49,24,231,208,0,2,2,2,14,5,0,0,0,0,0,0,0
NO_1924,Målselv,5054,3670,4,22,1149,133,23,505,95,192,793,637,1,10,2,3,69,8,0,0,0,2,0,0,0
NO_1925,Sørreisa,2529,1910,0,8,598,66,8,319,78,46,373,376,1,1,3,3,14,5,0,0,0,3,0,0,0
NO_1926,Dyrøy,949,736,1,1,221,27,4,133,32,12,117,171,0,1,0,2,11,1,0,0,0,1,0,0,0
NO_1927,Tranøy,1171,882,0,1,301,38,9,89,29,39,166,181,0,3,0,1,17,1,0,0,0,6,0,0,0
NO_1928,Torsken,689,522,0,2,216,17,3,62,18,3,96,85,0,0,0,17,1,0,0,0,0,0,0,0,0
NO_1929,Berg,686,513,1,0,189,26,4,32,22,16,81,129,0,0,0,6,6,0,0,0,0,1,0,0,0
NO_1931,Lenvik,8299,5884,9,16,1600,186,42,529,308,196,1240,1549,2,29,13,44,82,14,0,0,0,9,0,0,0
NO_1933,Balsfjord,4303,3133,2,20,990,110,38,340,161,65,550,720,2,28,8,27,46,5,0,0,0,1,0,0,0
NO_1936,Karlsøy,1784,1259,1,4,396,58,15,82,49,28,189,365,0,8,0,35,21,2,0,0,0,2,0,0,0
NO_1938,Lyngen,2327,1719,1,4,511,64,15,125,136,33,385,375,0,7,1,11,41,5,0,0,0,1,0,0,0
NO_1939,Storfjord,1435,1099,0,11,388,58,12,65,43,30,177,245,0,7,0,5,41,4,0,0,0,2,0,0,0
NO_1940,Gáivuotna Kåfjord,1754,1238,0,4,362,47,32,161,137,17,147,224,0,25,4,21,52,0,0,0,0,1,0,0,0
NO_1941,Skjervøy,2145,1510,8,8,393,74,12,116,195,41,282,298,0,6,6,30,29,3,0,0,0,1,0,0,0
NO_1942,Nordreisa,3691,2619,1,17,794,152,23,232,200,70,476,551,1,7,2,18,46,10,0,0,0,2,0,0,0
NO_1943,Kvænangen,986,704,0,6,224,30,4,38,42,8,120,188,0,4,0,26,6,2,0,0,0,0,0,0,0
NO_2002,Vardø,1606,1179,12,11,520,56,9,25,14,41,169,247,3,3,1,37,16,4,0,0,0,0,0,0,0
NO_2003,Vadsø,4284,3313,8,29,1474,239,36,67,89,114,785,290,2,28,1,23,82,17,0,0,0,0,0,0,0
NO_2004,Hammerfest,7031,5055,9,54,2453,219,47,94,103,74,965,751,6,31,0,58,111,25,0,0,0,0,0,0,1
NO_2011,Guovdageaidnu Kautokeino,2193,1482,4,18,357,49,15,78,135,128,372,113,1,37,14,0,58,11,0,0,0,0,0,0,74
NO_2012,Alta,13683,9734,8,63,3114,419,93,229,364,580,1850,2007,2,104,6,200,229,33,0,0,0,0,0,0,370
NO_2014,Loppa,802,575,1,2,208,31,2,18,14,17,109,109,0,5,0,40,15,0,0,0,0,0,0,0,2
NO_2015,Hasvik,682,484,1,2,237,10,2,53,7,5,77,63,1,5,0,4,13,1,0,0,0,0,0,0,1
NO_2017,Kvalsund,826,588,1,4,229,32,6,18,16,12,116,129,0,1,4,7,6,3,0,0,0,0,0,0,0
NO_2018,Måsøy,904,607,0,8,248,9,7,62,10,10,139,95,0,0,0,6,4,1,0,0,0,0,0,0,0
NO_2019,Nordkapp,2340,1639,5,6,727,105,10,39,16,30,370,281,1,10,1,12,13,5,0,0,0,0,0,0,2
NO_2020,Porsanger - Porsángu - Porsanki,3037,2162,4,10,780,91,19,74,62,43,593,377,0,26,2,19,41,10,0,0,0,0,0,0,1
NO_2021,Kárásjohka Karasjok,2036,1429,6,17,583,57,12,162,65,77,259,79,2,16,1,3,57,8,0,0,0,0,0,0,8
NO_2022,Lebesby,951,690,3,6,237,37,12,38,38,15,123,130,1,7,1,16,18,1,0,0,0,0,0,0,1
NO_2023,Gamvik,736,518,4,3,238,27,1,16,7,17,67,103,0,3,0,15,10,3,0,0,0,0,0,0,1
NO_2024,Berlevåg,776,538,5,7,242,26,3,7,5,10,125,76,0,0,0,11,11,2,0,0,0,0,0,0,1
NO_2025,Deatnu Tana,2162,1623,2,9,593,97,10,158,47,32,395,179,2,17,6,13,51,1,0,0,0,0,0,0,2
NO_2027,Unjárga Nesseby,703,522,0,4,197,83,8,36,15,14,81,56,0,6,0,3,13,0,0,0,0,0,0,0,2
NO_2028,Båtsfjord,1406,995,4,9,439,22,3,14,4,10,330,123,1,4,0,13,6,4,0,0,0,0,0,0,0
NO_2030,Sør-Varanger,7152,5200,17,28,2127,343,56,215,106,130,1107,830,1,32,4,70,90,15,0,0,0,0,0,0,1
