gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,V,H,FrP,Dem,K,KSP,KP,MDG,Piratpartiet,PP,DLF,SP,NKP,FM,Folkelisten,StA
NO_0512,Lesja,1579,1246,1,6,339,20,4,528,33,29,148,99,0,7,0,0,17,3,6,0,0,0,0,0,0
NO_0513,Skjåk,1747,1299,2,11,466,32,8,434,17,25,127,122,0,5,0,2,23,4,10,0,0,0,0,0,0
NO_0514,Lom,1850,1350,0,6,511,37,5,423,36,31,156,104,0,5,0,1,22,1,6,0,0,0,0,0,0
NO_0515,Vågå,2861,2177,0,16,1000,84,16,445,39,34,265,179,8,9,0,1,53,4,6,2,0,0,0,0,0
NO_0516,Nord-Fron,4454,3295,2,12,1488,62,11,606,88,69,522,363,1,17,0,0,28,5,8,1,0,0,0,0,0
NO_0517,Sel,4628,3321,4,13,1668,123,20,414,77,76,452,338,2,20,0,3,77,9,9,3,0,0,0,0,0
NO_0519,Sør-Fron,2434,1793,0,11,832,23,8,410,29,39,208,185,1,8,0,2,19,2,4,1,0,0,0,0,0
NO_0520,Ringebu,3400,2511,0,11,1015,60,9,619,73,80,319,252,0,6,0,0,32,9,15,0,0,0,0,0,0
NO_0521,Øyer,3736,2833,4,15,1175,65,13,541,104,94,462,260,0,9,0,1,54,11,7,3,0,0,0,0,0
NO_0522,Gausdal,4773,3528,3,19,1563,62,18,762,80,123,388,368,1,10,0,1,78,14,18,1,0,0,0,0,0
NO_0528,Østre Toten,11237,8456,4,34,3434,171,66,960,326,387,1526,1071,12,52,0,23,179,22,152,3,0,0,0,0,0
NO_0529,Vestre Toten,10035,7583,5,35,3304,176,71,584,265,278,1442,1139,3,27,0,6,130,22,57,4,0,0,0,0,0
NO_0532,Jevnaker,4855,3847,9,14,1547,131,23,169,73,76,925,746,3,12,0,3,83,7,12,0,0,0,0,0,0
NO_0533,Lunner,6555,5398,1,30,1934,166,39,329,214,196,1289,944,0,17,0,1,173,10,20,5,0,0,0,0,0
NO_0534,Gran,10241,8077,24,39,2893,192,58,836,208,283,1739,1448,4,32,0,8,198,20,52,4,0,0,0,0,0
NO_0536,Søndre Land,4423,3186,4,13,1515,134,20,275,78,77,492,468,2,9,0,2,69,5,9,1,0,0,0,0,0
NO_0538,Nordre Land,5227,3778,0,19,1801,115,24,473,114,95,540,487,1,16,0,1,41,8,22,2,0,0,0,0,0
NO_0540,Sør-Aurdal,2399,1814,0,6,721,26,5,324,85,48,300,242,0,9,0,0,33,5,4,0,0,0,0,0,0
NO_0541,Etnedal,1001,757,0,6,270,12,5,185,35,28,109,85,0,1,0,1,11,1,2,0,0,0,0,0,0
NO_0542,Nord-Aurdal,4834,3623,2,9,1341,81,15,475,111,119,763,587,1,27,0,2,61,10,10,0,0,0,0,0,0
NO_0543,Vestre Slidre,1665,1308,0,9,413,24,3,331,36,49,218,181,0,6,0,1,21,3,4,0,0,0,0,0,0
NO_0544,Øystre Slidre,2388,1693,1,3,544,46,5,386,39,63,337,187,0,8,0,0,57,1,11,2,0,0,0,0,0
NO_0545,Vang,1164,908,1,4,272,21,6,269,22,17,178,78,0,3,0,0,31,1,1,0,0,0,0,0,0
NO_0602,Drammen,46504,35668,57,153,11420,989,212,492,1106,1626,11870,6350,25,153,15,25,884,129,0,0,9,0,0,0,0
NO_0604,Kongsberg,18566,14941,21,81,4432,474,89,1462,393,1050,3823,2514,7,59,6,5,351,91,0,0,2,0,0,0,0
NO_0605,Ringerike,22312,17172,16,123,6134,492,155,723,457,687,4453,3294,9,67,8,16,357,52,0,0,6,0,0,0,0
NO_0612,Hole,4460,3735,5,23,955,122,32,218,163,152,1324,586,7,3,9,1,102,8,0,0,2,0,0,0,0
NO_0615,Flå,796,605,0,3,226,8,4,103,17,14,95,118,0,8,1,0,5,0,0,0,0,0,0,0,0
NO_0616,Nes (Busk.),2560,1894,3,4,627,42,7,279,91,66,446,262,0,16,4,2,32,9,0,0,0,0,0,0,0
NO_0617,Gol,3281,2492,0,6,723,59,5,363,98,106,651,408,0,12,2,0,48,2,0,0,3,0,0,0,0
NO_0618,Hemsedal,1417,1163,0,5,236,40,3,217,120,62,313,125,0,6,0,0,28,1,0,0,2,0,0,0,0
NO_0619,Ål,3437,2753,1,15,778,78,17,530,201,153,516,359,0,30,4,2,47,6,0,0,1,0,0,0,0
NO_0620,Hol,3192,2558,0,10,736,42,9,282,87,131,807,363,0,20,3,3,44,10,0,0,1,0,0,0,0
NO_0621,Sigdal,2679,2041,1,12,517,24,11,545,26,58,469,325,1,7,1,1,26,4,0,0,1,0,0,0,0
NO_0622,Krødsherad,1653,1275,1,7,486,28,2,160,21,44,287,206,0,2,0,1,22,1,0,0,0,0,0,0,0
NO_0623,Modum,10158,7700,2,45,2786,174,32,662,278,211,1545,1696,6,43,2,4,156,12,0,0,1,0,0,0,0
NO_0624,Øvre Eiker,12799,9885,10,61,3037,238,45,868,315,295,2598,2028,8,69,18,11,187,31,0,0,5,0,0,0,0
NO_0625,Nedre Eiker,16669,12914,26,83,4641,315,71,265,436,402,3461,2724,6,84,22,31,206,47,0,0,11,0,0,0,0
NO_0626,Lier,17263,14166,29,76,4033,388,83,613,444,761,4728,2488,6,38,10,14,325,51,0,0,3,0,0,0,0
NO_0627,Røyken,13997,11597,81,56,3252,335,69,210,328,706,3781,2322,3,31,10,13,308,31,0,0,5,0,0,0,0
NO_0628,Hurum,6736,5367,30,41,1557,166,41,207,157,288,1586,1016,2,46,6,3,164,14,0,0,2,0,0,0,0
NO_0631,Flesberg,1958,1528,0,3,344,29,10,281,40,54,362,350,0,12,1,1,31,5,0,0,2,0,0,0,0
NO_0632,Rollag,1047,842,2,2,263,16,2,245,30,24,153,77,0,15,0,1,8,2,0,0,0,0,0,0,0
NO_0633,Nore og Uvdal,1920,1438,4,8,389,35,6,385,55,23,247,243,0,15,3,1,14,2,0,0,0,0,0,0,0
NO_0701,Horten,19625,15421,31,94,5135,737,161,244,542,728,4395,2582,8,43,21,18,457,79,52,0,0,0,0,0,0
NO_0702,Holmestrand,7863,6175,7,28,2124,247,45,241,286,234,1629,1075,2,53,4,7,129,20,16,0,0,0,0,0,0
