gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,ND,DNI,EP,FOR,GP,VIPartiet,INP,K,PP,Sentrum,RUS,NKP,Pasientfokus
NO_4001,Porsgrunn,28352,22444,56,202,7063,992,1285,590,890,796,547,2928,5727,201,141,0,68,167,50,229,130,160,20,0,0,0
NO_4003,Skien,42799,33109,98,293,10530,1567,1849,1063,1767,1062,763,4045,8134,386,108,0,103,222,68,239,233,235,51,0,0,0
NO_4005,Notodden,9990,7801,7,59,2500,220,478,514,397,179,139,703,2163,76,26,0,20,80,12,36,83,34,16,0,0,0
NO_4010,Siljan,1821,1507,2,18,460,57,80,131,83,38,14,116,401,16,5,0,2,19,3,21,14,7,2,0,0,0
NO_4012,Bamble,11043,8794,21,66,2429,240,442,362,644,193,156,946,2806,90,41,0,16,61,17,60,70,58,10,0,0,0
NO_4014,Kragerø,8041,6376,19,57,1836,164,515,263,282,344,151,764,1675,71,10,0,11,26,2,42,40,31,16,0,0,0
NO_4016,Drangedal,3016,2442,3,28,810,81,139,290,129,56,31,119,627,23,10,0,4,12,3,20,14,13,2,0,0,0
NO_4018,Nome,4873,3837,6,42,1231,140,217,380,132,110,57,299,968,62,24,0,8,30,12,44,12,17,4,0,0,0
NO_4020,Midt-Telemark,7981,6282,22,51,1724,294,374,681,284,338,113,485,1586,71,16,0,20,51,9,39,40,25,8,0,0,0
NO_4022,Seljord,2180,1718,3,19,500,38,93,211,59,44,33,176,433,26,3,0,2,18,5,9,21,5,1,0,0,0
NO_4024,Hjartdal,1204,979,1,11,280,20,22,196,57,12,4,37,279,14,3,0,2,6,8,5,7,2,2,0,0,0
NO_4026,Tinn,4285,3344,7,35,1111,156,167,381,42,91,60,354,773,9,6,0,12,23,4,52,8,16,2,0,0,0
NO_4028,Kviteseid,1862,1446,4,7,384,33,63,247,167,42,20,112,291,9,1,0,5,16,1,9,17,9,2,0,0,0
NO_4030,Nissedal,1063,888,3,1,254,13,42,127,106,16,8,64,213,13,0,0,3,3,1,5,7,5,3,0,0,0
NO_4032,Fyresdal,927,761,0,10,245,33,51,167,9,16,6,52,121,12,5,0,1,6,0,13,4,0,0,0,0,0
NO_4034,Tokke,1676,1358,0,11,455,49,61,322,60,38,7,70,211,12,12,0,5,8,0,12,6,7,1,0,0,0
NO_4036,Vinje,2835,2326,4,32,551,145,166,453,72,64,25,136,511,21,36,0,8,19,5,27,11,6,2,0,0,0
NO_4201,Risør,5171,4124,7,28,1401,129,224,176,143,138,115,624,974,32,7,0,10,24,5,22,10,24,3,0,0,0
NO_4202,Grimstad,18219,14679,17,128,3411,598,590,518,1678,602,445,2002,3937,71,20,0,30,81,15,118,186,82,22,0,0,0
NO_4203,Arendal,34865,27675,83,158,8243,1275,1320,759,1436,994,719,3815,7588,180,62,0,58,150,35,155,250,213,24,0,0,0
NO_4204,Kristiansand,86697,70598,109,539,17402,3220,3067,1532,8446,3101,2487,10630,16686,331,80,0,158,351,86,255,743,597,200,0,39,0
NO_4205,Lindesnes,17505,13933,42,99,2775,472,524,885,1451,381,527,1702,4304,70,26,0,29,108,30,113,186,92,14,0,4,0
NO_4206,Farsund,7321,5926,17,39,1232,191,195,333,610,111,142,650,2099,44,4,0,17,37,5,37,85,33,5,0,1,0
NO_4207,Flekkefjord,6705,5387,14,32,1068,154,193,293,582,104,102,694,1930,37,3,0,17,29,3,33,43,19,5,0,0,0
NO_4211,Gjerstad,1919,1476,0,9,414,28,80,187,74,30,17,149,424,10,3,0,3,10,1,11,5,9,3,0,0,0
NO_4212,Vegårshei,1613,1346,2,6,345,31,51,164,224,15,16,89,323,14,3,0,2,14,0,13,20,6,2,0,0,0
NO_4213,Tvedestrand,4881,3884,0,22,1027,125,193,207,248,119,104,516,1133,31,7,0,10,31,3,26,22,27,11,0,0,0
NO_4214,Froland,4609,3661,8,29,861,82,129,227,374,67,41,246,1276,31,12,0,7,25,3,51,132,26,5,0,0,0
NO_4215,Lillesand,8649,7042,1,49,1649,322,335,188,638,305,253,1097,1837,32,6,0,13,53,11,29,68,94,13,0,0,0
NO_4216,Birkenes,3852,3081,7,24,567,70,118,291,400,67,48,327,965,6,6,0,3,33,3,46,54,19,3,0,0,0
NO_4217,Åmli,1316,1060,2,11,308,28,67,174,69,10,15,52,237,14,1,0,2,9,1,13,30,5,1,0,0,0
NO_4218,Iveland,952,809,3,10,118,13,27,125,125,12,10,40,242,11,4,0,2,13,3,9,26,6,0,0,0,0
NO_4219,Evje og Hornnes,2770,2211,9,22,549,54,83,223,271,29,32,207,595,18,1,0,5,22,4,11,39,13,2,0,0,0
NO_4220,Bygland,892,723,0,2,158,21,32,183,59,13,13,66,126,5,2,0,2,6,1,4,19,7,2,0,0,0
NO_4221,Valle,924,749,0,5,152,11,23,154,50,12,9,66,221,7,2,0,3,5,1,5,10,7,1,0,0,0
NO_4222,Bykle,693,592,1,4,143,24,33,79,35,19,18,79,123,5,2,0,1,6,2,3,8,2,1,0,0,0
NO_4223,Vennesla,11376,9141,3,84,1874,242,278,484,1665,133,143,771,2825,93,15,0,17,54,10,42,207,88,24,0,5,0
NO_4224,Åseral,659,554,0,3,107,11,13,132,86,3,4,30,128,5,6,0,1,3,1,4,11,1,2,0,0,0
NO_4225,Lyngdal,7549,6146,11,34,885,93,166,395,1293,92,102,654,2075,56,5,0,5,30,4,55,125,23,9,0,0,0
NO_4226,Hægebostad,1296,1088,0,5,106,9,27,155,279,9,8,72,347,5,1,0,0,6,0,7,41,2,4,0,0,0
NO_4227,Kvinesdal,4451,3565,7,19,741,74,128,285,445,83,37,291,1228,35,4,0,5,31,7,39,66,17,3,0,1,0
NO_4228,Sirdal,1351,1117,3,5,182,16,45,169,146,23,29,115,328,11,1,0,1,5,0,6,18,5,4,0,0,0
NO_4601,Bergen,215931,179843,449,1218,50393,13068,9891,3433,6525,11529,7787,33251,34497,952,175,0,470,1930,235,524,690,1435,173,0,0,0
NO_4602,Kinn,12313,9850,16,104,2822,362,379,657,307,257,338,1356,2792,58,31,0,22,94,12,30,53,50,6,0,0,0
NO_4611,Etne,2932,2398,8,15,492,72,108,362,163,39,52,247,723,13,8,0,6,17,5,12,23,14,4,0,0,0
NO_4612,Sveio,4118,3454,10,18,695,134,149,270,237,72,73,431,1156,42,11,0,13,30,11,30,30,19,5,0,0,0
NO_4613,Bømlo,8876,7482,11,74,1624,206,242,393,880,162,127,993,2321,26,17,0,10,64,64,43,113,33,5,0,0,0
NO_4614,Stord,13788,11320,31,122,3466,554,481,456,722,283,233,1710,2656,68,33,0,24,96,20,62,88,69,24,0,0,0
NO_4615,Fitjar,2372,2049,6,11,366,49,43,192,330,30,27,265,626,8,11,0,3,19,1,17,22,10,2,0,0,0
NO_4616,Tysnes,2199,1886,13,14,384,106,67,170,84,44,30,372,495,20,5,0,2,21,6,6,20,12,1,0,0,0
NO_4617,Kvinnherad,10004,8004,15,74,1977,310,358,761,375,183,134,1145,2197,41,21,0,17,63,9,115,64,63,8,0,0,0
NO_4618,Ullensvang,8022,6582,15,59,2141,174,541,937,178,137,102,607,1388,32,16,0,25,52,18,47,19,31,4,0,0,0
NO_4619,Eidfjord,679,561,2,3,168,20,21,90,18,7,10,64,131,8,1,0,0,6,3,5,0,1,0,0,0,0
NO_4620,Ulvik,781,667,3,13,175,54,44,129,19,19,37,46,92,2,1,0,2,6,1,6,3,2,0,0,0,0
NO_4621,Voss,12037,9831,18,100,2755,599,491,1445,310,410,250,979,1805,67,22,0,33,90,26,232,30,55,14,0,0,0
NO_4622,Kvam,6275,5267,16,26,1283,161,254,633,376,206,150,594,1304,36,5,0,9,40,5,35,47,55,6,0,0,0
NO_4623,Samnanger,1837,1524,8,6,426,37,74,122,107,49,27,132,450,8,6,0,4,20,4,15,15,8,0,0,0,0
NO_4624,Bjørnafjorden,18688,15722,40,113,3438,612,572,754,704,617,463,2521,4922,129,30,0,51,240,33,135,79,138,18,0,0,0
NO_4625,Austevoll,3643,3163,22,25,447,64,85,63,202,57,66,704,1271,20,1,0,5,22,6,11,37,25,5,0,0,0
NO_4626,Øygarden,28777,23966,54,211,4961,786,814,613,1869,574,530,3986,8156,159,53,0,49,275,47,167,177,254,20,0,0,0
NO_4627,Askøy,21709,18044,47,178,4718,843,714,387,731,599,472,2952,5350,105,22,0,34,252,35,91,82,242,12,0,0,0
NO_4628,Vaksdal,2877,2398,6,20,746,136,144,232,94,70,27,242,542,29,5,0,2,25,2,26,14,13,3,0,0,0
NO_4629,Modalen,273,222,2,0,42,10,13,43,12,10,6,29,43,4,1,0,0,2,1,1,1,2,0,0,0,0
NO_4630,Osterøy,5921,4916,9,34,1149,176,196,454,319,156,129,643,1369,43,4,0,8,66,6,28,54,31,8,0,0,0
NO_4631,Alver,21998,18249,45,164,4227,621,732,1499,1682,498,352,2393,4955,127,31,0,26,225,42,100,178,181,7,0,0,0
NO_4632,Austrheim,2122,1765,6,19,436,45,59,136,100,28,24,293,535,7,8,0,3,20,1,4,5,15,2,0,0,0
NO_4633,Fedje,379,344,2,1,98,12,5,12,49,6,3,52,80,4,1,0,0,1,0,1,9,7,0,0,0,0
NO_4634,Masfjorden,1240,1067,2,7,245,26,47,146,41,17,15,158,308,10,1,0,5,7,1,8,7,8,1,0,0,0
NO_4635,Gulen,1639,1405,2,12,321,24,49,291,72,29,25,162,337,9,8,0,5,19,2,8,6,10,2,0,0,0
NO_4636,Solund,577,480,3,6,124,16,15,76,8,11,21,73,98,3,0,0,1,6,1,4,2,6,0,0,0,0
NO_4637,Hyllestad,933,777,5,6,257,10,46,188,29,15,5,54,125,10,0,0,1,5,1,7,4,2,1,0,0,0
NO_4638,Høyanger,2992,2374,12,18,813,85,254,324,39,42,22,189,455,25,3,0,3,12,13,18,9,16,4,0,0,0
NO_4639,Vik,1863,1502,5,5,557,46,47,375,39,29,14,83,247,5,7,0,3,7,2,15,6,2,3,0,0,0
NO_4640,Sogndal,8802,7329,9,43,2527,445,277,970,394,375,191,610,1280,28,5,0,12,44,9,16,16,27,8,0,0,0
NO_4641,Aurland,1224,1010,3,6,335,40,36,158,17,53,37,102,178,7,1,0,1,18,0,4,0,5,3,0,0,0
NO_4642,Lærdal,1587,1332,10,4,436,54,54,278,20,37,24,117,258,6,2,0,0,8,2,8,4,6,0,0,0,0
NO_4643,Årdal,3951,3203,9,31,1820,83,118,232,25,71,31,191,480,15,7,0,4,18,5,15,7,10,0,0,0,0
NO_4644,Luster,3926,3305,0,16,1291,94,104,655,237,88,46,200,470,23,2,0,6,18,2,10,14,11,2,0,0,0
NO_4645,Askvoll,2160,1752,3,11,414,102,55,363,83,37,55,176,371,18,4,0,3,20,2,7,8,9,0,0,0,0
NO_4646,Fjaler,1984,1608,5,10,441,96,74,339,49,84,50,149,246,8,3,0,10,14,1,5,10,4,0,0,0,0
NO_4647,Sunnfjord,16417,13642,31,98,4086,728,536,2157,532,571,406,1520,2404,82,17,0,30,146,20,45,65,50,20,0,0,0
NO_4648,Bremanger,2489,2038,3,10,590,86,106,272,80,31,64,207,518,8,1,0,1,16,11,8,1,10,5,0,0,0
NO_4649,Stad,7037,5803,13,50,1234,166,175,1017,316,160,341,532,1584,28,12,0,8,37,2,32,25,17,4,0,0,0
NO_4650,Gloppen,4319,3637,0,15,752,189,113,1126,325,126,83,291,492,22,4,0,10,21,4,12,12,18,7,0,0,0
NO_4651,Stryn,4873,3964,11,23,959,99,104,767,163,83,114,495,980,35,3,0,9,28,8,15,31,10,4,0,0,0
NO_5001,Trondheim,160648,133490,79,1072,42365,11314,9108,3684,2792,9933,6051,18439,22730,774,159,0,333,676,245,491,244,1773,156,0,0,0
NO_5006,Steinkjer,18233,14385,30,109,5255,556,978,2493,195,298,278,996,2477,112,35,0,27,60,25,163,24,159,6,0,0,0
NO_5007,Namsos - Nåavmesjenjaelmie,11499,9041,23,69,3277,398,431,970,289,225,151,912,1871,49,35,0,11,51,8,70,45,79,8,0,0,0
NO_5014,Frøya,3248,2552,11,31,677,70,133,94,45,34,61,375,868,7,8,0,7,21,3,26,3,45,2,0,0,0
NO_5020,Osen,711,552,0,4,161,18,35,111,14,11,9,34,128,9,2,0,0,1,1,5,1,3,1,0,0,0
NO_5021,Oppdal,5280,4394,11,50,1274,155,120,656,200,183,129,434,972,34,12,0,3,29,5,22,10,42,3,0,0,0
NO_5022,Rennebu,1916,1502,1,9,425,49,67,348,130,48,23,95,244,13,1,0,4,10,1,8,2,14,1,0,0,0
NO_5025,Røros,4318,3573,0,43,1470,293,246,376,32,116,82,307,434,16,5,0,5,28,5,31,3,36,2,0,0,0
NO_5026,Holtålen,1584,1345,0,15,524,31,67,292,13,14,4,46,221,27,11,0,2,7,1,28,0,25,2,0,0,0
NO_5027,Midtre Gauldal,4388,3481,4,25,1000,77,96,930,128,38,46,234,698,55,3,0,5,11,4,26,29,47,0,0,0,0
NO_5028,Melhus,12883,10485,12,102,3000,360,399,1331,481,275,196,996,2655,90,24,0,16,58,17,84,41,238,8,0,0,0
NO_5029,Skaun,6235,5140,9,41,1603,258,200,555,232,137,118,514,1185,25,16,0,3,42,13,47,16,80,5,0,0,0
NO_5031,Malvik,10575,8877,14,85,3014,481,443,433,199,456,288,1118,1890,65,20,0,10,39,11,59,18,138,11,0,0,0
NO_5032,Selbu,3262,2542,5,16,849,125,82,450,30,38,31,257,553,30,6,0,6,11,5,14,1,17,0,0,0,0
NO_5033,Tydal,607,514,0,4,144,15,24,166,3,7,7,21,103,2,2,0,1,2,0,4,0,5,0,0,0,0
NO_5034,Meråker,1807,1383,1,21,507,66,95,234,9,21,22,78,240,14,5,0,5,11,4,9,1,19,0,0,0,0
NO_5035,Stjørdal,18776,15042,48,120,5337,666,569,1385,400,434,335,1687,3331,94,45,0,32,81,22,89,46,188,13,0,0,0
NO_5036,Frosta,1962,1595,5,9,497,35,61,269,54,34,55,207,280,13,3,0,9,7,2,10,9,25,2,0,0,0
NO_5037,Levanger,15427,12349,18,90,4582,606,633,1540,573,420,255,1003,2068,72,14,0,26,43,15,101,63,129,8,0,0,0
NO_5038,Verdal,11747,9057,7,81,3669,297,448,1131,116,143,104,799,1802,61,16,0,19,43,8,99,21,105,7,0,0,0
NO_5041,Snåase - Snåsa,1556,1314,2,15,382,71,96,440,12,11,14,62,130,5,3,0,7,10,2,23,2,11,1,0,0,0
NO_5042,Lierne,1002,748,0,9,315,7,15,215,13,4,17,32,100,1,0,0,1,1,0,6,0,3,0,0,0,0
NO_5043,Raarvihke - Røyrvik,322,270,1,2,89,24,13,61,11,6,3,6,43,0,1,0,1,1,0,1,2,1,2,0,0,0
NO_5044,Namsskogan,595,474,1,8,182,22,35,81,7,7,4,24,79,4,0,0,1,1,1,4,1,4,0,0,0,0
NO_5045,Grong,1690,1374,2,7,497,66,71,348,13,22,6,73,201,13,2,0,2,28,1,3,2,7,3,0,0,0
NO_5046,Høylandet,916,762,4,5,310,16,21,253,6,7,14,26,75,2,0,0,1,4,0,11,0,2,0,0,0,0
NO_5047,Overhalla,2749,2216,0,16,686,81,77,583,24,37,24,178,426,9,12,0,1,18,0,14,4,9,1,0,0,0
NO_5049,Flatanger,835,683,0,7,178,45,34,111,11,10,12,69,163,4,4,0,2,8,0,7,3,8,0,0,0,0
NO_5052,Leka,443,358,0,5,98,13,13,117,3,3,1,6,65,7,4,0,1,4,3,5,2,3,0,0,0,0
NO_5053,Inderøy,5292,4402,8,32,1598,204,263,831,145,111,66,340,604,32,11,0,9,26,10,31,13,30,6,0,0,0
NO_5054,Indre Fosen,7513,5791,3,40,1515,225,262,907,187,140,66,545,1460,70,14,0,23,35,6,89,15,145,4,0,0,0
NO_5055,Heim,4523,3558,1,31,1215,76,143,554,84,57,58,354,808,28,15,0,8,21,4,37,8,22,3,0,0,0
NO_5056,Hitra,3592,2747,10,25,713,88,174,177,56,36,49,297,931,19,9,0,16,16,2,20,5,76,3,0,0,0
NO_5057,Ørland,7965,6131,6,61,1691,162,294,718,141,140,107,657,1702,87,18,0,9,54,6,120,7,84,6,0,0,0
NO_5058,Åfjord,3240,2564,9,25,666,74,107,455,131,46,47,208,674,19,8,0,3,7,3,17,9,31,0,0,0,0
NO_5059,Orkland,14015,10917,21,77,3664,350,383,1462,263,218,224,890,2723,117,32,0,20,42,15,115,42,167,15,0,0,0
NO_5060,Nærøysund,7077,5391,13,46,1362,157,262,714,200,91,86,659,1502,71,35,0,15,32,9,30,26,33,2,0,0,0
NO_5061,Rindal,1518,1172,10,14,408,44,39,327,23,26,6,72,144,17,2,0,0,4,0,9,2,9,2,0,0,0
NO_5501,Tromsø,57590,47071,17,518,13627,4407,4153,1624,1189,2424,1202,5538,10157,314,69,0,178,292,77,309,143,249,66,0,0,0
NO_5503,Harstad - Hárstták,19123,14703,25,143,4542,761,792,753,329,480,294,1815,3995,107,33,0,23,130,15,163,45,106,9,0,0,0
NO_5510,Kvæfjord,2157,1639,2,19,498,115,97,173,31,37,36,114,425,14,4,0,3,12,1,16,10,13,0,0,0,0
NO_5512,Dielddanuorri - Tjeldsund,3248,2561,7,26,764,124,107,207,58,41,29,290,768,22,0,0,8,26,6,21,10,18,3,0,0,0
NO_5514,Ibestad,1004,763,0,6,229,14,61,57,9,4,15,116,220,4,2,0,0,6,2,8,4,0,0,0,0,0
NO_5516,Gratangen,789,543,0,8,128,26,50,82,18,5,9,22,166,2,1,0,0,5,0,7,5,0,1,0,0,0
NO_5518,Loabák - Lavangen,745,575,0,6,204,15,32,91,16,5,3,57,115,7,0,0,0,5,4,6,1,2,0,0,0,0
NO_5520,Bardu,2996,2468,1,38,780,114,97,380,27,43,41,243,579,17,8,0,1,16,4,16,5,17,3,0,0,0
NO_5522,Salangen,1573,1208,0,10,376,92,104,186,29,26,12,73,244,8,10,0,3,7,2,7,1,6,2,0,0,0
NO_5524,Målselv,5183,4040,0,47,1320,145,238,554,73,67,80,358,925,31,25,0,12,32,7,33,11,32,3,0,0,0
NO_5526,Sørreisa,2593,2057,2,25,611,110,110,213,64,26,18,174,576,13,7,0,5,15,3,44,6,9,1,0,0,0
NO_5528,Dyrøy,857,702,0,12,203,30,36,82,7,15,2,43,220,7,13,0,0,4,0,11,3,2,0,0,0,0
NO_5530,Senja,10895,8169,5,87,2217,409,412,568,239,140,93,877,2537,73,26,0,21,77,6,209,38,42,6,0,0,0
NO_5532,Balsfjord,4263,3247,8,38,785,142,219,363,65,48,21,232,1075,45,21,0,14,23,6,41,36,25,2,0,0,0
NO_5534,Karlsøy,1669,1251,0,14,347,91,94,107,13,18,13,66,402,14,6,0,2,7,0,19,6,17,1,0,0,0
NO_5536,Lyngen,2169,1675,0,14,428,53,100,131,163,32,29,144,475,7,10,0,8,12,0,13,13,27,2,0,0,0
NO_5538,Storfjord - Omasvuotna - Omasvuono,1434,1161,0,16,275,42,105,100,38,24,8,96,356,20,2,0,8,12,4,15,11,13,0,0,0,0
NO_5540,Gáivuotna - Kåfjord - Kaivuono,1572,1190,2,9,321,55,137,112,116,23,1,47,313,3,2,0,5,10,1,8,7,9,0,0,0,0
NO_5542,Skjervøy,1951,1394,0,8,333,79,77,100,179,16,15,82,434,8,4,0,4,14,2,14,5,12,0,0,0,0
NO_5544,Nordreisa - Ráisa - Raisi,3650,2703,1,24,675,168,188,203,155,45,27,186,890,16,11,0,7,15,2,35,19,12,0,0,0,0
NO_5546,Kvænangen,907,667,0,9,149,35,51,50,27,5,3,33,252,9,7,0,5,10,1,4,4,3,1,0,0,0
NO_5601,Alta,15642,11822,15,94,1691,431,711,305,263,311,172,566,3020,71,27,0,21,117,9,99,271,0,15,0,0,3519
NO_5603,Hammerfest - Hámmerfeasta,8148,6029,17,90,2339,277,463,245,69,137,41,387,1474,63,45,0,18,78,13,99,57,0,3,0,0,24
NO_5605,Sør-Varanger,7428,5602,7,69,1946,358,589,314,75,133,76,379,1322,41,26,0,45,36,8,30,20,0,4,0,0,55
NO_5607,Vadsø,4296,3336,0,44,1392,214,284,218,67,77,42,234,580,20,6,0,19,26,5,18,18,0,1,0,0,27
NO_5610,Kárášjohka - Karasjok,2006,1483,1,18,288,90,466,131,41,18,9,66,208,7,4,0,8,22,5,19,10,0,6,0,0,48
NO_5612,Guovdageaidnu - Kautokeino,2147,1615,2,15,188,109,320,79,166,27,43,67,233,7,2,0,1,11,2,12,33,0,1,0,0,282
NO_5614,Loppa,611,477,0,5,137,23,39,29,2,5,4,35,141,4,7,0,7,5,0,4,3,0,0,0,0,22
NO_5616,Hasvik,649,489,2,9,154,18,43,60,8,8,6,23,113,12,4,0,0,2,2,7,2,0,0,0,0,7
NO_5618,Måsøy,743,511,0,6,180,16,34,58,9,10,4,32,126,3,2,0,1,4,0,12,0,0,1,0,0,7
NO_5620,Nordkapp,2181,1627,1,26,473,135,130,95,13,25,22,121,485,19,5,0,6,13,2,13,5,0,1,0,0,11
NO_5622,Porsanger - Porsáŋgu - Porsanki,3132,2380,4,48,681,94,248,174,34,36,19,199,651,24,6,0,2,29,7,25,18,0,1,0,0,32
NO_5624,Lebesby,872,655,3,9,223,23,80,47,24,6,3,42,130,6,1,0,2,5,0,4,20,0,1,0,0,17
NO_5626,Gamvik,643,461,1,8,144,41,36,39,1,5,2,7,132,7,0,0,2,0,0,16,3,0,0,0,0,9
NO_5628,Deatnu - Tana,2138,1641,9,22,387,94,217,172,37,26,15,78,394,23,6,0,6,18,2,20,11,0,3,0,0,79
NO_5630,Berlevåg,627,455,0,8,189,32,36,29,1,2,1,24,113,1,0,0,0,3,1,2,0,0,0,0,0,5
NO_5632,Båtsfjord,1303,903,0,15,273,22,54,50,10,7,13,53,342,12,4,0,5,10,3,9,3,0,0,0,0,3
NO_5634,Vardø,1371,1063,13,18,388,54,99,108,7,25,13,37,228,16,3,0,7,6,2,8,5,0,0,0,0,8
NO_5636,Unjárga - Nesseby,673,531,4,8,168,49,81,35,4,3,5,24,91,7,4,0,3,5,1,4,7,0,1,0,0,19
