gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,ND,DNI,EP,FOR,GP,VIPartiet,INP,K,PP,Sentrum,RUS,NKP,Pasientfokus
NO_1563,Sunndal,5358,4187,11,30,1764,226,156,374,120,92,112,324,852,19,9,0,11,10,3,21,5,16,2,0,0,0
NO_1566,Surnadal,4537,3452,10,38,1128,95,145,620,105,90,40,279,748,13,7,0,8,24,1,25,11,24,3,0,0,0
NO_1573,Smøla,1554,1296,5,23,342,39,53,228,33,17,23,76,365,15,8,0,1,10,3,8,11,9,4,0,0,0
NO_1576,Aure,2521,2002,3,14,528,53,99,300,97,53,39,167,528,12,14,0,5,16,1,32,14,12,1,0,0,0
NO_1577,Volda,8098,6801,3,52,1509,482,336,755,562,386,182,582,1613,45,12,0,28,43,11,49,56,36,7,0,0,0
NO_1578,Fjord,1814,1468,1,10,247,58,50,329,60,35,13,173,431,9,3,0,1,7,1,6,8,15,1,0,0,0
NO_1579,Hustadvika,9972,8020,8,62,1516,208,243,844,455,152,158,834,3068,83,29,0,17,83,19,59,65,47,8,0,0,0
NO_1580,Haram,6609,5478,8,54,1086,138,182,641,434,92,105,538,1902,37,11,0,17,31,7,58,39,36,8,0,0,0
NO_1804,Bodø,40101,32088,128,301,9663,2118,1743,1161,675,1412,1010,5019,7417,194,74,0,64,194,53,191,96,246,28,0,0,0
NO_1806,Narvik,16185,12298,35,154,3532,663,681,767,439,281,193,1296,3559,80,30,0,44,88,21,161,33,80,7,0,0,0
NO_1811,Bindal,1054,873,2,10,365,39,63,148,16,8,10,50,121,5,1,0,3,2,0,6,5,9,0,0,0,0
NO_1812,Sømna,1534,1252,0,15,343,46,113,343,27,26,15,59,200,14,2,0,1,7,1,10,5,10,0,0,0,0
NO_1813,Brønnøy,5952,4602,13,32,1588,204,310,479,83,106,74,391,1101,36,10,0,19,32,13,38,8,29,4,0,0,0
NO_1815,Vega,942,763,0,1,243,27,53,174,7,14,7,42,140,9,5,0,3,7,0,25,1,4,0,0,0,0
NO_1816,Vevelstad,365,276,2,1,83,9,20,81,8,3,2,8,48,3,1,0,0,1,1,2,0,1,1,0,0,0
NO_1818,Herøy (Nordland),1262,911,1,11,262,28,40,154,15,10,7,79,263,4,2,0,4,4,1,0,4,10,1,0,0,0
NO_1820,Alstahaug,5503,4111,11,35,971,179,349,842,59,84,78,297,1002,35,21,0,9,28,5,32,5,30,4,0,0,0
NO_1822,Leirfjord,1646,1342,5,12,374,75,104,275,19,28,10,39,322,7,10,0,3,10,3,13,11,10,0,0,0,0
NO_1824,Vefsn,10304,7906,6,125,2186,299,718,678,150,169,95,525,2538,62,13,0,10,57,16,29,28,74,3,0,0,0
NO_1825,Grane,1084,840,0,11,255,21,54,162,13,10,3,40,210,9,4,0,0,11,1,12,3,10,0,0,0,0
NO_1826,Aarborte - Hattfjelldal,981,777,5,8,242,31,72,207,10,9,6,26,125,6,1,0,1,6,0,12,1,1,0,0,0,0
NO_1827,Dønna,1068,831,2,6,196,37,75,222,10,6,5,68,143,11,2,0,5,5,3,18,6,4,1,0,0,0
NO_1828,Nesna,1216,954,2,6,293,61,99,160,30,18,14,53,168,9,4,0,4,8,1,5,1,10,2,0,0,0
NO_1832,Hemnes,3418,2666,2,18,817,130,245,347,45,82,43,190,588,23,11,0,11,22,7,38,9,17,3,0,0,0
NO_1833,Rana,20097,15603,23,163,5611,740,1245,997,249,344,250,1812,3230,121,40,0,39,120,45,266,24,110,11,0,0,0
NO_1834,Lurøy,1404,1087,1,9,316,38,81,114,37,26,16,148,249,10,3,0,2,11,1,7,5,3,1,0,0,0
NO_1835,Træna,267,217,1,2,55,5,14,57,5,2,3,5,60,2,0,0,0,0,0,4,0,0,0,0,0,0
NO_1836,Rødøy,884,717,0,7,194,42,33,128,42,6,4,53,164,5,3,0,0,5,2,10,9,3,0,0,0,0
NO_1837,Meløy,4652,3451,4,62,870,160,142,313,165,42,49,331,1018,35,32,0,6,38,5,63,20,26,8,0,0,0
NO_1838,Gildeskål,1477,1164,2,14,307,61,73,116,47,24,22,126,278,26,5,0,7,7,0,6,14,15,0,0,0,0
NO_1839,Beiarn,811,660,1,3,207,21,28,130,2,13,8,51,152,16,3,0,1,3,0,9,2,7,0,0,0,0
NO_1840,Saltdal,3565,2759,5,44,885,136,143,269,63,30,34,226,760,20,11,0,8,22,4,29,4,20,2,0,0,0
NO_1841,Fauske - Fuossko,7540,5787,2,65,2002,304,292,318,121,129,96,601,1539,34,17,0,18,44,8,69,13,48,2,0,0,0
NO_1845,Sørfold,1432,1138,2,18,407,60,74,115,13,14,4,68,289,8,3,0,5,12,1,19,0,7,1,0,0,0
NO_1848,Steigen,1958,1443,0,9,386,156,107,207,32,28,41,123,287,9,6,0,2,8,0,14,8,10,1,0,0,0
NO_1851,Lødingen,1535,1224,2,10,373,77,85,87,14,25,29,123,350,10,1,0,4,7,2,9,1,5,0,0,0,0
NO_1853,Evenes - Evenášši,1101,879,6,15,247,42,38,103,27,21,14,89,224,8,1,0,7,5,2,6,3,6,0,0,0,0
NO_1856,Røst,377,292,0,4,83,4,15,66,2,7,8,26,66,3,0,0,0,1,0,1,0,2,0,0,0,0
NO_1857,Værøy,444,329,1,6,72,9,17,61,26,2,3,17,85,7,1,0,1,5,1,0,7,2,0,0,0,0
NO_1859,Flakstad,900,672,6,7,166,37,65,94,21,21,11,52,159,5,0,0,1,4,0,6,2,7,1,0,0,0
NO_1860,Vestvågøy,8492,6519,13,78,1538,341,349,551,354,218,106,681,1918,105,9,0,10,60,12,24,32,36,6,0,0,0
NO_1865,Vågan,6919,5176,6,44,1438,352,383,347,67,227,98,695,1270,35,7,0,11,53,7,41,6,43,2,0,0,0
NO_1866,Hadsel,6190,4695,5,29,1459,282,344,400,80,130,103,406,1204,31,18,0,19,25,9,59,12,37,14,0,0,0
NO_1867,Bø (Nordland),2030,1509,2,18,304,66,84,174,28,35,28,177,506,9,12,0,4,12,4,10,14,3,1,0,0,0
NO_1868,Øksnes,3201,2382,6,25,590,154,115,162,69,32,30,274,755,15,4,0,8,29,8,30,26,18,7,0,0,0
NO_1870,Sortland - Suortá,7848,5910,14,64,1589,402,347,378,100,167,103,753,1649,41,20,0,15,58,10,78,19,38,1,0,0,0
NO_1871,Andøy,3409,2646,1,33,1002,214,152,311,43,80,35,132,495,11,7,0,6,20,5,28,11,24,3,0,0,0
NO_1874,Moskenes,656,435,1,2,113,29,27,35,9,9,8,33,151,2,0,0,0,6,1,0,1,6,0,0,0,0
NO_1875,Hábmer - Hamarøy,2042,1592,1,10,423,99,107,154,49,64,32,187,367,19,3,0,8,20,0,19,6,13,1,0,0,0
NO_3101,Halden,24668,18903,64,258,5692,682,1064,818,783,747,400,2049,4979,160,17,0,34,103,27,262,112,375,19,0,0,0
NO_3103,Moss,39034,30866,69,287,9376,1597,1896,652,701,1398,1089,4750,7478,233,35,0,94,218,30,130,90,390,66,0,0,0
NO_3105,Sarpsborg,44428,33210,96,359,10198,1268,1561,1160,1242,785,615,3583,10418,405,38,0,104,203,37,156,166,432,25,0,0,0
NO_3107,Fredrikstad,65385,50839,19,539,15789,2543,2665,1231,1780,1960,1327,6359,13816,419,75,0,145,298,64,284,171,764,52,0,0,0
NO_3110,Hvaler,3894,3325,11,23,1002,110,158,139,94,126,126,474,925,22,5,0,12,13,3,12,15,31,1,0,0,0
NO_3112,Råde,5707,4704,16,52,1118,155,160,359,317,141,86,612,1407,45,4,0,4,34,8,35,40,52,7,0,0,0
NO_3114,Våler (Viken),4189,3377,2,40,713,96,148,363,143,82,69,389,1146,30,4,0,11,32,3,21,12,27,6,0,0,0
NO_3116,Skiptvet,2920,2346,5,22,506,64,91,294,130,54,29,191,817,32,0,0,9,23,1,22,9,21,4,0,0,0
NO_3118,Indre Østfold,34295,26347,60,323,6495,1026,1181,2172,1067,685,585,3210,7981,287,34,0,85,215,47,133,116,275,47,0,0,0
NO_3120,Rakkestad,6399,4977,3,56,1225,112,177,779,332,74,56,443,1417,55,20,0,17,33,9,31,41,34,7,0,0,0
NO_3122,Marker,2872,2296,1,36,656,46,93,369,188,48,48,173,492,31,3,0,6,18,6,7,23,14,2,0,0,0
NO_3124,Aremark,1069,887,0,6,191,18,42,234,81,16,7,58,179,8,1,0,4,8,1,11,6,8,2,0,0,0
