gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,Alliansen,Dem,VIPartiet,K,KP,Lib,PP,Piratpartiet,NKP,SP,F!,NP [Norgespartiet],Verdi,NL,NT
NO_0512,Lesja,1511,1185,4,8,286,33,9,577,15,14,8,119,92,0,5,3,1,1,0,2,0,0,0,0,0,0,0,0
NO_0513,Skjåk,1702,1348,4,8,348,38,17,657,11,20,15,86,117,1,0,4,3,3,1,7,0,0,0,0,0,0,0,0
NO_0514,Lom,1792,1362,9,11,379,51,9,614,13,22,13,100,113,7,0,1,4,0,0,5,0,0,0,0,0,0,0,0
NO_0515,Vågå,2812,2179,0,14,697,116,26,777,20,37,14,189,240,1,14,8,4,0,3,5,0,0,0,0,0,0,0,0
NO_0516,Nord-Fron,4409,3291,1,16,1315,81,16,891,54,25,44,449,345,5,5,12,6,1,4,5,0,0,0,0,0,0,0,0
NO_0517,Sel,4587,3418,8,15,1376,152,47,804,37,73,25,398,429,5,4,8,9,1,6,6,0,0,0,0,0,0,0,0
NO_0519,Sør-Fron,2334,1786,0,8,719,44,11,592,9,13,24,173,173,2,0,2,0,1,0,7,0,0,0,0,0,0,0,0
NO_0520,Ringebu,3360,2527,2,10,890,66,21,904,32,34,32,286,211,1,4,9,3,1,3,8,0,0,0,0,0,0,0,0
NO_0521,Øyer,3796,3004,3,17,1081,118,32,844,83,66,69,426,214,3,8,10,2,0,7,4,0,0,0,0,0,0,0,0
NO_0522,Gausdal,4779,3690,3,24,1316,108,41,1248,59,89,55,339,351,5,2,11,2,1,8,4,0,0,0,0,0,0,0,0
NO_0528,Østre Toten,11316,8752,17,71,3028,342,105,1863,246,160,206,1392,1115,9,10,37,10,3,6,61,0,0,0,0,0,0,0,0
NO_0529,Vestre Toten,10174,7717,23,73,2826,293,166,1150,166,144,181,1292,1199,8,13,42,13,5,11,39,0,0,0,0,0,0,0,0
NO_0532,Jevnaker,4992,3940,3,25,1365,212,62,492,54,79,80,837,628,10,3,29,7,3,7,19,0,0,0,0,0,0,0,0
NO_0533,Lunner,6604,5422,7,29,1731,229,134,656,143,136,192,1147,900,4,9,32,16,4,9,15,0,0,0,0,0,0,0,0
NO_0534,Gran,10308,8059,38,45,2613,259,111,1418,173,154,185,1585,1308,9,4,49,14,3,6,40,0,0,0,0,0,0,0,0
NO_0536,Søndre Land,4418,3284,3,16,1305,174,62,593,49,65,53,449,447,5,4,19,5,3,6,10,0,0,0,0,0,0,0,0
NO_0538,Nordre Land,5220,3783,0,18,1480,184,41,916,56,36,55,462,475,4,2,10,8,2,3,13,0,0,0,0,0,0,0,0
NO_0540,Sør-Aurdal,2326,1788,4,15,543,42,11,530,55,26,27,232,269,1,5,5,3,1,1,3,0,0,0,0,0,0,0,0
NO_0541,Etnedal,1005,788,2,5,214,18,9,276,30,14,19,88,103,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
NO_0542,Nord-Aurdal,4932,3667,10,15,1047,108,34,883,73,85,103,671,568,4,6,15,8,0,10,12,0,0,0,0,0,0,0,0
NO_0543,Vestre Slidre,1632,1260,3,3,280,39,7,473,20,19,29,161,206,5,1,3,7,0,0,1,0,0,0,0,0,0,0,0
NO_0544,Øystre Slidre,2378,1799,3,11,364,73,22,730,21,36,41,276,205,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0
NO_0545,Vang,1132,904,0,4,219,27,9,363,7,33,8,127,97,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0
NO_0602,Drammen,47816,36591,93,215,11223,1996,613,1451,921,1180,1469,10900,5822,59,59,219,60,16,80,0,0,0,0,0,0,0,0,0
NO_0604,Kongsberg,19585,15551,41,119,4185,927,239,2001,344,514,609,3730,2562,18,22,64,25,6,26,0,0,0,0,0,0,0,0,0
NO_0605,Ringerike,22414,16936,15,157,5365,829,321,1605,367,377,480,4041,2991,32,24,110,33,7,25,0,0,0,0,0,0,0,0,0
