gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,Alliansen,Dem,VIPartiet,K,KP,Lib,PP,Piratpartiet,NKP,SP,F!,NP [Norgespartiet],Verdi,NL,NT
NO_1135,Sauda,3506,2712,3,22,899,119,22,521,130,37,62,498,326,5,1,8,7,0,5,19,5,1,0,0,0,0,0,0
NO_1141,Finnøy,2112,1799,3,8,187,51,7,467,362,40,50,345,217,0,6,7,33,1,1,2,0,2,0,0,0,2,0,0
NO_1142,Rennesøy,3169,2629,0,15,478,66,13,374,205,37,68,827,506,3,0,1,1,2,5,11,2,0,0,0,0,0,0,0
NO_1144,Kvitsøy,391,344,1,3,71,10,1,26,63,12,8,61,81,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
NO_1145,Bokn,623,529,1,7,89,4,1,159,25,5,6,142,74,0,1,0,1,3,0,3,1,0,0,0,0,0,0,0
NO_1146,Tysvær,7618,6251,27,31,1290,135,32,782,547,106,155,1706,1258,3,9,19,29,7,17,56,7,1,0,0,0,3,0,0
NO_1149,Karmøy,30119,23200,22,124,4379,671,180,1114,2559,354,513,6691,5857,24,27,63,140,27,65,178,36,7,0,0,0,45,0,0
NO_1151,Utsira,146,137,0,1,45,3,2,37,2,2,2,29,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NO_1160,Vindafjord,5937,4724,12,20,769,131,26,1231,436,55,106,951,894,2,4,4,40,0,4,12,5,1,0,0,0,1,0,0
NO_1201,Bergen,200037,165431,581,1205,39603,14682,4571,6733,6682,7239,8824,51290,20405,189,165,420,575,220,370,0,273,0,0,199,0,0,0,0
NO_1211,Etne,2853,2293,5,7,364,64,20,516,185,35,66,519,479,3,1,3,9,3,2,0,0,0,0,5,0,0,0,0
NO_1216,Sveio,3859,3160,2,22,588,102,33,378,236,75,99,833,701,6,1,10,22,11,10,0,6,0,0,3,0,0,0,0
NO_1219,Bømlo,8259,6775,13,29,1176,193,59,478,1126,116,174,1899,1275,6,3,11,132,25,13,0,7,0,0,11,0,0,0,0
NO_1221,Stord,13299,10631,6,80,3033,630,158,686,764,212,268,2698,1828,12,11,36,78,15,13,0,16,0,0,7,0,0,0,0
NO_1222,Fitjar,2239,1876,2,4,268,45,12,233,282,26,31,578,355,4,3,4,19,3,0,0,2,0,0,1,0,0,0,0
NO_1223,Tysnes,2137,1698,5,8,308,42,21,303,87,42,44,546,269,2,0,4,6,1,0,0,0,0,0,2,0,0,0,0
NO_1224,Kvinnherad,9787,7371,30,44,1543,353,110,1033,420,152,167,2143,1211,7,10,20,44,15,8,0,5,0,0,12,0,0,0,0
NO_1227,Jondal,828,709,3,4,144,22,8,220,65,12,11,135,64,0,0,2,8,1,3,0,3,0,0,0,0,0,0,0
NO_1228,Odda,5195,3984,3,30,1336,180,185,678,95,62,97,674,553,5,15,8,8,3,5,0,9,0,0,8,0,0,0,0
NO_1231,Ullensvang,2465,2001,4,10,324,114,39,688,65,45,73,391,213,3,5,3,5,1,2,0,5,0,0,1,0,0,0,0
NO_1232,Eidfjord,709,571,0,1,138,21,5,152,9,8,10,144,77,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0
NO_1233,Ulvik,793,667,0,4,132,49,13,221,17,13,66,73,64,2,0,3,3,1,0,0,1,0,0,1,0,0,0,0
NO_1234,Granvin,716,591,0,2,103,36,11,224,7,18,23,112,45,0,0,0,3,1,2,0,1,0,0,1,0,0,0,0
NO_1235,Voss,10735,8576,19,55,2023,473,157,2460,303,281,307,1543,826,2,6,15,15,6,9,0,16,0,0,5,0,0,0,0
NO_1238,Kvam,6071,4957,7,21,899,227,45,1007,379,164,171,1124,809,2,10,10,34,4,14,0,4,0,0,5,0,0,0,0
NO_1241,Fusa,2792,2243,5,6,364,78,21,396,181,54,65,666,376,3,1,3,14,1,1,0,1,0,0,1,0,0,0,0
NO_1242,Samnanger,1845,1479,0,15,379,49,15,218,106,55,21,318,260,0,0,5,15,1,0,0,3,0,0,4,0,0,0,0
NO_1243,Os (Hord.),13850,11329,10,65,2098,503,130,797,493,439,477,3531,2587,6,2,26,30,15,19,0,20,0,0,16,0,0,0,0
NO_1244,Austevoll,3434,2882,11,16,394,94,17,158,209,38,63,1167,659,1,3,6,16,7,3,0,1,0,0,3,0,0,0,0
NO_1245,Sund,4788,3856,1,30,628,173,30,249,128,41,100,1522,857,5,2,7,15,10,12,0,10,0,0,6,0,0,0,0
