gisco_id,registered,turnout,invalid,blank,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
PT_040515,467,192,3,3,88,60,25,3,1,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0
PT_040516,356,164,1,0,66,45,40,0,2,3,3,1,0,0,2,0,1,0,0,0,0,0,0,0
PT_040517,407,189,4,4,82,60,23,2,5,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0
PT_040518,293,142,2,1,88,16,27,1,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PT_040519,295,172,2,3,58,66,33,0,1,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0
PT_040520,6267,3570,42,30,1447,1112,545,105,62,58,59,35,47,0,4,0,10,14,0,0,0,0,0,0
PT_040521,666,254,2,2,77,110,46,2,2,3,4,4,1,0,0,0,1,0,0,0,0,0,0,0
PT_040523,231,109,2,4,40,43,12,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
PT_040524,219,115,2,1,43,37,24,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_040543,420,204,3,4,77,73,31,3,2,2,3,2,2,0,0,0,0,2,0,0,0,0,0,0
PT_040526,423,199,4,4,80,55,32,6,0,9,2,1,3,0,0,0,1,2,0,0,0,0,0,0
PT_040528,324,172,3,3,57,57,36,4,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
PT_040530,438,173,3,3,68,61,25,0,2,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0
PT_040544,412,186,4,0,52,83,32,1,0,7,1,1,3,0,1,0,0,1,0,0,0,0,0,0
PT_040532,223,104,1,0,59,15,16,0,4,3,1,1,0,0,0,0,4,0,0,0,0,0,0,0
PT_040533,317,167,6,2,51,54,29,5,1,6,1,2,7,0,1,0,1,1,0,0,0,0,0,0
PT_040534,512,291,5,5,93,102,61,2,8,11,1,0,0,0,0,0,1,2,0,0,0,0,0,0
PT_040536,236,129,1,1,58,45,15,3,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0
PT_040538,290,112,1,0,42,35,17,4,1,8,1,0,1,0,0,0,1,1,0,0,0,0,0,0
PT_040618,204,103,3,6,43,34,11,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
PT_040604,612,288,6,7,137,87,39,4,1,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0
PT_040605,206,101,2,2,56,24,8,0,1,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0
PT_040619,284,159,2,6,77,42,18,0,1,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PT_040607,401,167,2,2,78,44,23,5,3,2,3,2,0,0,2,0,0,1,0,0,0,0,0,0
PT_040608,1824,1151,15,16,510,363,144,31,14,15,19,16,2,0,0,0,3,3,0,0,0,0,0,0
PT_040609,466,250,3,7,114,53,43,10,8,7,2,1,0,0,0,0,1,1,0,0,0,0,0,0
