gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
PT_010516,"Requeixo, Nossa Senhora de Fátima e Nariz",4152,2243,56,61,310,0,0,137,42,2,6,14,11,10,15,7,2,2,1555,4,2,7,0,0
PT_010513,Santa Joana,7345,4111,68,117,1098,0,0,459,205,17,20,58,20,30,50,13,7,23,1901,7,9,9,0,0
PT_010510,São Bernardo,4474,2810,45,99,702,0,0,299,101,8,16,44,11,12,33,13,8,19,1385,8,0,7,0,0
PT_010511,São Jacinto,920,463,3,12,202,0,0,53,20,2,8,6,5,9,7,0,1,6,125,0,2,2,0,0
PT_010602,Fornos,1274,789,12,14,344,0,0,48,19,0,2,9,1,3,8,1,2,3,320,1,1,1,0,0
PT_010610,"Raiva, Pedorido e Paraíso",4142,2305,40,39,891,0,0,262,93,7,4,9,9,18,31,10,6,8,864,5,0,9,0,0
PT_010606,Real,1131,647,10,9,275,0,0,44,18,0,2,2,1,6,4,2,0,0,268,4,0,2,0,0
PT_010607,Santa Maria De Sardoura,2205,1294,27,28,427,0,0,68,25,1,3,3,4,5,6,1,5,3,678,2,2,6,0,0
PT_010608,São Martinho De Sardoura,1690,1069,8,10,299,0,0,73,28,0,0,6,3,4,3,4,1,5,617,1,3,4,0,0
PT_010611,Sobrado e Bairros,4130,2424,52,36,831,0,0,170,56,3,4,9,10,26,17,5,1,5,1186,3,0,10,0,0
PT_010706,Anta e Guetim,11026,6931,121,142,2232,0,0,752,543,22,26,69,31,83,65,26,16,44,2698,23,10,28,0,0
PT_010702,Espinho,10030,6390,98,143,1887,0,0,616,438,15,6,101,17,52,81,13,10,41,2835,13,2,22,0,0
PT_010704,Paramos,3174,1829,38,31,698,0,0,214,158,4,4,19,6,40,21,6,3,2,570,7,3,5,0,0
PT_010705,Silvalde,5994,3686,68,59,1619,0,0,338,379,9,10,27,15,60,37,7,1,7,1022,14,2,12,0,0
PT_010801,Avanca,5497,2985,59,98,843,0,0,314,153,15,8,26,13,43,42,9,9,15,1322,4,2,10,0,0
PT_010808,Beduído e Veiros,9146,4691,74,137,1287,0,0,419,317,14,6,47,27,57,46,23,9,17,2170,13,9,19,0,0
PT_010809,Canelas e Fermelã,2504,1516,25,57,348,0,0,174,88,5,2,15,6,19,27,8,4,4,722,4,1,7,0,0
PT_010805,Pardilhó,3892,1694,27,35,402,0,0,121,163,3,3,13,6,34,12,4,5,3,850,3,3,7,0,0
PT_010806,Salreu,3469,1929,35,54,463,0,0,144,66,6,5,15,11,18,18,6,3,5,1060,2,4,14,0,0
PT_011005,Gafanha da Encarnação,5253,2169,34,89,402,0,0,201,83,13,5,26,14,17,37,14,5,11,1201,5,2,10,0,0
