gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
PT_420202,Achadinha,500,243,6,6,117,74,5,26,3,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0
PT_420208,Algarvia,301,179,6,1,59,80,8,6,3,4,1,5,1,3,1,1,0,0,0,0,0,0,0,0
PT_420203,Lomba Da Fazenda,870,464,13,18,180,190,7,32,6,3,2,3,0,5,3,1,0,1,0,0,0,0,0,0
PT_420204,Nordeste,1207,636,21,14,240,269,11,49,8,2,4,5,1,5,1,5,0,1,0,0,0,0,0,0
PT_420206,Salga,501,255,8,8,127,83,2,18,3,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0
PT_420207,Santana,421,242,3,10,115,84,1,12,9,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
PT_420209,Santo António de Nordestinho,295,166,3,3,62,80,7,4,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
PT_420210,São Pedro de Nordestinho,281,143,1,6,74,48,1,6,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
PT_420323,Ajuda da Bretanha,677,254,6,4,75,118,2,28,11,2,0,3,0,2,0,1,2,0,0,0,0,0,0,0
PT_420301,Arrifes,6562,2018,26,38,887,682,35,185,53,4,30,17,7,16,11,5,18,4,0,0,0,0,0,0
PT_420303,Candelária,981,339,7,9,139,135,9,19,7,1,3,3,0,3,1,1,1,1,0,0,0,0,0,0
PT_420304,Capelas,3709,1366,23,29,574,432,27,133,47,4,10,17,1,32,12,10,7,8,0,0,0,0,0,0
PT_420305,Covoada,1170,393,5,9,132,152,15,43,12,4,4,6,1,5,1,0,3,1,0,0,0,0,0,0
PT_420306,Fajã De Baixo,4551,1987,20,66,768,625,60,248,50,9,16,34,6,13,29,14,10,19,0,0,0,0,0,0
PT_420307,Fajã De Cima,3024,1077,18,23,417,380,32,122,30,4,3,18,1,11,6,4,3,5,0,0,0,0,0,0
PT_420308,Fenais Da Luz,1798,681,12,12,216,283,16,73,21,1,12,11,0,5,7,7,4,1,0,0,0,0,0,0
PT_420309,Feteiras,1388,412,3,10,199,135,4,29,10,4,6,4,0,4,1,1,1,1,0,0,0,0,0,0
PT_420310,Ginetes,1106,426,14,8,164,162,7,35,7,3,1,4,3,9,3,3,3,0,0,0,0,0,0,0
PT_420311,Mosteiros,1091,437,9,6,138,216,15,27,17,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0
PT_420324,Pilar da Bretanha,581,258,3,3,92,110,4,22,11,1,0,5,1,1,2,1,0,2,0,0,0,0,0,0
PT_420313,Ponta Delgada (São José),5821,2425,31,75,914,853,91,245,90,1,15,30,5,13,13,19,13,17,0,0,0,0,0,0
PT_420314,Ponta Delgada (São Pedro),7739,3187,41,92,1167,1130,62,363,109,16,43,50,8,19,19,11,29,28,0,0,0,0,0,0
PT_420312,Ponta Delgada (São Sebastião),4186,1819,29,51,620,745,59,165,53,5,17,27,8,6,5,5,10,14,0,0,0,0,0,0
PT_420315,Relva,2671,1076,17,29,362,412,23,128,43,2,8,13,6,13,5,5,8,2,0,0,0,0,0,0
PT_420316,Remédios,874,418,6,17,156,164,10,44,7,4,1,4,0,3,2,0,0,0,0,0,0,0,0,0
PT_420317,Rosto Do Cão (Livramento),3895,1599,29,62,584,596,40,155,36,5,15,22,6,13,11,12,7,6,0,0,0,0,0,0
PT_420318,Rosto Do Cão (São Roque),4454,1635,27,33,772,455,29,195,41,4,16,23,3,13,7,9,4,4,0,0,0,0,0,0
PT_420319,Santa Bárbara,748,329,4,9,126,126,2,27,10,0,5,6,0,4,7,0,3,0,0,0,0,0,0,0
PT_420325,Santa Clara,2919,1160,16,31,443,383,26,148,36,4,17,15,3,10,8,7,10,3,0,0,0,0,0,0
PT_420320,Santo António,1712,711,18,17,288,243,16,66,27,4,4,7,1,11,5,1,1,2,0,0,0,0,0,0
PT_420321,São Vicente Ferreira,2129,969,17,34,299,428,21,81,32,4,11,15,3,9,4,7,3,1,0,0,0,0,0,0
PT_420322,Sete Cidades,697,279,4,5,142,98,3,16,4,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0
PT_420401,Água Retorta,424,226,10,8,133,68,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
PT_420402,Faial Da Terra,433,154,7,10,63,56,3,3,5,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0
PT_420403,Furnas,1551,558,16,24,225,180,7,58,9,4,4,11,2,9,4,0,2,3,0,0,0,0,0,0
PT_420404,Nossa Senhora Dos Remédios,1152,491,19,21,189,221,6,22,4,0,2,0,0,3,3,1,0,0,0,0,0,0,0,0
PT_420405,Povoação,2060,944,21,40,518,265,21,41,10,3,4,4,1,1,7,3,4,1,0,0,0,0,0,0
PT_420406,Ribeira Quente,815,291,7,7,147,90,4,24,4,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0
PT_420501,Calheta,783,300,8,5,122,96,1,26,4,1,29,2,2,1,0,0,1,2,0,0,0,0,0,0
PT_420502,Fenais Da Ajuda,1006,397,14,7,148,176,13,14,6,4,3,3,0,0,2,1,6,0,0,0,0,0,0,0
PT_420503,Lomba Da Maia,1053,443,11,19,156,198,12,20,10,0,1,3,1,8,3,1,0,0,0,0,0,0,0,0
PT_420504,Lomba De São Pedro,304,159,2,3,86,51,5,2,3,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0
PT_420505,Maia,1844,832,14,20,440,258,4,54,11,1,17,4,0,5,0,3,1,0,0,0,0,0,0,0
PT_420506,Pico Da Pedra,2472,1068,23,31,417,331,20,137,53,4,15,11,1,1,7,10,4,3,0,0,0,0,0,0
PT_420507,Porto Formoso,1149,456,14,5,242,145,7,25,4,0,6,2,0,3,2,0,1,0,0,0,0,0,0,0
