gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
PT_420101,Água De Pau,2794,723,14,19,412,140,24,43,5,6,7,7,1,8,3,20,4,7,2,0,1,0,0,0,0
PT_420102,Cabouco,1710,569,14,17,263,115,29,48,12,4,8,13,1,4,1,33,3,1,0,1,2,0,0,0,0
PT_420103,Lagoa (Nossa Senhora Do Rosário),4823,1707,34,68,743,408,69,195,8,20,16,34,5,14,6,55,9,12,1,7,3,0,0,0,0
PT_420104,Lagoa (Santa Cruz),3188,1025,26,46,504,229,33,76,5,9,9,21,2,2,1,35,12,7,2,3,3,0,0,0,0
PT_420105,Ribeira Chã,384,143,6,10,72,30,5,5,1,0,0,2,5,0,0,4,0,2,1,0,0,0,0,0,0
PT_480101,Fajã Grande,204,97,5,6,37,21,5,7,3,1,1,8,0,0,0,2,0,0,0,1,0,0,0,0,0
PT_480102,Fajãzinha,74,43,0,4,16,13,0,4,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
PT_480103,Fazenda,235,99,1,6,58,18,5,5,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
PT_480104,Lajedo,87,47,1,6,14,18,2,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
PT_480105,Lajes Das Flores,509,206,4,26,89,44,4,16,0,0,1,11,1,2,1,7,0,0,0,0,0,0,0,0,0
PT_480106,Lomba,157,81,4,7,34,16,3,7,0,1,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0
PT_480107,Mosteiro,29,19,1,1,7,2,1,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
PT_460101,Calheta De Nesquim,333,105,0,12,39,45,3,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
PT_460102,Lajes Do Pico,1663,704,4,50,260,242,19,55,5,7,6,20,1,2,1,25,2,0,1,3,1,0,0,0,0
PT_460103,Piedade,799,314,3,13,118,143,10,11,0,1,0,4,0,0,1,7,1,1,1,0,0,0,0,0,0
PT_460104,Ribeiras,859,364,4,11,153,142,9,22,3,1,0,7,2,1,1,3,2,0,0,2,1,0,0,0,0
PT_460105,Ribeirinha,378,178,3,9,86,63,3,10,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
PT_460106,São João,447,197,0,16,68,77,6,15,0,1,0,8,0,1,0,3,1,0,1,0,0,0,0,0,0
PT_460201,Bandeiras,613,209,2,14,93,69,7,10,2,0,0,2,2,0,0,6,0,0,0,2,0,0,0,0,0
PT_460202,Candelária,782,348,3,31,159,109,11,9,5,1,1,11,0,1,0,4,3,0,0,0,0,0,0,0,0
PT_460203,Criação Velha,777,305,2,37,90,144,6,6,1,1,4,3,1,1,2,2,1,0,0,2,2,0,0,0,0
PT_460204,Madalena,2573,958,8,73,287,414,27,55,5,12,4,28,1,2,0,31,5,0,2,3,1,0,0,0,0
PT_460205,São Caetano,489,205,0,13,65,107,6,6,1,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0
PT_460206,São Mateus,677,295,3,19,96,136,7,12,0,3,2,5,2,1,1,4,3,0,0,1,0,0,0,0,0
PT_420201,Achada,461,224,1,10,115,74,4,5,0,0,0,3,0,0,1,7,2,2,0,0,0,0,0,0,0
PT_420202,Achadinha,499,212,2,10,119,60,8,2,0,0,1,2,1,0,0,4,2,0,0,1,0,0,0,0,0
PT_420208,Algarvia,268,139,6,4,40,62,11,7,0,0,0,2,0,0,1,3,1,0,2,0,0,0,0,0,0
PT_420203,Lomba Da Fazenda,877,393,6,8,128,188,8,22,0,3,4,8,0,0,4,5,4,2,1,0,2,0,0,0,0
PT_420204,Nordeste,1202,580,14,29,194,232,20,32,12,7,4,9,1,3,0,12,2,2,0,4,3,0,0,0,0
PT_420206,Salga,505,217,6,16,99,61,4,17,5,0,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0
PT_420207,Santana,395,209,6,13,87,67,7,10,2,2,0,3,0,1,0,9,1,0,0,1,0,0,0,0,0
PT_420209,Santo António de Nordestinho,312,167,1,6,56,69,6,12,1,5,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0
PT_420210,São Pedro de Nordestinho,281,130,1,3,78,34,6,2,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
