gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_010101,Agadão,549,334,3,2,219,65,32,5,3,2,2,1,0,0,0,0
PT_010102,Aguada De Baixo,1486,879,15,6,437,186,209,11,5,5,1,2,2,0,0,0
PT_010103,Aguada De Cima,3296,1843,18,18,1055,493,195,29,1,20,5,3,6,0,0,0
PT_010104,Águeda,10009,5998,43,60,2593,2283,607,235,12,117,25,12,11,0,0,0
PT_010105,Barrô,1452,885,7,8,479,269,96,7,1,14,2,1,1,0,0,0
PT_010106,Belazaima Do Chão,511,339,1,3,169,136,24,4,0,0,0,1,1,0,0,0
PT_010120,Borralha,1770,1158,9,6,452,471,154,31,3,26,3,1,2,0,0,0
PT_010107,Castanheira Do Vouga,609,414,2,1,258,92,55,1,3,1,1,0,0,0,0,0
PT_010108,Espinhel,2430,1483,14,15,608,595,162,36,4,27,8,6,8,0,0,0
PT_010109,Fermentelos,2373,1710,17,13,1104,184,363,8,2,15,2,0,2,0,0,0
PT_010110,Lamas Do Vouga,708,428,3,1,195,179,36,10,0,1,1,0,2,0,0,0
PT_010111,Macieira De Alcoba,146,95,3,0,57,19,13,1,1,0,0,0,1,0,0,0
PT_010112,Macinhata Do Vouga,2913,1614,10,15,696,542,243,66,6,20,10,4,2,0,0,0
PT_010113,Óis Da Ribeira,621,457,2,4,216,147,64,9,1,8,2,2,2,0,0,0
PT_010114,Préstimo,901,517,6,10,273,94,94,27,2,9,1,1,0,0,0,0
PT_010115,Recardães,2379,1596,14,8,697,638,139,60,6,27,5,1,1,0,0,0
PT_010116,Segadães,739,473,4,1,191,163,97,11,2,3,1,0,0,0,0,0
PT_010117,Travassô,1437,936,12,10,461,292,127,11,2,14,1,3,3,0,0,0
PT_010118,Trofa,2377,1542,10,15,663,558,179,65,6,36,7,1,2,0,0,0
PT_010119,Valongo Do Vouga,4201,2504,24,23,1121,930,220,114,7,38,17,5,5,0,0,0
PT_010201,Albergaria-a-Velha,5857,3516,27,33,1630,984,694,52,3,72,14,2,5,0,0,0
PT_010202,Alquerubim,2012,1151,11,8,633,312,159,6,2,16,3,1,0,0,0,0
PT_010203,Angeja,1873,1203,10,8,461,412,227,63,5,13,1,1,2,0,0,0
PT_010204,Branca,4131,2696,13,23,1515,656,411,34,6,24,9,2,3,0,0,0
PT_010205,Frossos,801,530,4,2,233,127,152,4,2,5,0,0,1,0,0,0
PT_010206,Ribeira De Fráguas,1519,1057,7,12,489,274,239,13,4,13,2,2,2,0,0,0
PT_010207,São João De Loure,1776,1169,11,6,641,210,264,18,4,12,0,3,0,0,0,0
PT_010208,Valmaior,1675,1094,7,4,530,331,175,26,3,10,1,5,2,0,0,0
PT_010315,Aguim,1073,687,3,6,361,246,42,8,4,15,1,0,1,0,0,0
PT_010301,Amoreira Da Gândara,1144,726,6,10,427,146,124,5,3,3,1,0,1,0,0,0
PT_010302,Ancas,721,466,4,11,249,121,67,4,1,6,0,2,1,0,0,0
PT_010303,Arcos,4378,2740,17,42,1219,993,265,93,3,89,11,3,5,0,0,0
PT_010304,Avelãs De Caminho,1081,682,9,12,341,219,82,6,3,8,1,0,1,0,0,0
PT_010305,Avelãs De Cima,2019,1261,6,16,831,213,161,7,3,15,2,2,5,0,0,0
PT_010306,Mogofores,984,632,6,10,245,254,84,8,5,18,1,0,1,0,0,0
PT_010307,Moita,2217,1328,8,20,757,360,146,18,2,12,2,0,3,0,0,0
PT_010308,Óis Do Bairro,433,279,1,3,141,86,34,5,0,6,2,1,0,0,0,0
PT_010314,Paredes Do Bairro,1044,692,3,5,517,74,81,3,1,6,0,2,0,0,0,0
PT_010309,Sangalhos,3937,2400,31,46,1207,582,388,67,7,44,12,9,7,0,0,0
PT_010310,São Lourenço Do Bairro,2100,1315,15,12,753,357,146,9,1,14,3,2,3,0,0,0
PT_010311,Tamengos,1334,845,7,14,452,252,91,3,4,11,0,4,7,0,0,0
PT_010312,Vila Nova De Monsarros,1642,933,8,9,482,335,68,19,1,7,0,3,1,0,0,0
PT_010313,Vilarinho Do Bairro,2874,1805,23,19,1288,242,192,13,3,18,0,2,5,0,0,0
PT_010401,Albergaria Da Serra,166,81,3,2,29,38,5,2,0,0,2,0,0,0,0,0
PT_010402,Alvarenga,1367,890,12,5,524,212,103,16,3,7,4,4,0,0,0,0
PT_010403,Arouca,2319,1617,21,23,767,537,191,22,4,42,3,3,4,0,0,0
PT_010404,Burgo,1792,1175,13,7,612,315,188,9,2,23,4,1,1,0,0,0
PT_010405,Cabreiros,216,85,1,1,51,21,9,1,1,0,0,0,0,0,0,0
PT_010406,Canelas,689,430,7,0,219,60,128,11,0,3,0,0,2,0,0,0
PT_010407,Chave,1101,762,12,2,325,202,176,8,3,11,3,20,0,0,0,0
PT_010408,Covelo de Paivó,165,88,0,0,59,15,10,2,1,0,0,1,0,0,0,0
PT_010409,Escariz,1697,1179,10,1,716,257,165,6,2,15,3,4,0,0,0,0
PT_010410,Espiunca,451,294,2,2,181,46,57,0,1,3,2,0,0,0,0,0
PT_010411,Fermedo,1268,745,5,2,423,199,91,16,0,6,2,1,0,0,0,0
PT_010412,Janarde,178,102,0,0,83,12,2,2,0,2,0,1,0,0,0,0
PT_010413,Mansores,997,676,2,3,449,98,114,3,2,2,1,2,0,0,0,0
PT_010414,Moldes,1227,728,11,4,405,204,79,5,5,11,2,2,0,0,0,0
PT_010415,Rossas,1374,919,5,5,549,156,168,20,2,7,2,4,1,0,0,0
PT_010416,Santa Eulália,2010,1307,9,11,743,286,218,8,5,23,0,2,2,0,0,0
PT_010417,São Miguel Do Mato,810,413,2,1,292,49,58,7,0,2,0,2,0,0,0,0
PT_010418,Tropeço,1034,656,10,5,421,115,86,8,4,4,1,2,0,0,0,0
PT_010419,Urrô,1062,661,9,2,401,153,85,3,1,5,0,2,0,0,0,0
PT_010420,Várzea,436,333,2,2,202,72,47,1,1,4,0,0,2,0,0,0
PT_010501,Aradas,6462,4052,28,58,2047,1093,641,68,9,82,10,5,11,0,0,0
PT_010502,Cacia,5405,3247,27,32,1327,1202,441,99,11,73,19,8,8,0,0,0
PT_010503,Eirol,612,443,5,6,198,127,100,4,0,2,1,0,0,0,0,0
PT_010504,Eixo,3743,2236,22,32,909,676,439,71,3,57,12,6,9,0,0,0
PT_010505,Esgueira,8787,5421,50,86,1921,2140,805,194,11,160,25,15,14,0,0,0
PT_010506,Glória,9475,6063,28,111,2342,2255,861,169,9,240,24,13,11,0,0,0
PT_010514,Nossa Senhora De Fátima,1561,994,5,2,647,126,196,7,0,7,1,2,1,0,0,0
PT_010507,Nariz,1160,741,13,6,454,85,162,4,4,6,4,3,0,0,0,0
PT_010508,Oliveirinha,4137,2587,19,30,1566,473,439,21,2,24,5,5,3,0,0,0
PT_010509,Requeixo,1007,599,3,2,339,88,151,6,3,4,0,1,2,0,0,0
PT_010513,Santa Joana,6283,3899,24,40,1885,1129,618,84,11,82,16,7,3,0,0,0
PT_010510,São Bernardo,3581,2290,18,21,1076,648,392,30,6,79,7,6,7,0,0,0
PT_010511,São Jacinto,848,474,4,4,128,243,72,10,3,6,3,1,0,0,0,0
PT_010512,Vera Cruz,6680,4656,31,69,1717,1733,673,197,5,204,12,7,8,0,0,0
PT_010601,Bairros,1531,994,9,13,521,374,59,6,3,5,2,1,1,0,0,0
PT_010602,Fornos,1448,919,7,7,362,452,65,8,3,9,3,0,3,0,0,0
PT_010603,Paraíso,865,555,4,4,279,179,72,6,1,3,4,3,0,0,0,0
PT_010604,Pedorido,1352,796,12,5,280,422,38,24,2,8,4,0,1,0,0,0
PT_010605,Raiva,2038,1203,13,12,436,571,102,28,4,31,6,0,0,0,0,0
PT_010606,Real,1115,682,5,8,318,294,42,0,2,5,6,1,1,0,0,0
PT_010607,Santa Maria De Sardoura,2195,1348,6,12,795,414,87,15,4,7,1,6,1,0,0,0
PT_010608,São Martinho De Sardoura,1440,940,4,4,609,260,46,7,1,5,1,2,1,0,0,0
PT_010609,Sobrado,2198,1515,13,13,730,586,114,23,3,30,2,1,0,0,0,0
PT_010701,Anta,8815,5964,53,85,2291,2431,530,368,15,116,48,13,14,0,0,0
PT_010702,Espinho,10648,7584,44,97,3523,2444,739,406,5,253,34,14,25,0,0,0
PT_010703,Guetim,1279,948,4,11,487,310,78,42,4,9,0,2,1,0,0,0
PT_010704,Paramos,3094,2004,20,19,692,877,199,133,6,25,19,9,5,0,0,0
PT_010705,Silvalde,6440,4186,39,54,994,2308,299,375,7,59,37,7,7,0,0,0
PT_010801,Avanca,5139,3016,18,31,1378,1069,353,75,9,57,13,8,5,0,0,0
PT_010802,Beduído,6232,3989,27,34,1709,1476,443,177,9,77,17,11,9,0,0,0
PT_010803,Canelas,1239,882,3,5,483,205,141,24,4,10,3,3,1,0,0,0
PT_010804,Fermelã,1307,896,6,6,464,227,144,31,5,5,6,1,1,0,0,0
PT_010805,Pardilhó,3281,1700,18,22,917,446,182,70,3,30,7,3,2,0,0,0
PT_010806,Salreu,3554,2243,28,14,1311,531,286,33,4,27,3,4,2,0,0,0
PT_010807,Veiros,1897,975,16,4,562,229,129,10,5,12,3,1,4,0,0,0
PT_011002,Gafanha Da Encarnação,3657,1951,15,21,1117,381,344,31,1,25,10,4,2,0,0,0
PT_011003,Gafanha Da Nazaré,10971,6308,44,80,2941,1804,1046,143,16,167,33,18,16,0,0,0
PT_011001,Gafanha Do Carmo,1325,667,4,7,371,173,94,8,2,7,0,0,1,0,0,0
PT_011004,Ílhavo (São Salvador),12746,7631,58,78,3703,2348,912,222,20,235,31,8,16,0,0,0
PT_011101,Antes,724,498,5,8,251,190,32,4,0,7,0,1,0,0,0,0
PT_011102,Barcouço,1749,992,12,13,302,526,49,65,4,9,7,1,4,0,0,0
PT_011103,Casal Comba,2732,1573,15,29,537,805,95,48,9,23,5,6,1,0,0,0
PT_011104,Luso,2431,1414,12,21,461,720,94,64,1,31,5,4,1,0,0,0
PT_011105,Mealhada,3010,1873,6,28,710,825,124,85,4,74,9,3,5,0,0,0
PT_011106,Pampilhosa,3428,2015,12,28,595,1011,159,109,7,64,15,11,4,0,0,0
PT_011107,Vacariça,1895,1039,13,13,367,543,53,21,3,17,7,2,0,0,0,0
PT_011108,Ventosa Do Bairro,1133,632,6,5,381,193,35,4,1,6,0,1,0,0,0,0
PT_011201,Bunheiro,2198,1320,5,9,937,190,140,15,6,10,3,3,2,0,0,0
PT_011202,Monte,1209,699,5,3,453,171,45,4,0,15,1,0,2,0,0,0
PT_011203,Murtosa,2764,1539,12,11,1116,235,106,13,4,30,8,1,3,0,0,0
PT_011204,Torreira,2140,903,5,1,528,241,107,9,1,9,1,1,0,0,0,0
PT_011301,Carregosa,3028,1999,14,25,994,531,343,39,6,25,15,4,3,0,0,0
PT_011302,Cesar,2479,1742,9,22,759,652,209,36,4,25,15,3,8,0,0,0
PT_011303,Fajões,2700,1687,11,13,911,427,245,44,1,17,7,6,5,0,0,0
PT_011304,Loureiro,2681,1872,8,6,1298,318,214,8,5,11,2,2,0,0,0,0
PT_011305,Macieira De Sarnes,1786,1154,12,5,362,558,96,77,1,24,9,6,4,0,0,0
PT_011306,Macinhata Da Seixa,1097,718,7,5,303,246,135,7,0,10,2,2,1,0,0,0
PT_011307,Madail,661,474,2,5,283,114,64,2,1,2,1,0,0,0,0,0
PT_011308,Nogueira Do Cravo,2271,1674,10,14,681,708,135,69,5,28,15,2,7,0,0,0
PT_011309,Oliveira De Azeméis,8489,5528,49,77,2488,1827,826,88,7,123,16,13,14,0,0,0
PT_011310,Ossela,1917,1342,14,13,674,409,191,9,5,15,5,4,3,0,0,0
PT_011311,Palmaz,1801,1176,12,8,558,412,164,8,3,5,3,3,0,0,0,0
PT_011312,Pindelo,2182,1421,13,12,572,583,171,43,2,19,1,3,2,0,0,0
PT_011313,Pinheiro Da Bemposta,2845,1784,5,13,982,511,234,13,7,10,4,2,3,0,0,0
PT_011314,Santiago De Riba-Ul,2990,2048,13,24,836,819,246,54,2,38,7,5,4,0,0,0
PT_011315,São Martinho Da Gândara,1839,1227,8,8,600,435,127,20,2,17,3,4,3,0,0,0
PT_011318,São Roque,4323,2856,26,27,1220,1192,291,34,1,40,12,8,5,0,0,0
PT_011316,Travanca,1350,911,3,3,431,289,160,5,5,9,4,1,1,0,0,0
PT_011317,Ul,2264,1441,4,21,736,497,145,10,6,14,4,2,2,0,0,0
PT_011319,Vila De Cucujães,9750,5853,57,47,2165,2769,531,113,16,99,25,17,14,0,0,0
PT_011401,Bustos,2033,1337,14,9,733,146,389,17,2,19,4,1,3,0,0,0
PT_011402,Mamarrosa,1347,920,10,5,528,105,256,7,0,5,2,0,2,0,0,0
PT_011403,Oiã,5322,3460,35,24,2111,534,634,54,14,39,6,6,3,0,0,0
PT_011404,Oliveira Do Bairro,4098,2562,31,27,1481,432,501,33,8,35,4,4,6,0,0,0
PT_011405,Palhaça,2066,1419,14,11,955,123,297,3,0,12,0,2,2,0,0,0
PT_011406,Troviscal,2130,1450,19,19,860,172,335,21,2,14,3,2,3,0,0,0
PT_011501,Arada,2473,1523,16,10,749,524,131,41,6,26,12,4,4,0,0,0
PT_011502,Cortegaça,3207,2049,15,17,741,973,171,47,6,52,21,3,3,0,0,0
PT_011503,Esmoriz,8739,5450,42,67,2167,2310,463,184,13,126,40,16,22,0,0,0
PT_011504,Maceda,2952,1745,9,18,627,802,164,79,10,19,9,2,6,0,0,0
PT_011505,Ovar,13170,8106,45,100,2826,3411,678,626,16,344,28,14,18,0,0,0
PT_011508,São João De Ovar,5255,3165,26,36,1174,1386,231,173,9,84,31,7,8,0,0,0
PT_011506,São Vicente De Pereira Jusã,1903,1215,10,13,598,457,93,17,4,12,5,3,3,0,0,0
PT_011507,Válega,4934,2763,23,15,1235,1140,198,68,9,48,13,8,6,0,0,0
PT_010901,Argoncilhe,6693,4581,37,34,2089,1705,504,75,15,65,22,11,24,0,0,0
PT_010902,Arrifana,5407,3530,19,27,1282,1751,299,69,13,44,14,5,7,0,0,0
PT_010927,Caldas De São Jorge,2129,1387,12,16,535,602,148,37,6,20,4,4,3,0,0,0
PT_010903,Canedo,4707,2533,31,20,1449,637,290,43,11,26,15,4,7,0,0,0
PT_010904,Escapães,2521,1654,12,14,614,768,165,31,2,28,8,7,5,0,0,0
PT_010905,Espargo,1216,758,8,6,364,283,59,13,4,11,5,4,1,0,0,0
PT_010906,Feira,8718,5625,35,85,2350,2218,551,146,15,163,36,10,16,0,0,0
PT_010907,Fiães,7182,4625,33,63,1635,2184,392,189,10,84,16,9,10,0,0,0
PT_010908,Fornos,2211,1426,9,20,597,580,140,37,5,27,6,3,2,0,0,0
PT_010909,Gião,1259,765,8,7,428,193,107,6,7,7,1,0,1,0,0,0
PT_010910,Guisande,1129,798,5,4,445,251,64,12,0,14,1,0,2,0,0,0
PT_010911,Lobão,4253,2591,20,18,1292,864,311,35,6,31,9,3,2,0,0,0
PT_010912,Louredo,1294,833,4,11,527,156,118,6,0,4,3,4,0,0,0,0
PT_010913,Lourosa,7970,5105,52,58,1996,2329,438,94,20,80,20,8,10,0,0,0
PT_010914,Milheirós De Poiares,2789,1875,12,19,708,900,152,33,8,27,10,4,2,0,0,0
PT_010915,Mosteiró,1722,1088,7,12,377,514,107,26,4,23,6,7,5,0,0,0
PT_010916,Mozelos,4678,3332,31,25,1354,1436,301,95,8,49,19,5,9,0,0,0
PT_010917,Nogueira Da Regedoura,3788,2656,21,24,1231,1042,224,68,3,28,11,3,1,0,0,0
PT_010919,Paços De Brandão,4048,2971,19,30,1502,953,336,53,13,47,9,6,3,0,0,0
PT_010920,Pigeiros,1046,627,3,4,201,289,75,38,2,3,8,2,2,0,0,0
PT_010921,Rio Meão,3813,2551,14,18,1096,1029,285,53,7,28,13,6,2,0,0,0
PT_010922,Romariz,2904,1776,17,14,831,641,210,24,4,24,6,3,2,0,0,0
PT_010923,Sanfins,1503,973,5,14,368,456,84,18,3,13,5,3,4,0,0,0
PT_010924,Sanguedo,2587,1740,12,8,850,599,205,21,6,17,11,6,5,0,0,0
PT_010925,Santa Maria De Lamas,4359,2868,23,22,1227,1201,259,73,11,30,12,6,4,0,0,0
PT_010926,São João De Ver,5930,3913,20,46,1364,1917,305,128,13,88,14,8,10,0,0,0
PT_010918,São Paio De Oleiros,3483,2336,24,25,794,978,207,246,8,28,18,5,3,0,0,0
PT_010928,Souto,3904,2342,28,24,1013,946,207,47,13,38,18,3,5,0,0,0
PT_010929,Travanca,1473,976,6,11,451,402,71,14,4,14,2,1,0,0,0,0
PT_010930,Vale,1789,1047,10,4,625,243,142,9,3,8,3,0,0,0,0,0
PT_010931,Vila Maior,1153,792,4,5,422,225,112,10,2,7,1,3,1,0,0,0
PT_011601,São João Da Madeira,18263,11786,55,148,4410,5020,1290,429,22,309,38,31,34,0,0,0
PT_011701,Cedrim,896,613,2,7,379,83,121,10,1,3,3,1,3,0,0,0
PT_011702,Couto De Esteves,1029,704,11,3,473,119,77,4,0,6,5,4,2,0,0,0
PT_011709,Dornelas,645,444,4,11,206,115,93,6,3,3,1,1,1,0,0,0
PT_011703,Paradela,734,502,2,3,312,68,104,5,1,2,0,1,4,0,0,0
PT_011704,Pessegueiro Do Vouga,1753,1244,11,7,723,181,290,8,3,16,3,2,0,0,0,0
PT_011705,Rocas Do Vouga,1704,1082,5,4,556,292,184,18,5,12,2,2,2,0,0,0
PT_011706,Sever Do Vouga,2000,1443,12,12,828,303,225,16,5,31,4,3,4,0,0,0
PT_011707,Silva Escura,1526,1024,6,11,524,266,180,17,4,11,0,2,3,0,0,0
PT_011708,Talhadas,1187,834,5,6,450,228,125,9,0,8,1,0,2,0,0,0
PT_011801,Calvão,1493,1006,6,4,727,81,166,5,1,10,0,2,4,0,0,0
PT_011802,Covão Do Lobo,1010,686,7,0,580,24,67,1,2,4,1,0,0,0,0,0
PT_011803,Fonte De Angeão,1217,778,4,0,598,57,105,2,1,5,3,0,3,0,0,0
PT_011804,Gafanha Da Boa Hora,1715,705,11,7,474,84,113,6,2,7,0,1,0,0,0,0
PT_011805,Ouca,1368,926,13,1,623,65,209,6,2,4,0,1,2,0,0,0
PT_011806,Ponte De Vagos,1423,867,11,3,554,38,254,1,0,1,4,1,0,0,0,0
PT_011811,Santa Catarina,896,598,5,5,352,31,193,3,2,5,2,0,0,0,0,0
PT_011810,Santo André De Vagos,1540,1029,30,0,800,44,141,4,2,7,1,0,0,0,0,0
PT_011809,Santo António De Vagos,1345,904,9,4,627,59,184,8,3,7,1,1,1,0,0,0
PT_011807,Sosa,2207,1292,11,12,831,167,243,6,3,12,4,3,0,0,0,0
PT_011808,Vagos,2992,1968,13,15,1032,491,314,33,3,47,6,4,10,0,0,0
PT_011901,Arões,1889,1095,14,5,417,200,428,9,3,10,3,2,4,0,0,0
PT_011903,Cepelos,1504,950,12,5,466,166,271,10,2,6,1,2,9,0,0,0
PT_011904,Codal,856,630,9,5,207,215,151,28,2,6,4,2,1,0,0,0
PT_011905,Junqueira,1206,799,6,1,438,114,225,4,3,5,2,0,1,0,0,0
PT_011906,Macieira De Cambra,4335,2883,58,22,792,1112,781,46,9,31,19,4,9,0,0,0
PT_011907,Roge,1657,1056,7,4,471,294,257,13,1,6,1,1,1,0,0,0
PT_011902,São Pedro De Castelões,6210,4319,65,53,1894,1079,1053,48,14,79,15,7,12,0,0,0
PT_011908,Vila Chã,3290,2313,32,21,986,707,449,47,4,49,6,8,4,0,0,0
PT_011909,Vila Cova De Perrinho,423,329,1,2,125,81,108,5,1,2,2,2,0,0,0,0
PT_020101,Aljustrel,4814,2918,20,44,364,1098,70,1164,5,85,60,3,3,2,0,0
PT_020102,Ervidel,1198,701,7,9,109,210,23,300,1,19,19,2,1,1,0,0
PT_020103,Messejana,1051,578,9,4,67,299,16,144,2,6,28,3,0,0,0,0
PT_020105,Rio De Moinhos,737,436,2,2,53,193,7,146,0,4,28,0,1,0,0,0
PT_020104,São João De Negrilhos,1717,1075,10,7,144,533,26,315,2,6,27,2,1,2,0,0
PT_020208,Aldeia Dos Fernandes,613,389,5,1,115,178,4,59,2,12,12,1,0,0,0,0
PT_020201,Almodôvar,3302,1975,21,16,782,824,85,134,6,58,35,7,1,6,0,0
PT_020202,Gomes Aires,514,266,5,3,59,168,11,9,2,2,1,2,1,3,0,0
PT_020203,Rosário,621,310,5,1,115,126,10,30,1,13,7,1,0,1,0,0
PT_020204,Santa Clara-a-Nova,773,426,6,5,148,216,9,25,2,3,7,2,1,2,0,0
PT_020205,Santa Cruz,840,485,3,0,136,256,16,55,0,4,11,1,2,1,0,0
PT_020206,São Barnabé,782,381,5,4,194,138,14,11,1,3,6,3,2,0,0,0
PT_020207,Senhora Da Graca De Padrões,431,220,1,2,40,128,1,36,0,7,4,0,1,0,0,0
PT_020301,Alvito,1083,682,2,10,201,194,38,207,0,15,10,4,1,0,0,0
PT_020302,Vila Nova Da Baronia,1079,605,9,9,109,321,27,102,1,7,16,2,1,1,0,0
PT_020401,Barrancos,1650,977,16,16,217,485,56,149,4,6,22,4,1,1,0,0
PT_020501,Albernoa,765,444,6,1,47,189,8,169,3,6,12,0,1,2,0,0
PT_020515,Beja (São João Baptista),5319,3609,26,51,1430,1318,213,405,4,131,21,2,6,2,0,0
PT_020509,Beja  (Salvador),4559,2850,36,34,746,1192,106,584,5,89,36,11,11,0,0,0
PT_020513,Beja (Santiago Maior),5942,3555,26,38,656,1505,136,991,6,105,72,10,7,3,0,0
PT_020511,Beja (Santa Maria Da Feira),2831,1462,13,16,344,565,74,370,1,41,28,3,5,2,0,0
PT_020502,Baleizão,1052,613,3,7,58,152,10,327,0,40,14,1,0,1,0,0
PT_020503,Beringel,1421,832,12,2,176,353,33,210,2,14,22,4,3,1,0,0
PT_020504,Cabeça Gorda,1460,783,11,3,107,392,9,221,1,8,29,0,2,0,0,0
PT_020505,Mombeja,360,230,4,0,26,138,6,46,1,0,6,0,1,2,0,0
PT_020506,Nossa Senhora Das Neves,1802,1019,12,12,124,532,24,262,6,13,28,3,1,2,0,0
PT_020507,Quintos,345,226,1,0,33,103,6,74,0,2,6,0,1,0,0,0
PT_020508,Salvada,1083,706,5,5,107,239,14,293,1,8,27,3,3,1,0,0
PT_020510,Santa Clara De Louredo,730,484,5,7,38,229,7,171,0,11,14,1,0,1,0,0
PT_020512,Santa Vitória,699,448,2,1,53,176,13,178,0,5,13,1,5,1,0,0
PT_020514,São Brissos,98,63,0,0,5,13,0,42,0,2,1,0,0,0,0,0
PT_020516,São Matias,567,345,3,3,80,193,5,53,0,2,4,1,0,1,0,0
PT_020518,Trigaches,517,287,3,0,44,155,17,57,1,1,7,1,1,0,0,0
PT_020517,Trindade,316,176,3,3,24,77,11,51,0,0,6,1,0,0,0,0
PT_020601,Casével,317,225,3,0,33,101,7,68,0,6,5,0,2,0,0,0
PT_020602,Castro Verde,3683,2114,20,29,439,989,81,419,3,86,39,3,2,4,0,0
PT_020603,Entradas,755,424,5,6,42,123,4,209,1,9,22,0,0,3,0,0
PT_020604,Santa Bárbara De Padrões,1133,616,12,2,65,323,20,153,2,8,22,5,1,3,0,0
PT_020605,São Marcos Da Ataboeira,432,222,5,1,28,77,3,93,0,6,8,1,0,0,0,0
PT_020701,Cuba,2674,1707,17,23,297,760,55,500,2,16,26,7,2,2,0,0
PT_020702,Faro Do Alentejo,540,340,4,0,42,168,12,100,1,2,7,1,1,2,0,0
PT_020703,Vila Alva,485,311,5,0,57,138,9,83,0,9,9,1,0,0,0,0
PT_020704,Vila Ruiva,613,344,2,2,56,166,5,99,1,7,6,0,0,0,0,0
PT_020801,Alfundão,909,513,2,2,117,249,22,91,1,16,12,0,1,0,0,0
PT_020806,Canhestros,533,314,2,2,48,169,9,73,2,3,4,2,0,0,0,0
PT_020802,Ferreira Do Alentejo,4507,2699,20,8,589,1209,108,644,2,53,50,7,5,4,0,0
PT_020803,Figueira Dos Cavaleiros,1413,901,8,3,103,454,32,233,3,16,43,3,1,2,0,0
PT_020804,Odivelas,598,318,3,5,53,185,12,45,1,3,7,3,1,0,0,0
PT_020805,Peroguarda,370,229,3,1,30,123,5,56,0,2,5,0,2,2,0,0
PT_020901,Alcaria Ruiva,939,521,5,2,82,181,11,217,4,3,11,3,1,1,0,0
PT_020902,Corte Do Pinto,1018,593,11,4,84,228,20,204,2,5,29,2,2,2,0,0
PT_020903,Espírito Santo,435,215,1,0,29,93,11,67,2,1,9,2,0,0,0,0
PT_020904,Mértola,2794,1756,16,11,229,773,32,588,4,38,46,11,4,4,0,0
PT_020905,Santana De Cambas,839,477,13,3,98,203,3,125,3,4,20,2,0,3,0,0
PT_020906,São João Dos Caldeireiros,702,414,6,0,60,170,7,141,1,5,17,0,2,5,0,0
PT_020907,São Miguel Do Pinheiro,850,514,35,5,65,227,9,138,3,3,17,6,4,2,0,0
PT_020908,São Pedro De Solis,316,181,7,2,36,90,7,30,0,3,4,0,1,1,0,0
PT_020909,São Sebastião Dos Carros,297,165,4,0,17,69,5,63,0,2,1,1,2,1,0,0
PT_021001,Amareleja,2427,1175,16,4,141,417,37,498,1,7,48,2,1,3,0,0
PT_021007,Moura (São João Baptista),3834,1819,20,12,317,1008,110,253,3,51,35,3,1,6,0,0
PT_021004,Moura (Santo Agostinho),3556,1790,15,15,458,936,98,205,2,29,23,4,4,1,0,0
PT_021002,Póvoa De São Miguel,993,411,3,1,127,193,18,49,0,3,11,3,2,1,0,0
PT_021003,Safara,1080,517,7,3,89,278,15,107,0,2,13,0,1,2,0,0
PT_021005,Santo Aleixo Da Restauração,955,501,11,5,65,274,14,103,1,3,21,1,1,2,0,0
PT_021006,Santo Amador,585,282,2,5,30,114,1,120,0,0,8,1,1,0,0,0
PT_021008,Sobral Da Adiça,986,487,9,2,85,212,30,129,1,0,16,2,0,1,0,0
PT_021113,Bicos,590,325,1,1,55,183,8,62,0,1,9,1,1,3,0,0
PT_021117,Longueira/Almograve,936,640,9,10,49,398,22,132,1,8,9,0,1,1,0,0
PT_021101,Colos,1052,626,10,3,142,289,22,116,3,11,22,2,5,1,0,0
PT_021116,Boavista Dos Pinheiros,989,557,8,4,197,257,25,42,1,5,7,4,5,2,0,0
PT_021115,Luzianes-Gare,531,305,5,1,55,123,5,95,1,3,11,3,1,2,0,0
PT_021108,Odemira (São Salvador),1768,1099,3,15,227,543,54,205,1,19,22,4,4,2,0,0
PT_021105,Odemira (Santa Maria),1286,825,9,11,208,360,43,160,0,13,16,2,2,1,0,0
PT_021112,Pereiras-Gare,360,206,5,4,36,76,4,57,0,3,18,0,1,2,0,0
PT_021102,Relíquias,1143,587,4,4,83,305,24,140,3,2,14,4,3,1,0,0
PT_021103,Sabóia,1292,721,8,5,150,382,35,87,2,11,26,4,6,5,0,0
PT_021104,Santa Clara-a-Velha,772,463,3,4,115,256,17,46,4,3,11,1,0,3,0,0
PT_021106,São Luís,1988,1171,17,12,330,420,56,271,4,15,30,10,4,2,0,0
PT_021107,São Martinho Das Amoreiras,1167,672,21,13,138,381,22,73,3,1,15,1,0,4,0,0
PT_021109,São Teotónio,4117,2532,57,29,393,1274,165,440,9,43,82,14,11,15,0,0
PT_021110,Vale De Santiago,624,415,4,4,50,150,20,161,0,2,20,1,2,1,0,0
PT_021111,Vila Nova De Milfontes,3396,1850,22,17,509,800,132,263,6,56,29,6,5,5,0,0
PT_021114,Zambujeira Do Mar,786,490,9,8,119,253,30,31,0,23,6,6,1,4,0,0
PT_021201,Conceição,171,109,1,0,45,40,4,16,0,0,2,1,0,0,0,0
PT_021202,Garvão,839,533,6,1,176,210,8,99,3,8,17,3,0,2,0,0
