gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_110806,Santa Bárbara,1191,760,7,11,465,135,107,12,4,8,4,3,2,1,1,0
PT_110807,São Bartolomeu Dos Galegos,916,560,12,5,289,180,53,6,0,7,2,2,1,2,1,0
PT_110808,Vimeiro,1033,716,6,8,406,192,73,10,0,13,1,4,2,1,0,0
PT_110901,Azueira,2263,1397,10,16,515,675,90,42,2,25,10,8,3,1,0,0
PT_110902,Carvoeira,859,570,7,10,249,208,37,29,2,18,0,1,7,1,1,0
PT_110903,Cheleiros,963,608,7,5,318,195,45,16,1,8,7,3,2,1,0,0
PT_110904,Encarnação,2939,1995,22,17,1428,336,149,8,6,8,9,10,0,2,0,0
PT_110905,Enxara Do Bispo,1377,746,10,11,271,318,83,22,3,8,6,6,4,3,1,0
PT_110906,Ericeira,4559,2930,23,30,1206,1169,239,95,7,117,13,9,11,2,9,0
PT_110907,Gradil,677,446,3,13,163,198,28,18,1,12,4,1,0,3,2,0
PT_110908,Igreja Nova,1761,1118,13,10,507,400,90,36,3,33,5,12,6,3,0,0
PT_110909,Mafra,8083,5078,39,76,1972,1980,447,233,8,239,21,23,23,12,5,0
PT_110910,Malveira,3373,2041,24,20,885,654,237,113,4,59,14,16,10,2,3,0
PT_110911,Milharado,3765,2306,36,36,867,914,244,101,2,44,26,14,14,5,3,0
PT_110912,Santo Estêvão Das Galés,1191,802,12,20,331,278,73,36,2,25,13,3,3,4,2,0
PT_110913,Santo Isidoro,2353,1515,6,40,732,484,134,42,5,49,6,9,5,2,1,0
PT_110917,São Miguel De Alcainça,974,664,4,7,365,194,52,14,0,17,3,4,3,1,0,0
PT_110914,Sobral Da Abelheira,883,611,5,7,219,293,47,14,2,9,4,3,3,4,1,0
PT_110916,Venda Do Pinheiro,3715,2271,31,36,1033,717,200,131,6,75,18,10,10,3,1,0
PT_110915,Vila Franca Do Rosário,619,397,3,4,145,157,51,15,1,15,4,1,1,0,0,0
