gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,SZDSZ,MCF ROMA Ö.,MUNKÁSPÁRT,MSZP,JOBBIK,LMP-HP,MDF
HU_0789,Halimba,943,263,2,0,157,3,0,3,37,39,9,13
HU_2556,Hárskút,555,187,1,0,143,0,0,0,14,13,5,11
HU_0242,Hegyesd,144,70,0,0,44,1,0,3,13,7,0,2
HU_2580,Hegymagas,233,109,0,0,66,6,0,0,16,16,3,2
HU_2365,Herend,2829,1006,10,0,642,12,0,7,87,142,37,69
HU_1508,Hetyefõ,78,47,1,0,19,1,0,0,3,18,0,5
HU_2075,Hidegkút,352,108,2,0,52,0,1,2,21,18,3,9
HU_2781,Homokbödöge,610,208,3,0,142,2,2,3,25,26,0,5
HU_0725,Hosztót,76,42,0,0,35,0,1,2,2,0,1,1
HU_2801,Iszkáz,322,100,0,0,77,0,0,1,10,8,1,3
HU_1743,Jásd,641,244,0,0,181,5,2,2,11,31,2,10
HU_1914,Kamond,286,107,0,0,66,1,0,2,12,22,0,4
HU_1455,Kapolcs,322,87,0,0,60,3,1,0,6,11,1,5
HU_0874,Karakószörcsök,256,81,1,0,58,2,0,1,8,6,1,4
HU_1427,Káptalanfa,701,201,0,0,138,2,0,3,13,27,4,14
HU_0563,Káptalantóti,395,147,1,0,81,2,0,1,18,32,5,7
HU_1973,Kemeneshõgyész,433,105,0,0,71,0,1,1,22,5,0,5
HU_1247,Kemenesszentpéter,584,153,2,0,111,0,0,0,14,23,3,0
HU_2565,Kerta,530,171,1,0,118,1,0,1,32,10,1,7
HU_2603,Kékkút,89,49,4,0,24,2,0,2,9,8,0,0
HU_0542,Királyszentistván,386,141,1,0,49,2,0,2,43,35,6,3
HU_0793,Kisapáti,310,108,0,0,67,0,4,2,15,14,1,5
HU_2907,Kisberzseny,84,34,0,0,21,0,0,0,0,11,0,2
HU_2370,Kiscsõsz,114,38,1,0,21,1,0,0,4,11,0,0
HU_3017,Kislõd,1032,277,0,0,183,4,0,1,23,47,3,16
HU_0428,Kispirit,82,44,5,0,35,1,0,0,1,2,0,0
HU_2300,Kisszõlõs,100,31,0,0,19,0,2,0,5,4,0,1
HU_3018,Kolontár,643,154,1,0,94,3,0,2,24,24,1,5
HU_2585,Köveskál,356,137,0,0,100,2,0,0,16,15,1,3
HU_2345,Kõvágóörs,766,236,1,0,127,4,1,1,34,41,5,22
HU_2654,Kup,381,119,0,0,61,2,0,0,19,32,1,4
HU_1614,Külsõvat,635,144,5,0,78,4,0,0,22,25,3,7
HU_0406,Küngös,448,123,2,0,70,4,1,2,27,13,0,4
