gisco_id,name,registered,turnout,invalid,blank,ΠA.ΣO.K,K.K.E.,ΣYN,ΛΑ.Ο.Σ.,Γυν.Ευρ.,Οικ.Πρασ.,Εν.Κεντρ.,Βεργής,Ελλ.Μετ.,ΜΕΡ.Α.,Δ.Π.Ε.,Αντ.Συμμ.,Πατ.Συμ.,M-Λ KKE,ΔΗΣΟΚ,ΑΣΚΕ,Οραμα,Ευρ.Συμπ,ΟΑΚΚΕ,Ουρ.Τόξο,Οικ.Εναλ.,Χριστ.,N.Δ.
EL_440201,Λεύκτρου,7722,3349,60,0,818,436,159,115,18,16,6,12,4,7,22,7,10,11,4,2,1,1,0,2,0,0,0
EL_440503,Μεθώνης (Πελοποννησου),3885,2913,45,0,1083,317,71,123,9,20,18,8,8,2,27,5,11,14,11,10,1,1,2,3,0,0,0
EL_440401,Μελιγαλά,6256,3053,57,0,861,156,94,146,10,7,11,12,7,4,12,12,8,5,8,4,3,4,3,0,0,0,0
EL_440301,Μεσσήνης,14370,7554,169,0,2522,530,186,302,33,32,61,27,7,15,23,10,16,38,22,23,9,7,4,4,0,0,0
EL_440504,Νέστορος,5728,3175,60,0,1058,165,93,59,12,9,8,17,3,2,56,4,3,9,1,3,1,0,2,1,0,0,0
EL_440405,Οιχαλίας (Πελοποννησου),8692,4010,110,0,1749,188,51,51,5,9,6,13,3,5,9,9,4,10,15,4,5,8,2,1,0,0,0
EL_440505,Παπαφλέσσα,2189,1058,15,0,0,38,12,26,1,3,1,4,0,1,4,2,1,1,2,3,0,1,0,0,0,0,462
EL_440307,Πεταλιδίου,6033,3267,70,0,1076,338,104,97,13,14,17,8,2,8,5,2,2,12,5,6,5,2,3,0,0,0,0
EL_440501,Πύλου,7970,3861,75,0,1301,378,97,110,12,12,17,11,6,10,61,1,1,10,5,8,4,3,2,0,0,0,0
EL_440606,Φιλιατρών,8559,3987,83,0,1415,219,146,74,14,12,11,15,5,8,12,6,2,19,8,12,2,6,1,3,0,0,0
EL_440506,Χιλιοχωρίων,4380,2400,59,0,819,211,91,53,9,3,8,9,1,3,13,0,8,1,5,2,0,4,3,1,0,0,0
EL_440308,Τρικόρφου,1462,778,11,0,221,42,18,20,4,3,3,3,0,2,6,0,0,1,2,1,1,0,1,0,0,0,0
EL_440605,Τριπύλης,1174,506,5,0,131,25,10,20,0,2,0,1,0,1,1,2,1,1,1,0,0,1,3,2,0,0,0
EL_060202,Αβδήρων,5640,3959,92,0,1539,136,105,139,18,13,13,14,9,3,22,5,7,4,11,12,3,2,0,5,0,0,0
EL_060201,Βιστωνίδος,14709,8804,289,0,2984,446,184,242,46,32,34,40,19,22,97,13,17,50,33,34,17,22,12,17,0,0,0
EL_060301,Μύκης,11805,8895,1433,0,2466,691,324,95,77,40,75,68,60,33,75,71,24,91,83,66,46,54,39,43,0,0,0
EL_060101,Ξάνθης,41697,25016,1261,0,7422,1996,983,895,189,196,158,161,93,56,350,105,55,177,119,117,54,65,58,56,1,0,0
EL_060102,Σταυρούπολης,6597,3226,84,0,966,110,58,127,13,12,17,13,21,7,82,5,3,14,14,11,4,9,4,4,0,0,0
EL_060400,Τοπείρου,15859,10801,493,0,3428,551,196,371,72,49,63,81,64,43,149,27,18,59,56,50,51,39,28,18,0,0,0
EL_060302,Θερμών,2023,1219,326,0,209,107,21,7,11,5,3,11,6,4,9,3,2,3,10,5,2,2,2,4,0,0,0
EL_060303,Κοτύλης,2751,1976,280,0,424,162,178,22,14,8,18,24,19,14,28,13,6,21,18,15,2,11,6,8,0,0,0
EL_060304,Σατρών,1157,690,28,0,78,174,22,4,8,3,8,13,6,2,32,10,0,10,8,5,5,3,5,2,0,0,0
EL_060203,Σελέρου,5136,3107,214,0,658,251,149,25,27,21,32,12,14,12,38,19,7,28,30,9,8,6,15,16,0,0,0
EL_100201,Αριδαίας,21019,15929,372,0,5249,781,307,677,74,82,119,79,38,29,134,26,27,47,36,45,21,10,15,84,0,0,0
EL_100102,Βεγορίτιδας,7348,4119,108,0,1468,251,77,167,20,19,35,17,18,30,93,2,6,11,9,17,7,4,4,35,0,0,0
EL_100301,Γιαννιτσών,28867,19871,499,0,6177,1375,501,1279,95,124,223,100,42,19,616,58,20,58,61,37,25,16,19,44,0,0,0
EL_100101,Έδεσσας,24027,16907,442,0,6034,1164,492,1061,89,100,121,96,64,204,121,22,30,49,44,45,15,17,17,172,0,0,0
EL_100202,Εξαπλατάνου,11995,8326,181,0,2897,521,177,339,21,45,56,34,21,18,120,16,7,13,22,17,7,12,5,12,0,0,0
EL_100302,Κρύας Βρύσης,10704,6870,114,0,1714,272,103,367,18,21,42,27,21,11,130,5,10,11,11,12,7,2,2,20,0,0,0
EL_100303,Κύρρου,8607,6204,95,0,2178,230,99,306,32,21,37,18,6,38,174,3,9,12,9,12,11,3,2,7,0,0,0
EL_100304,Μεγάλου Αλεξάνδρου,8058,6321,144,0,2139,267,88,286,14,17,51,17,9,9,37,3,7,5,14,5,4,5,1,7,0,0,0
EL_100402,Μενηίδος,5631,4396,80,0,0,332,94,223,14,18,32,9,13,7,56,4,2,19,7,14,7,3,4,1,0,0,1725
EL_100305,Πέλλας,8158,6512,156,0,2034,469,167,260,21,14,59,24,12,4,193,9,7,17,13,11,5,5,4,2,0,0,0
EL_100401,Σκύδρας,17823,11379,254,0,3716,706,197,724,53,44,132,42,37,15,260,10,16,35,36,33,12,12,12,20,0,0,0
EL_110301,Αιγινίου,5637,4389,86,0,1400,440,147,197,19,13,25,8,11,7,49,2,3,17,9,9,6,3,5,3,0,0,0
EL_110202,Ανατολικού Ολύμπου,8658,6242,167,0,1722,704,282,361,35,35,40,26,23,11,35,11,9,24,12,10,10,9,7,2,0,0,0
EL_110203,Δίου,10715,8192,115,0,2990,266,120,253,27,21,18,25,9,7,26,8,15,9,15,19,10,3,4,8,0,0,0
EL_110102,Ελαφίνας,7527,5114,81,0,1852,166,78,175,18,15,31,18,7,4,32,3,3,10,15,17,4,0,0,2,0,0,0
EL_110101,Κατερίνης,46271,30023,617,0,10059,2312,959,1800,208,223,161,92,39,24,414,37,62,95,67,60,40,15,31,14,1,0,0
EL_110302,Κολινδρού,5408,3917,59,0,931,169,88,156,11,14,25,9,5,5,9,2,7,9,4,14,2,1,3,2,0,0,0
EL_110103,Κορινού,8446,5611,94,0,1701,332,107,301,27,33,38,16,13,9,127,5,8,12,12,10,8,6,1,7,0,0,0
EL_110201,Λιτοχώρου,7018,4955,112,0,1444,795,262,278,55,41,12,29,12,14,16,14,9,32,15,14,4,0,6,4,0,0,0
EL_110106,Πιερίων,3754,2647,55,0,683,154,40,93,7,14,9,7,4,7,2,6,1,6,4,7,1,1,0,3,0,0,0
EL_110304,Πύδνας,5967,4078,70,0,1456,261,102,177,21,14,24,9,6,7,105,3,6,12,16,9,2,2,1,3,0,0,0
EL_210202,Ανωγείου,1910,1023,12,0,173,15,10,16,7,5,6,5,1,2,2,4,3,2,4,3,1,3,0,0,0,0,0
EL_210102,Ζαλόγγου,6872,4548,83,0,1563,429,162,107,20,22,7,17,3,9,12,2,1,13,9,12,5,4,6,1,0,0,0
EL_210203,Θεσπρωτικού,8009,4346,53,0,1443,284,138,76,14,12,10,14,1,15,11,4,7,15,9,3,3,1,4,3,0,0,0
EL_210103,Λούρου,7052,4368,77,0,1632,557,150,68,13,12,12,14,7,23,5,7,6,26,14,8,2,7,5,2,0,0,0
EL_210302,Πάργας,4132,2644,75,0,0,108,103,41,17,12,11,18,2,14,6,2,1,4,4,4,2,2,0,0,8,0,1085
EL_210101,Πρεβέζης,15145,9813,320,0,3404,1235,589,214,92,51,34,90,15,49,40,18,12,43,20,14,9,9,9,6,3,0,0
EL_210301,Φαναρίου,12118,6362,69,0,2299,411,116,64,18,14,10,20,8,15,9,7,3,18,18,12,7,4,6,3,1,0,0
EL_210201,Φιλιππιάδος,9407,5975,109,0,1682,395,187,121,26,33,24,27,4,17,11,9,5,22,15,11,8,6,5,3,1,0,0
EL_210204,Κρανέας,1411,866,14,0,302,142,17,10,7,2,1,33,2,0,1,1,0,5,1,0,1,0,1,0,0,0,0
EL_730400,Ανωγείων,2746,1821,17,0,715,181,69,1,5,5,1,0,1,3,0,1,0,4,1,0,0,1,1,1,0,0,0
EL_730102,Αρκαδίου,4913,3379,61,0,0,160,107,37,12,7,7,5,2,4,2,2,1,3,30,4,2,1,1,0,0,0,1258
EL_730501,Γεροποτάμου,7754,5352,105,0,0,147,112,59,6,7,11,12,2,3,10,4,0,2,79,6,1,2,1,0,0,0,2379
EL_730503,Κουλούκωνα,6650,4052,51,0,1746,43,42,31,10,6,7,8,2,5,4,3,2,3,10,2,1,2,0,0,0,0,0
EL_730302,Κουρητών,3107,2033,30,0,928,56,26,13,3,4,3,3,0,0,2,0,3,2,3,1,1,0,3,0,0,0,0
EL_730201,Λάμπης,6460,4158,67,0,0,271,143,58,10,12,17,15,3,2,10,4,3,10,15,5,1,3,0,1,2,0,1721
EL_730103,Λαππαίων,3211,1804,23,0,647,126,79,41,8,9,6,12,0,4,10,3,1,5,9,4,2,0,0,1,0,0,0
EL_730104,Νικηφόρου Φωκά,5216,3352,69,0,0,173,111,74,30,9,10,13,4,1,13,4,3,6,5,7,2,6,2,2,0,0,1394
EL_730101,Ρεθύμνης,21947,13583,333,0,0,709,770,349,114,90,75,46,21,10,33,27,8,26,59,13,11,6,6,10,0,0,5418
EL_730301,Σιβρίτου,3769,2494,33,0,0,72,84,35,4,8,5,4,3,1,4,11,1,6,8,3,3,1,1,0,0,0,1084
EL_730202,Φοίνικα,3457,2396,42,0,0,145,114,36,4,8,5,4,2,2,14,3,1,6,4,2,1,0,1,3,0,0,906
