gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Venstre,Høyre,Fremskrittspartiet,AML,Demokratene i Norge,Kristent Samlingsparti,Kystpartiet,Miljøpartiet De Grønne,Pensjonistpartiet,ES,Det Liberale Folkepartiet,Norges Kommunistiske Parti,NRA,SAMT,Samfunnspartiet,VIGRID,NPAT,SALL,TPF
NO_0402,Kongsvinger,13378,9603,0,0,4289,628,61,407,206,199,1031,2340,0,7,0,7,24,397,0,7,0,0,0,0,0,0,0,0
NO_0403,Hamar,21916,17136,0,0,8331,1598,138,770,479,525,2433,2418,0,17,0,23,72,322,0,10,0,0,0,0,0,0,0,0
NO_0412,Ringsaker,24535,17397,0,0,8848,937,66,1776,426,516,1817,2696,0,6,0,20,56,224,0,9,0,0,0,0,0,0,0,0
NO_0415,Løten,5646,4122,0,0,2130,241,15,451,87,68,330,716,0,1,0,2,7,71,0,3,0,0,0,0,0,0,0,0
NO_0417,Stange,14516,11196,0,0,5591,706,56,1152,421,302,996,1741,0,2,0,2,40,179,0,8,0,0,0,0,0,0,0,0
NO_0418,Nord-Odal,4039,2998,0,0,1631,179,16,222,71,34,171,628,0,1,0,1,4,40,0,0,0,0,0,0,0,0,0,0
NO_0419,Sør-Odal,6075,4531,0,0,2030,246,29,402,64,67,420,1132,0,6,0,6,10,119,0,0,0,0,0,0,0,0,0,0
NO_0420,Eidskog,4988,3441,0,0,1547,200,17,265,101,56,365,789,0,13,0,0,14,73,0,1,0,0,0,0,0,0,0,0
NO_0423,Grue,4052,2810,0,0,1306,151,8,366,49,67,251,552,0,1,0,2,5,52,0,0,0,0,0,0,0,0,0,0
NO_0425,Åsnes,6092,4227,0,0,1908,222,33,461,111,59,349,953,0,5,0,1,19,104,0,2,0,0,0,0,0,0,0,0
NO_0426,Våler (Hedm.),3127,2248,0,0,1041,106,5,198,46,36,163,548,0,0,0,0,7,96,0,2,0,0,0,0,0,0,0,0
NO_0427,Elverum,15022,10973,0,0,5050,611,75,728,192,295,1380,2395,0,4,0,9,34,195,0,5,0,0,0,0,0,0,0,0
NO_0428,Trysil,5229,3706,0,0,1614,223,18,413,120,102,417,725,0,3,0,4,12,54,0,1,0,0,0,0,0,0,0,0
NO_0429,Åmot,3279,2328,0,0,1032,175,17,287,22,45,224,457,0,1,0,3,12,46,0,7,0,0,0,0,0,0,0,0
NO_0430,Stor-Elvdal,2104,1583,0,0,742,103,11,249,17,30,123,273,0,1,0,0,3,31,0,0,0,0,0,0,0,0,0,0
NO_0432,Rendalen,1614,1283,0,0,613,79,9,318,19,20,68,133,0,1,0,1,0,20,0,2,0,0,0,0,0,0,0,0
NO_0434,Engerdal,1079,829,0,0,331,40,1,206,6,26,60,140,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0
NO_0436,Tolga,1242,994,0,0,289,114,11,412,7,37,43,70,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0
NO_0437,Tynset,4055,3059,0,0,1105,302,19,861,84,96,208,320,0,3,0,2,11,48,0,0,0,0,0,0,0,0,0,0
NO_0438,Alvdal,1832,1304,0,0,499,62,4,414,77,47,76,116,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0
NO_0439,Folldal,1307,1048,0,0,490,56,13,315,14,14,31,99,0,0,0,0,1,14,0,1,0,0,0,0,0,0,0,0
NO_0441,Os (Hedm.),1522,1150,0,0,438,99,8,423,33,9,38,85,0,2,0,2,7,6,0,0,0,0,0,0,0,0,0,0
NO_0501,Lillehammer,19821,15094,0,0,6615,1406,155,920,467,636,2298,2404,0,3,25,8,65,92,0,0,0,0,0,0,0,0,0,0
NO_0502,Gjøvik,21813,16197,0,0,7962,763,118,999,675,546,2102,2609,0,9,45,6,72,291,0,0,0,0,0,0,0,0,0,0
NO_0511,Dovre,2177,1542,0,0,673,58,6,389,43,23,132,197,0,5,2,1,8,5,0,0,0,0,0,0,0,0,0,0
NO_0512,Lesja,1657,1232,0,0,403,39,4,460,39,31,108,137,0,2,4,1,0,4,0,0,0,0,0,0,0,0,0,0
NO_0513,Skjåk,1791,1291,0,0,516,66,12,399,13,20,67,178,0,0,3,4,2,11,0,0,0,0,0,0,0,0,0,0
NO_0514,Lom,1885,1287,0,0,535,69,4,394,30,26,71,144,0,1,2,1,7,3,0,0,0,0,0,0,0,0,0,0
NO_0515,Vågå,2888,2116,0,0,1162,136,10,361,21,22,123,265,0,1,3,3,2,7,0,0,0,0,0,0,0,0,0,0
NO_0516,Nord-Fron,4521,3227,0,0,1597,119,11,528,67,64,283,533,0,0,6,1,9,9,0,0,0,0,0,0,0,0,0,0
NO_0517,Sel,4679,3288,0,0,1762,197,17,419,57,46,288,456,0,3,14,3,11,15,0,0,0,0,0,0,0,0,0,0
NO_0519,Sør-Fron,2481,1782,0,0,876,60,4,393,30,42,111,258,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0
NO_0520,Ringebu,3427,2403,0,0,1103,91,10,509,60,55,212,340,0,1,3,1,5,13,0,0,0,0,0,0,0,0,0,0
NO_0521,Øyer,3672,2656,0,0,1194,157,8,444,101,66,296,370,0,1,6,1,4,8,0,0,0,0,0,0,0,0,0,0
NO_0522,Gausdal,4740,3346,0,0,1602,144,14,708,81,79,212,467,0,2,3,5,17,12,0,0,0,0,0,0,0,0,0,0
NO_0528,Østre Toten,11148,8300,0,0,3866,296,34,1175,299,255,819,1370,0,4,7,2,24,149,0,0,0,0,0,0,0,0,0,0
NO_0529,Vestre Toten,9842,7257,0,0,3713,278,47,621,238,156,701,1398,0,0,9,2,26,68,0,0,0,0,0,0,0,0,0,0
