gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,SV - Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Miljøpartiet De Grønne,Venstre,Høyre,Fremskrittspartiet,Alliansen - Alternativ for Norge,Demokratene,Folkeaksjonen Nei til mer bompenger,Helsepartiet,Industri- og Næringspartiet,Partiet De Kristne,Kystpartiet,Liberalistene,Norges Kommunistiske Parti,Piratpartiet,Pensjonistpartiet,Partiet Sentrum,Feministisk Initiativ,Generasjonspartiet,Redd Naturen,Pasientfokus
NO_1820,Alstahaug,5580,4025,5,19,1048,245,299,1261,32,66,55,385,449,6,61,0,10,30,4,0,4,0,1,22,4,0,0,0,0
NO_1822,Leirfjord,1652,1276,0,2,333,87,78,482,14,14,4,60,170,2,16,0,0,7,3,0,1,0,1,0,0,0,0,0,0
NO_1824,Vefsn,10342,7607,13,51,2389,428,527,1643,102,139,107,602,1300,7,110,0,41,14,26,0,11,1,11,22,12,0,0,0,0
NO_1825,Grane,1102,858,0,4,287,23,42,291,7,5,6,61,104,0,15,0,0,4,1,0,0,0,0,1,3,0,0,0,0
NO_1826,Aarborte - Hattfjelldal,1009,832,1,3,257,37,33,378,7,5,3,33,50,0,12,0,2,2,2,0,0,0,0,2,2,0,0,0,0
NO_1827,Dønna,1071,832,0,3,196,59,56,321,5,10,4,70,82,1,8,0,1,2,4,0,1,2,1,2,1,0,0,0,0
NO_1828,Nesna,1232,989,1,4,235,86,71,361,19,17,7,69,76,1,22,0,3,5,0,0,3,0,0,3,2,0,0,0,0
NO_1832,Hemnes,3420,2641,4,15,790,168,195,738,32,43,38,321,214,3,29,0,5,13,4,0,1,1,5,4,3,0,0,0,0
NO_1833,Rana,20209,14900,22,100,5842,1005,900,2020,176,292,354,2732,906,17,174,0,17,97,20,0,14,0,18,78,16,0,0,0,0
NO_1834,Lurøy,1420,1103,0,9,267,49,59,314,23,15,14,159,153,0,13,0,0,4,5,0,3,0,1,5,1,0,0,0,0
NO_1835,Træna,291,227,3,1,45,11,8,92,9,3,1,14,34,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
NO_1836,Rødøy,912,715,0,3,138,26,32,278,37,9,8,67,84,2,12,0,1,3,7,0,1,0,1,0,3,0,0,0,0
NO_1837,Meløy,4740,3462,1,33,874,170,101,760,173,40,65,508,525,1,74,0,13,41,16,0,6,3,3,21,1,0,0,0,0
NO_1838,Gildeskål,1469,1149,5,6,283,51,64,257,39,27,16,187,152,0,17,0,4,3,13,0,1,0,2,14,2,0,0,0,0
NO_1839,Beiarn,825,650,3,3,170,19,18,263,4,7,5,53,78,1,8,0,1,1,1,0,2,0,2,6,2,0,0,0,0
NO_1840,Saltdal,3559,2728,6,22,772,135,111,791,48,29,37,288,386,2,17,0,3,19,8,0,4,0,2,19,7,0,0,0,0
NO_1841,Fauske - Fuossko,7511,5570,3,34,1770,348,252,902,105,93,100,881,824,1,76,0,11,43,13,0,6,3,8,56,7,0,0,0,0
NO_1845,Sørfold,1451,1144,1,9,373,52,56,328,17,8,11,109,136,2,8,0,2,13,1,0,1,0,2,3,3,0,0,0,0
NO_1848,Steigen,1948,1484,0,8,326,144,73,481,34,33,34,138,159,1,22,0,2,3,10,0,1,0,1,5,1,0,0,0,0
NO_1851,Lødingen,1551,1201,0,5,314,80,39,287,8,16,17,157,238,3,12,0,4,1,1,0,1,0,3,5,5,0,0,0,0
NO_1853,Evenes - Evenášši,1031,831,1,3,236,44,39,173,31,13,13,126,116,0,18,0,5,7,1,0,1,0,0,1,0,0,0,0,0
NO_1856,Røst,389,286,0,2,86,5,15,79,1,3,10,50,26,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0
NO_1857,Værøy,471,353,1,2,81,10,7,92,27,2,3,62,48,0,11,0,1,0,2,0,0,0,0,1,1,0,0,0,0
NO_1859,Flakstad,977,677,1,3,156,58,35,198,14,25,16,64,81,0,9,0,2,3,3,0,3,0,0,3,0,0,0,0,0
NO_1860,Vestvågøy,8476,6085,23,43,1371,475,209,1322,303,162,117,938,811,3,147,0,23,23,38,0,5,1,5,17,6,0,0,0,0
NO_1865,Vågan,6922,4906,2,32,1280,447,339,788,41,182,207,867,532,7,89,0,11,8,8,0,9,0,4,17,4,0,0,0,0
NO_1866,Hadsel,6132,4488,2,30,1170,331,304,1118,56,106,101,556,527,4,66,0,8,25,3,0,7,3,3,18,20,0,0,0,0
NO_1867,Bø (Nordland),2054,1538,0,9,294,109,44,446,30,14,30,276,236,0,23,0,2,4,6,0,0,0,2,1,3,0,0,0,0
NO_1868,Øksnes,3239,2296,5,25,545,140,93,574,76,22,41,270,359,2,60,0,4,12,8,0,1,1,4,14,15,0,0,0,0
NO_1870,Sortland - Suortá,7877,5658,7,44,1246,456,272,1379,88,143,114,909,756,3,86,0,17,29,14,0,2,4,11,19,15,0,0,0,0
NO_1871,Andøy,3559,2803,5,18,425,217,113,1495,40,69,43,119,174,3,27,0,4,4,4,0,2,1,2,13,7,0,0,0,0
NO_1874,Moskenes,715,478,0,3,103,44,20,126,10,10,5,65,70,0,9,0,3,1,2,0,0,0,0,3,1,0,0,0,0
NO_1875,Hábmer - Hamarøy,2080,1558,4,9,375,120,91,401,41,40,51,195,182,0,20,0,2,2,4,0,1,0,0,7,4,0,0,0,0
NO_3001,Halden,23818,17276,47,154,5299,1002,925,2446,623,598,458,2843,1915,17,252,17,29,21,108,0,40,0,17,292,19,0,0,0,0
NO_3002,Moss,36686,27842,15,241,8326,2166,1471,2321,525,1040,1201,6329,3017,32,329,38,69,38,63,0,46,0,23,249,62,0,0,0,0
NO_3003,Sarpsborg,42422,30151,31,300,10451,1558,1170,3679,1032,642,600,4840,4184,28,486,72,59,34,178,0,61,0,31,357,58,0,0,0,0
NO_3004,Fredrikstad,62299,45722,56,399,14892,3175,2362,4035,1403,1598,1449,8374,5728,52,522,100,104,67,146,0,67,0,50,673,71,0,0,0,0
NO_3005,Drammen,71680,52457,57,413,15523,3357,2086,4343,1346,1765,2273,12703,6420,47,694,63,177,93,134,0,84,0,40,199,227,0,0,0,0
NO_3006,Kongsberg,20178,15653,32,112,4487,966,486,2702,252,559,701,3052,1677,12,244,10,41,35,42,0,35,0,15,56,25,0,0,0,0
NO_3007,Ringerike,22818,17258,24,131,5068,1004,705,2930,303,452,483,3366,2077,21,237,13,48,30,38,0,52,0,18,82,45,0,0,0,0
NO_3011,Hvaler,3857,3086,4,12,862,183,158,356,60,96,85,705,446,2,42,3,8,7,11,0,1,0,3,28,2,0,0,0,0
NO_3012,Aremark,1065,879,0,4,159,24,26,396,63,8,12,88,73,0,8,0,3,0,5,0,1,0,0,4,1,0,0,0,0
NO_3013,Marker,2857,2236,12,21,623,61,56,717,133,26,48,261,191,0,26,0,4,1,11,0,6,0,1,14,3,0,0,0,0
NO_3014,Indre Østfold,32689,23782,28,213,5731,1164,831,5004,840,510,650,4454,3132,18,453,36,84,31,91,0,26,0,22,171,80,0,0,0,0
NO_3015,Skiptvet,2787,2109,0,12,469,78,70,638,92,34,36,269,295,3,60,3,2,5,10,0,1,0,2,13,5,0,0,0,0
NO_3016,Rakkestad,6108,4563,2,36,945,119,114,1677,257,66,45,554,540,10,61,5,12,10,35,0,6,0,0,13,20,0,0,0,0
NO_3017,Råde,5481,4309,12,36,962,167,126,834,277,94,99,936,566,6,45,6,9,9,24,0,4,0,4,45,12,0,0,0,0
NO_3018,Våler (Viken),3935,3050,0,23,626,143,109,746,109,70,88,558,440,4,64,5,10,7,6,0,4,0,2,10,3,0,0,0,0
NO_3019,Vestby,12815,9981,16,59,2678,716,454,955,179,507,553,2417,1068,12,141,11,22,14,28,0,14,0,9,57,11,0,1,0,0
NO_3020,Nordre Follo,42212,34600,92,202,8823,2662,1329,1961,844,1828,2586,9765,3210,34,285,48,116,46,42,0,62,0,29,297,127,0,10,0,0
NO_3021,Ås,13559,10983,17,83,2638,1107,654,1156,314,842,679,2078,1015,9,114,11,25,15,24,0,22,0,14,39,37,0,7,0,0
NO_3022,Frogn,11824,9829,30,54,2126,650,345,642,125,533,693,3262,1048,7,107,10,19,4,21,0,10,0,13,50,24,0,2,0,0
NO_3023,Nesodden,13800,11674,9,47,2605,1507,1132,550,224,1306,758,2311,870,12,123,7,31,24,21,0,17,0,11,34,27,0,1,0,0
NO_3024,Bærum,86677,73105,113,302,14151,4236,2042,2156,1209,4244,8511,29154,5079,47,512,61,138,41,100,0,109,0,66,367,161,0,4,0,0
NO_3025,Asker,65014,53338,7,236,11658,3541,1810,3044,1106,2966,4907,17547,4869,19,519,46,104,84,92,0,91,0,38,255,154,0,9,0,0
NO_3026,Aurskog-Høland,12689,9742,7,64,2969,326,304,2517,318,163,145,1229,1232,6,209,14,27,17,39,0,12,0,8,50,18,0,4,0,0
NO_3027,Rælingen,12742,9769,9,69,3268,670,345,759,206,280,442,2130,1160,8,112,30,55,9,22,0,16,0,9,78,21,0,2,0,0
NO_3028,Enebakk,7590,5874,24,62,1462,326,205,917,163,118,177,1181,941,3,97,18,23,16,11,0,9,0,10,32,15,0,2,0,0
NO_3029,Lørenskog,29866,22859,48,188,7067,1760,959,1380,411,862,1168,5475,2522,14,234,85,80,20,47,0,45,0,19,188,89,0,10,0,0
NO_3030,Lillestrøm,60313,45939,56,321,14124,3117,1838,4705,932,1476,1979,10233,5231,59,485,123,190,83,94,0,79,0,32,325,95,0,41,0,0
NO_3031,Nittedal,16945,13551,16,96,3802,1061,533,1238,243,620,779,3219,1453,13,132,42,44,22,18,0,16,0,13,62,32,0,1,0,0
NO_3032,Gjerdrum,4803,3887,11,18,1071,184,93,570,126,126,180,925,448,1,54,7,15,3,9,0,2,0,2,16,7,0,1,0,0
NO_3033,Ullensaker,26708,19660,83,188,5571,1103,747,2222,270,473,699,4235,3172,20,249,40,78,24,37,0,58,0,21,129,49,0,4,0,0
NO_3034,Nes,16728,12857,14,109,3754,694,565,2764,225,328,345,1694,1774,4,225,24,60,18,24,0,26,0,14,66,20,0,1,0,0
NO_3035,Eidsvoll,18491,13808,33,157,3853,869,680,2319,290,389,362,2283,1786,21,184,18,78,31,42,0,23,0,17,160,47,0,9,0,0
NO_3036,Nannestad,9660,7223,9,71,2036,362,235,1267,191,155,237,1207,1061,12,133,20,28,11,21,0,19,0,12,49,14,0,2,0,0
NO_3037,Hurdal,2126,1611,6,7,365,69,68,442,84,69,35,200,189,0,33,5,9,1,6,0,1,0,0,13,2,0,0,0,0
NO_3038,Hole,4711,3836,7,19,846,199,127,490,109,135,177,1199,379,5,73,1,8,4,5,0,6,0,2,11,15,0,0,0,0
NO_3039,Flå,777,595,0,2,131,13,11,228,7,9,12,105,61,0,7,0,2,2,0,0,2,0,0,1,0,0,0,0,0
NO_3040,Nesbyen,2491,1903,0,8,509,65,55,678,50,31,26,284,150,2,18,2,3,2,2,0,2,0,2,5,1,0,0,0,0
NO_3041,Gol,3355,2483,2,10,626,121,47,709,42,48,51,494,274,1,26,0,4,4,6,0,2,0,0,5,1,0,0,0,0
NO_3042,Hemsedal,1564,1309,0,5,231,56,45,364,86,48,41,266,117,0,16,3,1,3,4,0,2,0,0,3,13,0,0,0,0
