gisco_id,name,registered,turnout,invalid,blank,KPL - d'KOMMUNISTEN,déi gréng,ADR - Alternativ Demokratesch Reformpartei,LSAP - D'SOZIALISTEN,DP,déi Lénk,CSV - Chrëschtlech Sozial Vollekspartei,BIERGERLESCHT
LU_0314,Schifflange,4360,3948,315,419,56,277,288,1010,229,143,1139,67
LU_0406,Schuttrange,1395,1317,75,100,7,155,87,247,197,33,412,0
LU_0210,Septfontaines,395,363,21,57,4,53,22,49,20,11,118,4
LU_1307,Stadtbredimus,811,783,40,42,6,101,96,85,101,12,297,0
LU_0211,Steinfort,2119,1973,106,236,14,183,92,516,184,68,554,16
LU_0407,Steinsel,2261,2086,114,203,9,179,113,521,300,51,592,0
LU_0408,Strassen,2650,2359,117,198,14,241,93,312,492,61,827,0
LU_1001,Tandel,992,943,35,59,6,88,66,103,126,16,432,7
LU_0609,Troisvierges,1301,1212,82,98,12,95,94,178,194,18,427,9
LU_0511,Tuntange,636,631,29,81,4,112,36,75,66,18,205,0
LU_0811,Useldange,911,875,41,78,7,120,74,159,124,13,252,3
LU_1003,Vianden,731,618,41,39,3,55,43,133,68,7,224,1
LU_0812,Vichten,598,577,41,36,5,61,76,70,104,12,164,3
LU_0813,Wahl,538,508,36,29,5,46,69,41,92,11,173,3
LU_1108,Waldbillig,709,665,50,26,5,117,75,78,68,14,227,0
LU_1308,Waldbredimus,495,468,30,21,6,65,40,56,43,12,192,0
LU_0409,Walferdange,3187,2872,155,230,23,329,138,425,538,78,951,0
LU_0410,Weiler-la-Tour,966,906,30,100,8,138,68,137,127,20,273,0
LU_0610,Weiswampach,655,617,36,49,4,29,60,48,136,6,241,4
LU_1309,Wellenstein,764,714,36,34,7,71,72,83,120,14,275,0
LU_0911,Wiltz,1982,1768,166,117,22,114,96,571,181,26,464,6
LU_0601,Wincrange,2274,2126,117,130,22,103,266,333,442,19,684,7
LU_0913,Winseler,537,496,30,31,6,44,26,100,65,10,177,2
LU_1208,Wormeldange,1260,1159,55,55,8,128,77,101,282,19,430,0
