gisco_id,name,registered,turnout,invalid,blank,NSi,SMS,SLS,NS,SD,ZS,DeSUS,SDS,Zares,NLZPB,LDS,SNS
SI_6008,Laško,15655,4288,189,0,710,96,114,15,902,34,344,1012,272,19,426,155
SI_6009,Hrastnik,8735,2392,130,0,132,33,46,6,538,17,273,311,259,10,561,76
SI_6010,Trbovlje,15044,4341,192,0,292,59,53,17,870,31,364,723,416,20,1096,208
SI_6011,Zagorje,14365,6825,853,0,830,193,173,18,912,52,418,921,776,43,1423,213
SI_7001,Šmarje pri Jelšah,27584,5820,213,0,921,131,359,23,620,32,517,1884,397,27,525,171
SI_7002,Slovenska Bistrica,29581,7717,211,0,594,98,2148,11,992,29,599,1852,481,14,501,187
SI_7003,Slovenske Konjice,19040,4966,194,0,740,91,342,10,576,35,348,1535,468,29,446,152
SI_7004,Ruše,13289,3081,127,0,324,62,92,4,484,21,353,775,229,7,487,116
SI_7005,Maribor I,18480,4757,160,0,450,102,209,8,856,36,412,1291,568,10,502,153
SI_7006,Maribor II,20893,5755,296,0,527,138,226,12,777,31,575,1602,524,17,730,300
SI_7007,Maribor III,19058,4283,176,0,370,74,535,9,527,28,351,1327,330,8,387,161
SI_7008,Maribor IV,15695,4299,131,0,438,90,69,6,979,52,339,963,665,13,451,103
SI_7009,Maribor V,17660,4155,204,0,356,91,86,6,850,22,494,964,491,11,417,163
SI_7010,Maribor VI,17723,4520,156,0,306,99,95,12,993,30,471,1117,562,22,513,144
SI_7011,Maribor VII,16408,3732,154,0,260,74,73,15,764,16,485,898,464,12,397,120
SI_8001,Lendava,22423,4479,197,0,899,194,253,25,494,29,265,1235,263,17,545,63
SI_8002,Ormož,14926,4063,159,0,822,98,171,4,437,27,407,1086,375,13,354,110
SI_8003,Ljutomer,15730,4696,215,0,532,135,339,14,617,40,679,1064,291,14,645,111
SI_8004,Murska Sobota I,26079,6809,207,0,730,125,589,37,1257,32,448,1758,439,21,952,214
SI_8005,Murska Sobota II,25742,6767,252,0,950,84,363,16,1695,25,327,1681,429,10,766,169
SI_8006,Gornja Radgona,18294,4271,168,0,698,215,203,17,672,40,351,1066,294,8,434,105
SI_8007,Lenart,15367,3445,162,0,482,291,241,14,309,8,228,1172,171,8,307,52
SI_8008,Pesnica,16767,4025,169,0,417,372,102,10,439,26,364,1470,284,11,289,72
SI_8009,Ptuj I,21002,5245,164,0,713,112,410,6,396,47,258,2415,218,9,391,106
SI_8010,Ptuj II,18116,4638,175,0,439,83,93,3,782,102,326,1526,439,15,548,107
SI_8011,Ptuj III,20344,4621,187,0,741,111,449,13,366,44,345,1605,199,14,415,132
SI_9999,Votes outside of a municipality,0,3532,32,0,1390,86,55,16,477,86,97,669,285,5,297,37
