gisco_id,name,registered,turnout,invalid,blank,GS,SDS,VESNA,DeSUS-DD,SLS,NSi,Levica,ZS,SD,Resni.ca,NOT
SI_5003,Celje II,21305,8352,465,0,1975,2191,916,224,414,324,452,126,773,331,161
SI_5004,Žalec I,18123,7601,366,0,1536,2641,654,157,421,521,237,106,573,274,115
SI_5005,Žalec II,18748,8455,329,0,1754,2626,820,167,541,812,226,93,609,356,122
SI_5006,Mozirje,13622,5864,227,0,881,2246,734,95,530,477,99,45,242,226,62
SI_5007,Velenje I,16053,6143,240,0,1228,1842,532,202,234,347,250,64,886,241,77
SI_5008,Velenje II,17242,6960,289,0,1182,2696,557,163,319,447,191,62,700,267,87
SI_5009,Slovenj Gradec,17964,7341,352,0,1766,2115,614,180,349,531,286,84,719,243,102
SI_5010,Ravne na Koroškem,20595,8315,340,0,1970,2568,600,161,297,838,257,89,868,226,101
SI_5011,Dravograd- Radlje,20409,7575,381,0,1772,2650,514,144,327,619,197,74,541,258,98
SI_6001,Črnomelj- Metlika,22689,8372,421,0,1580,2440,858,186,607,662,286,109,797,255,171
SI_6002,Novo mesto I,24395,9584,394,0,1391,3795,800,156,875,904,223,109,505,325,107
SI_6003,Novo mesto II,25795,10755,487,0,2317,2992,1363,263,681,893,480,116,635,361,167
SI_6004,Trebnje,17025,7168,335,0,1232,2576,600,116,781,575,167,72,399,220,95
SI_6005,Brežice,21172,7201,330,0,1726,2051,514,90,871,360,348,76,426,290,119
SI_6006,Krško,23170,9054,370,0,1793,2430,647,139,2117,426,242,65,439,288,98
SI_6007,Sevnica,17021,6776,292,0,1315,2507,497,107,849,382,118,48,366,220,75
SI_6008,Laško,14613,5774,276,0,1022,1713,443,89,391,361,152,45,979,237,66
SI_4004,Litija,17172,7645,334,0,1589,2316,645,107,788,421,252,442,347,289,115
SI_6010,Trbovlje,20831,8096,528,0,2434,1586,829,160,281,303,400,118,994,339,124
SI_6011,Zagorje,13579,5732,252,0,1468,1293,761,97,459,344,223,106,482,183,64
SI_7001,Šmarje pri Jelšah,27754,9048,420,0,1470,3314,565,159,750,1093,229,76,566,293,113
SI_7002,Slovenska Bistrica,25214,10143,460,0,1896,3958,650,207,677,777,254,100,643,398,123
SI_7003,Slovenske Konjice,18999,8028,353,0,1329,3522,478,133,468,529,180,79,627,233,97
SI_7004,Ruše,12532,4512,189,0,1125,1374,373,84,173,337,184,78,345,192,58
SI_7005,Maribor I,23522,9307,383,0,2242,2759,831,178,530,641,405,170,686,362,120
SI_7006,Maribor II,21076,8071,390,0,1850,2577,639,137,326,563,299,114,653,387,136
SI_7007,Maribor III,17307,6369,257,0,1266,2562,448,81,268,454,231,78,358,284,82
SI_7008,Maribor IV,13934,5439,191,0,1363,1201,651,134,217,357,409,135,476,206,99
SI_7009,Maribor V,16883,5880,283,0,1510,1537,536,108,228,381,334,131,492,238,102
SI_7010,Maribor VI,15841,6466,287,0,1788,1681,594,149,183,387,333,110,597,268,89
SI_7011,Maribor VII,13608,4656,246,0,1235,1284,356,113,132,280,273,87,351,215,84
SI_8001,Lendava,21146,6635,374,0,1351,2403,353,173,252,730,174,57,480,217,71
SI_8002,Ormož,14121,5579,295,0,1038,2308,238,113,351,476,116,76,318,181,69
SI_8003,Ljutomer,15109,5301,277,0,1272,1670,287,124,314,406,179,58,454,186,74
SI_8004,Murska Sobota I,24318,9257,379,0,2238,2790,373,217,382,624,252,58,1540,311,93
SI_8005,Murska Sobota II,24845,9781,451,0,2629,2684,491,185,406,677,376,70,1488,251,73
SI_8006,Gornja Radgona,17768,6278,286,0,1285,1904,337,171,354,712,246,67,559,282,75
SI_8007,Lenart,16488,6334,222,0,855,2559,321,61,309,1234,144,78,290,214,47
SI_8008,Pesnica,18016,6344,244,0,1401,2517,365,81,209,547,180,78,384,278,60
SI_8009,Ptuj I,21296,8251,366,0,1185,3382,468,97,844,704,170,279,380,298,78
SI_8010,Ptuj II,17014,6477,287,0,1322,2162,578,134,341,415,288,114,515,223,98
SI_8011,Ptuj III,19556,6740,303,0,1161,2673,378,89,680,581,115,65,363,253,79
