gisco_id,name,registered,turnout,invalid,blank,DeSUS,DL,NPS,ZL,LGS,NSi,PIRATI,PS,SD,SDS,SNS,SLS,SMC,SHS,Verjamem,SAB,ZS
SI_7003,Slovenske Konjice,19215,9890,168,0,1001,39,17,415,9,603,87,135,541,2383,348,625,3105,0,66,308,40
SI_7004,Ruše,13209,6511,66,0,958,38,20,439,5,143,60,82,523,1151,183,141,2298,0,138,229,37
SI_7005,Maribor I,18698,9723,107,0,1174,42,22,512,27,300,146,120,590,1732,323,335,3764,0,99,382,48
SI_7006,Maribor II,21098,10589,139,0,1334,33,17,530,14,337,146,191,546,2126,374,292,3943,0,87,419,61
SI_7007,Maribor III,19073,9184,145,0,1061,29,26,482,8,292,141,134,361,1971,348,682,3087,0,50,300,67
SI_7008,Maribor IV,15022,7349,65,0,839,20,8,560,7,213,139,180,445,1142,176,66,2983,0,76,387,43
SI_7009,Maribor V,17353,8097,117,0,1157,35,18,544,7,234,137,203,414,1260,255,93,3118,0,69,384,52
SI_7010,Maribor VI,17264,9066,98,0,1170,33,19,592,13,190,113,196,563,1433,292,115,3672,0,106,402,59
SI_7011,Maribor VII,15822,7250,107,0,1245,26,18,496,6,161,0,183,366,1088,257,65,2778,0,84,313,57
SI_8001,Lendava,22190,8524,119,0,1010,93,0,350,9,1084,81,109,464,1680,175,257,2612,0,111,317,53
SI_8002,Ormož,14985,6928,99,0,925,19,17,222,9,646,64,201,416,1353,383,448,1818,0,43,238,27
SI_8003,Ljutomer,15775,7793,98,0,1539,41,11,339,14,311,65,93,571,1239,171,373,2458,0,48,385,37
SI_8004,Murska Sobota I,25872,11886,91,0,1230,60,28,344,23,457,118,198,1374,1876,598,1361,3385,0,84,611,48
SI_8005,Murska Sobota II,25637,13358,111,0,1237,49,30,647,31,663,188,206,2247,2317,345,572,4033,0,96,550,36
SI_8006,Gornja Radgona,18373,8462,88,0,1104,53,0,388,1,474,102,133,829,1430,221,441,2641,8,228,283,38
SI_8007,Lenart,15992,7225,95,0,647,90,0,341,4,394,68,81,446,2099,233,478,1968,8,54,190,29
SI_8008,Pesnica,16877,7811,101,0,998,24,20,335,5,295,86,66,397,2184,260,244,2438,11,74,234,39
SI_8009,Ptuj I,21379,10082,102,0,804,35,22,456,6,653,95,92,384,2496,745,1057,2659,15,44,382,35
SI_8010,Ptuj II,17753,8885,88,0,767,33,18,507,12,261,95,133,682,2044,274,258,3065,29,74,426,119
SI_8011,Ptuj III,20360,8638,138,0,921,41,28,353,7,377,0,121,472,2221,341,962,2237,14,52,300,53
