gisco_id,name,registered,turnout,invalid,blank,FKGP,Centrum,MP,MSZP,SZDSZ,MIÉP,FIDESZ-MDF,RK,ÚB,MAVEP,MRP,SZDP
HU_2300,Kisszõlõs,103,64,0,0,0,3,0,14,2,1,44,0,0,0,0,0
HU_3018,Kolontár,632,421,7,0,5,7,9,121,28,14,230,0,0,0,0,0
HU_2585,Köveskál,374,291,11,0,4,9,6,93,13,12,143,0,0,0,0,0
HU_2345,Kõvágóörs,741,504,7,0,2,22,8,177,7,24,257,0,0,0,0,0
HU_2654,Kup,389,275,1,0,0,8,5,83,5,9,163,0,1,0,0,0
HU_1614,Külsõvat,692,454,15,0,6,8,11,152,23,8,228,0,3,0,0,0
HU_0406,Küngös,437,334,1,0,5,5,14,177,8,4,120,0,0,0,0,0
HU_1757,Lesencefalu,259,170,7,0,4,1,3,28,3,4,119,0,1,0,0,0
HU_2196,Lesenceistvánd,734,488,3,0,1,6,8,113,10,12,335,0,0,0,0,0
HU_1787,Lesencetomaj,759,457,10,0,1,12,12,111,16,12,283,0,0,0,0,0
HU_0455,Litér,1598,1065,10,0,1,53,19,461,57,17,446,0,1,0,0,0
HU_0556,Lovas,314,256,3,0,9,4,0,72,10,15,143,0,0,0,0,0
HU_0508,Lovászpatona,1064,711,11,0,10,21,7,176,13,21,451,0,1,0,0,0
HU_1885,Lókút,403,238,7,0,2,6,3,76,11,3,130,0,0,0,0,0
HU_2637,Magyargencs,543,346,1,0,4,6,10,130,8,10,173,0,4,0,0,0
HU_2043,Magyarpolány,998,728,15,0,11,15,5,266,59,13,344,0,0,0,0,0
HU_0361,Malomsok,503,355,4,0,11,6,2,62,5,14,250,0,1,0,0,0
HU_2929,Marcalgergelyi,361,246,2,0,0,0,25,92,6,3,118,0,0,0,0,0
HU_2222,Marcaltõ,717,519,6,0,7,14,6,231,7,10,237,0,1,0,0,0
HU_3221,Márkó,909,729,6,0,1,41,8,239,42,14,378,0,0,0,0,0
HU_0498,Megyer,38,25,1,0,0,1,5,12,0,0,6,0,0,0,0,0
HU_2713,Mencshely,219,168,3,0,0,9,3,53,5,7,88,0,0,0,0,0
HU_2356,Mezõlak,871,635,8,0,11,6,13,142,7,20,427,0,1,0,0,0
HU_0466,Mihályháza,680,455,7,0,5,4,9,116,4,10,300,0,0,0,0,0
HU_0453,Mindszentkálla,249,183,1,0,3,6,6,37,3,5,122,0,0,0,0,0
HU_2404,Monostorapáti,905,600,4,0,8,22,16,167,14,49,320,0,0,0,0,0
HU_2251,Monoszló,120,90,1,0,0,5,1,34,6,1,42,0,0,0,0,0
HU_2355,Nagyacsád,555,396,4,0,4,10,9,209,8,4,147,0,1,0,0,0
HU_2797,Nagyalásony,407,301,2,0,0,2,5,52,9,27,204,0,0,0,0,0
HU_1000,Nagydém,335,243,1,0,2,7,3,92,0,6,132,0,0,0,0,0
HU_2318,Nagyesztergár,946,649,13,0,5,12,6,207,24,4,377,0,1,0,0,0
HU_0826,Nagygyimót,524,389,12,0,2,8,2,78,7,15,265,0,0,0,0,0
HU_2140,Nagypirit,286,210,3,0,17,2,0,56,1,9,122,0,0,0,0,0
HU_2520,Nagytevel,459,335,3,0,0,8,8,93,2,9,212,0,0,0,0,0
HU_1919,Nagyvázsony,1420,973,14,0,2,44,9,296,62,37,508,0,1,0,0,0
HU_0565,Nemesgörzsöny,614,393,0,0,0,6,8,146,7,16,210,0,0,0,0,0
HU_0278,Nemesgulács,856,586,8,0,6,8,38,181,13,4,327,0,1,0,0,0
HU_0555,Nemeshany,318,213,0,0,7,2,1,54,5,5,138,0,1,0,0,0
HU_2175,Nemesszalók,776,488,15,0,4,9,3,129,2,29,297,0,0,0,0,0
HU_0219,Nemesvámos,1972,1509,19,0,9,70,14,473,67,49,808,0,0,0,0,0
HU_2842,Nemesvita,309,217,2,0,1,3,6,57,7,9,132,0,0,0,0,0
HU_1040,Németbánya,78,69,3,0,0,0,1,17,1,3,44,0,0,0,0,0
HU_1475,Noszlop,882,591,6,0,9,12,14,233,19,17,280,0,1,0,0,0
HU_2652,Nóráp,188,160,0,0,1,5,5,15,1,4,129,0,0,0,0,0
HU_2900,Nyárád,733,530,7,0,1,3,4,144,8,35,328,0,0,0,0,0
HU_2400,Nyirád,1478,961,8,0,6,29,17,340,38,27,496,0,0,0,0,0
HU_2651,Olaszfalu,880,666,11,0,3,33,9,179,21,16,394,0,0,0,0,0
HU_1659,Oroszi,127,84,0,0,0,4,2,17,0,0,61,0,0,0,0,0
HU_2391,Óbudavár,49,44,0,0,0,0,2,13,5,4,20,0,0,0,0,0
HU_2811,Öcs,187,121,6,0,1,2,3,39,8,6,56,0,0,0,0,0
HU_1009,Örvényes,147,124,1,0,7,5,0,39,4,4,64,0,0,0,0,0
HU_2545,Öskü,1822,1287,13,0,6,66,39,428,69,24,642,0,0,0,0,0
HU_2406,Õsi,1684,1052,8,0,7,24,46,380,54,18,514,0,1,0,0,0
HU_1701,Paloznak,336,295,0,0,6,6,5,83,14,20,161,0,0,0,0,0
HU_0734,Papkeszi,1286,869,14,0,8,34,23,399,34,25,330,0,2,0,0,0
HU_3194,Pápa,26218,19464,137,0,81,507,351,6264,625,613,10840,0,46,0,0,0
HU_1986,Pápadereske,213,168,4,0,4,0,3,38,5,4,110,0,0,0,0,0
HU_1185,Pápakovácsi,498,345,4,0,5,11,7,60,5,10,242,0,1,0,0,0
HU_2160,Pápasalamon,318,161,4,0,3,2,6,37,2,1,105,0,1,0,0,0
HU_3125,Pápateszér,963,593,3,0,2,8,4,165,9,40,362,0,0,0,0,0
HU_2245,Pécsely,485,343,5,0,2,9,2,99,9,9,208,0,0,0,0,0
HU_1554,Pénzesgyõr,289,181,3,0,1,2,2,56,13,4,100,0,0,0,0,0
HU_3425,Pétfürdõ,4095,2940,38,0,4,113,48,1494,226,62,954,0,1,0,0,0
HU_2351,Porva,363,263,6,0,4,9,6,52,5,10,171,0,0,0,0,0
HU_1142,Pula,175,138,7,0,2,1,2,30,2,2,91,0,1,0,0,0
HU_2897,Pusztamiske,324,185,2,0,5,5,1,51,3,5,113,0,0,0,0,0
HU_0394,Raposka,191,161,3,0,8,1,1,22,6,3,117,0,0,0,0,0
HU_0562,Révfülöp,1036,823,4,0,4,93,12,296,32,33,347,0,2,0,0,0
