gisco_id,name,registered,turnout,invalid,blank,MEMO,LMP,DK-MSZP-P,2RK,MKKP,Jobbik,FIDESZ-KDNP,TISZA,MHM
HU_HUYY99,Budapest OVB székhelye,21458,18661,239,0,29,107,695,197,1877,2263,3475,9362,417
HU_HUYY99,Budapest OVB székhelye,126801,59290,282,0,84,170,488,64,685,619,53125,2610,1163
HU_13578,Budapest,1266011,809946,10137,0,2535,11089,98348,7266,51362,66264,264877,262393,35675
HU_12548,Abaliget,481,359,9,0,2,6,23,8,26,8,144,107,26
HU_06868,Adorjás,134,97,6,0,0,0,1,0,1,3,71,8,7
HU_13329,Almamellék,278,214,14,0,3,2,27,1,2,11,117,31,6
HU_20376,Almáskeresztúr,68,59,0,0,0,0,9,0,0,1,33,9,7
HU_17385,Alsómocsolád,232,128,8,0,0,0,3,0,14,2,74,19,8
HU_33279,Alsószentmárton,838,712,51,0,3,11,35,1,10,10,564,22,5
HU_27298,Apátvarasd,102,69,1,0,0,1,4,0,3,0,42,6,12
HU_06886,Aranyosgadány,280,126,5,0,1,5,5,0,5,4,61,26,14
HU_25812,Ág,137,106,5,0,0,0,4,0,3,7,51,34,2
HU_28583,Áta,147,92,5,0,1,2,3,1,5,4,44,17,10
HU_05403,Babarc,572,322,6,0,2,1,13,2,10,10,195,67,16
HU_09663,Babarcszőlős,95,81,8,0,0,0,0,0,4,1,47,15,6
HU_08299,Bakonya,284,212,11,0,0,6,26,1,8,22,84,35,19
HU_22275,Bakóca,216,141,4,0,1,1,3,0,2,4,112,12,2
HU_03975,Baksa,650,481,10,0,2,8,43,1,23,29,231,108,26
HU_20464,Baranyahídvég,142,112,5,0,3,0,3,0,0,4,86,10,1
HU_24749,Baranyajenő,347,231,8,0,0,1,24,0,3,8,147,29,11
HU_05485,Baranyaszentgyörgy,80,54,0,0,0,0,1,0,0,1,47,3,2
HU_15495,Basal,153,123,3,0,0,2,10,1,7,4,61,26,9
HU_07603,Bánfa,132,105,9,0,1,0,7,0,2,4,60,14,8
HU_24378,Bár,454,303,8,0,1,4,15,3,12,11,148,78,23
HU_19008,Belvárdgyula,315,222,5,0,0,6,10,1,10,12,137,30,11
