gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,MSZP,LMP,Jobbik,Ind.,FIDESZ-KDNP-VP
HU_0587,Szajol,3235,1438,8,0,790,349,0,291,0,0
HU_0577,Szászberek,819,336,1,0,205,52,0,78,0,0
HU_2042,Szelevény,884,321,0,0,186,65,0,70,0,0
HU_2785,Szolnok,60244,28820,167,0,15862,7682,0,5109,0,0
HU_1077,Tiszabõ,1146,594,4,0,545,10,0,35,0,0
HU_1381,Tiszaföldvár,9253,3491,27,0,2031,758,0,675,0,0
HU_3030,Tiszagyenda,875,274,3,0,122,44,0,105,0,0
HU_2044,Tiszainoka,334,174,1,0,96,44,0,33,0,0
HU_2934,Tiszajenõ,1346,673,2,0,519,64,0,88,0,0
HU_3038,Tiszakürt,1206,460,3,0,259,82,0,116,0,0
HU_0337,Tiszapüspöki,1580,615,4,0,332,85,0,194,0,0
HU_2018,Tiszaroff,1460,592,7,0,373,76,0,136,0,0
HU_2149,Tiszasas,921,347,1,0,200,90,0,56,0,0
HU_1769,Tiszasüly,1339,584,4,0,402,84,0,94,0,0
HU_0962,Tiszatenyõ,1421,457,6,0,277,67,0,107,0,0
HU_3186,Tiszavárkony,1289,567,7,0,329,89,0,142,0,0
HU_0749,Tószeg,3755,1551,7,0,958,262,0,324,0,0
HU_2731,Törökszentmiklós,17613,7262,49,0,4029,1275,0,1909,0,0
HU_2822,Túrkeve,7749,2635,12,0,1622,486,0,515,0,0
HU_1529,Újszász,5164,2191,18,0,1327,395,0,451,0,0
HU_2115,Vezseny,560,290,2,0,207,39,0,42,0,0
HU_1483,Zagyvarékas,2910,1131,7,0,621,167,0,336,0,0
HU_3422,Annavölgy,740,268,2,0,125,117,0,24,0,0
HU_1892,Csolnok,2781,1011,3,0,543,279,0,186,0,0
HU_2291,Dág,764,437,2,0,308,69,0,58,0,0
HU_1049,Dorog,10141,3977,18,0,1641,1704,0,614,0,0
HU_0659,Dömös,938,425,8,0,269,96,0,52,0,0
HU_2513,Esztergom,23481,11693,101,0,6787,2950,0,1855,0,0
HU_2957,Kesztölc,2121,891,5,0,502,258,0,126,0,0
HU_2548,Leányvár,1380,554,3,0,339,144,0,68,0,0
HU_2263,Máriahalom,528,249,2,0,171,38,0,38,0,0
HU_2187,Piliscsév,1930,943,6,0,668,154,0,115,0,0
HU_1466,Pilismarót,1614,731,11,0,423,167,0,130,0,0
HU_2690,Sárisáp,2312,911,4,0,397,320,0,190,0,0
HU_1815,Tatabánya,56586,24024,130,0,13077,9026,0,1791,0,0
HU_2763,Úny,574,276,1,0,189,50,0,36,0,0
HU_2004,Bárna,882,346,0,0,162,104,0,80,0,0
HU_0366,Cered,1013,345,0,0,228,77,0,40,0,0
HU_2838,Kazár,1614,655,3,0,313,234,0,105,0,0
HU_2629,Kisbárkány,185,119,0,0,87,11,0,21,0,0
HU_2019,Lucfalva,487,303,4,0,175,62,0,62,0,0
HU_1464,Márkháza,196,130,0,0,95,14,0,21,0,0
HU_2433,Mátraszele,834,351,3,0,207,86,0,55,0,0
HU_1639,Nagybárkány,501,237,2,0,177,21,0,37,0,0
HU_3428,Nagykeresztúr,226,113,1,0,79,22,0,11,0,0
HU_2578,Salgótarján,31915,14618,87,0,6872,5191,0,2468,0,0
HU_2457,Sámsonháza,214,136,1,0,99,19,0,17,0,0
HU_0795,Szilaspogony,257,134,1,0,87,34,0,12,0,0
HU_1032,Vizslás,1151,420,6,0,210,107,0,97,0,0
HU_2166,Zabar,420,129,0,0,79,11,0,39,0,0
HU_0152,Somoskőújfalu,1993,866,2,0,513,206,0,145,0,0
HU_0958,Dunaharaszti,15521,7371,46,0,4688,1972,0,665,0,0
HU_2364,Göd,13689,6899,38,0,3952,1734,0,0,1175,0
HU_0969,Halásztelek,6972,3011,18,0,1917,786,0,290,0,0
HU_1327,Szigethalom,13206,5004,26,0,2875,1414,0,689,0,0
HU_2895,Szigetszentmiklós,25711,11505,83,0,7077,3238,0,1107,0,0
HU_2886,Szõdliget,3524,1891,17,0,835,553,0,0,486,0
HU_3072,Taksony,4939,2158,10,0,1430,553,0,165,0,0
HU_2982,Tököl,7874,3279,17,0,2355,632,0,275,0,0
HU_2493,Vác,27350,13665,103,0,6823,4090,0,0,2649,0
HU_1596,Balsa,692,345,3,0,159,43,0,140,0,0
HU_1970,Buj,1861,825,3,0,474,78,0,270,0,0
HU_0580,Gávavencsellõ,2913,1747,9,0,1155,47,0,536,0,0
HU_2563,Ibrány,5213,2212,16,0,1307,459,0,430,0,0
HU_2722,Kálmánháza,1561,674,3,0,469,59,0,143,0,0
HU_2274,Nagycserkesz,1357,480,3,0,258,55,0,164,0,0
HU_1720,Nyíregyháza,93696,42562,200,0,23724,10810,0,7828,0,0
HU_3314,Nyírpazony,2722,1220,3,0,848,171,0,198,0,0
HU_1355,Nyírtelek,5632,2039,9,0,1140,414,0,476,0,0
HU_3197,Paszab,957,439,5,0,315,36,0,83,0,0
HU_1473,Rakamaz,3950,2166,13,0,1120,195,0,838,0,0
HU_1916,Szabolcs,310,155,1,0,51,39,0,64,0,0
HU_2447,Timár,1019,484,4,0,205,25,0,250,0,0
HU_0385,Tiszabercel,1459,629,9,0,376,63,0,181,0,0
HU_0643,Tiszadada,1785,826,4,0,402,67,0,353,0,0
HU_1259,Tiszadob,2205,887,6,0,435,89,0,357,0,0
HU_0911,Tiszaeszlár,1989,1324,11,0,782,72,0,459,0,0
HU_2352,Tiszalök,4507,2246,5,0,921,410,0,910,0,0
HU_2725,Tiszanagyfalu,1496,575,4,0,277,48,0,246,0,0
HU_0759,Tiszavasvári,9947,4219,19,0,1613,651,0,1936,0,0
HU_3438,Szorgalmatos,745,321,1,0,143,49,0,128,0,0
