gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-KDNP,MDF,MSZP,MSZP-SZDSZ,SZDSZ-MSZP,Ind.,MDF-FIDESZ-KDNP,Somogyért,Jobbik
HU_2394,Sárrétudvari,2403,1422,7,0,0,757,0,658,0,0,0,0,0,0
HU_1909,Szentpéterszeg,911,538,2,0,0,307,0,229,0,0,0,0,0,0
HU_3343,Szerep,1088,683,3,0,0,379,0,301,0,0,0,0,0,0
HU_1969,Tetétlen,1113,760,11,0,0,442,0,307,0,0,0,0,0,0
HU_2321,Téglás,4905,2753,12,0,0,984,32,1725,0,0,0,0,0,0
HU_1564,Tiszacsege,3936,2238,12,0,0,1042,0,1184,0,0,0,0,0,0
HU_3084,Tiszagyulaháza,663,457,0,0,0,223,0,234,0,0,0,0,0,0
HU_2587,Told,243,159,6,0,0,72,0,81,0,0,0,0,0,0
HU_2339,Újiráz,529,378,4,0,0,147,0,227,0,0,0,0,0,0
HU_2041,Újléta,751,555,4,0,0,295,4,252,0,0,0,0,0,0
HU_3256,Újszentmargita,1285,707,2,0,0,272,0,433,0,0,0,0,0,0
HU_1192,Újtikos,770,508,2,0,0,322,0,184,0,0,0,0,0,0
HU_0898,Vámospércs,4210,2616,19,0,0,1359,26,1212,0,0,0,0,0,0
HU_1676,Váncsod,988,659,11,0,0,283,0,365,0,0,0,0,0,0
HU_1113,Vekerd,141,103,3,0,0,40,0,60,0,0,0,0,0,0
HU_0481,Zsáka,1348,838,13,0,0,400,0,425,0,0,0,0,0,0
HU_2455,Abasár,2727,1794,13,0,0,751,0,1030,0,0,0,0,0,0
HU_0634,Aldebrõ,603,457,4,0,0,281,0,172,0,0,0,0,0,0
HU_1798,Andornaktálya,2251,1486,4,0,0,614,0,868,0,0,0,0,0,0
HU_1609,Atkár,1452,929,3,0,0,348,0,578,0,0,0,0,0,0
HU_1152,Balaton,1008,639,6,0,0,284,10,339,0,0,0,0,0,0
HU_2402,Bátor,371,224,0,0,0,73,4,147,0,0,0,0,0,0
