gisco_id,name,registered,turnout,invalid,blank,MSZP,Jobbik,LMP,MDF,FIDESZ-KDNP,CM,ÖP,MSZDP,MP,MIÉP
HU_1905,Kisasszond,135,91,1,0,12,6,3,0,69,0,0,0,0,0
HU_2438,Kisbajom,304,150,3,0,36,25,1,0,85,0,0,0,0,0
HU_2449,Kisbárapáti,372,169,1,0,36,23,9,0,100,0,0,0,0,0
HU_3082,Kisberény,112,53,1,0,11,1,2,0,38,0,0,0,0,0
HU_0482,Kisgyalán,168,97,2,0,20,12,6,0,57,0,0,0,0,0
HU_1378,Kiskorpád,703,418,3,0,43,74,14,0,284,0,0,0,0,0
HU_0985,Komlósd,168,113,1,0,11,6,7,0,88,0,0,0,0,0
HU_1814,Kötcse,436,242,2,0,44,7,21,0,168,0,0,0,0,0
HU_1374,Kõkút,446,180,7,0,26,5,3,0,139,0,0,0,0,0
HU_1551,Kõröshegy,1184,713,2,0,136,70,53,0,452,0,0,0,0,0
HU_2885,Kutas,1180,634,5,0,100,125,29,0,375,0,0,0,0,0
HU_1625,Lad,504,278,3,0,43,39,4,0,189,0,0,0,0,0
HU_1104,Lakócsa,437,194,2,0,40,19,3,0,130,0,0,0,0,0
HU_2829,Lábod,1661,858,9,0,159,121,35,0,534,0,0,0,0,0
HU_1486,Látrány,1093,646,9,0,90,164,11,0,372,0,0,0,0,0
HU_2667,Lengyeltóti,2520,1394,11,0,253,274,59,0,797,0,0,0,0,0
HU_3235,Libickozma,32,20,0,0,2,1,3,0,14,0,0,0,0,0
HU_1001,Lulla,170,120,0,0,12,12,2,0,94,0,0,0,0,0
HU_1042,Magyaratád,741,462,1,0,85,65,27,0,284,0,0,0,0,0
HU_2537,Magyaregres,512,299,1,0,57,23,12,0,206,0,0,0,0,0
HU_1850,Marcali,9817,6055,59,0,1460,1004,321,0,3211,0,0,0,0,0
HU_2363,Mernye,1256,809,5,0,189,118,42,0,455,0,0,0,0,0
HU_1610,Mesztegnyõ,1100,600,5,0,114,135,20,0,326,0,0,0,0,0
HU_3085,Mezõcsokonya,976,501,1,0,88,65,26,0,321,0,0,0,0,0
HU_2090,Mike,505,273,1,0,47,40,7,0,178,0,0,0,0,0
HU_3337,Miklósi,193,132,5,0,10,13,11,0,93,0,0,0,0,0
HU_3134,Mosdós,779,477,11,0,71,97,14,0,284,0,0,0,0,0
HU_1794,Nagyatád,9637,6004,61,0,1510,909,453,0,3071,0,0,0,0,0
HU_2165,Nagybajom,2542,1277,10,0,207,221,51,0,788,0,0,0,0,0
HU_2906,Nagyberény,1099,601,3,0,63,112,19,0,404,0,0,0,0,0
HU_2144,Nagyberki,1186,753,3,0,130,145,52,0,423,0,0,0,0,0
HU_2059,Nagycsepely,302,181,2,0,35,25,8,0,111,0,0,0,0,0
HU_3280,Nagykorpád,457,297,2,0,51,19,2,0,223,0,0,0,0,0
HU_2552,Nagyszakácsi,357,228,2,0,57,16,10,0,143,0,0,0,0,0
HU_1590,Nágocs,512,249,1,0,19,30,24,0,175,0,0,0,0,0
HU_0791,Nemesdéd,523,295,1,0,30,31,3,0,230,0,0,0,0,0
HU_2551,Nemeskisfalud,85,50,1,0,4,5,1,0,39,0,0,0,0,0
HU_1756,Nemesvid,583,315,1,0,44,57,6,0,207,0,0,0,0,0
HU_1095,Nikla,528,296,4,0,32,51,5,0,204,0,0,0,0,0
HU_0320,Nyim,249,119,1,0,32,15,9,0,62,0,0,0,0,0
HU_2453,Orci,456,300,5,0,109,34,14,0,138,0,0,0,0,0
HU_1682,Ordacsehi,669,402,7,0,56,63,24,0,252,0,0,0,0,0
HU_1977,Osztopán,633,411,5,0,48,18,14,0,326,0,0,0,0,0
HU_0705,Öreglak,1197,580,11,0,82,83,31,0,373,0,0,0,0,0
HU_3211,Ötvöskónyi,664,356,7,0,67,35,9,0,238,0,0,0,0,0
HU_1401,Õrtilos,447,276,3,0,23,54,10,0,186,0,0,0,0,0
HU_2639,Pamuk,181,119,2,0,13,8,1,0,95,0,0,0,0,0
HU_0614,Patalom,279,185,4,0,43,19,4,0,115,0,0,0,0,0
HU_1216,Patca,47,26,0,0,6,4,3,0,13,0,0,0,0,0
HU_1559,Patosfa,209,142,0,0,27,13,3,0,99,0,0,0,0,0
HU_3404,Pálmajor,203,132,2,0,5,0,1,0,124,0,0,0,0,0
HU_2919,Péterhida,130,90,1,0,8,10,1,0,70,0,0,0,0,0
HU_2755,Pogányszentpéter,377,208,0,0,34,42,6,0,126,0,0,0,0,0
HU_1379,Polány,181,116,5,0,13,18,1,0,79,0,0,0,0,0
HU_1182,Porrog,198,126,1,0,8,8,11,0,98,0,0,0,0,0
HU_1393,Porrogszentkirály,248,136,1,0,3,22,2,0,108,0,0,0,0,0
