gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-MDF,MSZP,Centrum,MIÉP,Ind.,FKGP,MSZDP-MSZP,MSZP-SZDSZ
HU_3430,Óbarok,592,441,3,0,0,212,226,0,0,0,0,0,0
HU_2575,Pákozd,2040,1519,9,0,0,895,615,0,0,0,0,0,0
HU_2884,Pátka,1294,926,6,0,0,540,380,0,0,0,0,0,0
HU_2178,Pázmánd,1611,1121,4,0,0,669,448,0,0,0,0,0,0
HU_1935,Perkáta,3225,1894,11,0,0,961,922,0,0,0,0,0,0
HU_1752,Polgárdi,4737,2966,14,0,0,1741,1211,0,0,0,0,0,0
HU_2901,Pusztaszabolcs,4936,3133,9,0,0,1341,1783,0,0,0,0,0,0
HU_0990,Rácalmás,3148,2305,5,0,0,947,1353,0,0,0,0,0,0
HU_0201,Ráckeresztúr,2434,1656,15,0,0,794,847,0,0,0,0,0,0
HU_2369,Sárbogárd,10274,7700,29,0,0,4511,3160,0,0,0,0,0,0
HU_0272,Sáregres,634,481,3,0,0,332,146,0,0,0,0,0,0
HU_2534,Sárkeresztúr,1648,1002,2,0,0,632,368,0,0,0,0,0,0
HU_2514,Sárosd,2627,1658,8,0,0,894,756,0,0,0,0,0,0
HU_3153,Sárszentágota,1049,777,2,0,0,554,221,0,0,0,0,0,0
HU_2020,Seregélyes,3536,2244,16,0,0,1331,897,0,0,0,0,0,0
HU_3332,Soponya,1506,1036,6,0,0,740,290,0,0,0,0,0,0
HU_1495,Sukoró,777,648,3,0,0,364,281,0,0,0,0,0,0
HU_1325,Szabadegyháza,1691,1119,5,0,0,533,581,0,0,0,0,0,0
HU_1874,Szabadhídvég,744,517,9,0,0,279,229,0,0,0,0,0,0
HU_1954,Szár,1349,1029,6,0,0,607,416,0,0,0,0,0,0
HU_1482,Székesfehérvár,39590,30483,84,0,0,16013,14386,0,0,0,0,0,0
HU_1446,Tabajd,742,583,3,0,0,445,135,0,0,0,0,0,0
HU_2926,Tác,1189,818,0,0,0,551,267,0,0,0,0,0,0
HU_2100,Tordas,1219,900,5,0,0,457,438,0,0,0,0,0,0
HU_1748,Újbarok,274,229,1,0,0,146,82,0,0,0,0,0,0
HU_0245,Vajta,760,568,3,0,0,367,198,0,0,0,0,0,0
HU_0582,Vál,1746,1373,7,0,0,992,374,0,0,0,0,0,0
HU_2501,Velence,3643,2794,9,0,0,1324,1461,0,0,0,0,0,0
HU_0349,Vereb,624,400,1,0,0,210,189,0,0,0,0,0,0
HU_0275,Vértesacsa,1346,1004,7,0,0,651,346,0,0,0,0,0,0
HU_3426,Zichyújfalu,727,540,2,0,0,274,264,0,0,0,0,0,0
HU_0488,Ágfalva,1460,1080,6,0,0,671,403,0,0,0,0,0,0
HU_2692,Ásványráró,1586,1271,5,0,0,864,402,0,0,0,0,0,0
HU_2980,Bezenye,1271,1026,5,0,0,688,333,0,0,0,0,0,0
HU_2186,Darnózseli,1245,1036,8,0,0,572,456,0,0,0,0,0,0
HU_2773,Dunakiliti,1340,1034,2,0,0,585,447,0,0,0,0,0,0
HU_0207,Dunaremete,194,170,1,0,0,103,66,0,0,0,0,0,0
HU_1045,Dunasziget,1157,919,5,0,0,603,311,0,0,0,0,0,0
HU_3271,Feketeerdõ,295,258,1,0,0,152,105,0,0,0,0,0,0
HU_1241,Fertõrákos,1735,1284,8,0,0,587,689,0,0,0,0,0,0
HU_2558,Gyõr,51804,39862,183,0,0,20657,19022,0,0,0,0,0,0
HU_2679,Halászi,2229,1752,10,0,0,1133,609,0,0,0,0,0,0
HU_0764,Harka,1117,880,3,0,0,495,382,0,0,0,0,0,0
HU_1790,Hegyeshalom,2865,2122,15,0,0,1093,1014,0,0,0,0,0,0
HU_1230,Hédervár,882,694,1,0,0,408,285,0,0,0,0,0,0
HU_1474,Kimle,2182,1642,14,0,0,850,778,0,0,0,0,0,0
HU_0781,Kisbodak,301,238,2,0,0,130,106,0,0,0,0,0,0
HU_0689,Kópháza,1506,1209,3,0,0,876,330,0,0,0,0,0,0
HU_1923,Levél,1321,993,2,0,0,435,556,0,0,0,0,0,0
HU_1622,Lipót,580,493,5,0,0,323,165,0,0,0,0,0,0
HU_1228,Máriakálnok,1137,887,8,0,0,471,408,0,0,0,0,0,0
HU_0478,Mosonmagyaróvár,24407,19086,105,0,0,8814,10167,0,0,0,0,0,0
HU_2814,Mosonszolnok,1195,892,0,0,0,493,399,0,0,0,0,0,0
HU_1296,Püski,515,428,5,0,0,235,188,0,0,0,0,0,0
HU_2658,Rajka,2081,1641,5,0,0,1019,617,0,0,0,0,0,0
HU_0851,Sopron,44956,35286,135,0,0,19397,15754,0,0,0,0,0,0
HU_3183,Újrónafõ,634,504,1,0,0,172,331,0,0,0,0,0,0
HU_2764,Álmosd,1328,793,8,0,0,389,396,0,0,0,0,0,0
HU_0331,Ártánd,436,291,2,0,0,152,137,0,0,0,0,0,0
HU_2001,Bagamér,1804,1148,16,0,0,668,464,0,0,0,0,0,0
HU_1516,Bakonszeg,999,698,7,0,0,351,340,0,0,0,0,0,0
HU_0291,Balmazújváros,14062,9985,69,0,4887,5029,0,0,0,0,0,0,0
HU_2669,Báránd,2237,1456,10,0,0,815,631,0,0,0,0,0,0
HU_3344,Bedõ,262,199,2,0,0,141,56,0,0,0,0,0,0
HU_1846,Berekböszörmény,1467,899,7,0,0,471,421,0,0,0,0,0,0
HU_1278,Berettyóújfalu,12618,9134,60,0,0,4465,4609,0,0,0,0,0,0
HU_2525,Bihardancsháza,187,146,1,0,0,85,60,0,0,0,0,0,0
HU_1995,Biharkeresztes,3352,2298,21,0,0,962,1315,0,0,0,0,0,0
HU_2482,Biharnagybajom,2259,1474,7,0,0,696,771,0,0,0,0,0,0
HU_2988,Bihartorda,803,550,7,0,0,241,302,0,0,0,0,0,0
HU_3410,Bocskaikert,1837,1225,6,0,0,709,510,0,0,0,0,0,0
HU_1413,Bojt,447,313,3,0,0,182,128,0,0,0,0,0,0
HU_1245,Csökmõ,1723,1079,7,0,0,541,531,0,0,0,0,0,0
HU_1467,Darvas,535,376,6,0,0,156,214,0,0,0,0,0,0
HU_1513,Debrecen,49265,34511,200,0,0,19002,15309,0,0,0,0,0,0
HU_0557,Derecske,6987,4822,36,0,0,3321,1465,0,0,0,0,0,0
HU_1461,Ebes,3429,2353,12,0,0,1296,1045,0,0,0,0,0,0
HU_1574,Egyek,4537,2899,32,0,1245,1622,0,0,0,0,0,0,0
HU_2546,Esztár,1088,768,7,0,0,316,445,0,0,0,0,0,0
HU_3401,Folyás,319,211,1,0,90,120,0,0,0,0,0,0,0
HU_0325,Földes,3536,2629,15,0,0,1305,1309,0,0,0,0,0,0
HU_1699,Furta,961,601,6,0,0,303,292,0,0,0,0,0,0
HU_2215,Fülöp,1449,997,12,0,0,797,188,0,0,0,0,0,0
HU_1817,Gáborján,717,442,3,0,0,264,175,0,0,0,0,0,0
HU_1656,Görbeháza,2145,1439,14,0,641,784,0,0,0,0,0,0,0
HU_2617,Hajdúbagos,1550,995,7,0,0,538,450,0,0,0,0,0,0
HU_0304,Hajdúböszörmény,24642,17630,125,0,0,9750,7755,0,0,0,0,0,0
HU_1280,Hajdúdorog,7218,4866,38,0,0,2896,1932,0,0,0,0,0,0
HU_1039,Hajdúhadház,9124,5626,81,0,0,3071,2474,0,0,0,0,0,0
HU_2240,Hajdúnánás,14185,10113,72,0,0,5733,4308,0,0,0,0,0,0
HU_3109,Hajdúsámson,7692,4345,42,0,0,2627,1676,0,0,0,0,0,0
HU_0517,Hajdúszoboszló,18972,13843,89,0,0,7466,6288,0,0,0,0,0,0
HU_1747,Hajdúszovát,2398,1669,5,0,0,877,787,0,0,0,0,0,0
HU_2939,Hencida,877,567,12,0,0,338,217,0,0,0,0,0,0
HU_0411,Hortobágy,1374,997,4,0,710,283,0,0,0,0,0,0,0
HU_0626,Hosszúpályi,3988,2518,23,0,0,1506,989,0,0,0,0,0,0
HU_0230,Kaba,4953,3371,11,0,0,1804,1556,0,0,0,0,0,0
HU_1547,Kismarja,994,743,2,0,0,419,322,0,0,0,0,0,0
HU_1745,Kokad,508,357,6,0,0,209,142,0,0,0,0,0,0
HU_0216,Komádi,4823,3032,16,0,0,1685,1331,0,0,0,0,0,0
HU_2596,Konyár,1692,1126,9,0,0,727,390,0,0,0,0,0,0
HU_3113,Körösszakál,694,447,4,0,0,191,252,0,0,0,0,0,0
HU_0894,Körösszegapáti,871,705,5,0,0,399,301,0,0,0,0,0,0
HU_0576,Létavértes,5276,3190,13,0,0,1661,1516,0,0,0,0,0,0
HU_0368,Magyarhomorog,812,524,7,0,0,295,222,0,0,0,0,0,0
HU_3103,Mezõpeterd,490,324,2,0,0,147,175,0,0,0,0,0,0
HU_1884,Mezõsas,574,426,10,0,0,163,253,0,0,0,0,0,0
HU_2421,Mikepércs,2689,1665,12,0,0,996,657,0,0,0,0,0,0
HU_2589,Monostorpályi,1730,1161,1,0,0,732,428,0,0,0,0,0,0
HU_0947,Nagyhegyes,2073,1474,3,0,637,834,0,0,0,0,0,0,0
HU_0890,Nagykereki,1012,572,7,0,0,289,276,0,0,0,0,0,0
HU_0630,Nagyrábé,1909,1330,3,0,0,675,652,0,0,0,0,0,0
HU_2810,Nádudvar,7052,4609,35,0,0,2196,2378,0,0,0,0,0,0
HU_1400,Nyíracsád,3137,2039,26,0,0,1417,596,0,0,0,0,0,0
HU_0618,Nyíradony,5722,3991,31,0,0,2986,974,0,0,0,0,0,0
HU_3229,Nyírábrány,2916,1867,28,0,0,1212,627,0,0,0,0,0,0
HU_3238,Nyírmártonfalva,1557,1051,11,0,0,652,388,0,0,0,0,0,0
HU_1183,Pocsaj,1925,1370,10,0,0,771,589,0,0,0,0,0,0
HU_2311,Polgár,6664,4525,58,0,2184,2283,0,0,0,0,0,0,0
HU_1016,Püspökladány,12632,9388,67,0,0,4646,4675,0,0,0,0,0,0
HU_2611,Sáp,761,519,2,0,0,263,254,0,0,0,0,0,0
HU_2500,Sáránd,1749,1269,11,0,0,726,532,0,0,0,0,0,0
HU_2394,Sárrétudvari,2436,1627,13,0,0,865,749,0,0,0,0,0,0
HU_1909,Szentpéterszeg,938,622,5,0,0,355,262,0,0,0,0,0,0
HU_3343,Szerep,1112,770,7,0,0,454,309,0,0,0,0,0,0
HU_1969,Tetétlen,1128,830,6,0,0,409,415,0,0,0,0,0,0
HU_2321,Téglás,4709,2908,35,0,0,1257,1616,0,0,0,0,0,0
HU_3104,Tépe,837,554,2,0,0,399,153,0,0,0,0,0,0
HU_1564,Tiszacsege,3978,2484,27,0,1173,1284,0,0,0,0,0,0,0
HU_3084,Tiszagyulaháza,685,463,5,0,172,286,0,0,0,0,0,0,0
HU_2587,Told,246,161,3,0,0,96,62,0,0,0,0,0,0
HU_2339,Újiráz,545,404,3,0,0,168,233,0,0,0,0,0,0
HU_2041,Újléta,777,437,0,0,0,263,174,0,0,0,0,0,0
HU_3256,Újszentmargita,1344,826,8,0,457,361,0,0,0,0,0,0,0
HU_1192,Újtikos,772,526,4,0,171,351,0,0,0,0,0,0,0
HU_0898,Vámospércs,4156,2480,25,0,0,1630,825,0,0,0,0,0,0
HU_1676,Váncsod,1030,733,10,0,0,325,398,0,0,0,0,0,0
HU_1113,Vekerd,153,122,2,0,0,45,75,0,0,0,0,0,0
HU_0481,Zsáka,1386,977,3,0,0,498,476,0,0,0,0,0,0
