gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,EGYÜTT-PM,Jobbik,MSZP,LMP,DK,SMS,AH
HU_05698,Váckisújfalu,397,99,0,0,57,5,19,10,2,6,0,0
HU_17668,Vácrátót,1430,395,1,0,219,27,71,33,17,20,2,5
HU_09104,Vácszentlászló,1679,383,4,0,231,7,80,26,10,18,4,3
HU_10737,Vámosmikola,1244,326,5,0,196,3,61,39,8,13,1,0
HU_26815,Vecsés,16453,4608,11,0,2452,365,604,438,197,488,16,37
HU_18342,Veresegyház,12510,3907,4,0,1844,431,548,286,276,475,18,25
HU_33729,Verőce,2885,1122,2,0,603,57,210,68,73,97,6,6
HU_22488,Verseg,1104,215,1,0,124,6,48,22,2,10,0,2
HU_28413,Visegrád,1517,610,5,0,357,46,74,42,34,46,4,2
HU_14960,Zebegény,1060,424,2,0,243,22,57,45,17,38,0,0
HU_25034,Zsámbék,4085,1348,8,0,800,71,187,111,75,85,6,5
HU_22035,Zsámbok,1902,436,2,0,242,18,82,35,13,40,3,1
HU_34333,Csörög,1525,295,2,0,112,21,89,28,12,30,0,1
HU_34315,Remeteszőlős,556,300,0,0,146,46,26,16,33,32,1,0
HU_34397,Monorierdő,3506,773,2,0,316,33,212,73,29,94,7,7
HU_34184,Alsóbogát,228,69,0,0,33,1,6,20,1,7,1,0
HU_28714,Andocs,879,192,1,0,120,6,17,33,5,8,1,1
HU_06080,Ádánd,1780,367,0,0,238,6,52,36,10,24,0,1
HU_30474,Babócsa,1267,236,1,0,118,1,49,29,5,33,0,0
HU_14395,Bakháza,155,33,0,0,14,1,11,5,0,2,0,0
HU_27377,Balatonberény,926,321,1,0,160,13,47,44,15,38,2,1
HU_33853,Balatonboglár,5173,1708,4,0,986,118,209,127,68,178,7,11
HU_19460,Balatonendréd,1115,278,0,0,198,5,33,18,9,13,1,1
HU_20729,Balatonfenyves,2090,795,3,0,421,55,105,86,49,70,2,4
HU_07117,Balatonföldvár,2169,918,4,0,488,82,76,77,43,138,5,5
HU_07375,Balatonkeresztúr,1401,383,1,0,211,27,58,33,15,37,1,0
HU_33862,Balatonlelle,4288,1336,7,0,772,77,185,117,64,105,8,1
HU_14562,Balatonmáriafürdő,740,315,2,0,150,25,51,40,16,24,4,3
HU_11916,Balatonőszöd,477,203,0,0,129,13,21,11,8,18,3,0
