gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,LMP,Jobbik,MSZP-PM,MM,DK,MKKP,EGYÜTT,MIÉP,CP,SEM,MP,REP,SZEM,KN2018,MCP,ERDJDP,NP,MEP,KÖSSZ,ÖP,IP,TAM
HU_14997,Hegyháthodász,138,113,0,0,85,1,24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_30216,Hegyhátsál,123,101,1,0,72,6,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_18032,Hegyhátszentjakab,226,170,1,0,106,8,32,15,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_21838,Hegyhátszentmárton,52,45,1,0,27,1,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_08226,Hegyhátszentpéter,130,97,2,0,68,2,14,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HU_12733,Horvátlövő,151,133,0,0,116,5,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_16887,Horvátzsidány,659,489,3,0,300,28,63,43,6,18,9,1,0,1,1,0,1,2,1,0,1,0,0,1,0,2,0
HU_20880,Hosszúpereszteg,560,352,4,0,231,13,42,35,5,9,6,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,1
HU_11387,Ikervár,1405,1020,8,0,604,61,194,93,14,22,16,1,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1
HU_29504,Iklanberény,37,32,0,0,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_07977,Ispánk,83,67,2,0,40,2,13,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_31680,Ivánc,408,268,5,0,171,13,41,6,4,11,8,3,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0
HU_13958,Ják,2018,1381,13,0,792,104,261,112,14,39,22,8,3,4,0,1,0,1,1,0,0,0,1,0,0,1,2
HU_06406,Jákfa,409,292,4,0,159,12,57,32,6,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_11679,Jánosháza,1996,1253,16,0,661,58,315,94,17,71,8,2,0,2,1,2,2,0,1,2,0,0,0,1,0,0,0
HU_10913,Karakó,173,111,2,0,50,3,36,12,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
HU_26620,Katafa,274,212,4,0,142,7,33,11,0,9,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2
HU_29957,Káld,853,579,11,0,333,25,138,41,8,13,4,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0
HU_04640,Kám,373,283,2,0,165,11,43,16,1,37,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
HU_32036,Keléd,66,41,2,0,24,2,2,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HU_16911,Kemeneskápolna,78,59,1,0,40,0,5,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_12247,Kemenesmagasi,720,518,1,0,352,11,86,45,5,8,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
HU_13426,Kemenesmihályfa,436,312,4,0,188,14,51,33,1,12,2,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
HU_20996,Kemenespálfa,330,221,4,0,167,4,33,7,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_24484,Kemenessömjén,477,337,2,0,206,13,58,34,5,12,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0
HU_20084,Kemenesszentmárton,160,104,2,0,75,4,9,8,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_22716,Kemestaródfa,182,142,0,0,103,7,17,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HU_02574,Kenéz,213,142,3,0,105,9,17,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_09937,Kenyeri,681,515,3,0,369,21,78,19,2,8,8,0,1,0,2,0,1,1,1,0,0,0,0,0,1,0,0
HU_26596,Kercaszomor,184,134,2,0,96,1,21,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_19761,Kerkáskápolna,55,44,1,0,26,5,6,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HU_19345,Kétvölgy,101,69,0,0,45,5,9,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_11147,Kisrákos,148,117,1,0,86,2,21,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_05953,Kissomlyó,192,134,3,0,74,6,28,5,5,2,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_02501,Kisunyom,356,261,4,0,154,14,43,19,2,17,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
HU_15486,Kiszsidány,68,48,0,0,9,2,8,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_13028,Kondorfa,414,309,16,0,219,6,31,16,0,16,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
HU_04190,Köcsk,211,151,1,0,119,2,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_13532,Körmend,10944,8444,94,0,4755,515,1563,679,290,295,143,33,10,12,13,11,2,1,2,3,1,0,1,2,2,0,10
HU_16832,Kőszeg,8974,6563,40,0,3693,378,1065,735,150,267,80,30,5,16,14,11,1,19,4,1,1,0,3,6,1,4,5
HU_05740,Kőszegdoroszló,203,160,1,0,105,5,23,10,4,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_26046,Kőszegpaty,152,102,1,0,70,8,13,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HU_20109,Kőszegszerdahely,400,302,2,0,159,19,58,29,3,15,7,0,2,0,0,1,1,1,0,0,0,0,0,0,2,1,2
HU_29081,Lócs,86,65,1,0,38,0,11,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_14021,Lukácsháza,880,688,7,0,427,52,103,59,15,8,7,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1
HU_03221,Magyarlak,644,491,2,0,340,17,79,25,4,16,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
HU_27289,Magyarnádalja,183,155,3,0,111,6,24,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_17288,Magyarszecsőd,349,261,0,0,182,8,41,19,2,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
HU_25423,Magyarszombatfa,211,168,0,0,108,7,29,18,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HU_25760,Meggyeskovácsi,528,336,2,0,210,6,49,37,2,12,9,1,0,0,1,4,0,1,0,0,0,0,1,1,0,0,0
HU_30872,Megyehíd,253,199,3,0,129,13,39,5,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_14809,Mersevát,478,367,5,0,227,13,66,37,0,8,2,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0
HU_31875,Mesterháza,131,102,1,0,57,1,20,12,0,7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HU_15723,Mesteri,175,118,2,0,83,5,10,9,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
HU_32832,Meszlen,175,150,0,0,103,4,12,20,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_30599,Mikosszéplak,243,153,0,0,114,4,17,12,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_03294,Molnaszecsőd,338,275,6,0,195,3,41,11,5,8,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0
HU_09283,Nagygeresd,229,170,1,0,89,5,34,25,0,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_32920,Nagykölked,108,79,0,0,43,2,21,6,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_15060,Nagymizdó,96,85,2,0,68,1,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_29869,Nagyrákos,218,166,4,0,110,12,19,13,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_26143,Nagysimonyi,794,585,3,0,391,24,81,41,11,18,5,1,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0
HU_24837,Nagytilaj,104,56,0,0,41,0,7,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_02042,Narda,399,320,3,0,243,5,31,24,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_06716,Nádasd,1040,762,15,0,536,28,88,50,11,13,8,2,1,2,1,2,1,1,1,0,0,0,0,0,1,0,1
HU_17367,Nárai,1055,821,6,0,480,55,123,83,29,14,14,5,0,1,3,3,0,2,1,0,0,0,0,0,0,0,1
HU_24509,Nemesbőd,513,379,4,0,247,16,53,28,9,7,9,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
HU_23320,Nemescsó,243,191,3,0,135,9,17,12,5,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
HU_03674,Nemeskeresztúr,225,168,0,0,125,4,27,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HU_02839,Nemeskocs,266,202,1,0,130,9,39,9,2,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_24059,Nemeskolta,291,199,4,0,101,11,31,22,4,21,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
HU_26240,Nemesládony,105,83,1,0,54,4,13,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_31556,Nemesmedves,18,13,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_09672,Nemesrempehollós,221,156,4,0,102,5,23,12,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_10843,Nick,432,327,5,0,238,7,38,16,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HU_22318,Nyőgér,267,212,2,0,151,10,20,12,1,6,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
HU_19743,Olaszfa,309,207,2,0,166,2,22,5,1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HU_17093,Orfalu,62,47,0,0,20,6,6,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_32629,Ostffyasszonyfa,641,436,2,0,265,14,83,44,5,16,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
HU_07667,Oszkó,519,364,7,0,235,16,69,16,6,9,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
HU_22044,Ólmod,82,64,1,0,40,2,10,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_12043,Ölbő,597,409,2,0,228,23,87,30,5,26,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
HU_13453,Őrimagyarósd,182,142,1,0,97,0,30,5,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_10630,Őriszentpéter,919,717,5,0,373,42,134,71,28,37,12,1,2,2,1,4,0,1,1,0,0,1,0,0,0,0,2
HU_23108,Pankasz,352,260,3,0,200,0,31,16,0,1,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_07162,Pácsony,237,172,3,0,103,8,39,9,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
HU_14067,Pápoc,236,190,3,0,150,4,15,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
HU_14988,Pecöl,643,476,7,0,313,18,73,28,9,12,5,0,0,1,0,4,0,3,0,0,0,1,1,0,0,0,1
HU_13684,Perenye,541,439,1,0,297,25,49,34,7,8,11,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
HU_08882,Peresznye,426,329,1,0,254,13,25,14,9,3,3,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
HU_11572,Petőmihályfa,170,122,0,0,91,1,16,8,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_06248,Pinkamindszent,138,99,0,0,72,4,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_20367,Pornóapáti,285,237,2,0,138,7,28,24,1,8,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_29896,Porpác,116,83,1,0,54,6,8,9,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
HU_15671,Pósfa,233,178,2,0,98,6,33,27,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
HU_10311,Pusztacsó,130,112,4,0,88,2,6,6,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_07278,Püspökmolnári,689,516,4,0,382,24,59,20,13,5,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HU_26736,Rábagyarmat,636,474,8,0,341,15,65,27,3,2,8,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
HU_03197,Rábahídvég,787,534,9,0,336,27,89,30,9,19,6,3,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0
HU_26073,Rábapaty,1354,917,13,0,552,53,134,94,17,29,9,0,4,2,0,3,0,0,0,2,0,0,0,2,2,0,1
HU_17996,Rábatöttös,192,149,1,0,114,6,11,8,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_07551,Rádóckölked,221,181,6,0,121,4,29,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_23861,Rátót,189,133,0,0,86,9,26,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HU_30881,Répcelak,2159,1659,7,0,1059,71,182,218,27,52,24,1,2,3,1,4,1,0,4,0,0,0,0,2,0,0,1
HU_28626,Répceszentgyörgy,90,70,1,0,43,7,10,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_26806,Rönök,340,234,2,0,172,6,35,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
HU_10597,Rum,895,601,7,0,392,26,65,46,15,28,11,2,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0
HU_10579,Sajtoskál,246,174,1,0,111,6,45,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_18883,Salköveskút,383,290,3,0,197,13,53,14,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
