gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΓΙΑ ΤΗΝ ΕΥΡΩΠΗ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,Ε.ΔΗ - Κ.Π.Ε. - ΕΥΡΩΠΑΙΚΗ ΚΥΠΡΟΣ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ,ΚΥΡΙΑΚΟΥ ΚΩΣΤΑΣ,ΑΓΑΠΙΟΥ Σ. ΑΝΤΩΝΗΣ,ΜΑΛΙΑΝ ΑΡΤΟ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΑΣΣΑΝ ΜΕΧΜΕΤ,ΕΥΑΓΟΡΟΥ ΚΑΙΤΗ,ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ
CY_1233,Κάτω Δευτερά,1026,738,18,7,167,131,246,69,64,8,12,1,12,1,0,0,0,2,0,0
CY_1240,Agioi Trimithias,949,717,20,18,127,297,75,49,95,10,9,2,15,0,0,0,0,0,0,0
CY_1241,Παλαιομέτοχο,2800,2177,60,50,344,720,368,313,263,12,18,2,19,6,0,0,0,1,1,0
CY_1242,Deneia,211,151,4,2,10,55,32,32,10,1,3,0,1,0,0,0,0,1,0,0
CY_1243,Kokkinotrimithia,2102,1512,39,28,179,472,405,139,188,13,12,3,28,1,0,0,0,5,0,0
CY_1244,Μάμμαρη,961,746,6,10,65,432,39,45,112,6,23,0,7,1,0,0,0,0,0,0
CY_1300,Παλαιχώρι Μόρφου,707,575,11,7,33,164,218,58,64,2,8,1,2,1,0,0,1,5,0,0
CY_1301,Askas,237,195,4,2,21,77,23,44,15,3,3,0,0,1,0,0,0,2,0,0
CY_1302,Alona,236,191,21,5,23,85,4,1,43,0,3,1,4,0,0,0,0,1,0,0
CY_1303,Φτερικούδι,170,134,3,2,18,44,28,20,17,1,1,0,0,0,0,0,0,0,0,0
CY_1304,Πολύστυπος,304,236,7,6,39,98,18,30,28,6,1,2,1,0,0,0,0,0,0,0
CY_1305,Lagoudera,129,99,5,0,15,42,6,10,13,4,1,2,1,0,0,0,0,0,0,0
CY_1306,Saranti,89,73,1,1,8,47,1,5,6,1,0,0,2,0,0,0,0,1,0,0
