gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΓΙΑ ΤΗΝ ΕΥΡΩΠΗ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,Ε.ΔΗ - Κ.Π.Ε. - ΕΥΡΩΠΑΙΚΗ ΚΥΠΡΟΣ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ,ΚΥΡΙΑΚΟΥ ΚΩΣΤΑΣ,ΑΓΑΠΙΟΥ Σ. ΑΝΤΩΝΗΣ,ΜΑΛΙΑΝ ΑΡΤΟ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΑΣΣΑΝ ΜΕΧΜΕΤ,ΕΥΑΓΟΡΟΥ ΚΑΙΤΗ,ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ
CY_5141,Arakapas,279,223,8,2,24,68,83,13,19,0,2,2,1,0,0,0,0,1,0,0
CY_5142,'Αγιος Παύλος,170,123,8,1,14,40,21,20,15,2,2,0,0,0,0,0,0,0,0,0
CY_5143,Agios Konstantinos,174,129,2,2,19,77,10,8,7,0,3,1,0,0,0,0,0,0,0,0
CY_5144,Συκόπετρα,116,95,5,4,16,20,34,9,7,0,0,0,0,0,0,0,0,0,0,0
CY_5145,Λουβαράς,322,246,13,10,32,40,110,17,14,3,3,0,0,1,0,0,3,0,0,0
CY_5146,Καλό Χωριό Λεμεσού,377,296,4,4,59,92,96,17,20,1,0,0,3,0,0,0,0,0,0,0
CY_5147,Ζωοπηγή,174,132,6,1,48,25,16,15,18,0,0,1,2,0,0,0,0,0,0,0
CY_5200,Ακρωτήρι,575,444,8,5,70,172,86,32,59,4,2,0,6,0,0,0,0,0,0,0
CY_5201,Ασώματος Λεμεσού,271,210,9,7,44,58,55,18,13,2,3,0,1,0,0,0,0,0,0,0
CY_5203,Τραχώνι Λεμεσού,2465,1690,48,58,298,419,514,149,162,5,7,5,19,0,0,1,4,1,0,0
CY_5210,Kolossi,2414,1750,78,54,204,478,538,152,200,11,12,1,19,1,0,0,0,1,1,0
CY_5211,Ερήμη,900,697,16,17,89,185,168,153,46,8,10,1,3,0,0,0,0,1,0,0
CY_5212,Επισκοπή Λεμεσού,2306,1718,53,50,213,476,524,167,180,5,14,3,27,3,0,0,1,2,0,0
CY_5213,Kantou,346,253,7,5,50,38,103,17,16,3,2,1,8,0,0,0,0,2,1,0
CY_5214,Σωτήρα Λεμεσού,68,66,1,2,10,33,18,1,1,0,0,0,0,0,0,0,0,0,0,0
CY_5220,Πραστιό Αυδήμου,183,151,3,1,19,37,27,38,22,0,0,0,3,1,0,0,0,0,0,0
CY_5221,Paramali,129,109,6,0,7,54,14,6,19,1,0,0,2,0,0,0,0,0,0,0
CY_5222,Αυδήμου,501,404,16,21,76,117,61,43,58,0,6,0,5,1,0,0,0,0,0,0
CY_5224,Agios Thomas,61,41,2,0,10,2,7,7,6,2,2,0,0,0,0,0,0,0,3,0
CY_5225,Alektora,98,82,1,4,10,15,12,29,6,1,1,1,2,0,0,0,0,0,0,0
CY_5226,Ανώγυρα,202,163,1,0,47,33,56,7,14,1,2,0,1,0,1,0,0,0,0,0
CY_5227,Pissouri,661,562,16,7,52,135,155,30,89,3,4,9,61,1,0,0,0,0,0,0
CY_5300,Souni-Zanakia,192,156,7,3,27,51,29,11,25,0,0,0,3,0,0,0,0,0,0,0
CY_5302,Alassa,210,172,6,4,44,64,20,8,24,0,0,1,0,1,0,0,0,0,0,0
CY_5304,Πάνω Κιβίδες,468,368,13,10,91,164,28,12,39,1,7,0,3,0,0,0,0,0,0,0
CY_5305,Άγιος Αμβρόσιος Λεμεσού,261,211,5,6,45,83,10,10,28,22,0,1,1,0,0,0,0,0,0,0
CY_5306,Agios Therapon,218,178,2,2,28,123,10,2,2,2,4,0,3,0,0,0,0,0,0,0
CY_5307,Λόφου,70,57,1,2,9,21,6,10,6,1,1,0,0,0,0,0,0,0,0,0
CY_5308,Πάχνα,1016,709,14,21,143,247,93,52,112,6,9,1,9,1,0,0,0,1,0,0
CY_5310,Άγιος Γεώργιος Λεμεσού,111,91,3,0,12,17,24,25,6,0,0,1,3,0,0,0,0,0,0,0
CY_5311,Doros,125,98,2,1,28,33,12,4,14,0,0,0,3,0,0,0,0,1,0,0
CY_5312,Laneia,159,134,2,4,30,46,19,19,6,0,8,0,0,0,0,0,0,0,0,0
CY_5313,Silikou,145,113,1,2,16,38,50,1,2,0,1,0,1,0,1,0,0,0,0,0
CY_5314,Monagri,182,136,9,6,45,46,13,9,5,0,0,1,1,1,0,0,0,0,0,0
CY_5315,Τριμήκληνη,337,272,2,4,77,53,69,15,45,2,1,0,4,0,0,0,0,0,0,0
CY_5316,Agios Mamas,242,187,1,7,72,54,18,15,11,1,2,0,3,0,0,1,0,2,0,0
CY_5318,Μονιάτης,215,175,2,8,39,62,21,13,28,0,0,1,1,0,0,0,0,0,0,0
CY_5320,Dora,267,188,16,5,62,68,5,5,18,2,3,0,3,0,0,0,0,1,0,0
CY_5322,Άρσος Λεμεσού,331,247,1,3,36,62,88,19,27,5,5,0,1,0,0,0,0,0,0,0
CY_5324,Malia,96,66,1,3,13,16,20,5,5,1,1,0,1,0,0,0,0,0,0,0
CY_5325,Βάσα Κοιλανίου,216,162,2,4,22,49,47,13,10,1,3,0,11,0,0,0,0,0,0,0
CY_5326,Βουνί,229,162,5,5,47,45,24,10,17,3,2,1,1,1,0,0,1,0,0,0
CY_5327,Pera Pedi,134,102,2,0,13,40,25,10,7,1,3,1,0,0,0,0,0,0,0,0
CY_5328,Μανδριά Λεμεσού,111,84,1,0,26,12,32,4,6,2,1,0,0,0,0,0,0,0,0,0
CY_5329,Potamiou,77,64,0,1,27,23,3,1,6,1,0,0,2,0,0,0,0,0,0,0
CY_5330,Omodos,385,272,6,3,113,73,21,31,20,2,3,0,0,0,0,0,0,0,0,0
CY_5331,Koilani,412,307,9,4,76,60,102,30,20,1,0,1,4,0,0,0,0,0,0,0
CY_5340,'Αγιος Δημήτριος,66,53,1,1,13,19,8,8,0,0,2,1,0,0,0,0,0,0,0,0
CY_5341,Παλαιόμυλος,53,49,3,3,9,10,20,1,2,0,1,0,0,0,0,0,0,0,0,0
CY_5342,Prodromos,160,109,4,3,48,20,10,11,11,2,0,0,0,0,0,0,0,0,0,0
CY_5343,Kaminaria,115,78,5,2,19,27,13,5,0,0,3,0,2,1,0,0,0,0,0,1
CY_5344,Treis Elies,61,52,7,0,6,8,27,1,1,0,2,0,0,0,0,0,0,0,0,0
CY_5345,Lemithou,148,107,2,6,38,31,19,10,1,0,0,0,0,0,0,0,0,0,0,0
CY_5350,Κάτω Πλάτρες (Toρνάρηδες),213,176,6,2,43,39,38,32,9,1,4,0,2,0,0,0,0,0,0,0
CY_5351,Pano Platres,215,167,1,2,39,47,17,29,23,2,6,0,1,0,0,0,0,0,0,0
CY_5352,Φοινί,554,445,6,4,73,110,114,112,20,0,1,1,2,0,1,0,0,1,0,0
CY_5354,Kato Amiantos,322,273,2,4,46,104,82,6,24,0,1,0,3,1,0,0,0,0,0,0
CY_5360,Άγιος Θεόδωρος Λεμεσού,143,115,2,0,18,51,24,3,10,0,4,0,2,0,0,0,0,1,0,0
CY_5361,Άγιος Ιωάννης Λεμεσού,537,425,27,5,81,90,118,38,50,3,2,1,9,1,0,0,0,0,0,0
CY_5362,Κάτω Μύλος,79,70,1,2,24,22,2,4,11,0,0,0,3,0,0,0,0,1,0,0
CY_5363,Potamitissa,139,122,1,3,36,54,11,3,10,0,1,0,2,1,0,0,0,0,0,0
CY_5364,Δύμες,207,161,4,4,57,41,28,7,13,4,1,0,2,0,0,0,0,0,0,0
CY_5365,Pelendri,1439,1178,25,12,54,305,669,38,53,4,6,2,5,2,0,0,0,3,0,0
CY_5366,Agros,710,551,13,5,97,232,67,26,44,2,59,2,2,0,0,0,0,2,0,0
CY_5367,Agridia,217,180,4,1,92,40,20,5,15,1,0,2,0,0,0,0,0,0,0,0
CY_5368,Χανδριά,302,259,8,1,18,155,3,17,49,0,4,0,4,0,0,0,0,0,0,0
CY_5369,Κυπερούντα,1460,1144,30,11,175,479,169,74,165,5,9,3,21,1,0,1,0,1,0,0
CY_6001,Πάφος,15144,10791,289,201,2176,1892,1776,2786,1012,85,165,17,233,10,0,1,128,19,1,0
CY_6010,Γεροσκήπου,3618,2639,83,56,452,417,676,611,236,12,30,3,37,2,0,0,20,2,2,0
CY_6011,Konia,465,378,13,9,72,44,63,118,29,0,7,1,16,0,0,0,4,2,0,0
CY_6012,Agia Marinouda,106,85,6,2,11,11,18,23,7,0,2,0,3,1,0,0,1,0,0,0
CY_6014,Αχέλεια,124,102,2,3,29,24,11,17,4,1,2,0,5,0,0,0,3,0,1,0
CY_6020,Χλώρακας,1632,1202,38,15,209,231,327,175,159,6,20,1,9,0,0,0,11,1,0,0
CY_6021,Lempa,162,129,3,5,18,24,25,37,14,0,2,0,1,0,0,0,0,0,0,0
CY_6022,Empa,1759,1305,27,14,273,333,183,251,155,10,19,0,13,0,0,0,27,0,0,0
CY_6023,Tremithousa,317,264,15,8,31,27,47,48,46,0,4,1,10,0,1,0,24,0,2,0
CY_6024,Μέσα Χωριό,228,173,10,4,33,10,47,43,13,3,1,1,6,0,0,0,2,0,0,0
CY_6025,Μεσόγη,765,564,27,13,108,89,134,123,51,2,2,1,3,0,0,0,11,0,0,0
CY_6026,Tala,479,389,6,5,94,52,39,126,22,5,19,0,13,0,2,0,6,0,0,0
CY_6027,Kissonerga,878,702,17,9,84,64,245,190,59,7,12,0,7,3,0,0,5,0,0,0
CY_6100,Κούκλια Πάφου,530,411,5,6,120,72,58,106,35,2,2,0,1,0,0,0,4,0,0,0
CY_6101,Μανδριά Πάφου,340,265,13,6,35,88,55,24,34,1,2,0,3,0,0,0,4,0,0,0
CY_6102,Nikokleia,60,60,0,1,20,16,5,7,5,0,1,0,3,0,0,0,1,1,0,0
CY_6104,Τίμη,642,488,15,12,85,75,147,90,40,3,3,1,6,1,0,0,9,0,1,0
CY_6107,Anarita,291,223,1,4,40,44,25,74,10,3,3,0,12,0,0,0,7,0,0,0
CY_6110,Marathounta,176,138,3,4,45,6,39,24,7,0,6,1,1,1,0,1,0,0,0,0
CY_6111,Armou,217,190,5,1,45,16,42,43,10,1,14,2,8,0,0,0,3,0,0,0
CY_6112,Επισκοπή Πάφου,215,176,8,3,34,26,45,34,17,2,2,0,4,0,0,0,1,0,0,0
CY_6113,Nata,178,139,5,8,19,20,43,28,6,2,2,2,1,0,1,0,2,0,0,0
CY_6114,Χολέτρια,235,189,6,2,31,37,73,20,13,0,2,0,3,0,0,0,2,0,0,0
CY_6122,Stroumpi,443,355,12,4,90,79,42,64,54,0,5,1,3,0,0,0,1,0,0,0
CY_6120,Tsada,605,471,25,13,66,57,151,85,38,6,3,2,4,3,0,0,17,1,0,0
CY_6121,Κοίλη,256,209,2,5,72,36,29,42,18,0,2,1,1,0,0,0,1,0,0,0
CY_6123,Polemi,607,442,28,11,122,104,28,78,44,2,2,1,5,3,1,0,12,1,0,0
CY_6124,Kallepeia,172,156,4,2,31,23,26,64,1,3,1,1,0,0,0,0,0,0,0,0
CY_6125,Λετύμβου,341,278,9,4,87,45,44,78,5,0,3,1,1,0,0,0,1,0,0,0
CY_6128,Lemona,78,67,2,1,11,6,6,20,18,0,1,1,1,0,0,0,0,0,0,0
CY_6129,Χούλου,204,157,5,5,54,15,20,36,9,5,4,1,2,0,0,0,1,0,0,0
CY_6132,Kathikas,366,254,8,8,62,41,74,32,17,1,2,3,6,0,0,0,0,0,0,0
CY_6133,Pegeia,1294,934,33,19,166,262,209,113,71,4,33,3,16,2,0,0,2,1,0,0
CY_6200,Πάνω Aρχιμανδρίτα,57,44,1,2,10,7,5,5,13,0,0,1,0,0,0,0,0,0,0,0
CY_6201,Φασούλα Πάφου,52,49,5,2,6,6,8,12,9,1,0,0,0,0,0,0,0,0,0,0
CY_6205,Άγιος Γεώργιος Πάφου,129,117,6,4,30,10,28,28,7,0,0,0,4,0,0,0,0,0,0,0
CY_6208,Τραχυπέδουλα,104,76,0,1,29,8,21,9,3,0,0,0,2,0,0,0,3,0,0,0
CY_6210,Kelokedara,319,246,7,8,96,35,37,45,10,2,3,2,1,0,0,0,0,0,0,0
CY_6211,Salamiou,358,263,1,4,81,17,55,68,12,11,1,3,5,0,0,0,5,0,0,0
CY_6213,Kedares,70,59,2,0,20,9,19,7,1,0,0,1,0,0,0,0,0,0,0,0
CY_6214,Mesana,81,58,2,5,23,9,10,5,1,0,2,0,1,0,0,0,0,0,0,0
CY_6215,Praitori,111,82,3,2,13,18,22,13,4,1,5,0,0,0,0,0,1,0,0,0
CY_6218,Άγιος Νικόλαος Πάφου,68,62,3,0,23,20,9,5,1,0,0,0,0,0,0,0,1,0,0,0
CY_6220,Αμαργέτη,299,225,8,6,42,46,42,43,25,3,2,3,3,0,0,0,2,0,0,0
CY_6222,Pentalia,135,110,5,4,37,19,17,16,6,4,1,1,0,0,0,0,0,0,0,0
CY_6224,Galataria,80,68,2,1,36,5,11,7,4,0,1,0,1,0,0,0,0,0,0,0
CY_6225,Koilineia,52,47,0,2,17,1,6,20,1,0,0,0,0,0,0,0,0,0,0,0
CY_6227,Στατός-'Αγιος Φώτιος,313,245,8,7,65,28,35,57,21,17,1,0,1,0,0,0,4,1,0,0
CY_6230,Πάνω Παναγιά,558,396,6,10,106,11,152,99,7,2,2,0,0,0,0,0,1,0,0,0
CY_6231,Asprogia,55,50,2,1,10,15,9,6,1,0,1,0,0,0,0,0,5,0,0,0
CY_6300,Psathi,73,53,1,0,7,33,1,2,5,0,0,0,3,1,0,0,0,0,0,0
CY_6301,'Αγιος Δημητριανός,86,67,3,3,14,10,3,11,15,1,2,1,2,0,0,0,2,0,0,0
CY_6302,Κανναβιού,146,116,8,1,29,16,12,30,10,1,2,0,2,0,0,0,5,0,0,0
CY_6303,Θρίνια (Δρίνια),62,47,0,4,11,3,5,17,5,0,1,0,0,0,0,0,1,0,0,0
CY_6305,Kritou Marottou,61,49,1,0,23,2,6,12,2,2,0,0,0,0,0,0,1,0,0,0
CY_6306,Φύτη,115,87,4,3,27,6,11,23,5,4,2,0,2,0,0,0,0,0,0,0
CY_6307,Lasa,85,65,5,1,16,14,13,5,5,2,0,0,1,0,0,0,3,0,0,0
CY_6308,Δρύμου,91,77,6,0,26,6,10,23,2,0,0,0,1,0,0,0,3,0,0,0
CY_6310,Simou,165,130,5,1,8,27,20,52,6,1,0,0,6,0,0,0,3,1,0,0
CY_6315,Φιλούσα Χρυσοχούς,51,34,0,1,11,5,11,4,1,1,0,0,0,0,0,0,0,0,0,0
CY_6320,Λυσός,152,124,9,2,39,22,25,13,6,3,4,0,0,0,0,0,1,0,0,0
CY_6321,Περιστερώνα Πάφου,210,178,1,1,37,63,31,37,7,0,0,0,1,0,0,0,0,0,0,0
CY_6330,Theletra,166,140,4,3,32,34,25,27,10,1,1,0,2,0,0,0,1,0,0,0
CY_6331,Giolou,578,439,5,13,66,113,75,126,21,4,4,2,1,2,0,0,6,1,0,0
CY_6333,Μηλιού,53,49,0,0,14,9,17,4,2,3,0,0,0,0,0,0,0,0,0,0
CY_6334,Kato Akourdaleia,68,59,2,3,11,10,20,10,2,1,0,0,0,0,0,0,0,0,0,0
CY_6336,Kritou Tera,121,82,5,0,28,7,8,24,2,2,5,0,1,0,0,0,0,0,0,0
CY_6337,Σκούλλη,112,94,7,7,26,16,12,18,1,0,5,0,0,0,0,0,2,0,0,0
CY_6341,Χρυσοχού,82,75,3,2,26,6,23,8,6,0,0,0,0,1,0,0,0,0,0,0
CY_6343,Polis,1265,941,22,11,150,213,240,185,55,34,10,1,11,3,0,0,5,1,0,0
CY_6344,Νέο Χωριό Πάφου,266,196,6,3,59,42,44,22,10,5,3,1,0,1,0,0,0,0,0,0
CY_6345,Goudi,143,102,4,1,14,23,17,34,7,0,1,0,1,0,0,0,0,0,0,0
CY_6351,Pano Arodes,142,96,2,3,26,12,39,11,1,1,0,0,0,0,0,0,1,0,0,0
CY_6352,Ineia,362,259,18,12,88,47,30,52,3,4,0,1,1,1,0,0,1,1,0,0
CY_6353,Drouseia,317,231,12,2,55,39,16,87,11,0,4,1,1,1,1,0,1,0,0,0
CY_6361,Κυνούσα,77,66,8,1,3,12,13,21,2,1,2,0,2,1,0,0,0,0,0,0
CY_6363,Argaka,599,463,6,9,85,116,96,113,19,6,5,2,5,0,0,0,1,0,0,0
CY_6364,Gialia,100,83,5,1,11,15,20,22,6,0,1,0,0,0,0,0,2,0,0,0
CY_6365,Αγία Μαρίνα Χρυσοχούς,581,477,9,6,68,50,199,97,20,3,13,0,10,0,1,0,1,0,0,0
CY_6367,Pomos,474,377,14,7,48,50,124,100,16,6,8,0,3,1,0,0,0,0,0,0
CY_6368,Στενή,99,85,1,1,14,31,10,12,14,1,0,0,0,0,1,0,0,0,0,0
