gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ,ΑΚΕΛ - ΑΡΙΣΤΕΡΑ - ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ - ΟΙΚΟΛΟΓΟΙ,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,ΜΗΝΥΜΑ ΕΛΠΙΔΑΣ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΛΕΒΕΝΤ ΣΕΝΕΡ,ΔΡΑΣΥ -  EYLEM,ΚΟΜΜΑ ΓΙΑ ΤΑ ΖΩΑ ΚΥΠΡΟΥ,ΜΗΝΑΣ ΜΙΧΑΛΗΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΡΙΣΤΟΦΟΡΟΥ ΑΔΑΜΟΣ,ΘΕΟΔΟΥΛΟΥ ΘΕΟΔΟΥΛΟΣ,ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΟΜΜΑ ΚΥΠΡΟΥ,ΚΥΡΙΑΚΟY ΚΩΣΤΑΣ (ΟΥΤΟΠΟΣ),ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ
CY_1225,Tseri,4197,1937,45,31,520,224,740,111,107,76,26,11,14,21,0,1,0,2,3,5,0,0
CY_1226,Politiko,323,171,3,5,56,17,17,3,20,2,43,1,1,2,0,0,0,0,0,0,1,0
CY_1227,Pera,912,507,5,2,179,47,130,47,45,19,18,3,1,8,0,0,0,0,0,0,2,1
CY_1228,Episkopeio,400,186,5,7,105,8,24,8,10,12,4,1,0,1,0,0,0,0,0,0,0,1
CY_1229,Ψιμολόφου,1132,617,11,8,214,75,167,27,38,40,21,2,3,7,0,0,0,0,3,1,0,0
CY_1230,Ergates,1337,670,18,9,258,68,168,42,50,24,25,0,4,1,1,0,0,0,0,1,1,0
CY_1231,Anageia,1052,520,15,4,147,46,209,21,31,20,18,4,0,2,0,0,0,0,0,2,1,0
CY_1232,Πάνω Δευτερά,1704,977,13,9,334,92,361,36,61,31,25,5,2,7,0,0,0,0,1,0,0,0
CY_1233,Κάτω Δευτερά,1220,623,17,12,166,121,192,32,40,21,6,5,2,7,1,0,0,0,0,1,0,0
CY_1240,Agioi Trimithias,1123,579,9,11,278,97,60,32,43,24,7,7,4,4,0,0,0,0,2,1,0,0
CY_1241,Παλαιομέτοχο,3332,1590,38,24,726,199,220,135,102,61,56,1,3,10,8,2,0,1,1,2,1,0
CY_1242,Deneia,373,143,1,1,50,8,16,13,7,25,18,0,1,0,0,1,0,0,0,1,0,1
CY_1243,Kokkinotrimithia,2421,1153,20,10,451,106,301,51,84,54,33,9,6,14,5,2,0,1,1,0,5,0
CY_1244,Μάμμαρη,1168,644,7,11,424,42,46,17,27,35,19,2,5,6,2,0,0,0,0,1,0,0
CY_1300,Παλαιχώρι Μόρφου,717,410,4,6,146,29,121,41,29,13,9,2,3,4,0,0,0,0,0,0,2,1
CY_1301,Askas,214,114,3,1,54,8,12,15,14,2,2,0,0,2,0,0,0,0,0,0,1,0
CY_1302,Alona,183,117,1,1,86,12,5,3,5,1,1,0,2,0,0,0,0,0,0,0,0,0
CY_1303,Φτερικούδι,168,89,2,1,41,9,21,8,2,0,2,0,2,0,0,0,0,0,0,0,1,0
CY_1304,Πολύστυπος,295,183,0,3,96,18,27,20,9,7,3,0,0,0,0,0,0,0,0,0,0,0
CY_1305,Lagoudera,181,94,1,1,46,13,8,6,10,2,4,0,0,0,0,0,0,1,2,0,0,0
CY_1306,Saranti,85,51,1,1,33,6,2,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0
CY_1307,Λιβάδια Λευκωσίας,83,46,0,0,25,5,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CY_1309,Platanistasa,171,107,0,1,62,15,19,0,2,1,6,0,1,0,0,0,0,0,0,0,0,0
CY_1310,Παλαιχώρι Ορεινής,434,236,1,1,78,17,56,23,44,2,8,2,2,1,0,0,0,0,0,1,0,0
CY_1320,Ξυλιάτος,143,91,1,0,43,5,16,12,4,3,2,1,2,1,0,0,1,0,0,0,0,0
CY_1322,Νικητάρι,480,228,9,3,126,35,33,4,6,1,9,0,1,0,0,0,0,0,0,0,1,0
CY_1323,Βυζακιά,409,196,3,3,84,18,63,12,5,3,3,2,0,0,0,0,0,0,0,0,0,0
CY_1324,Αγία Μαρίνα Ξυλιάτου,605,323,12,5,122,16,115,14,14,10,8,3,1,2,0,0,0,0,0,1,0,0
CY_1326,Κάτω Μονή,296,140,1,2,48,13,48,8,7,7,5,0,0,0,0,0,0,0,0,0,1,0
CY_1327,Orounta,511,297,1,5,91,34,57,42,22,11,26,2,1,4,0,0,1,0,0,0,0,0
CY_1330,Potami,500,290,4,5,131,51,53,24,9,6,5,1,1,0,0,0,0,0,0,0,0,0
CY_1360,Akaki,2228,1100,16,12,262,276,300,68,67,47,24,4,4,15,0,0,0,0,0,5,0,0
CY_1361,Περιστερώνα Λευκωσίας,1892,938,25,16,364,123,205,91,35,38,25,7,4,4,0,1,0,0,0,0,0,0
CY_1362,Αστρομερίτης,11317,1025,41,9,290,121,302,66,55,40,14,41,29,6,0,0,0,0,8,1,2,0
CY_1368,Meniko,850,369,4,3,117,47,83,16,32,24,32,4,0,2,1,1,0,0,0,2,1,0
CY_1400,Σπήλια,256,134,2,2,67,13,21,17,6,3,1,0,1,0,0,0,0,0,0,1,0,0
