gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ,ΑΚΕΛ - ΑΡΙΣΤΕΡΑ - ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ - ΟΙΚΟΛΟΓΟΙ,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,ΜΗΝΥΜΑ ΕΛΠΙΔΑΣ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΛΕΒΕΝΤ ΣΕΝΕΡ,ΔΡΑΣΥ -  EYLEM,ΚΟΜΜΑ ΓΙΑ ΤΑ ΖΩΑ ΚΥΠΡΟΥ,ΜΗΝΑΣ ΜΙΧΑΛΗΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΡΙΣΤΟΦΟΡΟΥ ΑΔΑΜΟΣ,ΘΕΟΔΟΥΛΟΥ ΘΕΟΔΟΥΛΟΣ,ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΟΜΜΑ ΚΥΠΡΟΥ,ΚΥΡΙΑΚΟY ΚΩΣΤΑΣ (ΟΥΤΟΠΟΣ),ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ
CY_5211,Ερήμη,1182,628,10,5,248,89,168,16,42,21,15,0,2,5,0,6,1,0,0,0,0,0
CY_5212,Επισκοπή Λεμεσού,2601,1204,20,19,583,110,273,91,44,18,22,4,5,7,0,4,1,0,1,1,1,0
CY_5213,Kantou,326,142,3,1,42,15,60,12,1,4,1,2,0,0,0,1,0,0,0,0,0,0
CY_5214,Σωτήρα Λεμεσού,114,76,2,0,39,6,19,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0
CY_5220,Πραστιό Αυδήμου,208,140,1,2,54,3,24,32,18,0,4,1,0,1,0,0,0,0,0,0,0,0
CY_5221,Paramali,135,90,2,0,62,0,13,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0
CY_5222,Αυδήμου,509,209,6,0,125,13,34,11,9,4,6,0,1,0,0,0,0,0,0,0,0,0
CY_5223,Platanisteia,178,85,0,1,36,8,14,12,2,3,5,1,2,1,0,0,0,0,0,0,0,0
CY_5226,Ανώγυρα,216,128,2,0,53,19,46,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0
CY_5227,Pissouri,866,481,12,2,194,50,133,29,17,6,32,0,0,3,0,2,0,0,1,0,0,0
CY_5300,Souni-Zanakia,447,204,7,1,113,9,36,8,17,2,4,1,1,4,0,0,0,0,0,0,1,0
CY_5302,Alassa,233,122,3,1,61,15,11,5,16,5,1,2,2,0,0,0,0,0,0,0,0,0
CY_5304,Πάνω Κιβίδες,608,288,4,1,182,39,15,12,7,17,7,1,1,1,0,1,0,0,0,0,0,0
CY_5305,Άγιος Αμβρόσιος Λεμεσού,342,182,5,4,78,15,7,30,12,2,27,0,1,1,0,0,0,0,0,0,0,0
CY_5306,Agios Therapon,217,136,0,2,103,20,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0
CY_5307,Λόφου,139,80,1,1,44,7,11,3,8,1,2,0,0,0,0,2,0,0,0,0,0,0
CY_5308,Πάχνα,978,551,10,4,296,67,64,32,33,10,30,2,0,1,0,2,0,0,0,0,0,0
CY_5310,Άγιος Γεώργιος Λεμεσού,170,80,1,1,25,9,24,10,6,1,2,0,0,1,0,0,0,0,0,0,0,0
CY_5311,Doros,148,94,3,0,56,4,2,16,8,1,1,2,1,0,0,0,0,0,0,0,0,0
CY_5312,Laneia,202,119,2,0,59,22,13,9,5,3,1,1,2,2,0,0,0,0,0,0,0,0
CY_5313,Silikou,180,97,1,0,32,10,45,2,2,3,0,0,0,1,0,0,0,0,1,0,0,0
CY_5314,Monagri,234,129,1,0,50,7,23,17,7,2,17,1,1,1,1,1,0,0,0,0,0,0
CY_5315,Τριμήκληνη,421,217,5,2,75,45,37,18,19,2,12,0,2,0,0,0,0,0,0,0,0,0
CY_5316,Agios Mamas,257,141,1,1,72,20,5,26,12,0,3,0,1,0,0,0,0,0,0,0,0,0
CY_5317,Kouka,112,60,3,2,11,12,23,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0
CY_5318,Μονιάτης,397,211,0,2,132,26,15,5,13,7,4,0,0,2,0,5,0,0,0,0,0,0
CY_5320,Dora,233,121,1,0,52,20,6,3,7,3,28,0,0,0,0,0,0,0,1,0,0,0
CY_5322,Άρσος Λεμεσού,300,178,1,0,69,21,59,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0
CY_5324,Malia,105,54,0,0,18,3,17,4,3,1,7,0,1,0,0,0,0,0,0,0,0,0
CY_5325,Βάσα Κοιλανίου,206,125,5,0,44,6,36,2,6,22,2,1,1,0,0,0,0,0,0,0,0,0
CY_5326,Βουνί,234,115,2,0,46,20,11,4,18,4,5,0,1,2,0,0,0,0,0,1,1,0
CY_5327,Pera Pedi,178,121,0,1,75,11,21,8,2,1,0,2,0,0,0,0,0,0,0,0,0,0
CY_5328,Μανδριά Λεμεσού,116,74,1,1,22,9,32,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0
CY_5329,Potamiou,128,74,3,2,41,11,2,7,4,1,2,0,0,1,0,0,0,0,0,0,0,0
CY_5330,Omodos,315,162,2,2,74,43,7,14,5,1,3,2,0,0,0,0,0,0,0,0,0,9
CY_5331,Koilani,454,243,2,3,73,41,94,11,12,1,0,1,0,4,0,0,0,0,0,0,0,1
CY_5340,'Αγιος Δημήτριος,71,29,0,1,14,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
CY_5341,Παλαιόμυλος,39,28,1,2,4,0,12,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0
CY_5342,Prodromos,253,82,0,0,45,12,5,2,14,2,0,1,0,0,0,0,0,0,0,0,1,0
CY_5343,Kaminaria,128,52,0,1,30,3,6,1,8,1,1,0,0,0,0,0,0,0,1,0,0,0
CY_5344,Treis Elies,84,36,1,0,7,3,14,0,6,2,1,1,0,1,0,0,0,0,0,0,0,0
CY_5345,Lemithou,131,44,4,0,15,13,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CY_5350,Κάτω Πλάτρες (Toρνάρηδες),211,128,4,0,43,20,35,13,7,3,1,0,0,1,0,0,0,0,0,0,1,0
CY_5351,Pano Platres,250,147,2,1,72,24,8,20,14,5,1,0,0,0,0,0,0,0,0,0,0,0
CY_5352,Φοινί,514,246,6,1,96,17,50,44,19,9,1,1,1,0,1,0,0,0,0,0,0,0
CY_5355,Αμίαντος,306,205,2,1,110,18,51,0,8,3,8,3,0,0,0,0,0,0,0,1,0,0
CY_5360,Άγιος Θεόδωρος Λεμεσού,147,98,5,0,56,3,12,7,2,7,2,1,0,0,0,2,0,0,0,1,0,0
CY_5361,Άγιος Ιωάννης Λεμεσού,480,228,7,3,87,25,46,26,20,3,4,1,0,0,0,4,0,0,1,1,0,0
CY_5362,Κάτω Μύλος,104,69,2,0,37,13,2,1,8,1,2,0,1,0,0,1,0,0,0,0,1,0
CY_5363,Potamitissa,126,76,3,1,38,23,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
CY_5364,Δύμες,188,113,1,2,51,19,20,10,5,4,0,0,0,1,0,0,0,0,0,0,0,0
CY_5365,Pelendri,1315,802,9,7,239,22,476,5,19,6,10,0,2,2,0,0,0,0,0,5,0,0
CY_5366,Agros,700,443,5,2,277,58,56,9,12,16,2,3,2,0,0,1,0,0,0,0,0,0
CY_5367,Agridia,196,122,4,2,41,42,13,12,5,0,1,0,1,0,0,0,0,0,0,0,0,1
CY_5368,Χανδριά,257,158,7,0,131,4,5,4,0,2,4,0,1,0,0,0,0,0,0,0,0,0
CY_5369,Κυπερούντα,1437,811,14,9,459,69,132,32,51,27,10,1,0,4,0,0,0,1,0,2,0,0
CY_6000,Πάφος,17557,7802,177,62,1965,1052,1262,1442,782,321,499,64,31,48,5,73,2,0,5,6,5,1
CY_6010,Γεροσκήπου,4552,1972,51,36,415,245,524,271,196,82,92,13,17,6,1,16,0,0,4,2,1,0
CY_6011,Konia,896,463,13,6,84,65,115,57,23,13,62,6,0,9,1,4,0,0,0,3,1,1
CY_6012,Agia Marinouda,204,104,2,2,24,8,14,22,7,1,15,1,3,0,0,4,0,0,0,0,0,1
CY_6014,Αχέλεια,109,59,1,0,22,12,8,5,4,2,1,0,0,1,0,3,0,0,0,0,0,0
CY_6020,Χλώρακας,2172,1039,20,22,264,132,284,112,48,30,96,3,2,8,1,14,0,0,0,2,1,0
CY_6021,Lempa,271,140,2,0,31,12,36,20,13,12,8,0,1,0,0,5,0,0,0,0,0,0
CY_6022,Έμπα,2621,1118,27,2,334,187,142,151,110,31,102,4,5,4,0,16,0,0,2,1,0,0
CY_6023,Tremithousa,459,237,7,10,47,38,46,44,15,8,15,0,1,0,0,6,0,0,0,0,0,0
CY_6024,Μέσα Χωριό,316,199,6,3,28,21,63,37,19,4,14,0,0,2,1,1,0,0,0,0,0,0
CY_6025,Μεσόγη,918,469,8,5,96,71,121,78,33,13,39,2,0,0,0,1,0,0,1,0,0,1
CY_6026,Τάλα,842,402,9,1,77,55,44,77,48,14,53,5,1,11,0,6,0,0,0,0,1,0
CY_6027,Kissonerga,1018,530,7,3,105,63,177,72,41,20,31,2,4,1,0,3,0,0,0,0,1,0
CY_6100,Κούκλια Πάφου,607,294,4,3,58,78,47,49,29,1,9,0,6,1,0,8,0,0,0,1,0,0
CY_6101,Μανδριά Πάφου,465,209,10,1,78,8,58,14,11,9,15,2,1,1,0,1,0,0,0,0,0,0
CY_6102,Nikokleia,96,55,2,0,14,6,3,16,4,3,7,0,0,0,0,0,0,0,0,0,0,0
CY_6104,Τίμη,775,370,4,7,101,46,110,39,19,7,30,1,0,2,0,4,0,0,0,0,0,0
CY_6106,Αγία Βαρβάρα Πάφου,108,67,1,0,18,6,3,17,12,0,7,0,0,0,0,1,0,0,0,1,0,1
CY_6107,Anarita,369,181,6,3,47,17,18,48,18,6,12,0,3,1,0,2,0,0,0,0,0,0
CY_6110,Marathounta,193,82,5,2,8,13,25,13,3,4,6,0,0,0,0,3,0,0,0,0,0,0
CY_6111,Armou,281,143,5,8,21,23,35,22,7,9,8,0,0,3,0,2,0,0,0,0,0,0
CY_6112,Επισκοπή Πάφου,190,141,8,2,26,18,43,21,3,0,16,0,2,0,0,2,0,0,0,0,0,0
CY_6113,Nata,189,113,2,0,17,11,55,15,2,6,4,0,0,1,0,0,0,0,0,0,0,0
CY_6114,Χολέτρια,294,161,6,5,31,27,52,17,9,7,2,0,1,0,0,4,0,0,0,0,0,0
CY_6122,Stroumpi,428,251,3,4,71,74,17,18,18,5,23,14,1,2,0,1,0,0,0,0,0,0
CY_6120,Tsada,696,361,8,4,86,47,85,63,21,10,24,1,1,1,0,6,0,0,1,2,1,0
CY_6121,Κοίλη,270,160,3,2,39,55,29,16,6,4,6,0,0,0,0,0,0,0,0,0,0,0
CY_6123,Polemi,736,352,10,1,116,44,24,37,47,33,31,2,4,0,0,1,0,0,1,1,0,0
CY_6124,Kallepeia,251,183,0,1,31,24,80,27,3,7,9,0,0,0,0,1,0,0,0,0,0,0
CY_6125,Λετύμβου,294,203,8,3,21,31,17,52,8,1,56,1,0,0,1,1,1,0,1,1,0,0
CY_6128,Lemona,68,38,1,0,8,5,3,17,0,0,3,0,1,0,0,0,0,0,0,0,0,0
CY_6129,Χούλου,329,210,6,11,23,14,23,107,9,4,8,0,1,2,0,1,0,0,0,1,0,0
CY_6132,Kathikas,351,168,4,2,42,33,41,11,20,3,7,0,1,3,0,0,0,0,0,1,0,0
CY_6133,Pegeia,1928,821,18,13,281,133,187,84,37,14,26,3,1,10,0,9,0,1,1,2,1,0
CY_6200,Πάνω Aρχιμανδρίτα,62,33,0,0,19,6,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0
CY_6201,Φασούλα Πάφου,50,31,0,4,5,5,5,4,3,1,0,0,3,0,0,0,0,0,0,1,0,0
CY_6205,Άγιος Γεώργιος Πάφου,144,77,1,1,7,13,17,28,4,0,6,0,0,0,0,0,0,0,0,0,0,0
CY_6208,Τραχυπέδουλα,136,81,0,2,16,19,23,11,4,0,5,1,0,0,0,0,0,0,0,0,0,0
CY_6210,Kelokedara,245,94,1,2,17,19,11,22,13,0,8,0,1,0,0,0,0,0,0,0,0,0
CY_6211,Salamiou,309,146,3,0,20,27,34,33,16,4,8,0,0,1,0,0,0,0,0,0,0,0
CY_6213,Kedares,60,40,3,2,10,5,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CY_6214,Mesana,89,44,3,0,20,5,9,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
CY_6215,Praitori,78,53,1,1,20,5,11,5,4,1,5,0,0,0,0,0,0,0,0,0,0,0
CY_6218,Άγιος Νικόλαος Πάφου,55,33,0,0,12,6,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CY_6220,Αμαργέτη,301,174,3,0,61,17,38,27,4,2,18,1,1,1,0,0,0,0,1,0,0,0
CY_6222,Pentalia,217,86,1,2,24,23,18,9,5,2,1,1,0,0,0,0,0,0,0,0,0,0
CY_6224,Galataria,185,86,5,0,14,31,5,6,18,0,5,0,0,1,0,1,0,0,0,0,0,0
CY_6227,Στατός-'Αγιος Φώτιος,300,161,4,4,29,36,19,49,14,3,0,0,0,0,0,0,0,1,0,2,0,0
CY_6230,Πάνω Παναγιά,565,356,4,4,20,22,61,37,176,1,26,2,2,1,0,0,0,0,0,0,0,0
CY_6231,Asprogia,103,54,1,0,15,14,4,3,10,0,6,0,0,0,0,0,0,0,1,0,0,0
CY_6301,'Αγιος Δημητριανός,106,59,0,1,12,4,7,15,12,1,7,0,0,0,0,0,0,0,0,0,0,0
CY_6302,Κανναβιού,207,119,0,0,15,16,16,31,26,2,12,0,0,0,0,0,0,0,1,0,0,0
CY_6303,Θρίνια (Δρίνια),67,47,0,0,7,10,11,8,5,2,0,0,3,0,0,1,0,0,0,0,0,0
CY_6305,Kritou Marottou,103,44,0,1,2,11,3,7,12,0,7,0,0,0,0,0,0,0,1,0,0,0
CY_6306,Φύτη,141,59,1,1,9,17,11,7,11,0,2,0,0,0,0,0,0,0,0,0,0,0
CY_6307,Lasa,76,34,0,0,9,4,5,6,4,1,3,2,0,0,0,0,0,0,0,0,0,0
CY_6308,Δρύμου,104,55,1,1,8,8,7,11,10,1,5,0,1,0,0,2,0,0,0,0,0,0
CY_6310,Simou,207,113,3,1,24,7,9,28,15,6,19,1,0,0,0,0,0,0,0,0,0,0
CY_6320,Λυσός,186,92,2,0,25,13,17,7,25,1,1,0,0,0,0,0,0,0,0,0,0,1
CY_6321,Περιστερώνα Πάφου,211,113,6,4,40,17,23,5,5,7,5,0,0,0,0,1,0,0,0,0,0,0
CY_6330,Theletra,152,80,2,0,11,14,17,18,4,4,8,0,1,1,0,0,0,0,0,0,0,0
CY_6331,Giolou,639,337,11,6,103,37,74,62,9,10,20,0,1,1,0,0,0,0,1,1,1,0
CY_6333,Μηλιού,79,57,0,0,20,5,16,5,1,2,7,1,0,0,0,0,0,0,0,0,0,0
CY_6334,Kato Akourdaleia,80,45,3,2,9,8,16,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0
CY_6336,Kritou Tera,193,74,1,1,15,23,8,10,3,3,6,0,0,1,0,3,0,0,0,0,0,0
CY_6337,Σκούλλη,124,59,2,0,13,10,16,3,8,2,4,0,0,0,0,0,0,0,0,1,0,0
CY_6341,Χρυσοχού,96,41,0,0,9,14,11,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0
CY_6343,Polis,1496,796,8,10,231,156,193,85,32,52,17,2,5,2,0,1,0,0,0,2,0,0
CY_6344,Νέο Χωριό Πάφου,332,147,7,4,48,12,32,16,8,10,5,1,1,1,0,0,1,0,0,1,0,0
CY_6345,Goudi,138,78,0,4,18,6,26,17,2,1,4,0,0,0,0,0,0,0,0,0,0,0
CY_6351,Pano Arodes,129,61,3,0,11,17,18,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0
CY_6352,Ineia,325,125,3,1,34,33,18,15,9,2,9,0,0,0,0,0,0,0,0,1,0,0
CY_6353,Drouseia,303,156,5,0,42,36,24,19,9,6,12,0,0,0,1,2,0,0,0,0,0,0
CY_6361,Κυνούσα,149,68,5,0,17,0,14,13,7,3,2,1,4,1,0,0,0,0,1,0,0,0
CY_6363,Argaka,689,375,5,5,149,39,87,49,12,12,13,0,1,0,0,0,0,0,2,1,0,0
CY_6364,Gialia,146,79,0,0,24,12,14,11,7,8,3,0,0,0,0,0,0,0,0,0,0,0
CY_6365,Αγία Μαρίνα Χρυσοχούς,580,345,4,1,41,42,163,30,19,33,8,0,1,0,0,1,0,0,2,0,0,0
CY_6367,Pomos,485,337,13,6,56,23,61,28,9,135,4,0,0,0,0,1,0,0,0,1,0,0
CY_6368,Στενή,128,82,2,0,32,20,3,3,11,8,0,0,1,2,0,0,0,0,0,0,0,0
CY_CYZZBE,ΒΕΛΓΙΟ,236,203,1,1,119,10,35,10,6,5,0,6,7,3,0,0,0,0,0,0,0,0
CY_CYZZGB,ΗΝΩΜΕΝΟ ΒΑΣΙΛΕΙΟ,2055,986,20,4,228,36,585,22,40,11,7,13,12,6,0,0,1,0,0,0,0,1
CY_CYZZEL,ΕΛΛΑΔΑ,3907,2339,31,17,844,77,912,173,145,39,42,9,22,15,0,1,0,2,4,2,2,2
