gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,CSU,GRÜNE,PDS,FDP,REP,Die Tierschutzpartei,GRAUE,NPD,DIE FRAUEN,ödp,PBC,CM,BP,BüSo,ZENTRUM,FAMILIE,Deutschland,Unabhängige Kandidaten,AUFBRUCH,DKP,DP,PSG
DEE16,Wittenberg,104576,48787,3412,0,16667,7676,0,1659,10362,2466,955,985,557,707,504,89,155,148,0,129,78,1022,350,158,226,129,206,147
DEE21,"Halle (Saale), Stadt",196609,75996,3599,0,18249,13606,0,7305,19565,4424,666,1218,1788,1033,610,163,170,134,0,165,66,1275,449,329,345,401,245,191
DEE22,Burgenlandkreis,115175,51695,3494,0,17389,7746,0,1631,10856,2837,914,951,623,2058,523,107,203,133,0,109,58,897,362,125,220,170,149,140
DEE23,Mansfelder Land,87411,37525,2970,0,12217,6255,0,841,8477,1742,636,766,547,542,372,87,84,112,0,86,50,773,264,154,151,117,176,106
DEE24,Merseburg-Querfurt,108840,46293,2881,0,15417,7851,0,1387,10311,2876,664,759,656,764,457,85,76,90,0,93,47,869,304,212,130,144,114,106
DEE25,Saalkreis,67231,33395,2613,0,11121,4899,0,1271,6758,2265,564,652,472,476,350,66,65,75,0,85,44,790,252,153,141,103,96,84
DEE26,Sangerhausen,54763,24711,1573,0,8290,3850,0,696,5288,1697,497,405,265,576,234,36,52,69,0,57,46,476,164,75,107,66,121,71
DEE27,Weißenfels,63443,27498,1914,0,9202,4626,0,718,6122,1169,565,494,347,457,286,50,75,87,0,68,34,605,217,102,99,74,104,83
DEE31,"Magdeburg, Landeshauptstadt",189195,66302,3535,0,15872,13881,0,4609,18310,3095,728,1230,1034,640,522,123,110,102,0,135,49,1044,295,210,185,221,243,129
DEE32,Aschersleben-Staßfurt,81855,28885,2018,0,9393,4855,0,838,6647,1326,400,528,376,546,246,48,61,73,0,54,41,591,177,97,94,97,313,66
DEE33,Bördekreis,64359,27405,2083,0,9216,5488,0,814,5381,1277,325,457,287,323,274,66,49,87,0,51,40,575,176,78,112,72,111,63
DEE34,Halberstadt,64549,24723,1510,0,9710,3712,0,955,5201,809,296,385,229,386,215,168,60,74,0,55,26,435,128,85,76,59,76,73
DEE35,Jerichower Land,81008,34729,2713,0,11542,5989,0,1242,7423,1687,521,721,418,306,346,61,76,100,0,69,36,696,187,136,128,85,143,104
DEE36,Ohrekreis,95920,42711,3305,0,15209,7285,0,1555,8297,2211,499,836,444,512,425,66,85,84,0,89,52,852,248,140,151,105,166,95
DEE37,Stendal,109266,48516,3279,0,15942,8471,0,1719,10870,1941,765,845,579,664,484,99,215,168,0,99,305,1128,272,113,162,114,148,134
DEE38,Quedlinburg,63178,26737,1985,0,8856,4614,0,1080,5156,1611,305,551,339,472,279,47,60,70,0,61,23,511,199,101,108,73,161,75
DEE39,Schönebeck,61557,23297,1603,0,8262,3653,0,743,5049,1043,401,491,338,181,217,25,124,62,0,47,32,507,147,72,86,59,81,74
DEE3A,Wernigerode,78490,34949,2420,0,11402,6587,0,1417,7299,1360,425,624,492,487,296,89,126,84,0,91,42,798,245,103,178,80,216,88
DEE3B,Altmarkkreis Salzwedel,80382,36305,2597,0,12672,6469,0,1289,7279,1764,439,652,382,447,400,78,132,99,0,59,46,737,191,129,122,111,110,101
DEG01,"Erfurt, Stadt",164847,85200,2363,0,25682,13320,0,8179,23796,3304,1492,1213,1240,793,694,147,111,56,0,93,72,1141,495,279,180,204,235,111
DEG02,"Gera, Stadt",88658,42607,1611,0,12577,6000,0,2170,13572,1558,700,738,712,667,428,56,91,34,0,68,36,680,421,112,113,98,88,77
DEG03,"Jena, Stadt",83848,48473,1110,0,12397,9036,0,7069,11565,2577,786,628,468,647,402,131,103,38,0,80,43,577,259,195,110,115,76,61
DEG04,"Suhl, Stadt",36953,18653,652,0,5043,2600,0,987,6453,785,250,271,187,302,204,30,20,10,0,36,18,282,139,90,63,48,140,43
DEG05,"Weimar, Stadt",51472,28268,775,0,8894,4339,0,4135,6004,1141,843,405,338,267,210,42,54,28,0,31,37,340,147,55,69,43,38,33
DEG0N,"Eisenach, Stadt",36466,18674,528,0,5798,3149,0,1456,4959,663,412,287,221,191,150,55,45,20,0,36,19,285,145,51,85,38,41,40
DEG06,Eichsfeld,89018,53818,1380,0,32886,5206,0,1605,6086,1834,580,358,305,1168,368,407,76,86,0,27,62,653,316,101,93,44,131,46
DEG07,Nordhausen,78557,38097,1186,0,13263,6584,0,1565,10493,1488,538,450,315,617,320,46,85,37,0,50,38,428,280,58,52,64,88,52
DEG0P,Wartburgkreis,116739,65909,2296,0,23422,10298,0,2667,15240,2720,1877,1001,476,1162,765,103,103,110,0,374,70,1223,736,488,345,112,198,123
DEG09,Unstrut-Hainich-Kreis,94802,49756,1619,0,20315,7572,0,1738,11318,1925,1023,624,415,854,469,57,61,70,0,52,74,727,379,140,90,67,107,60
DEG0A,Kyffhäuserkreis,75484,38389,1386,0,14476,5993,0,1178,9734,1341,557,503,266,1141,370,41,41,49,0,41,30,529,298,69,114,45,127,60
DEG0B,Schmalkalden-Meiningen,117138,64091,2420,0,21626,9182,0,2654,17273,2997,1447,933,575,836,669,94,146,91,0,350,55,1001,616,381,286,77,280,102
DEG0C,Gotha,120426,67102,2394,0,25136,9940,0,2962,16035,2625,1731,1119,646,816,648,95,113,94,0,206,76,958,581,217,220,99,262,129
DEG0D,Sömmerda,65150,35550,1265,0,14108,4784,0,1328,8469,1462,919,589,286,666,343,35,35,26,0,53,35,540,286,86,76,50,64,45
DEG0E,Hildburghausen,60116,30655,1076,0,11653,4899,0,992,7726,1158,693,338,147,470,321,52,40,29,0,26,40,416,244,89,66,42,90,48
DEG0F,Ilm-Kreis,98645,54918,2038,0,20062,8100,0,2824,13556,2243,1165,831,539,758,498,79,89,56,0,65,48,859,437,167,137,88,193,86
DEG0G,Weimarer Land,73264,41708,1387,0,16598,5899,0,1978,8777,1860,1386,638,368,760,429,59,49,34,0,60,47,633,308,158,94,65,65,56
DEG0H,Sonneberg,55681,27517,1076,0,9894,4132,0,898,7425,976,597,356,209,488,268,32,42,20,0,40,33,448,236,97,88,42,65,55
DEG0I,Saalfeld-Rudolstadt,106518,57224,2168,0,20855,8664,0,2197,14012,2215,1094,785,534,1708,575,82,52,51,0,100,57,952,431,152,180,98,156,106
DEG0J,Saale-Holzland-Kreis,76095,44310,1599,0,16538,6558,0,2020,10531,1995,1048,606,376,672,483,60,106,37,0,83,44,687,402,125,122,60,91,67
DEG0K,Saale-Orla-Kreis,78906,43095,1550,0,15903,6412,0,1541,10819,1797,1016,607,324,740,433,63,115,79,0,114,52,681,335,134,123,82,97,78
DEG0L,Greiz,100144,54341,2262,0,21301,7795,0,2018,11994,2264,1359,819,548,844,572,65,204,87,0,72,47,951,470,161,160,99,143,106
DEG0M,Altenburger Land,91868,44710,1920,0,16464,6641,0,1294,11056,1881,1152,719,481,807,406,55,119,51,0,42,39,713,416,129,83,67,107,68
