gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,GRÜNE,CSU,DIE LINKE,FDP,REP,Die Tierschutzpartei,FAMILIE,ödp,DIE FRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BüSo,50Plus,AUF,DVU,DIE GRAUEN,DIE VIOLETTEN,EDE,FBI,FÜR VOLKSENTSCHEIDE,FW FREIE WÄHLER,Newropeans,PIRATEN,RRP,RENTNER
DE_07339013,Dolgesheim,741,424,24,0,111,176,24,0,10,27,13,8,3,3,5,0,4,1,0,0,1,0,0,2,1,0,0,0,0,1,0,4,0,5,0,1
DE_07339015,Eimsheim,407,187,7,0,79,46,15,0,9,16,2,2,3,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0
DE_07339016,Engelstadt,566,278,15,0,80,62,28,0,15,49,10,5,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,0,1
DE_07339017,Essenheim,2513,1180,27,0,301,373,200,0,28,143,27,16,6,5,4,1,0,1,3,1,1,0,0,5,0,2,1,3,0,1,1,10,0,15,2,3
DE_07339018,Friesenheim,532,304,14,0,102,58,46,0,11,37,10,5,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,1,4,1,3
DE_07339019,Gau-Algesheim,5069,1972,74,0,781,441,287,0,41,209,21,23,10,5,9,1,9,4,2,0,0,0,1,3,2,1,2,3,1,0,2,15,0,16,2,7
DE_07339020,Gau-Bischofsheim,1563,731,22,0,266,160,103,0,17,87,26,9,2,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,5,1,12,1,6
DE_07339021,Gensingen,2686,1220,49,0,404,352,127,0,41,138,18,18,9,3,2,1,4,1,1,2,0,0,1,2,1,7,0,4,0,0,0,26,0,5,1,3
DE_07339022,Grolsheim,906,436,23,0,115,120,36,0,14,61,25,5,7,2,2,1,2,0,0,0,0,0,0,1,1,1,3,0,0,1,0,2,0,6,5,3
DE_07339024,Guntersblum,3008,1259,71,0,416,341,159,0,33,108,29,14,14,6,6,1,4,3,0,2,0,2,1,3,3,1,1,2,0,1,1,13,1,11,3,9
DE_07339025,Hahnheim,1246,573,14,0,174,147,83,0,20,67,27,11,3,4,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,7,1,4
DE_07339026,Harxheim,1661,921,34,0,319,219,117,0,14,129,25,10,10,1,3,1,4,1,0,0,0,1,0,4,1,2,2,2,0,1,2,6,0,11,1,1
DE_07339027,Heidesheim am Rhein,5601,2029,65,0,769,457,340,0,73,150,50,18,15,6,3,3,7,1,2,0,2,0,0,7,1,5,1,7,0,3,1,11,1,24,2,5
DE_07339028,Hillesheim,491,276,22,0,74,110,10,0,5,26,7,1,3,0,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,4,0,3
DE_07339029,Horrweiler,588,284,9,0,83,87,33,0,6,48,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,2,1
DE_07339030,Ingelheim am Rhein,18717,9747,239,0,3285,2346,1459,0,245,1266,207,106,47,34,28,23,24,9,9,3,5,1,8,22,6,15,13,24,6,24,15,68,3,121,35,51
