gisco_id,name,registered,turnout,invalid,blank,CDU,Grüne,SPD,AfD,CSU,Linke,FDP,PARTEI,FW,Tierschutzpartei,ÖDP,Familie,Volt,Piraten,MERA25,Heimat,TIERSCHUTZ hier!,Verjüngungsforschung,BIG,Bündnis C,PdH,Menschliche Welt,DKP,MLPD,SGP,ABG,dieBasis,BD,BSW,DAVA,Klimaliste,Letzte Generation,PDV,PdF,V-Partei³
DE_08325053,Schramberg,14624,8684,127,0,3103,657,921,1561,0,99,503,118,317,106,188,77,152,29,10,12,40,6,8,31,15,18,1,1,3,4,29,43,430,10,6,8,7,37,7
DE_08325057,Sulz am Neckar,9087,5779,66,0,2022,363,563,1279,0,64,359,50,296,68,43,42,65,11,4,10,39,0,1,55,9,7,2,0,0,7,16,30,244,16,2,4,7,27,8
DE_08325060,Villingendorf,2569,1738,18,0,707,114,126,287,0,21,150,20,38,13,37,10,39,1,3,2,8,1,1,5,6,0,0,0,0,2,10,9,92,1,3,1,0,13,0
DE_08325061,Vöhringen,3408,2374,45,0,776,133,189,552,0,22,196,30,106,25,19,12,38,13,8,5,10,8,3,16,10,4,0,1,1,4,2,13,100,12,3,1,1,13,3
DE_08325064,Wellendingen,2395,1436,24,0,599,81,81,337,0,14,63,12,33,19,11,9,16,5,2,2,6,0,1,3,1,4,0,0,0,3,3,6,76,8,0,1,1,11,4
DE_08325069,Zimmern ob Rottweil,4818,3175,29,0,1191,274,240,633,0,36,225,37,109,38,27,10,38,8,2,3,16,1,4,8,4,3,0,0,0,0,13,22,162,3,0,5,4,24,6
DE_08325070,Fluorn-Winzeln,2439,1709,27,0,684,92,125,346,0,8,111,24,54,13,51,6,24,4,0,5,8,2,1,6,1,7,0,0,0,5,6,6,80,3,2,2,0,5,1
DE_08325071,Eschbronn,1694,1225,15,0,433,73,89,247,0,12,69,10,57,19,30,9,25,3,0,2,12,0,2,20,4,2,0,1,0,1,15,6,60,1,0,0,2,5,1
DE_08325072,Deißlingen,4605,2998,52,0,1013,228,323,640,0,32,178,39,86,45,25,21,44,13,2,4,19,0,3,11,5,9,0,0,0,4,15,11,146,6,2,3,5,10,4
DE_08326003,Bad Dürrheim,10049,6312,70,0,2345,534,542,1086,0,46,528,62,297,81,29,27,75,27,5,7,30,2,3,47,10,11,1,2,0,8,20,25,333,10,1,8,6,27,7
DE_08326005,Blumberg,7185,4396,60,0,1758,223,397,927,0,37,317,49,142,43,9,33,37,15,3,8,25,1,1,9,7,13,3,1,0,1,19,24,159,32,2,7,1,26,7
DE_08326006,Bräunlingen,4405,3019,22,0,1212,294,278,412,0,25,290,34,70,39,11,28,27,13,3,0,23,0,3,9,1,6,1,1,0,1,9,14,163,5,0,7,1,13,4
DE_08326010,Dauchingen,2887,1976,15,0,848,172,196,335,0,12,122,12,72,21,8,7,21,5,4,2,8,0,4,5,2,4,0,0,0,1,6,5,73,0,0,3,3,9,1
DE_08326012,Donaueschingen,15869,9784,116,0,3360,1092,917,1619,0,128,814,133,247,127,53,65,150,50,11,3,49,1,7,27,5,28,0,1,0,13,36,61,549,29,6,17,8,48,14
DE_08326017,Furtwangen im Schwarzwald,6106,4032,58,0,1515,501,377,524,0,64,239,73,143,52,18,23,100,25,4,1,20,0,3,9,10,6,0,0,0,1,27,11,172,14,4,7,2,21,8
DE_08326020,Gütenbach,861,634,16,0,266,52,56,108,0,5,26,5,31,7,3,3,5,1,0,1,6,0,0,0,1,0,0,0,0,0,3,3,26,2,0,2,0,6,0
DE_08326027,Hüfingen,5696,3910,63,0,1488,364,397,603,0,46,316,50,91,43,19,21,65,7,5,3,21,0,2,2,8,6,1,1,0,1,11,8,201,29,4,4,4,21,5
DE_08326031,Königsfeld im Schwarzwald,4744,3388,36,0,1196,457,351,435,0,42,209,42,153,45,21,12,66,12,1,5,18,0,2,24,4,6,2,1,0,3,20,19,170,2,2,6,3,20,3
DE_08326037,Mönchweiler,2309,1525,17,0,567,143,154,233,0,17,114,23,59,10,5,9,36,8,0,0,7,0,1,17,3,1,0,0,0,1,5,12,75,0,2,2,1,3,0
DE_08326041,Niedereschach,4625,3138,33,0,1255,292,235,560,0,18,181,33,132,39,17,20,59,21,0,1,12,2,1,6,1,5,0,1,0,3,13,9,156,3,3,1,5,13,8
DE_08326052,St.Georgen im Schwarzwald,9098,5666,75,0,1836,619,725,818,0,66,364,66,298,79,39,23,130,23,4,7,21,2,1,73,7,16,1,1,1,3,23,37,252,6,6,8,5,26,5
DE_08326054,Schönwald im Schwarzwald,1979,1347,26,0,522,96,104,263,0,14,70,9,84,17,9,11,8,0,1,3,7,2,0,2,4,5,1,1,0,0,8,2,66,0,0,3,0,7,2
DE_08326055,Schonach im Schwarzwald,2966,2166,32,0,981,182,177,313,0,20,121,13,111,19,11,18,25,7,4,3,10,0,0,6,6,2,0,0,0,1,10,7,74,2,1,0,0,8,2
DE_08326060,Triberg im Schwarzwald,3039,1856,40,0,796,119,151,319,0,21,77,14,104,28,5,9,25,6,1,2,8,1,0,3,0,1,0,1,0,0,6,7,78,14,3,6,2,8,1
DE_08326061,Tuningen,2306,1577,20,0,502,131,145,337,0,19,101,13,65,22,14,4,33,6,4,5,1,0,2,21,3,2,0,0,0,3,9,4,87,4,0,2,2,12,4
DE_08326065,Unterkirnach,1761,1233,44,0,448,150,89,203,0,14,80,16,39,10,2,5,27,4,1,2,6,2,0,4,8,1,0,1,0,1,9,7,51,0,2,1,1,5,0
DE_08326068,Vöhrenbach,2631,1678,23,0,633,150,175,241,0,21,103,27,103,21,6,17,24,0,0,4,5,0,1,4,1,2,2,0,1,0,9,10,75,6,1,3,1,6,3
DE_08326074,Villingen-Schwenningen,56613,32768,490,0,10094,3725,3371,6388,0,521,2170,417,1409,327,156,112,633,119,55,31,114,15,21,146,76,48,6,22,2,19,100,140,1710,63,19,54,14,128,53
DE_08326075,Brigachtal,4012,2827,30,0,1108,235,257,467,0,24,162,38,102,33,18,14,38,11,1,5,10,0,1,34,7,3,0,0,0,1,17,20,155,0,1,1,5,25,4
DE_08327002,Aldingen,5369,3164,60,0,996,192,224,757,0,49,208,34,155,48,27,24,34,15,7,3,18,2,3,29,3,7,1,0,0,4,14,19,172,31,1,5,0,19,3
