gisco_id,name,registered,turnout,invalid,blank,SOC,UMP,PRG,DVG,DVD,FN,COM,VEC,UDF,RPF,PREP,DIV,REG
FR_27666,La Vacherie,389,212,7,0,99,106,0,0,0,0,0,0,0,0,0,0,0
FR_27667,Valailles,259,184,11,0,63,0,0,0,0,0,0,0,110,0,0,0,0
FR_27668,Le Val-David,564,411,9,0,0,244,158,0,0,0,0,0,0,0,0,0,0
FR_27669,Valletot,212,132,6,0,36,0,0,0,0,0,0,0,90,0,0,0,0
FR_27670,Vandrimare,658,449,17,0,291,141,0,0,0,0,0,0,0,0,0,0,0
FR_27671,Vannecrocq,96,72,1,0,12,0,0,0,0,0,0,0,59,0,0,0,0
FR_27672,Vascoeuil,253,153,7,0,46,100,0,0,0,0,0,0,0,0,0,0,0
FR_27673,Vatteville,145,96,5,0,21,70,0,0,0,0,0,0,0,0,0,0,0
FR_27674,Vaux-sur-Eure,236,148,7,0,0,115,26,0,0,0,0,0,0,0,0,0,0
FR_27676,Trois Lacs,611,366,16,0,230,120,0,0,0,0,0,0,0,0,0,0,0
FR_27677,Venon,223,146,7,0,49,90,0,0,0,0,0,0,0,0,0,0,0
FR_27678,Les Ventes,841,515,18,0,0,269,228,0,0,0,0,0,0,0,0,0,0
FR_27679,Verneuil d'Avre et d'Iton,4344,2426,94,0,0,1472,860,0,0,0,0,0,0,0,0,0,0
FR_27680,Verneusses,185,112,6,0,27,0,0,0,0,0,0,0,79,0,0,0,0
FR_27681,Vernon,13473,7930,291,0,3213,4426,0,0,0,0,0,0,0,0,0,0,0
FR_27682,Vesly,463,276,17,0,113,146,0,0,0,0,0,0,0,0,0,0,0
FR_27683,Vézillon,161,89,0,0,51,38,0,0,0,0,0,0,0,0,0,0,0
FR_27684,Le Vieil-Évreux,519,326,12,0,0,201,113,0,0,0,0,0,0,0,0,0,0
FR_27685,La Vieille-Lyre,468,246,9,0,81,156,0,0,0,0,0,0,0,0,0,0,0
FR_27686,Vieux-Port,75,61,0,0,23,0,0,0,0,0,0,0,38,0,0,0,0
FR_27687,Vieux-Villez,133,85,2,0,45,38,0,0,0,0,0,0,0,0,0,0,0
FR_27688,Villalet,63,48,1,0,0,36,11,0,0,0,0,0,0,0,0,0,0
FR_27689,Villegats,228,145,6,0,0,99,40,0,0,0,0,0,0,0,0,0,0
FR_27690,Villers-en-Vexin,215,122,9,0,63,50,0,0,0,0,0,0,0,0,0,0,0
FR_27691,Villers-sur-le-Roule,471,312,22,0,136,154,0,0,0,0,0,0,0,0,0,0,0
FR_27692,Villettes,115,79,5,0,30,44,0,0,0,0,0,0,0,0,0,0,0
FR_27693,Sylvains-les-Moulins,775,452,14,0,0,294,144,0,0,0,0,0,0,0,0,0,0
FR_27694,Villez-sous-Bailleul,237,156,4,0,77,75,0,0,0,0,0,0,0,0,0,0,0
FR_27695,Villez-sur-le-Neubourg,174,112,5,0,51,56,0,0,0,0,0,0,0,0,0,0,0
FR_27696,Villiers-en-Désoeuvre,611,349,16,0,0,209,124,0,0,0,0,0,0,0,0,0,0
FR_27697,Vironvay,248,140,10,0,31,99,0,0,0,0,0,0,0,0,0,0,0
FR_27698,Vitot,359,214,12,0,113,89,0,0,0,0,0,0,0,0,0,0,0
