gisco_id,name,registered,turnout,invalid,blank,UG,DIV,EXG,ENS,RN,LR,ECO,DVD,REC,UXD,DSV,EXD,DVG,UDI,REG,DVC,HOR,COM,SOC,VEC,FI,RDG
FR_56096,Landaul,1989,1443,9,29,369,0,18,319,524,0,0,148,0,0,0,0,0,0,27,0,0,0,0,0,0,0
FR_56097,Landévant,3113,2250,37,23,559,0,28,598,735,0,0,199,0,0,0,0,0,0,71,0,0,0,0,0,0,0
FR_56098,Lanester,17074,11439,83,166,4432,0,294,2985,3479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_56099,Langoëlan,263,209,0,2,69,0,3,46,72,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FR_56100,Langonnet,1490,1049,9,19,270,0,18,297,353,0,0,62,0,0,21,0,0,0,0,0,0,0,0,0,0,0
FR_56101,Languidic,6419,4482,42,98,949,0,93,1375,1627,0,0,231,0,0,67,0,0,0,0,0,0,0,0,0,0,0
FR_56102,Forges de Lanouée,1776,1225,5,6,124,0,5,142,436,0,6,0,0,0,4,0,0,0,497,0,0,0,0,0,0,0
FR_56103,Lantillac,212,152,2,3,22,0,2,40,57,0,2,17,0,0,3,0,0,0,4,0,0,0,0,0,0,0
FR_56104,Lanvaudan,629,494,1,8,137,0,15,156,144,0,0,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0
FR_56105,Lanvénégen,870,647,5,10,173,0,17,155,250,0,0,28,0,0,9,0,0,0,0,0,0,0,0,0,0,0
FR_56106,Larmor-Baden,954,783,1,11,189,1,4,375,183,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0
FR_56107,Larmor-Plage,7260,5688,31,89,1282,0,41,2815,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_56108,Larré,855,613,6,9,109,0,4,83,199,0,6,0,0,0,6,0,0,0,191,0,0,0,0,0,0,0
FR_56109,Lauzach,1012,760,0,8,135,0,8,104,241,0,20,0,0,0,8,0,0,0,236,0,0,0,0,0,0,0
FR_56110,Lignol,704,432,5,8,76,0,4,140,160,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FR_56111,Limerzel,1103,801,6,8,162,0,2,88,258,0,4,0,0,0,9,0,0,0,264,0,0,0,0,0,0,0
FR_56112,Lizio,635,483,2,8,78,0,2,75,107,0,9,0,0,0,4,0,0,0,198,0,0,0,0,0,0,0
FR_56113,Locmalo,690,489,7,12,104,0,6,125,183,0,0,45,0,0,7,0,0,0,0,0,0,0,0,0,0,0
FR_56114,Locmaria,885,651,2,1,218,0,6,257,108,0,0,44,0,0,0,0,0,0,15,0,0,0,0,0,0,0
FR_56115,Locmaria-Grand-Champ,1386,1032,6,26,241,0,11,283,346,0,14,72,0,0,14,0,0,0,19,0,0,0,0,0,0,0
FR_56116,Locmariaquer,1612,1233,8,13,240,0,11,427,332,0,0,172,0,0,0,0,0,0,30,0,0,0,0,0,0,0
FR_56117,Locminé,3143,2158,13,37,389,0,27,646,721,0,20,246,0,0,34,0,0,0,25,0,0,0,0,0,0,0
FR_56118,Locmiquélic,3277,2481,18,43,857,0,38,696,660,0,0,137,0,0,0,0,0,0,32,0,0,0,0,0,0,0
FR_56119,Locoal-Mendon,3172,2339,22,53,611,0,32,666,687,0,0,216,0,0,0,0,0,0,52,0,0,0,0,0,0,0
FR_56120,Locqueltas,1524,1142,5,15,263,0,8,318,398,0,13,94,0,0,11,0,0,0,17,0,0,0,0,0,0,0
FR_56121,Lorient,38072,25799,190,456,9983,0,538,7912,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
